gene_id	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	neg_log10_FDR	label	significant
ENSG00000197921	-14.818902192706352	9.402913419083388	315.1580122713415	1.9251815215771523e-70	6.060471429924875e-67	HES5	protein_coding	1	66.21749359176579	HES5	TRUE
ENSG00000102225	-10.72926813176256	7.287293263624112	176.74706858475614	2.6150385915138526e-40	1.8709412468376382e-37	CDK16	protein_coding	X	36.72793985043417	CDK16	TRUE
ENSG00000147383	-9.20288777963628	5.52342176825909	153.06179425796097	3.8559221286687797e-35	2.247859789083207e-32	NSDHL	protein_coding	X	31.64823078150446	NSDHL	TRUE
ENSG00000133169	-8.998032866892052	8.728473209298855	267.9734611479269	3.519144914266676e-60	5.539134095055748e-57	BEX1	protein_coding	X	56.256558121035326	BEX1	TRUE
ENSG00000102241	8.976174026687392	8.111483661565549	357.894877077401	9.923978039495866e-80	3.9050853585416234e-76	HTATSF1	protein_coding	X	75.40836946874226	HTATSF1	TRUE
ENSG00000078596	8.657541346865473	3.3537310865199967	25.33336664449707	4.828233994414281e-7	3.653673224619268e-5	ITM2A	protein_coding	X	4.43727029745716	ITM2A	TRUE
ENSG00000102109	8.452942089864235	8.589039768604277	408.88972922393276	8.34632531549229e-91	1.3137116046584865e-86	PCSK1N	protein_coding	X	85.88149996373525	PCSK1N	TRUE
ENSG00000102409	-8.451769456907275	4.200370864203187	42.18917754503236	8.310284313250464e-11	1.021905274145018e-8	BEX4	protein_coding	X	7.990589359409473	BEX4	TRUE
ENSG00000185043	-8.428408655013072	2.595830413556627	18.157847832091434	2.0344778506605847e-5	0.001186025235903615	CIB1	protein_coding	15	2.9259060700804533	CIB1	TRUE
ENSG00000083097	-7.759115085890167	5.159597403508979	59.26712900136076	1.3845268891059133e-14	2.504879682129549e-12	DOP1A	protein_coding	6	11.60121312993332	DOP1A	TRUE
ENSG00000142937	-7.63025485452966	5.718677063597493	100.2733677983381	1.349287297179399e-23	4.518677033532711e-21	RPS8	protein_coding	1	20.344988698183514	RPS8	TRUE
ENSG00000156298	-7.485474997821209	7.592637139594734	226.8700340612346	3.1170060244874655e-51	3.7739749865717464e-48	TSPAN7	protein_coding	X	47.423200982610375	TSPAN7	TRUE
ENSG00000008056	-7.39875747320862	4.2941376835685015	33.18623978445255	8.389635656988773e-9	8.202041319316973e-7	SYN1	protein_coding	X	6.0860780472033555	SYN1	TRUE
ENSG00000198680	7.2305735746343665	3.9913234261046706	76.8446132313674	1.867395858415111e-18	4.818493575648172e-16	TUSC1	protein_coding	9	15.317088715711412	TUSC1	TRUE
ENSG00000179918	-7.220287139675597	5.649849695414718	74.79461467682484	5.271045288157712e-18	1.2963477005562872e-15	SEPHS2	protein_coding	16	14.887278498326324	SEPHS2	TRUE
ENSG00000204356	-7.218458093259537	7.833549979144683	197.16959512855007	9.216717193204792e-45	8.533595801237849e-42	NELFE	protein_coding	6	41.068867931602	NELFE	TRUE
