ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	10/407	57/21261	1.1459730219374693e-7	2.510054635247567e-4	2.4175753157811415e-4	RBMX/FMR1/ZBTB7A/CELF4/TIA1/DDX5/RBM5/KHDRBS2/NOVA1/CELF1	10
GO:0048024	regulation of mRNA splicing, via spliceosome	13/407	110/21261	1.893780873159674e-7	2.510054635247567e-4	2.4175753157811415e-4	RBMX/FMR1/ZBTB7A/RBM3/SRRM1/CELF4/TIA1/DDX5/RBM5/KHDRBS2/NOVA1/CELF1/TRA2A	13
GO:0043484	regulation of RNA splicing	17/407	194/21261	2.164873037876208e-7	2.510054635247567e-4	2.4175753157811415e-4	RBMX/FMR1/RPS13/HSPA1A/ZBTB7A/RBM3/KAT2A/SRRM1/CELF4/TIA1/DDX5/RBM5/SLC38A2/KHDRBS2/NOVA1/CELF1/TRA2A	17
GO:0050684	regulation of mRNA processing	14/407	133/21261	2.753007551683649e-7	2.510054635247567e-4	2.4175753157811415e-4	RBMX/FMR1/ZBTB7A/RBM3/SRRM1/CELF4/TIA1/DDX5/RBM5/KHDRBS2/NOVA1/AHCYL1/CELF1/TRA2A	14
GO:0000380	alternative mRNA splicing, via spliceosome	10/407	75/21261	1.6192544132293192e-6	0.001114816097159897	0.0010737423163155227	RBMX/FMR1/ZBTB7A/CELF4/TIA1/DDX5/RBM5/KHDRBS2/NOVA1/CELF1	10
GO:0002181	cytoplasmic translation	15/407	178/21261	1.8340818708416181e-6	0.001114816097159897	0.0010737423163155227	RPS8/RPS4X/RPS17/SH3BGRL/FMR1/RPS13/RPLP1/RPS10/RPL10/FTSJ1/RPL38/MCTS1/RPS9/RPL22L1/CPEB4	15
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	22/407	379/21261	4.502257129742844e-6	0.0020524664690215193	0.001976846321309457	HTATSF1/RNF113A/IK/RBMX/FMR1/ZBTB7A/RBM3/DNAJC17/SRRM1/CELF4/WBP4/TIA1/DDX5/RBM5/RBM14/GEMIN7/KHDRBS2/NOVA1/SNU13/RBM41/CELF1/TRA2A	22
GO:0000398	mRNA splicing, via spliceosome	22/407	379/21261	4.502257129742844e-6	0.0020524664690215193	0.001976846321309457	HTATSF1/RNF113A/IK/RBMX/FMR1/ZBTB7A/RBM3/DNAJC17/SRRM1/CELF4/WBP4/TIA1/DDX5/RBM5/RBM14/GEMIN7/KHDRBS2/NOVA1/SNU13/RBM41/CELF1/TRA2A	22
GO:0000375	RNA splicing, via transesterification reactions	22/407	383/21261	5.323899899236872e-6	0.00215736254805743	0.00207787765657935	HTATSF1/RNF113A/IK/RBMX/FMR1/ZBTB7A/RBM3/DNAJC17/SRRM1/CELF4/WBP4/TIA1/DDX5/RBM5/RBM14/GEMIN7/KHDRBS2/NOVA1/SNU13/RBM41/CELF1/TRA2A	22
GO:0042274	ribosomal small subunit biogenesis	12/407	128/21261	6.625364318118055e-6	0.0024162703668176547	0.002327246392585258	RPS8/RPS4X/TSR3/RPS17/RPS13/RPSA2/DCAF13/RPL38/RPS9/RIOK3/RRP7A/SNU13	12
GO:0140694	non-membrane-bounded organelle assembly	22/407	466/21261	1.0440208129601074e-4	0.032866491378100444	0.031655573211932284	SMC1A/FMR1/NBDY/RPSA2/HSPA1A/RPL10/DDX3X/DCAF13/STAG2/KAT2A/EIF5B/TIA1/HSPA1B/RPL38/DDX6/MYOM2/RBM14/CNOT6L/GOLGA8B/OBSL1/RRP7A/KIF3B	22
GO:0031396	regulation of protein ubiquitination	14/407	223/21261	1.0814310297153971e-4	0.032866491378100444	0.031655573211932284	BEX1/TAF1/BEX4/HDAC8/HUWE1/BEX2/HSPA1A/DDX3X/HSPA1B/UBE3A/HSPA5/UBE2V2/RCHY1/TBC1D7	14
GO:0046928	regulation of neurotransmitter secretion	8/407	81/21261	1.599671185004376e-4	0.044876929320853534	0.043223504002911764	SYP/FMR1/BAIAP3/SYN1/CHRNB4/SLC38A2/FBXO45/SYT1	8
GO:0051085	chaperone cofactor-dependent protein refolding	6/407	44/21261	1.809528702191816e-4	0.04713822269209681	0.04540148330236159	HSPA1A/HSPA1L/HSPA1B/DNAJC7/HSPA5/ERO1A	6
GO:1903311	regulation of mRNA metabolic process	19/407	389/21261	1.992000558399759e-4	0.04843217357655947	0.0466477604447719	RBMX/FMR1/ZBTB7A/RBM3/MEX3D/SRRM1/CELF4/TIA1/DDX5/RBM5/GTPBP1/CNOT6L/KHDRBS2/NOVA1/TNRC6C/LARP1/AHCYL1/CELF1/TRA2A	19
