ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	axonogenesis	119/1708	476/21261	5.939463034121474e-30	3.553580733314878e-26	2.6946405975856375e-26	POU4F2/WNT5A/GATA3/NOTCH3/EDN1/FSTL4/NFIB/NEFL/RET/GLI2/POU4F1/DRD2/UNC5D/MAG/OLFM1/NTRK1/FLRT3/ISL1/SLITRK6/GAP43/ATOH7/CNTN2/LHX1/ETV1/FGFR2/SLIT1/APOE/NFASC/SNAP25/MAPT/RAB3A/DSCAML1/NRP1/GLI3/THY1/ANOS1/TUBB3/CNTN1/ALCAM/BOC/PRDM8/NRXN3/MAP1B/EPHA8/NR4A2/UST/DCC/LRP4/MAP2/SLIT3/ANK3/DSCAM/KIF5C/CTNNA2/SLIT2/TUBB2B/NOVA2/MAP6/PLXNA2/NR2E1/ADCY1/EFNB2/BMP7/CNTN6/CDH4/EPHB1/BMPR1B/PAK1/CNTN5/BRSK2/SEMA4D/DCLK1/KALRN/FN1/SLITRK4/BCL2/SMO/EPHA5/PAK3/FLRT2/PRKG1/SEMA3C/NRP2/STXBP1/PRKCQ/SEMA6B/TIAM1/DRAXIN/FEZ1/SLITRK5/APLP1/MAP3K13/NRXN1/NCAM1/DPYSL5/CRABP2/NOTCH1/EFNA5/PLXNB2/FYN/ARHGEF40/SPART/EPHA4/WDR47/CYFIP2/CREB1/LMO4/PTCH1/PLXNA1/AUTS2/TSKU/RTN4/SEMA3E/METRN/ENAH/APBB1/RELN/DAG1/PLEKHG4B	119
GO:0007411	axon guidance	73/1708	246/21261	1.5139023774736707e-23	2.4271081258186678e-20	1.840448995360268e-20	POU4F2/WNT5A/GATA3/NOTCH3/EDN1/NFIB/RET/GLI2/UNC5D/NTRK1/FLRT3/ISL1/GAP43/ATOH7/CNTN2/LHX1/ETV1/SLIT1/NFASC/DSCAML1/NRP1/GLI3/ANOS1/TUBB3/CNTN1/ALCAM/BOC/NRXN3/EPHA8/DCC/SLIT3/DSCAM/KIF5C/SLIT2/TUBB2B/NOVA2/PLXNA2/EFNB2/BMP7/CNTN6/CDH4/EPHB1/BMPR1B/CNTN5/SEMA4D/KALRN/SMO/EPHA5/FLRT2/SEMA3C/NRP2/PRKCQ/SEMA6B/DRAXIN/FEZ1/NRXN1/NCAM1/DPYSL5/NOTCH1/EFNA5/PLXNB2/FYN/ARHGEF40/EPHA4/CYFIP2/LMO4/PTCH1/PLXNA1/SEMA3E/ENAH/RELN/DAG1/PLEKHG4B	73
GO:0097485	neuron projection guidance	73/1708	246/21261	1.5139023774736707e-23	2.4271081258186678e-20	1.840448995360268e-20	POU4F2/WNT5A/GATA3/NOTCH3/EDN1/NFIB/RET/GLI2/UNC5D/NTRK1/FLRT3/ISL1/GAP43/ATOH7/CNTN2/LHX1/ETV1/SLIT1/NFASC/DSCAML1/NRP1/GLI3/ANOS1/TUBB3/CNTN1/ALCAM/BOC/NRXN3/EPHA8/DCC/SLIT3/DSCAM/KIF5C/SLIT2/TUBB2B/NOVA2/PLXNA2/EFNB2/BMP7/CNTN6/CDH4/EPHB1/BMPR1B/CNTN5/SEMA4D/KALRN/SMO/EPHA5/FLRT2/SEMA3C/NRP2/PRKCQ/SEMA6B/DRAXIN/FEZ1/NRXN1/NCAM1/DPYSL5/NOTCH1/EFNA5/PLXNB2/FYN/ARHGEF40/EPHA4/CYFIP2/LMO4/PTCH1/PLXNA1/SEMA3E/ENAH/RELN/DAG1/PLEKHG4B	73
GO:0010975	regulation of neuron projection development	109/1708	484/21261	1.6226696478814427e-23	2.4271081258186678e-20	1.840448995360268e-20	POU4F2/WNT5A/PMP22/HES1/GATA3/FSTL4/NEFL/RET/LPAR1/MAG/CNR1/STMN2/NTRK1/SFRP2/ATOH7/CNTN2/NFATC4/ZNF804A/SLIT1/HECW1/TRIM67/APOE/ENC1/SNAP25/MAPT/NRP1/DNM3/ELAVL4/NDRG4/THY1/CNTN1/MAP1B/UST/DCC/LRP4/MAP2/FZD4/DPYSL3/DSCAM/PLPPR5/FZD1/CTNNA2/CRMP1/SLIT2/TUBB2B/NOVA2/LZTS1/MAP6/PLXNA2/CAMK2B/NR2E1/EFNB2/BMP7/CDH4/GRN/ITGA6/PAK1/CHRNA3/LYN/CAMSAP2/RAB29/BRSK2/NCS1/SEMA4D/FN1/STX1B/TRPV4/PAK3/SERPINI1/PPP2R5B/PPFIA2/NR2F1/PRKD1/GPC2/SEMA3C/OBSL1/NLGN1/TOX/RGS2/BCL11A/ACAP3/SEMA6B/SERPINF1/TIAM1/KAT2B/DRAXIN/FEZ1/MAP3K13/DPYSL5/CRABP2/LRP8/EFNA5/PDLIM5/PLXNB2/FYN/SPART/YWHAH/MAGI2/EPHA4/RTN4RL1/PLXNA1/TSKU/RTN4/SEMA3E/HECW2/MYLIP/METRN/P3H1/RELN	109
GO:0030900	forebrain development	100/1708	448/21261	2.321057754536565e-21	2.7773777090784534e-18	2.1060545099058094e-18	WNT5A/HES1/NOTCH3/NFIB/NEFL/GSX2/BMP4/GLI2/POU4F1/ATP1A2/AXL/LPAR1/DRD2/COL3A1/ASPM/ISL1/BMP2/CNTN2/LHX1/FGFR2/SLIT1/HAP1/NHLH2/H2AX/KCNA2/KCNC1/CDON/ERBB4/ALDH1A3/ALDH1A2/NRP1/TBX3/ELAVL4/GLI3/KIF14/ADGRG1/PRDM8/NR4A2/POU3F1/FAT4/SLC1A2/BTBD3/SSTR2/MDGA1/EGFR/SLC2A1/CCDC141/SLIT2/ATAT1/TUBB2B/NR2E1/DCT/TUBA1A/SCN5A/NDE1/KIRREL3/TACC2/PCDH9/DCLK1/STIL/CASP3/RFX4/SMO/EPHA5/PRKG1/NRP2/ID4/TOX/SEMA6B/PROX1/DRAXIN/FEZ1/SLITRK5/APLP1/LRP8/NOTCH1/TWSG1/FGF2/BTG2/WDR62/FYN/WDR47/FOXP1/DYNC2H1/CREB1/RTN4RL1/FOXP2/PLXNA1/CNTNAP2/TSKU/RTN4/SEMA3E/HIF1A/SCYL2/TACC3/PLCB1/DIXDC1/RELN/AKIRIN2/SIX3	100
GO:0072001	renal system development	80/1708	345/21261	2.301010213717824e-18	2.2944906847789566e-15	1.7398866703726003e-15	WNT5A/HES1/GATA3/NOTCH3/GREM1/BMP4/RET/GLI2/SMAD6/MYOCD/HAS2/PDGFRA/NFIA/BMP2/RDH10/LHX1/FGFR2/YAP1/LGR5/MMP17/PODXL/COL4A1/NID1/ERBB4/ALDH1A2/NRP1/GLI3/CENPF/FBN1/PLCE1/ADAMTS1/SULF1/TMEM59L/SMAD3/DCHS2/LRP4/LAMA5/TFAP2A/HS3ST3B1/CD24/STRA6/PDGFD/FRAS1/SLIT2/ACTA2/PROM1/TGFB2/EFNB2/SULF2/BMP7/ASS1/BASP1/MTSS1/KIRREL3/HELLS/BCL2/SMO/SOX4/ADAMTS6/PDGFRB/SMAD1/GDF11/MYO1E/EPCAM/SERPINF1/PROX1/CDKN1C/PBX1/PYGO1/NOTCH1/FGF2/SOX9/MAGI2/EPHA4/IFT25/DYNC2H1/PTCH1/GLIS2/BAG6/HS2ST1	80
GO:0001822	kidney development	76/1708	335/21261	6.085504693300479e-17	5.201367797145252e-14	3.944139132048882e-14	WNT5A/HES1/GATA3/NOTCH3/GREM1/BMP4/RET/GLI2/SMAD6/HAS2/PDGFRA/BMP2/RDH10/LHX1/FGFR2/YAP1/MMP17/PODXL/NID1/ERBB4/ALDH1A2/NRP1/GLI3/CENPF/FBN1/PLCE1/ADAMTS1/SULF1/TMEM59L/SMAD3/DCHS2/LRP4/LAMA5/TFAP2A/HS3ST3B1/CD24/STRA6/PDGFD/FRAS1/SLIT2/ACTA2/PROM1/TGFB2/EFNB2/SULF2/BMP7/ASS1/BASP1/MTSS1/KIRREL3/HELLS/BCL2/SMO/SOX4/ADAMTS6/PDGFRB/SMAD1/GDF11/MYO1E/EPCAM/SERPINF1/PROX1/CDKN1C/PBX1/PYGO1/NOTCH1/FGF2/SOX9/MAGI2/EPHA4/IFT25/DYNC2H1/PTCH1/GLIS2/BAG6/HS2ST1	76
GO:0001654	eye development	88/1708	431/21261	2.2280053287829267e-16	1.6662694852635313e-13	1.2635135482966335e-13	POU4F2/SLC17A6/WNT5A/CRYBB3/HES1/GATA3/NFIB/RHOJ/BMP4/RET/DRD2/CPAMD8/CRYBA1/PDGFRA/CELF4/NFIA/SLITRK6/RDH10/ATOH7/FOXN4/LHX1/COL5A1/MIP/FBN2/BFSP1/RORB/MAF/LAMC3/SMOC1/FZD5/CDON/COL4A1/ALDH1A3/ALDH1A2/NRP1/GLI3/THY1/TGFBR2/ZHX2/FBN1/MFAP2/SMAD3/BIRC7/FZD4/TFAP2A/DSCAM/CYP1B1/STRA6/EGFR/SDK2/PROM1/TGFB2/NR2E1/MERTK/BMP7/EPHB1/BMPR1B/OLFM3/SPRED1/SPRY2/BCL2/MAN2A1/IFT122/FAT1/PXDN/CRB1/PDGFRB/GDF11/NECTIN3/SERPINF1/PROX1/CDKN1C/PBX1/NOTCH1/TWSG1/FGF2/EPHA2/MEIS2/SOX9/PLAAT3/FJX1/TSKU/HIF1A/WDR19/TMOD1/CITED2/SLC4A5/SIX3	88
GO:0048880	sensory system development	90/1708	448/21261	2.8976527640820165e-16	1.9262951652780784e-13	1.4606881185021628e-13	POU4F2/SLC17A6/WNT5A/CRYBB3/HES1/GATA3/NFIB/RHOJ/BMP4/RET/POU4F1/DRD2/CPAMD8/CRYBA1/PDGFRA/ISL1/CELF4/NFIA/SLITRK6/RDH10/ATOH7/FOXN4/LHX1/COL5A1/MIP/FBN2/BFSP1/RORB/MAF/LAMC3/SMOC1/FZD5/CDON/COL4A1/ALDH1A3/ALDH1A2/NRP1/GLI3/THY1/TGFBR2/ZHX2/FBN1/MFAP2/SMAD3/BIRC7/FZD4/TFAP2A/DSCAM/CYP1B1/STRA6/EGFR/SDK2/PROM1/TGFB2/NR2E1/MERTK/BMP7/EPHB1/BMPR1B/OLFM3/SPRED1/SPRY2/BCL2/MAN2A1/IFT122/FAT1/PXDN/CRB1/PDGFRB/GDF11/NECTIN3/SERPINF1/PROX1/CDKN1C/PBX1/NOTCH1/TWSG1/FGF2/EPHA2/MEIS2/SOX9/PLAAT3/FJX1/TSKU/HIF1A/WDR19/TMOD1/CITED2/SLC4A5/SIX3	90
GO:0150063	visual system development	88/1708	435/21261	4.016691226998824e-16	2.403186361113396e-13	1.8223093882489402e-13	POU4F2/SLC17A6/WNT5A/CRYBB3/HES1/GATA3/NFIB/RHOJ/BMP4/RET/DRD2/CPAMD8/CRYBA1/PDGFRA/CELF4/NFIA/SLITRK6/RDH10/ATOH7/FOXN4/LHX1/COL5A1/MIP/FBN2/BFSP1/RORB/MAF/LAMC3/SMOC1/FZD5/CDON/COL4A1/ALDH1A3/ALDH1A2/NRP1/GLI3/THY1/TGFBR2/ZHX2/FBN1/MFAP2/SMAD3/BIRC7/FZD4/TFAP2A/DSCAM/CYP1B1/STRA6/EGFR/SDK2/PROM1/TGFB2/NR2E1/MERTK/BMP7/EPHB1/BMPR1B/OLFM3/SPRED1/SPRY2/BCL2/MAN2A1/IFT122/FAT1/PXDN/CRB1/PDGFRB/GDF11/NECTIN3/SERPINF1/PROX1/CDKN1C/PBX1/NOTCH1/TWSG1/FGF2/EPHA2/MEIS2/SOX9/PLAAT3/FJX1/TSKU/HIF1A/WDR19/TMOD1/CITED2/SLC4A5/SIX3	88
