gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	condition_1	condition_2	neg_log10_FDR	significant	label
ENSG00000197921	ENSG00000197921	-12.03599843907656	9.98543538834755	740.5701414299987	3.162202362784613e-162	5.539229878889807e-158	HES5	protein_coding	1	H1_FT	H2_FT	157.2565506111917	TRUE	HES5
ENSG00000102225	ENSG00000102225	-10.814187737386582	7.42341919186078	310.16362173306766	2.8390210670018257e-69	4.144261002555915e-66	CDK16	protein_coding	X	H1_FT	H2_FT	65.38255290084962	TRUE	CDK16
ENSG00000133169	ENSG00000133169	-10.194964557544404	8.374036593860392	247.53407908598354	1.1156550638505825e-55	8.883149887941206e-53	BEX1	protein_coding	X	H1_FT	H2_FT	52.051433009853596	TRUE	BEX1
ENSG00000102109	ENSG00000102109	10.135628252464965	9.098211658901953	499.2159676097789	3.423327531457488e-110	1.1993285673708164e-106	PCSK1N	protein_coding	X	H1_FT	H2_FT	105.9210618215317	TRUE	PCSK1N
ENSG00000100554	ENSG00000100554	-9.967925092741257	6.807285238275949	215.7321020413146	9.120033000258443e-49	6.1444468486741215e-46	ATP6V1D	protein_coding	14	H1_FT	H2_FT	45.21151720820169	TRUE	ATP6V1D
ENSG00000077152	ENSG00000077152	-9.37620169764347	5.533139724174831	146.01160343929755	1.393941567125803e-33	5.813732007462545e-31	UBE2T	protein_coding	1	H1_FT	H2_FT	30.235544991547822	TRUE	UBE2T
ENSG00000142937	ENSG00000142937	-9.325522644675031	5.6975277072247605	51.71756792216486	1.8437654249476797e-6	1.1098707542545879e-4	RPS8	protein_coding	1	H1_FT	H2_FT	3.9547275923684406	TRUE	RPS8
ENSG00000147133	ENSG00000147133	-9.125159104701273	5.478636096286391	129.10856762275253	7.023925723434347e-30	2.617832061646797e-27	TAF1	protein_coding	X	H1_FT	H2_FT	26.582058217617	TRUE	TAF1
ENSG00000179918	ENSG00000179918	-8.965147627302095	5.422621509219677	118.77848758227718	1.2324550302421123e-27	4.317782952950216e-25	SEPHS2	protein_coding	16	H1_FT	H2_FT	24.364739192642176	TRUE	SEPHS2
ENSG00000123575	ENSG00000123575	-8.694491941328184	5.210729701368345	101.46536441751962	7.54967022076596e-24	2.0991678294786876e-21	FAM199X	protein_coding	X	H1_FT	H2_FT	20.67795283797657	TRUE	FAM199X
ENSG00000102144	ENSG00000102144	-8.573202345583171	5.597148889838321	98.94169706331076	2.6946982191923544e-23	7.090250786878088e-21	PGK1	protein_coding	X	H1_FT	H2_FT	20.149338403261073	TRUE	PGK1
ENSG00000184083	ENSG00000184083	-8.359200062088947	4.793244294465207	80.85971423854824	2.4818099361276455e-19	5.114572311899761e-17	FAM120C	protein_coding	X	H1_FT	H2_FT	16.29119067678031	TRUE	FAM120C
ENSG00000102241	ENSG00000102241	8.134626675700517	8.057298738352898	345.77552431563214	5.405300694632065e-77	1.1835581533483735e-73	HTATSF1	protein_coding	X	H1_FT	H2_FT	72.92681039843804	TRUE	HTATSF1
ENSG00000160131	ENSG00000160131	-7.93985911825469	6.952384498732642	231.36610337799607	3.638327745758008e-52	2.655524463435126e-49	VMA21	protein_coding	X	H1_FT	H2_FT	48.57584969338401	TRUE	VMA21
ENSG00000102003	ENSG00000102003	7.896833692992178	5.426384290629411	67.74773633362713	1.8896659665302607e-16	3.182815263049094e-14	SYP	protein_coding	X	H1_FT	H2_FT	13.497188567966084	TRUE	SYP
ENSG00000198034	ENSG00000198034	-7.426582435217038	12.049637414822742	640.0623617914473	1.3910041691869028e-140	1.2183110015823487e-136	RPS4X	protein_coding	X	H1_FT	H2_FT	135.91424183401	TRUE	RPS4X
ENSG00000102317	ENSG00000102317	-7.330750136453187	4.241973520879545	42.78872412589721	6.140072556814637e-11	6.0424523021192134e-9	RBM3	protein_coding	X	H1_FT	H2_FT	8.218786769138465	TRUE	RBM3
ENSG00000102409	ENSG00000102409	-7.292542588361917	4.1455364051206844	41.257507643172026	1.3429002063043756e-10	1.2784555931431383e-8	BEX4	protein_coding	X	H1_FT	H2_FT	7.893314352493204	TRUE	BEX4
ENSG00000188706	ENSG00000188706	-7.232698162584906	6.37211247116054	161.04820180330728	7.3326139977731245e-37	3.567927761083106e-34	ZDHHC9	protein_coding	X	H1_FT	H2_FT	33.44758394725572	TRUE	ZDHHC9
ENSG00000197021	ENSG00000197021	-7.146819611413299	4.278325250058478	38.615920859820946	5.188561307490772e-10	4.660924534529019e-8	EOLA2	protein_coding	X	H1_FT	H2_FT	7.331527928713616	TRUE	EOLA2
ENSG00000007520	ENSG00000007520	-7.1350304592652245	3.731954186937057	35.512198961911075	2.5466466665256904e-9	2.1446927719966598e-7	TSR3	protein_coding	16	H1_FT	H2_FT	6.668634911862867	TRUE	NA
ENSG00000184905	ENSG00000184905	7.091528495328412	5.126673529491556	41.0613343680416	1.4845898824128686e-10	1.398148439259474e-8	TCEAL2	protein_coding	X	H1_FT	H2_FT	7.854446717768435	TRUE	NA
ENSG00000269743	ENSG00000269743	-7.030733672478312	3.783238493358223	33.633754118068346	6.681300930170173e-9	5.393380110312946e-7	SLC25A53	protein_coding	X	H1_FT	H2_FT	6.268138970775419	TRUE	NA
ENSG00000250349	ENSG00000250349	-6.988118508768254	6.078895514830738	41.09492916992802	1.459304817391802e-10	1.3817644587163349e-8		protein_coding	X	H1_FT	H2_FT	7.859565982285998	TRUE	NA
ENSG00000007952	ENSG00000007952	6.966958710412622	3.669729697121751	32.12183140703304	1.4536777845364924e-8	1.1367890067734705e-6	NOX1	protein_coding	X	H1_FT	H2_FT	5.944320134870088	TRUE	NA
ENSG00000000003	ENSG00000000003	6.929071779308434	7.48640614102062	348.44733484463126	1.4251147616503885e-77	3.5662478971185505e-74	TSPAN6	protein_coding	X	H1_FT	H2_FT	73.44778847142182	TRUE	NA
ENSG00000125352	ENSG00000125352	6.914545812029541	4.097463365352876	33.072873832696295	8.913633882347435e-9	7.065164014347512e-7	RNF113A	protein_coding	X	H1_FT	H2_FT	6.150877751763153	TRUE	NA
ENSG00000089820	ENSG00000089820	6.854306839793553	3.717926458240834	30.37866734636471	3.566635236442346e-8	2.681405555225776e-6	ARHGAP4	protein_coding	X	H1_FT	H2_FT	5.571637495201615	TRUE	NA
ENSG00000089289	ENSG00000089289	-6.7877838128776675	3.2543866564921733	26.226008045871794	3.0450675797862513e-7	1.997769617794598e-5	IGBP1	protein_coding	X	H1_FT	H2_FT	4.699454595934559	TRUE	NA
ENSG00000284987	ENSG00000284987	6.7002256628038035	3.484197091113156	26.59404579047459	2.519153557065119e-7	1.677871211372992e-5		protein_coding	X	H1_FT	H2_FT	4.775241377438537	TRUE	NA
ENSG00000165169	ENSG00000165169	6.684807193474849	7.3876999765322315	187.3674895857001	1.3547298363250147e-42	8.183035359622512e-40	DYNLT3	protein_coding	X	H1_FT	H2_FT	39.08708557219482	TRUE	NA
ENSG00000204356	ENSG00000204356	-6.675987274899055	7.543758051298757	294.5548928785901	6.903813164322051e-66	9.302622707648414e-63	NELFE	protein_coding	6	H1_FT	H2_FT	62.03139459264175	TRUE	NA
ENSG00000198680	ENSG00000198680	6.60876094859852	3.318568721431371	24.159504056747497	8.887736163260486e-7	5.52079696354021e-5	TUSC1	protein_coding	9	H1_FT	H2_FT	4.257998224465645	TRUE	NA
ENSG00000182195	ENSG00000182195	-6.568713996595039	7.346423719557983	253.31398895555503	6.193743483012071e-57	5.16646688532964e-54	LDOC1	protein_coding	X	H1_FT	H2_FT	53.2868063498932	TRUE	NA
ENSG00000122565	ENSG00000122565	-6.568166501958127	8.26972106568729	345.0908590661449	7.606581070222822e-77	1.480494228967702e-73	CBX3	protein_coding	7	H1_FT	H2_FT	72.82959328117057	TRUE	NA
ENSG00000125351	ENSG00000125351	-6.5293759382944385	5.216241236199754	98.92906394110314	2.711918723073768e-23	7.090250786878088e-21	UPF3B	protein_coding	X	H1_FT	H2_FT	20.149338403261073	TRUE	NA
ENSG00000182774	ENSG00000182774	6.412041918363166	11.670978885266784	540.1557880823234	4.931800483861283e-119	2.879678302526603e-115	RPS17	protein_coding	15	H1_FT	H2_FT	114.54065602586613	TRUE	NA
ENSG00000102383	ENSG00000102383	-6.401296746304828	3.476823456463027	21.962515496466196	2.78549596803146e-6	1.6264510957335695e-4	ZDHHC15	protein_coding	X	H1_FT	H2_FT	3.7887589905883097	TRUE	NA
ENSG00000083097	ENSG00000083097	-6.392914236680223	5.213969969454803	91.77789009938725	9.99929537671267e-22	2.467009255125012e-19	DOP1A	protein_coding	6	H1_FT	H2_FT	18.60782922122685	TRUE	NA
ENSG00000147383	ENSG00000147383	-6.369782341611216	5.217808878577881	90.72625383718248	1.700119786091232e-21	4.079588807254809e-19	NSDHL	protein_coding	X	H1_FT	H2_FT	18.389383608414935	TRUE	NA
ENSG00000255374	ENSG00000255374	6.365481852288254	3.274728041684595	20.762666946965453	5.2074159867733306e-6	2.877549080135913e-4	TAS2R43	protein_coding	12	H1_FT	H2_FT	3.5409772602088854	TRUE	NA
ENSG00000260836	ENSG00000260836	6.354042232445228	11.676870871439355	534.2537348790804	9.273156594469666e-118	4.0609471016331285e-114		protein_coding	15	H1_FT	H2_FT	113.3913726676433	TRUE	NA
ENSG00000083750	ENSG00000083750	6.297563791739759	6.348430835605237	146.33970038334198	1.1821364684716856e-33	5.050605980053297e-31	RRAGB	protein_coding	X	H1_FT	H2_FT	30.29665651138537	TRUE	NA
ENSG00000126756	ENSG00000126756	-6.2720837366301625	2.9991201513876584	18.305492797929286	1.884130556882639e-5	9.402938736442503e-4	UXT	protein_coding	X	H1_FT	H2_FT	3.026736393468376	TRUE	NA
ENSG00000158423	ENSG00000158423	-6.26920563513252	2.822092455857455	17.60504373443771	2.722006355318965e-5	0.0013195512167909914	RIBC1	protein_coding	X	H1_FT	H2_FT	2.8795737484996105	TRUE	NA
ENSG00000160932	ENSG00000160932	-6.263344565255823	5.878689213526769	137.26628001954217	1.1288544925213956e-31	4.394254254554952e-29	LY6E	protein_coding	8	H1_FT	H2_FT	28.35711481811291	TRUE	NA
ENSG00000131080	ENSG00000131080	-6.240476452924168	6.249360877268848	177.44574256966416	1.9606316790484315e-40	1.0732620350591054e-37	EDA2R	protein_coding	X	H1_FT	H2_FT	36.96929423284577	TRUE	NA
