gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	condition_1	condition_2	neg_log10_FDR	significant	label
ENSG00000133169	ENSG00000133169	-12.647552162261519	8.374036593860392	487.74397389905687	1.0306971511934928e-107	9.027360998728207e-104	BEX1	protein_coding	X	H1_RGC	H2_RGC	103.04443919001828	TRUE	BEX1
ENSG00000102241	ENSG00000102241	11.807270333837767	8.057298738352898	384.36843735836925	2.3614519457208272e-85	6.894258955531955e-82	HTATSF1	protein_coding	X	H1_RGC	H2_RGC	81.16151240806958	TRUE	HTATSF1
ENSG00000197921	ENSG00000197921	-11.041737566911111	9.98543538834755	289.192684665269	1.0059897504471039e-64	1.762192245858192e-61	HES5	protein_coding	1	H1_RGC	H2_RGC	60.75394671410729	TRUE	HES5
ENSG00000102144	ENSG00000102144	-9.391599068544737	5.597148889838321	128.80503416727677	7.944767770625043e-30	2.9610318518731677e-27	PGK1	protein_coding	X	H1_RGC	H2_RGC	26.52855692087198	TRUE	PGK1
ENSG00000184905	ENSG00000184905	9.320654176574777	5.126673529491556	118.43311719753964	1.466430830266153e-27	4.939897856494655e-25	TCEAL2	protein_coding	X	H1_RGC	H2_RGC	24.3062820309993	TRUE	TCEAL2
ENSG00000142937	ENSG00000142937	-8.789433379268875	5.6975277072247605	35.36083356748599	1.8384782872832773e-5	9.499889132254031e-4	RPS8	protein_coding	1	H1_RGC	H2_RGC	3.022281463082863	TRUE	RPS8
ENSG00000242732	ENSG00000242732	-8.532066626094123	5.577819265076684	83.96425907944598	5.169316627882559e-20	1.2236610725759296e-17	RTL5	protein_coding	X	H1_RGC	H2_RGC	16.91233885563242	TRUE	RTL5
ENSG00000147383	ENSG00000147383	-8.508707386989375	5.217808878577881	81.00933614814308	2.301041250668533e-19	5.16760763948214e-17	NSDHL	protein_coding	X	H1_RGC	H2_RGC	16.286710468402415	TRUE	NSDHL
ENSG00000083097	ENSG00000083097	-8.480375238712693	5.213969969454803	79.6405837102564	4.596360553967069e-19	9.940055286893968e-17	DOP1A	protein_coding	6	H1_RGC	H2_RGC	16.00261120003667	TRUE	DOP1A
ENSG00000102109	ENSG00000102109	8.315127461004911	9.098211658901953	458.1145223323219	2.6146300496834506e-101	1.1450118645076251e-97	PCSK1N	protein_coding	X	H1_RGC	H2_RGC	96.9411900131813	TRUE	PCSK1N
ENSG00000166432	ENSG00000166432	-8.2875923846127435	5.876415135734979	77.54394047867096	1.326881781705488e-18	2.7344691964864746e-16	ZMAT1	protein_coding	X	H1_RGC	H2_RGC	15.563126964544342	TRUE	ZMAT1
ENSG00000004961	ENSG00000004961	-7.9958501788859335	4.5608829531509265	57.014788110934795	4.37766984509277e-14	7.445013852086411e-12	HCCS	protein_coding	X	H1_RGC	H2_RGC	11.128134489868945	TRUE	HCCS
