gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	condition_1	condition_2	neg_log10_FDR	significant	label
ENSG00000151615	ENSG00000151615	10.449104278973268	7.815751115136524	266.4989197099347	8.483372703933893e-60	1.3509385423164545e-56	POU4F2	protein_coding	4	H2_FT	H2_RGC	55.86936440770627	TRUE	POU4F2
ENSG00000091664	ENSG00000091664	9.626424695875949	5.87894142432442	166.38707156499723	5.031055855167667e-38	1.9584223425549335e-35	SLC17A6	protein_coding	11	H2_FT	H2_RGC	34.70809364488126	TRUE	SLC17A6
ENSG00000114251	ENSG00000114251	-8.444097309700739	5.180228583049835	80.00775551088444	3.817687464077997e-19	3.3270861347390187e-17	WNT5A	protein_coding	3	H2_FT	H2_RGC	16.477935955561104	TRUE	WNT5A
ENSG00000100053	ENSG00000100053	-8.363745467050714	5.12845667686903	76.18173831407601	2.6740580032059908e-18	2.1888539272037074e-16	CRYBB3	protein_coding	22	H2_FT	H2_RGC	15.659783220033768	TRUE	CRYBB3
ENSG00000008197	ENSG00000008197	7.77290953038467	5.522511476612695	60.705704922862374	6.718336660619116e-15	4.0721489025628044e-13	TFAP2D	protein_coding	6	H2_FT	H2_RGC	12.390176349929884	TRUE	TFAP2D
ENSG00000118523	ENSG00000118523	-7.561040273286932	4.122385945039873	43.46836181271066	4.339162046085308e-11	1.7393387084960262e-9	CCN2	protein_coding	6	H2_FT	H2_RGC	8.759615837832104	TRUE	CCN2
ENSG00000109099	ENSG00000109099	-7.503081706358243	4.390020514842172	43.90905793460559	3.4647419802616755e-11	1.404904751579717e-9	PMP22	protein_coding	17	H2_FT	H2_RGC	8.85235311865253	TRUE	PMP22
ENSG00000278023	ENSG00000278023	-7.43483917776609	4.042216955578587	40.022634297387135	2.525467161265587e-10	9.216376721643602e-9	RDM1	protein_coding	17	H2_FT	H2_RGC	8.035439781665305	TRUE	RDM1
ENSG00000175874	ENSG00000175874	7.187442246404007	3.62308700356795	34.794162270301904	3.681468514887674e-9	1.1515764995587033e-7	CREG2	protein_coding	2	H2_FT	H2_RGC	6.938707206433862	TRUE	CREG2
ENSG00000188783	ENSG00000188783	-7.129789982324134	3.8774247814697502	32.90989418438405	9.692683472561486e-9	2.858362565469016e-7	PRELP	protein_coding	1	H2_FT	H2_RGC	6.543882684503873	TRUE	PRELP
ENSG00000145824	ENSG00000145824	-6.977309322329579	6.792651797600938	193.92482325839416	5.063334448789421e-44	3.4113242130555496e-41	CXCL14	protein_coding	5	H2_FT	H2_RGC	40.46707700318136	TRUE	CXCL14
ENSG00000164692	ENSG00000164692	-6.840450126871371	7.355511353337636	260.3209403579082	1.8625651254348034e-58	2.7188794418534543e-55	COL1A2	protein_coding	7	H2_FT	H2_RGC	54.565610049087226	TRUE	COL1A2
ENSG00000106633	ENSG00000106633	6.81859424345406	3.9954111264195666	29.734207091814103	4.971959660492559e-8	1.315616576629126e-6	GCK	protein_coding	7	H2_FT	H2_RGC	5.880870663090566	TRUE	GCK
ENSG00000089685	ENSG00000089685	-6.812330009239956	6.165907845282615	119.86978421207839	7.116251413898288e-28	1.246553760172563e-25	BIRC5	protein_coding	17	H2_FT	H2_RGC	24.90428898692128	TRUE	BIRC5
ENSG00000114315	ENSG00000114315	-6.797471933480305	9.879504601221534	449.7462004229244	1.6858998764914934e-99	2.953190813650149e-95	HES1	protein_coding	3	H2_FT	H2_RGC	94.52970849118661	TRUE	HES1
ENSG00000107485	ENSG00000107485	-6.7186971264860595	3.727097993548221	25.35993234245582	4.768742526353295e-7	1.0822067236851262e-5	GATA3	protein_coding	10	H2_FT	H2_RGC	4.965689772149624	TRUE	GATA3
ENSG00000165092	ENSG00000165092	-6.718475295353417	7.678606313391932	275.78496136060136	8.17613655045182e-62	1.5913487106029392e-58	ALDH1A1	protein_coding	9	H2_FT	H2_RGC	57.79823464342278	TRUE	ALDH1A1
ENSG00000027644	ENSG00000027644	6.690479870033943	3.810084565203654	26.73933825813192	2.334713240999347e-7	5.617743384970544e-6	INSRR	protein_coding	1	H2_FT	H2_RGC	5.250438102983609	TRUE	INSRR
ENSG00000074181	ENSG00000074181	-6.622214980470497	6.542801712044111	162.5317863584882	3.4824264207069583e-37	1.244931910439261e-34	NOTCH3	protein_coding	19	H2_FT	H2_RGC	33.90485440096114	TRUE	NOTCH3
ENSG00000164451	ENSG00000164451	6.6139956121842145	4.986357062592487	97.13707465623766	6.694918345902903e-23	8.258794694731067e-21	CALHM4	protein_coding	6	H2_FT	H2_RGC	20.083083329873645	TRUE	CALHM4
ENSG00000078401	ENSG00000078401	-6.6018065944286155	3.562030453846379	23.02992417710548	1.5982723705185402e-6	3.225453584605215e-5	EDN1	protein_coding	6	H2_FT	H2_RGC	4.4914092033730535	TRUE	NA
ENSG00000171243	ENSG00000171243	-6.572802046972406	6.369830329452199	157.04073142453805	5.4814041669235994e-36	1.811655788528315e-33	SOSTDC1	protein_coding	7	H2_FT	H2_RGC	32.741924314023	TRUE	NA
