ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0043484	regulation of RNA splicing	16/374	194/21261	3.6307244475311135e-7	5.84762664359495e-4	5.597893415507587e-4	RBMX/FMR1/RPS13/HSPA1A/ZBTB7A/RBM3/KAT2A/SRRM1/CELF4/TIA1/DDX5/RBM5/SLC38A2/NOVA1/CELF1/TRA2A	16
GO:0048024	regulation of mRNA splicing, via spliceosome	12/374	110/21261	5.50669232564171e-7	5.84762664359495e-4	5.597893415507587e-4	RBMX/FMR1/ZBTB7A/RBM3/SRRM1/CELF4/TIA1/DDX5/RBM5/NOVA1/CELF1/TRA2A	12
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	9/374	57/21261	6.258523509946229e-7	5.84762664359495e-4	5.597893415507587e-4	RBMX/FMR1/ZBTB7A/CELF4/TIA1/DDX5/RBM5/NOVA1/CELF1	9
GO:0050684	regulation of mRNA processing	13/374	133/21261	6.683001878394228e-7	5.84762664359495e-4	5.597893415507587e-4	RBMX/FMR1/ZBTB7A/RBM3/SRRM1/CELF4/TIA1/DDX5/RBM5/NOVA1/AHCYL1/CELF1/TRA2A	13
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	21/374	379/21261	4.134729565596788e-6	0.0024119255799314597	0.0023089200363674697	HTATSF1/RNF113A/IK/RBMX/FMR1/ZBTB7A/RBM3/DNAJC17/SRRM1/CELF4/WBP4/TIA1/DDX5/RBM5/RBM14/GEMIN7/NOVA1/SNU13/RBM41/CELF1/TRA2A	21
GO:0000398	mRNA splicing, via spliceosome	21/374	379/21261	4.134729565596788e-6	0.0024119255799314597	0.0023089200363674697	HTATSF1/RNF113A/IK/RBMX/FMR1/ZBTB7A/RBM3/DNAJC17/SRRM1/CELF4/WBP4/TIA1/DDX5/RBM5/RBM14/GEMIN7/NOVA1/SNU13/RBM41/CELF1/TRA2A	21
GO:0000375	RNA splicing, via transesterification reactions	21/374	383/21261	4.864293164577551e-6	0.0024321465822887754	0.0023282774650902776	HTATSF1/RNF113A/IK/RBMX/FMR1/ZBTB7A/RBM3/DNAJC17/SRRM1/CELF4/WBP4/TIA1/DDX5/RBM5/RBM14/GEMIN7/NOVA1/SNU13/RBM41/CELF1/TRA2A	21
GO:0000380	alternative mRNA splicing, via spliceosome	9/374	75/21261	6.614270807721908e-6	0.002893743478378335	0.0027701610501287945	RBMX/FMR1/ZBTB7A/CELF4/TIA1/DDX5/RBM5/NOVA1/CELF1	9
GO:0042274	ribosomal small subunit biogenesis	11/374	128/21261	1.6701424707092704e-5	0.005944405335151942	0.005690539002041694	RPS4X/TSR3/RPS17/RPS13/RPSA2/DCAF13/RPL38/RPS9/RIOK3/RRP7A/SNU13	11
GO:0002181	cytoplasmic translation	13/374	178/21261	1.698401524329126e-5	0.005944405335151942	0.005690539002041694	RPS4X/RPS17/SH3BGRL/FMR1/RPS13/RPS10/RPL10/FTSJ1/RPL38/MCTS1/RPS9/RPL22L1/CPEB4	13
GO:0140694	non-membrane-bounded organelle assembly	22/374	466/21261	2.996247902727349e-5	0.009533516054132475	0.009126370406106367	SMC1A/FMR1/NBDY/RPSA2/HSPA1A/RPL10/DDX3X/DCAF13/STAG2/KAT2A/EIF5B/TIA1/HSPA1B/RPL38/DDX6/MYOM2/RBM14/CNOT6L/GOLGA8B/OBSL1/RRP7A/KIF3B	22
GO:0046928	regulation of neurotransmitter secretion	8/374	81/21261	8.940973239788738e-5	0.026077838616050487	0.02496413844056803	SYP/FMR1/BAIAP3/SYN1/CHRNB4/SLC38A2/FBXO45/SYT1	8
GO:0051085	chaperone cofactor-dependent protein refolding	6/374	44/21261	1.1424504983046636e-4	0.03075828264666402	0.02944469583889672	HSPA1A/HSPA1L/HSPA1B/DNAJC7/HSPA5/ERO1A	6
GO:0031396	regulation of protein ubiquitination	13/374	223/21261	1.7187060931579643e-4	0.042967652328949106	0.04113264281595339	BEX1/TAF1/BEX4/HDAC8/HUWE1/BEX2/HSPA1A/DDX3X/HSPA1B/UBE3A/HSPA5/UBE2V2/RCHY1	13
GO:1903311	regulation of mRNA metabolic process	18/374	389/21261	2.01346588989371e-4	0.04598115685577356	0.044017450307346544	RBMX/FMR1/ZBTB7A/RBM3/MEX3D/SRRM1/CELF4/TIA1/DDX5/RBM5/GTPBP1/CNOT6L/NOVA1/TNRC6C/LARP1/AHCYL1/CELF1/TRA2A	18
GO:0051084	'de novo' post-translational protein folding	6/374	49/21261	2.10199574197822e-4	0.04598115685577356	0.044017450307346544	HSPA1A/HSPA1L/HSPA1B/DNAJC7/HSPA5/ERO1A	6
