ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	axonogenesis	112/1699	476/21261	5.101786266600297e-26	3.0442358652803975e-22	2.322118296503125e-22	POU4F2/WNT5A/GATA3/NOTCH3/EDN1/FSTL4/NFIB/NEFL/RET/GLI2/DRD2/UNC5D/OLFM1/NTRK1/FLRT3/ISL1/SLITRK6/GAP43/ATOH7/CNTN2/LHX1/ETV1/FGFR2/SLIT1/APOE/NFASC/SNAP25/MAPT/RAB3A/DSCAML1/NRP1/THY1/GLI3/TUBB3/CNTN1/ANOS1/ALCAM/PRDM8/NRXN3/BOC/MAP1B/EPHA8/NR4A2/UST/DCC/MAP2/LRP4/SLIT3/ANK3/DSCAM/KIF5C/CTNNA2/SLIT2/TUBB2B/NOVA2/MAP6/PLXNA2/ADCY1/NR2E1/CNTN6/EFNB2/BMP7/EPHB1/PAK1/BMPR1B/CNTN5/BRSK2/SEMA4D/DCLK1/KALRN/FN1/SLITRK4/BCL2/EPHA5/SMO/PAK3/SEMA3C/PRKG1/STXBP1/NRP2/PRKCQ/TIAM1/SEMA6B/DRAXIN/FEZ1/APLP1/MAP3K13/NRXN1/SLITRK5/NCAM1/DPYSL5/CRABP2/NOTCH1/EFNA5/PLXNB2/FYN/ARHGEF40/SPART/WDR47/CYFIP2/CREB1/EPHA4/PTCH1/PLXNA1/LMO4/AUTS2/RTN4/TSKU/ENAH/METRN/APBB1/RELN	112
GO:0010975	regulation of neuron projection development	107/1699	484/21261	1.2955990764422056e-22	3.8654198445653204e-19	2.9485107402821565e-19	POU4F2/WNT5A/PMP22/HES1/GATA3/FSTL4/NEFL/RET/LPAR1/CNR1/STMN2/NTRK1/SFRP2/ATOH7/CNTN2/NFATC4/ZNF804A/SLIT1/HECW1/TRIM67/APOE/ENC1/SNAP25/MAPT/NRP1/DNM3/ELAVL4/NDRG4/THY1/CNTN1/MAP1B/UST/DCC/MAP2/LRP4/FZD4/DPYSL3/DSCAM/PLPPR5/CTNNA2/CRMP1/FZD1/SLIT2/TUBB2B/NOVA2/LZTS1/MAP6/PLXNA2/CAMK2B/NR2E1/EFNB2/BMP7/PAK1/GRN/ITGA6/CHRNA3/CAMSAP2/BRSK2/LYN/RAB29/NCS1/SEMA4D/STX1B/FN1/TRPV4/PAK3/SERPINI1/PPP2R5B/PPFIA2/GPC2/NR2F1/PRKD1/SEMA3C/ULK4/OBSL1/NLGN1/RGS2/ACAP3/TOX/TIAM1/BCL11A/SEMA6B/SERPINF1/KAT2B/DRAXIN/FEZ1/MAP3K13/DPYSL5/CRABP2/LRP8/PDLIM5/EFNA5/PLXNB2/FYN/YWHAH/SPART/MAGI2/EPHA4/RTN4RL1/PLXNA1/RTN4/HECW2/TSKU/MYLIP/METRN/P3H1/RELN	107
GO:0007411	axon guidance	68/1699	246/21261	2.888683286661149e-20	4.3091932928767686e-17	3.2870175082954755e-17	POU4F2/WNT5A/GATA3/NOTCH3/EDN1/NFIB/RET/GLI2/UNC5D/NTRK1/FLRT3/ISL1/GAP43/ATOH7/CNTN2/LHX1/ETV1/SLIT1/NFASC/DSCAML1/NRP1/GLI3/TUBB3/CNTN1/ANOS1/ALCAM/NRXN3/BOC/EPHA8/DCC/SLIT3/DSCAM/KIF5C/SLIT2/TUBB2B/NOVA2/PLXNA2/CNTN6/EFNB2/BMP7/EPHB1/BMPR1B/CNTN5/SEMA4D/KALRN/EPHA5/SMO/SEMA3C/NRP2/PRKCQ/SEMA6B/DRAXIN/FEZ1/NRXN1/NCAM1/DPYSL5/NOTCH1/EFNA5/PLXNB2/FYN/ARHGEF40/CYFIP2/EPHA4/PTCH1/PLXNA1/LMO4/ENAH/RELN	68
GO:0097485	neuron projection guidance	68/1699	246/21261	2.888683286661149e-20	4.3091932928767686e-17	3.2870175082954755e-17	POU4F2/WNT5A/GATA3/NOTCH3/EDN1/NFIB/RET/GLI2/UNC5D/NTRK1/FLRT3/ISL1/GAP43/ATOH7/CNTN2/LHX1/ETV1/SLIT1/NFASC/DSCAML1/NRP1/GLI3/TUBB3/CNTN1/ANOS1/ALCAM/NRXN3/BOC/EPHA8/DCC/SLIT3/DSCAM/KIF5C/SLIT2/TUBB2B/NOVA2/PLXNA2/CNTN6/EFNB2/BMP7/EPHB1/BMPR1B/CNTN5/SEMA4D/KALRN/EPHA5/SMO/SEMA3C/NRP2/PRKCQ/SEMA6B/DRAXIN/FEZ1/NRXN1/NCAM1/DPYSL5/NOTCH1/EFNA5/PLXNB2/FYN/ARHGEF40/CYFIP2/EPHA4/PTCH1/PLXNA1/LMO4/ENAH/RELN	68
GO:0030900	forebrain development	97/1699	448/21261	6.278979291923942e-20	7.493333886982032e-17	5.715853991216657e-17	WNT5A/HES1/NOTCH3/NFIB/NEFL/BMP4/GLI2/ATP1A2/AXL/LPAR1/DRD2/COL3A1/ASPM/ISL1/BMP2/CNTN2/LHX1/FGFR2/SLIT1/NHLH2/HAP1/H2AX/KCNA2/KCNC1/CDON/ERBB4/ALDH1A2/ALDH1A3/NRP1/ELAVL4/TBX3/GLI3/ADGRG1/KIF14/PRDM8/NR4A2/POU3F1/SLC1A2/FAT4/SSTR2/MDGA1/BTBD3/CCDC141/SLIT2/EGFR/ATAT1/TUBB2B/SLC2A1/NR2E1/TUBA1A/DCT/SCN5A/NDE1/KIRREL3/TACC2/PCDH9/DCLK1/CASP3/STIL/RFX4/EPHA5/SMO/PRKG1/NRP2/ID4/TOX/SEMA6B/PROX1/DRAXIN/FEZ1/APLP1/SLITRK5/LRP8/BTG2/NOTCH1/TWSG1/FGF2/FYN/WDR62/WDR47/CREB1/DYNC2H1/FOXP1/RTN4RL1/PLXNA1/CNTNAP2/FOXP2/RTN4/SCYL2/TSKU/HIF1A/TACC3/PLCB1/DIXDC1/AKIRIN2/SIX3/RELN	97
GO:0072001	renal system development	80/1699	345/21261	1.6838867886593143e-18	1.6746254113216881e-15	1.2773906095022587e-15	WNT5A/HES1/GATA3/NOTCH3/GREM1/BMP4/RET/GLI2/SMAD6/MYOCD/HAS2/PDGFRA/NFIA/BMP2/RDH10/LHX1/FGFR2/YAP1/LGR5/MMP17/PODXL/COL4A1/ERBB4/NID1/ALDH1A2/NRP1/GLI3/CENPF/FBN1/PLCE1/ADAMTS1/TMEM59L/SULF1/DCHS2/SMAD3/LRP4/LAMA5/TFAP2A/HS3ST3B1/CD24/STRA6/SLIT2/PDGFD/FRAS1/ACTA2/PROM1/SULF2/TGFB2/EFNB2/BMP7/BASP1/ASS1/MTSS1/KIRREL3/HELLS/BCL2/SMO/SOX4/ADAMTS6/SMAD1/GDF11/PDGFRB/MYO1E/EPCAM/SERPINF1/PROX1/CDKN1C/PBX1/PYGO1/NOTCH1/FGF2/MAGI2/SOX9/EPHA4/IFT25/DYNC2H1/PTCH1/BAG6/GLIS2/HS2ST1	80
GO:0001822	kidney development	76/1699	335/21261	4.5399766482761386e-17	3.8700058086091026e-14	2.95200887626256e-14	WNT5A/HES1/GATA3/NOTCH3/GREM1/BMP4/RET/GLI2/SMAD6/HAS2/PDGFRA/BMP2/RDH10/LHX1/FGFR2/YAP1/MMP17/PODXL/ERBB4/NID1/ALDH1A2/NRP1/GLI3/CENPF/FBN1/PLCE1/ADAMTS1/TMEM59L/SULF1/DCHS2/SMAD3/LRP4/LAMA5/TFAP2A/HS3ST3B1/CD24/STRA6/SLIT2/PDGFD/FRAS1/ACTA2/PROM1/SULF2/TGFB2/EFNB2/BMP7/BASP1/ASS1/MTSS1/KIRREL3/HELLS/BCL2/SMO/SOX4/ADAMTS6/SMAD1/GDF11/PDGFRB/MYO1E/EPCAM/SERPINF1/PROX1/CDKN1C/PBX1/PYGO1/NOTCH1/FGF2/MAGI2/SOX9/EPHA4/IFT25/DYNC2H1/PTCH1/BAG6/GLIS2/HS2ST1	76
GO:0001654	eye development	87/1699	431/21261	4.965016504791613e-16	3.7032816855114445e-13	2.824833074568281e-13	POU4F2/SLC17A6/WNT5A/CRYBB3/HES1/GATA3/NFIB/RHOJ/BMP4/RET/DRD2/CPAMD8/CRYBA1/PDGFRA/CELF4/NFIA/SLITRK6/ATOH7/RDH10/FOXN4/LHX1/COL5A1/FBN2/RORB/BFSP1/MAF/LAMC3/SMOC1/FZD5/CDON/COL4A1/ALDH1A2/ALDH1A3/NRP1/THY1/GLI3/TGFBR2/ZHX2/FBN1/MFAP2/SMAD3/BIRC7/FZD4/TFAP2A/DSCAM/CYP1B1/STRA6/EGFR/SDK2/PROM1/TGFB2/NR2E1/MERTK/BMP7/EPHB1/BMPR1B/OLFM3/SPRED1/SPRY2/BCL2/MAN2A1/IFT122/FAT1/PXDN/CRB1/GDF11/PDGFRB/NECTIN3/SERPINF1/PROX1/CDKN1C/PBX1/NOTCH1/TWSG1/FGF2/EPHA2/MEIS2/SOX9/PLAAT3/FJX1/TSKU/TMOD1/HIF1A/WDR19/SLC4A5/CITED2/SIX3	87
GO:0150063	visual system development	87/1699	435/21261	8.863383328657632e-16	5.87642314690001e-13	4.482487662352702e-13	POU4F2/SLC17A6/WNT5A/CRYBB3/HES1/GATA3/NFIB/RHOJ/BMP4/RET/DRD2/CPAMD8/CRYBA1/PDGFRA/CELF4/NFIA/SLITRK6/ATOH7/RDH10/FOXN4/LHX1/COL5A1/FBN2/RORB/BFSP1/MAF/LAMC3/SMOC1/FZD5/CDON/COL4A1/ALDH1A2/ALDH1A3/NRP1/THY1/GLI3/TGFBR2/ZHX2/FBN1/MFAP2/SMAD3/BIRC7/FZD4/TFAP2A/DSCAM/CYP1B1/STRA6/EGFR/SDK2/PROM1/TGFB2/NR2E1/MERTK/BMP7/EPHB1/BMPR1B/OLFM3/SPRED1/SPRY2/BCL2/MAN2A1/IFT122/FAT1/PXDN/CRB1/GDF11/PDGFRB/NECTIN3/SERPINF1/PROX1/CDKN1C/PBX1/NOTCH1/TWSG1/FGF2/EPHA2/MEIS2/SOX9/PLAAT3/FJX1/TSKU/TMOD1/HIF1A/WDR19/SLC4A5/CITED2/SIX3	87
GO:0048880	sensory system development	88/1699	448/21261	1.8714122729604772e-15	1.1166717032755168e-12	8.517880703453793e-13	POU4F2/SLC17A6/WNT5A/CRYBB3/HES1/GATA3/NFIB/RHOJ/BMP4/RET/DRD2/CPAMD8/CRYBA1/ISL1/PDGFRA/CELF4/NFIA/SLITRK6/ATOH7/RDH10/FOXN4/LHX1/COL5A1/FBN2/RORB/BFSP1/MAF/LAMC3/SMOC1/FZD5/CDON/COL4A1/ALDH1A2/ALDH1A3/NRP1/THY1/GLI3/TGFBR2/ZHX2/FBN1/MFAP2/SMAD3/BIRC7/FZD4/TFAP2A/DSCAM/CYP1B1/STRA6/EGFR/SDK2/PROM1/TGFB2/NR2E1/MERTK/BMP7/EPHB1/BMPR1B/OLFM3/SPRED1/SPRY2/BCL2/MAN2A1/IFT122/FAT1/PXDN/CRB1/GDF11/PDGFRB/NECTIN3/SERPINF1/PROX1/CDKN1C/PBX1/NOTCH1/TWSG1/FGF2/EPHA2/MEIS2/SOX9/PLAAT3/FJX1/TSKU/TMOD1/HIF1A/WDR19/SLC4A5/CITED2/SIX3	88
