ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	axonogenesis	117/1676	476/21261	1.7279329425141372e-29	2.4450251136575042e-26	1.435093780677531e-26	POU4F2/WNT5A/GATA3/NOTCH3/FSTL4/DRD2/GLI2/NEFL/NTRK1/ATOH7/CNTN2/ISL1/GAP43/NFIB/SLITRK6/OLFM1/SLIT1/NFASC/ETV1/FLRT3/NTNG1/SNAP25/APOE/MAPT/RAB3A/THY1/TUBB3/EFNB2/NRXN3/PRDM8/CRPPA/UST/DSCAML1/MAP1B/DCC/TUBB2B/GLI3/CTNNA2/EPHA8/ANOS1/FGFR2/MAP2/BOC/MAP6/CNTN1/PLXNA2/NOVA2/LRP4/KIF5C/EPHB1/ADCY1/SEMA4D/FLRT2/NEFH/WNT3/DSCAM/BMP7/KALRN/TSKU/SLIT2/PRKG1/DCLK1/ALCAM/MAP3K13/NRXN1/BMPR1B/TIAM1/EPHA5/SMO/STXBP1/SLIT3/BCL2/NR4A2/ANK3/DPYSL5/PAK3/CDH2/BRSK2/FYN/DRAXIN/FZD3/BRSK1/NOTCH1/PRKCQ/NRP2/CDH11/APLP1/SEMA3C/CNTN5/SEMA3E/SEMA6B/NCAM1/WDR47/UNC5A/PTPRM/PLXNB2/EFNA5/PRICKLE1/RTN4/FEZ1/TRAK1/DAG1/SPART/PTCH1/CYFIP2/LMO4/RELN/EPHA4/APBB1/STK25/CNTN4/RUFY3/SEMA4G/CDK5/ENAH/RYK/METRN	117
GO:0010975	regulation of neuron projection development	110/1676	484/21261	9.82686700872578e-25	6.952508408673489e-22	4.0807358262550738e-22	POU4F2/WNT5A/HES1/GATA3/FSTL4/NEFL/PMP22/HECW1/STMN2/CNR1/NTRK1/ATOH7/CNTN2/SFRP2/ZNF804A/SLIT1/ENC1/NFATC4/TRIM67/NTNG1/SNAP25/APOE/MAPT/CAMK2B/ELAVL4/NDRG4/THY1/FZD1/EFNB2/UST/MAP1B/DCC/TUBB2B/CRMP1/CTNNA2/ARC/LZTS1/DNM3/PLPPR5/FZD4/MAP2/MAP6/STX1B/CNTN1/PLXNA2/SDC2/NOVA2/LRP4/SEMA4D/WNT3/DSCAM/PPP2R5B/PPFIA2/BMP7/ITGA6/TSKU/SLIT2/CHRNA3/PRKD1/MAP3K13/OBSL1/GRN/LYN/TIAM1/CAMSAP2/RGS2/GPC2/DPYSL5/RAB29/PAK3/CDH2/BRSK2/FYN/KAT2B/DRAXIN/LRP8/ACAP3/BRSK1/NR2F1/SEMA3C/NCS1/SEMA3E/SEMA6B/RTN4RL1/AP2A1/TANC2/BCL11A/YWHAH/PLXNB2/EFNA5/RTN4/MAGI2/FEZ1/TRAK1/SPART/HECW2/RELN/SERPINF1/PDLIM5/EPHA4/STK25/ITM2C/RUFY3/SEMA4G/FBXO38/CCDC88A/CDK5/TNIK/RYK/METRN	110
GO:0007411	axon guidance	72/1676	246/21261	2.4902688032781857e-23	8.809325891596582e-21	5.170584436280234e-21	POU4F2/WNT5A/GATA3/NOTCH3/GLI2/NTRK1/ATOH7/CNTN2/ISL1/GAP43/NFIB/SLIT1/NFASC/ETV1/FLRT3/TUBB3/EFNB2/NRXN3/CRPPA/DSCAML1/DCC/TUBB2B/GLI3/EPHA8/ANOS1/BOC/CNTN1/PLXNA2/NOVA2/KIF5C/EPHB1/SEMA4D/FLRT2/WNT3/DSCAM/BMP7/KALRN/SLIT2/ALCAM/NRXN1/BMPR1B/EPHA5/SMO/SLIT3/DPYSL5/FYN/DRAXIN/FZD3/NOTCH1/PRKCQ/NRP2/SEMA3C/CNTN5/SEMA3E/SEMA6B/NCAM1/UNC5A/PTPRM/PLXNB2/EFNA5/FEZ1/DAG1/PTCH1/CYFIP2/LMO4/RELN/EPHA4/CNTN4/SEMA4G/CDK5/ENAH/RYK	72
GO:0097485	neuron projection guidance	72/1676	246/21261	2.4902688032781857e-23	8.809325891596582e-21	5.170584436280234e-21	POU4F2/WNT5A/GATA3/NOTCH3/GLI2/NTRK1/ATOH7/CNTN2/ISL1/GAP43/NFIB/SLIT1/NFASC/ETV1/FLRT3/TUBB3/EFNB2/NRXN3/CRPPA/DSCAML1/DCC/TUBB2B/GLI3/EPHA8/ANOS1/BOC/CNTN1/PLXNA2/NOVA2/KIF5C/EPHB1/SEMA4D/FLRT2/WNT3/DSCAM/BMP7/KALRN/SLIT2/ALCAM/NRXN1/BMPR1B/EPHA5/SMO/SLIT3/DPYSL5/FYN/DRAXIN/FZD3/NOTCH1/PRKCQ/NRP2/SEMA3C/CNTN5/SEMA3E/SEMA6B/NCAM1/UNC5A/PTPRM/PLXNB2/EFNA5/FEZ1/DAG1/PTCH1/CYFIP2/LMO4/RELN/EPHA4/CNTN4/SEMA4G/CDK5/ENAH/RYK	72
GO:0030900	forebrain development	99/1676	448/21261	2.044987814380933e-21	5.787315514698041e-19	3.396832390624329e-19	WNT5A/HES1/NOTCH3/TBX3/DRD2/BMP4/GLI2/NEFL/SCN2A/GSX2/ATP1A2/AXL/COL3A1/CNTN2/ISL1/NFIB/ASPM/KCNA2/SLIT1/NHLH2/KCNC1/FAT4/CTNNB1/ADGRG1/BMP2/HES5/ERBB4/KIF14/ELAVL4/PRDM8/CDON/CCDC141/ALDH1A2/GRIA1/HAP1/TUBB2B/GLI3/EGFR/TUBB2A/ALDH1A3/FGFR2/SSTR2/RFX4/STIL/MDGA1/SLC2A1/TACC2/ATAT1/POU3F1/ASCL1/TSKU/SLIT2/CNTNAP2/XRN2/PRKG1/DCLK1/SCN5A/CASP3/EPHA5/SMO/NR4A2/KIRREL3/DCT/SRGAP2/BTBD3/BTG2/PCDH9/SLC1A2/CDH2/WDR62/FYN/DRAXIN/LRP8/NOTCH1/NRP2/PROX1/APLP1/ID4/SEMA3E/NDE1/SEMA6B/WDR47/RTN4RL1/TWSG1/RTN4/FOXP2/FGF2/FEZ1/AGTPBP1/RELN/SCYL2/TACC3/PLCB1/AKIRIN2/CDK5/SIX3/UCHL5/RAX/RYK	99
GO:0050767	regulation of neurogenesis	93/1676	427/21261	9.850996437103671e-20	2.3231933264169492e-17	1.363585296293824e-17	POU4F2/WNT5A/HES1/FSTL4/DRD2/NEFL/TNFRSF1B/GSX2/TGM2/ASPM/NCAN/SLIT1/REST/NFATC4/CTDSP1/YAP1/CTNNB1/MAPT/BMP2/HES5/CAMK2B/HMGB2/ABCC8/HAPLN3/MYB/XRCC2/THY1/CDON/MAN2A1/HES2/MAP1B/HAP1/DCC/GLI3/SYT4/ETV5/HAPLN2/FZD4/MAP2/MAP6/PLXNA2/LRP4/SEMA4D/WNT3/CDKN2B/DSCAM/BMP7/ASCL1/SLIT2/MAP3K13/OBSL1/LYN/TIAM1/SLC7A5/SMO/DCT/DPYSL5/BTG2/VCAN/WDR62/DRAXIN/LRP8/FZD3/NOTCH1/PROX1/SEMA3C/ID4/SEMA3E/DUSP10/IL6ST/SEMA6B/MYRF/YWHAH/PLXNB2/EFNA5/DYNLT1/RTN4/FGF2/TRAK1/DAG1/SPART/RELN/SERPINF1/EPHA4/STK25/GPR37L1/RUFY3/SEMA4G/CDK5/DLL3/TENM4/RYK/METRN	93
GO:0001654	eye development	89/1676	431/21261	2.222359899722072e-17	4.492341797295332e-15	2.6367548283920526e-15	POU4F2/WNT5A/HES1/GATA3/TGFBR2/DRD2/BMP4/SLC17A6/RHOJ/CPAMD8/ATOH7/CRYBB3/PDGFRA/CELF4/NFIB/NFIA/SLITRK6/FOXN4/RDH10/FBN2/CTNNB1/GNGT1/MAF/SMOC1/RORB/HES5/COL5A1/THY1/DCX/SMAD3/CDON/ALDH1A2/MAN2A1/FBN1/NPHP1/ZHX2/CRYBA1/COL4A1/MFAP2/GLI3/OLFM3/EGFR/FZD5/BIRC7/TFAP2A/ALDH1A3/FZD4/TGFB2/CYP1B1/EPHB1/STRA6/SDK2/DSCAM/BMP7/ACHE/TSKU/XRN2/PROM1/BMPR1B/GRHL2/PDGFRB/FAT1/SPRED1/BCL2/IFT122/GDF11/FJX1/PXDN/NOTCH1/SPRY2/CRB1/PROX1/SLC4A5/PTPRM/TWSG1/PRICKLE1/CDKN1C/EPHA2/FGF2/TMOD1/AGTPBP1/SERPINF1/SOX9/MEIS2/JMJD6/SIX3/NECTIN3/CRYBG3/RAX	89
GO:0150063	visual system development	89/1676	435/21261	4.08005689336356e-17	7.216600630136796e-15	4.2357432748208535e-15	POU4F2/WNT5A/HES1/GATA3/TGFBR2/DRD2/BMP4/SLC17A6/RHOJ/CPAMD8/ATOH7/CRYBB3/PDGFRA/CELF4/NFIB/NFIA/SLITRK6/FOXN4/RDH10/FBN2/CTNNB1/GNGT1/MAF/SMOC1/RORB/HES5/COL5A1/THY1/DCX/SMAD3/CDON/ALDH1A2/MAN2A1/FBN1/NPHP1/ZHX2/CRYBA1/COL4A1/MFAP2/GLI3/OLFM3/EGFR/FZD5/BIRC7/TFAP2A/ALDH1A3/FZD4/TGFB2/CYP1B1/EPHB1/STRA6/SDK2/DSCAM/BMP7/ACHE/TSKU/XRN2/PROM1/BMPR1B/GRHL2/PDGFRB/FAT1/SPRED1/BCL2/IFT122/GDF11/FJX1/PXDN/NOTCH1/SPRY2/CRB1/PROX1/SLC4A5/PTPRM/TWSG1/PRICKLE1/CDKN1C/EPHA2/FGF2/TMOD1/AGTPBP1/SERPINF1/SOX9/MEIS2/JMJD6/SIX3/NECTIN3/CRYBG3/RAX	89
GO:0048880	sensory system development	90/1676	448/21261	9.01018539166254e-17	1.4166013699113885e-14	8.314662308797362e-15	POU4F2/WNT5A/HES1/GATA3/TGFBR2/DRD2/BMP4/SLC17A6/RHOJ/CPAMD8/ATOH7/CRYBB3/PDGFRA/CELF4/ISL1/NFIB/NFIA/SLITRK6/FOXN4/RDH10/FBN2/CTNNB1/GNGT1/MAF/SMOC1/RORB/HES5/COL5A1/THY1/DCX/SMAD3/CDON/ALDH1A2/MAN2A1/FBN1/NPHP1/ZHX2/CRYBA1/COL4A1/MFAP2/GLI3/OLFM3/EGFR/FZD5/BIRC7/TFAP2A/ALDH1A3/FZD4/TGFB2/CYP1B1/EPHB1/STRA6/SDK2/DSCAM/BMP7/ACHE/TSKU/XRN2/PROM1/BMPR1B/GRHL2/PDGFRB/FAT1/SPRED1/BCL2/IFT122/GDF11/FJX1/PXDN/NOTCH1/SPRY2/CRB1/PROX1/SLC4A5/PTPRM/TWSG1/PRICKLE1/CDKN1C/EPHA2/FGF2/TMOD1/AGTPBP1/SERPINF1/SOX9/MEIS2/JMJD6/SIX3/NECTIN3/CRYBG3/RAX	90
GO:0072001	renal system development	76/1676	345/21261	1.217169242483493e-16	1.7222944781141423e-14	1.01089108665208e-14	WNT5A/HES1/GATA3/NOTCH3/BMP4/GLI2/SMAD6/MYOCD/HAS2/PDGFRA/NFIA/GREM1/LGR5/RDH10/MMP17/YAP1/CTNNB1/BMP2/HES5/ADAMTS1/ERBB4/PODXL/LAMA5/PLCE1/SMAD3/EFNB2/NID1/CENPF/ALDH1A2/FBN1/TMEM59L/COL4A1/GLI3/TFAP2A/FGFR2/TGFB2/MTSS1/SULF2/LRP4/PDGFA/HS3ST3B1/STRA6/BASP1/PDGFD/BMP7/SMAD1/SIX4/ASS1/SLIT2/PROM1/HELLS/SMO/CD24/PDGFRB/SOX4/BCL2/SULF1/KIRREL3/GDF11/NOTCH1/PROX1/FRAS1/BCL2L11/MYO1E/EPCAM/GLIS2/PRICKLE1/MAGI2/CDKN1C/FGF2/PTCH1/SERPINF1/SOX9/ADAMTS6/EPHA4/JMJD6	76
