ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	axonogenesis	113/1661	476/21261	1.937232545976407e-27	2.741184052556616e-24	1.6048442249299288e-24	POU4F2/WNT5A/FSTL4/EDN1/NFIB/NOTCH3/RET/NEFL/NTRK1/DRD2/KIF5A/OLFM1/THY1/FLRT3/GATA3/ISL1/ATOH7/GAP43/CNTN2/LHX1/SLIT1/SEMA3D/NFASC/SLITRK6/FGFR2/APOE/EPHA8/UST/ETV1/SNAP25/RAB3A/MAPT/LRP4/NRXN3/CNTN6/DSCAML1/TUBB3/MAP1B/GLI3/ALCAM/BOC/MAP2/CNTN1/NRP1/PRDM8/NR4A2/ANK3/EFNB2/DSCAM/BCL2/DCC/SLIT3/KIF5C/TUBB2B/SLIT2/CTNNA2/BMP7/DCLK1/FN1/NOVA2/PAK3/BRSK2/EPHA5/ADCY1/KALRN/BMPR1B/EPHB1/PRKG1/NRP2/STXBP1/CDH4/MAP6/CNTN5/SLITRK4/SEMA4D/SEMA3C/PLXNB2/SMO/NRXN1/FLRT2/DRAXIN/FEZ1/NCAM1/DPYSL5/MAP3K13/PRKCQ/CRABP2/WDR47/FYN/CYFIP2/PLXNA2/METRN/EFNA5/CREB1/RTN4/NOTCH1/PLXNA1/TIAM1/ARHGEF40/MAP1A/AUTS2/PTCH1/EPHA4/LMO4/PALLD/PLEKHG4B/TRAK1/TSKU/ENAH/SPART/APLP1/IFRD1/RND2	113
GO:0010975	regulation of neuron projection development	109/1661	484/21261	1.7158995492247054e-24	1.213998931076479e-21	7.107436553893911e-22	POU4F2/WNT5A/HES1/FSTL4/RET/NEFL/NTRK1/THY1/GATA3/STMN2/SFRP2/ATOH7/CNTN2/CNR1/ELAVL4/ZNF804A/TRIM67/NFATC4/SLIT1/SEMA3D/LPAR1/NDRG4/HECW1/APOE/PMP22/ENC1/UST/SNAP25/MAPT/DNM3/LRP4/MAP1B/SERPINI1/MAP2/CNTN1/NRP1/EFNB2/DPYSL3/DSCAM/DCC/CRMP1/TUBB2B/SLIT2/CTNNA2/BMP7/LYN/LZTS1/CAMK2B/PLPPR5/FZD4/FZD1/ITGA6/PPFIA2/FN1/NOVA2/CHRNA3/STX1B/PAK3/GRN/BRSK2/NCS1/TRPV4/RAB29/PPP2R5B/CDH4/MAP6/GPC2/SEMA4D/SEMA3C/BCL11A/PLXNB2/NLGN1/RGS2/NR2F1/DRAXIN/OBSL1/KAT2B/SERPINF1/PRKD1/FEZ1/TOX/DPYSL5/MAP3K13/MAGI2/CRABP2/FYN/YWHAH/CAMSAP2/PLXNA2/METRN/EFNA5/RTN4/RTN4RL1/RAPGEF1/PLXNA1/TIAM1/TANC2/EPHA4/PDLIM5/ACAP3/KIDINS220/HECW2/TRAK1/TSKU/LRP8/SPART/MYLIP/IFRD1/RND2	109
GO:0072001	renal system development	79/1661	345/21261	1.622226841719357e-18	4.59090196206578e-16	2.687773735648703e-16	WNT5A/HES1/NOTCH3/RET/MYOCD/SMAD6/SIX1/HAS2/GATA3/YAP1/PDGFRA/BMP2/RDH10/NFIA/LHX1/TFAP2A/FGFR2/FBN1/COL4A1/PLCE1/MMP17/CENPF/BMP4/ERBB4/SULF1/LRP4/ALDH1A2/TMEM59L/GLI3/ADAMTS1/NRP1/SMAD3/LAMA5/EFNB2/PODXL/BCL2/DCHS2/CD24/SLIT2/BMP7/MTSS1/MYO1E/CTNS/STRA6/BASP1/FRAS1/ACTA2/HS3ST3B1/KIRREL3/TGFB2/PDGFD/PROM1/SULF2/PROX1/HELLS/SMO/SMAD1/SOX4/PDGFRB/CDKN1C/GDF11/SERPINF1/PBX1/ASS1/ADAMTS6/ZBTB16/MAGI2/BAG6/PYGO1/SOX9/NOTCH1/FGF2/PTCH1/AP1B1/IFT25/EPHA4/GLIS2/BCL2L11/EPCAM	79
GO:0001654	eye development	88/1661	431/21261	4.0493488074149435e-17	8.185469374988778e-15	4.792236859301595e-15	POU4F2/SLC17A6/WNT5A/CRYBB3/HES1/NFIB/RHOJ/RET/DRD2/MITF/CPAMD8/THY1/CELF4/GATA3/CRYBA1/PDGFRA/ATOH7/RDH10/NFIA/FOXN4/LHX1/TFAP2A/COL5A1/FBN2/SLITRK6/CRYBB1/FBN1/TGFBR2/COL4A1/RORB/SMOC1/BMP4/BFSP1/LAMC3/CDON/FZD5/ALDH1A2/ALDH1A3/ZHX2/MAF/GLI3/NRP1/BIRC7/SMAD3/MFAP2/DSCAM/BCL2/MEIS2/CYP1B1/BMP7/CTNS/FZD4/STRA6/TGFB2/EGFR/NECTIN3/PROM1/BMPR1B/SPRED1/EPHB1/PROX1/CRB1/SDK2/SPRY2/TULP1/OLFM3/FAT1/MAN2A1/PXDN/PDGFRB/CDKN1C/GDF11/SERPINF1/PBX1/TWSG1/EPHA2/IFT122/SOX9/PLAAT3/NOTCH1/FJX1/PDE6B/FGF2/SIX3/BCAR3/TSKU/AGTPBP1/WDR19	88
GO:0030900	forebrain development	88/1661	448/21261	4.843687466716865e-16	6.479295389490326e-14	3.7933460825954146e-14	WNT5A/HES1/NFIB/GSX2/NOTCH3/NEFL/DRD2/TAL2/ATP1A2/ASPM/ISL1/COL3A1/BMP2/CNTN2/ELAVL4/NHLH2/LHX1/SLIT1/HAP1/LPAR1/FGFR2/KIF14/H2AX/KCNC1/BMP4/ERBB4/CDON/ALDH1A2/ALDH1A3/ADGRG1/BTBD3/TBX3/GLI3/NRP1/PRDM8/NR4A2/POU3F1/ATAT1/MDGA1/SLC1A2/CCDC141/TUBB2B/SLIT2/SSTR2/DCLK1/NDE1/SLC2A1/KIRREL3/EGFR/TACC2/CASP3/DCT/EPHA5/PRKG1/NRP2/PCDH9/PROX1/SMO/DRAXIN/STIL/FEZ1/TOX/TWSG1/BTG2/WDR47/FYN/ID4/CREB1/CNTNAP2/RTN4/RTN4RL1/WDR62/NOTCH1/PLXNA1/AKIRIN2/SCYL2/FOXP1/FGF2/PLCB1/DIXDC1/PHACTR1/SIX3/FOXP2/TSKU/LRP8/TACC3/APLP1/AGTPBP1	88
GO:0031346	positive regulation of cell projection organization	77/1661	386/21261	1.441426721194423e-14	1.6996823420750903e-12	9.950902013859743e-13	POU4F2/WNT5A/RET/NEFL/NTRK1/STMN2/RIPOR2/ATOH7/CNR1/ELAVL4/ZNF804A/TRIM67/HAP1/NDRG4/APOE/ENC1/DOCK11/PLCE1/MAPT/DNM3/MAP1B/EPS8L1/CLRN1/SERPINI1/CNTN1/NRP1/ENPP2/DPYSL3/DSCAM/TUBB2B/SLIT2/BMP7/LYN/CAMK2B/PLPPR5/APC/FZD4/FZD1/RREB1/ITGA6/FNBP1L/CEP135/FN1/GRN/PPP2R5B/CDH4/MAP6/GPC2/SEMA4D/PLXNB2/NLGN1/RGS2/OBSL1/KAT2B/SERPINF1/PRKD1/FEZ1/TOX/MAP3K13/MAGI2/NEDD9/CRABP2/MNS1/FYN/PLXNA2/METRN/EFNA5/RAPGEF1/PLXNA1/TIAM1/AUTS2/EPHA4/KIDINS220/TRAK1/LRP8/RND2/FUZ	77
GO:0050767	regulation of neurogenesis	81/1661	427/21261	5.381484575548046e-14	5.8575389803080656e-12	3.4293347052277833e-12	POU4F2/WNT5A/HES1/FSTL4/GSX2/TGM2/NEFL/DRD2/THY1/NCAN/YAP1/ASPM/REST/BMP2/NFATC4/SLIT1/SEMA3D/HAP1/MAPT/CDON/LRP4/CTDSP1/ABCC8/HES2/MAP1B/GLI3/MAP2/NRP1/XRCC2/HMGB2/DSCAM/DCC/SLIT2/SYT4/BMP7/LYN/CAMK2B/FZD4/ETV5/FN1/VCAN/DCT/PROX1/CDH4/MAP6/SEMA4D/SEMA3C/PLXNB2/SMO/MAN2A1/PLAG1/DRAXIN/SLC7A5/OBSL1/SERPINF1/DPYSL5/MAP3K13/GPR37L1/BTG2/CRABP2/ID4/YWHAH/PLXNA2/METRN/EFNA5/MYRF/RTN4/WDR62/NOTCH1/DYNLT1/PLXNA1/TIAM1/FGF2/EPHA4/SPINT1/TRAK1/LRP8/SPART/DLL3/IFRD1/RND2	81
GO:0060560	developmental growth involved in morphogenesis	59/1661	264/21261	1.1287618545259926e-13	1.140855731538771e-11	6.679214883548543e-12	POU4F2/WNT5A/FSTL4/EDN1/SIX1/OLFM1/FLRT3/YAP1/S1PR1/SFRP2/RDH10/CSF1/LHX1/SLIT1/SEMA3D/FGFR2/APOE/TGFBR2/UNC13A/BMP4/MAPT/PAK6/MAP1B/ALCAM/MAP2/NRP1/DSCAM/DCC/SLIT3/SLIT2/SYT4/DCLK1/FN1/TSC22D4/PRKG1/NRP2/CDH4/SPRY2/SEMA4D/NRN1/SEMA3C/BCL11A/DRAXIN/RIMS2/MAP3K13/MAGI2/CRABP2/CYFIP2/EFNA5/SOX9/RTN4/NOTCH1/PLXNA1/TIAM1/AUTS2/RIMS1/SPART/IFRD1/RND2	59
GO:0003007	heart morphogenesis	60/1661	273/21261	1.5252379260195753e-13	1.438807776878466e-11	8.423594721244952e-12	WNT5A/HES1/EDN1/CCN1/SMAD6/SIX1/OLFM1/HAS2/GATA3/YAP1/S1PR1/ISL1/DHRS3/SFRP2/COL2A1/BMP2/NRG1/FOXN4/COL5A1/FGFR2/NDRG4/TGFBR2/EPHB4/FGFRL1/BMP4/ALDH1A2/TBX20/TBX3/ADAMTS1/NRP1/NPY1R/SMAD3/TGFBR3/PARVA/SLIT3/FZD2/SLIT2/TPM1/BMP7/APC/FZD1/TGFB2/RYR2/NRP2/PROX1/SEMA3C/SMO/COL11A1/FHL2/SOX4/FLRT2/DNAH11/STIL/SAV1/SOX9/RTN4/NOTCH1/PTCH1/TTN/EMP2	60
GO:0001505	regulation of neurotransmitter levels	50/1661	204/21261	2.0476995634093443e-13	1.810934301390139e-11	1.060223392370496e-11	SLC6A1/DRD2/SV2C/ATP1A2/CPLX2/SLC18A2/SYN3/HRH3/SNAP25/UNC13A/RAB3A/MYOF/SLC1A3/SNCAIP/CAMK2A/SYN1/ABCC8/RAB3B/STX1A/GPR158/RIMS3/SYT7/SLC1A2/SYT4/ASIC1/NAPB/SNPH/PPFIA2/CHRNA3/STX1B/SLC1A7/CHRNB4/SYT11/CPLX1/STXBP1/NRXN1/NLGN1/STXBP3/SLC38A1/PTPRN2/CADPS/ZNF219/RIMS2/SYNJ1/LIN7B/LIN7A/SNAP23/SLC1A6/VAMP2/RIMS1	50
