ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010970	transport along microtubule	54/3250	179/21261	3.3434462528170025e-7	8.357894908188651e-4	7.465325440749245e-4	MGARP/RHOT1/SNAPIN/ARL3/KXD1/MREG/AP3B2/FEZ1/RHOT2/ARMCX3/MAP1B/UCHL1/RPGR/ARL8A/CILK1/RABGEF1/MAP1A/DST/BBS12/SSX2IP/FUZ/ARL8B/SPG7/IFT88/NDEL1/IFT52/SYNE2/LCA5L/MAPK8IP3/DYNLL1/IFT27/HTT/HNRNPU/CDR2L/TTC21A/DYNC2LI1/SPAG17/HDAC6/DYNC1I2/NETO1/CAMSAP3/HAP1/SYBU/AP3M1/AP3B1/IFT70A/PEX14/RASGRP1/DYNC2I2/IFT122/TRAK1/NEFL/NDE1/IFT80	54
GO:0099111	microtubule-based transport	63/3250	221/21261	3.5325960092564815e-7	8.357894908188651e-4	7.465325440749245e-4	MGARP/RHOT1/SNAPIN/ARL3/GAS8/KXD1/MREG/SPEF2/AP3B2/FEZ1/RHOT2/ARMCX3/MAP1B/UCHL1/RPGR/ODAD4/ARL8A/CILK1/RABGEF1/MAP1A/DST/DNAAF2/BBS12/SSX2IP/OFD1/FUZ/ARL8B/SPG7/CABYR/DNAH11/IFT88/NDEL1/IFT52/SYNE2/LCA5L/MAPK8IP3/DYNLL1/IFT27/HTT/HNRNPU/CDR2L/TTC21A/DYNC2LI1/SPAG17/HDAC6/DYNC1I2/NETO1/CAMSAP3/HAP1/DNAH5/SYBU/CFAP54/AP3M1/AP3B1/IFT70A/PEX14/RASGRP1/DYNC2I2/IFT122/TRAK1/NEFL/NDE1/IFT80	63
GO:0072594	establishment of protein localization to organelle	117/3250	494/21261	4.942181070585125e-7	8.357894908188651e-4	7.465325440749245e-4	COX18/ATP5IF1/MGARP/SUFU/HAX1/NIPBL/SPDYA/CCT7/TIMM29/ZFYVE16/AIP/DNLZ/VPS37D/PEX7/NUP155/CCT6A/POM121/HK1/TNPO2/CCT8/RUVBL2/TOMM40/PTTG1IP/PEX2/CDK1/RAB8B/CCT5/DNAJC19/ACD/TIMM17B/GSK3A/AIFM1/HERPUD1/RAB7A/STAM2/NUP62/FAM53A/SCARB2/SRP14/ELAVL1/AP4M1/TPR/IL33/USP36/STAM/IPO11/TXNIP/NEURL1B/SNF8/CRY2/PIK3R4/SQSTM1/TIMM8B/NUTF2/PKIG/NUP54/DNAJC15/RAB10/SRP19/RAB3GAP1/BRCA2/SUMO1/ROMO1/NAGPA/ATG14/MTCH1/LONP2/PEX5L/SRP9/UBL5/FGF9/EFCAB7/TSPO/USP9X/FBXW7/ZNF827/TGFB1/PEX13/FIS1/AP3M1/AP3B1/AKT1/NUP107/MTX2/PEX14/IFT122/LRSAM1/CLU/PEX26/MAPK8/IPO8/PRKCD/TRMT10B/PEX10/GET4/TIMM21/NEDD4/MFN2/SMO/SPCS2/RAB3GAP2/IPO4/KPNA3/PML/TRAM2/MVB12A/PPP1R10/SRPRB/BCS1L/ECT2/VPS4A/TCP1/TRAF3IP2/PSEN1/PEX1/MAVS/RPAIN	117
GO:0010975	regulation of neuron projection development	115/3250	484/21261	5.198504063560038e-7	8.357894908188651e-4	7.465325440749245e-4	SFRP2/MGARP/NFATC4/CDKL3/SNAPIN/SHOC2/RND2/TSKU/SEMA4B/BMP7/HES1/MAP2K2/TBC1D24/NEU4/NTNG2/APOE/SS18L1/ARHGAP4/PTPRF/OBSL1/FEZ1/YWHAH/MAP1B/GSK3A/SLC39A12/ZNF365/CRK/SCN1B/DVL1/THY1/WNT7A/SCARB2/SYNGAP1/RAP2A/PQBP1/STK25/STK24/RTN4IP1/RAB29/SDC2/ATF1/MDK/PRRX1/PLXNB1/IST1/SEMA3C/PRAG1/ROR2/NDEL1/HECW2/CAMK2G/CYFIP1/SETX/PTEN/SEMA4G/ACAP3/ELAVL4/FN1/NCS1/RTN4RL1/CHN1/FAT3/KIDINS220/MINAR1/AP2A1/HDAC6/NRP1/EZH2/KANK1/ADCY6/SEMA3F/FZD1/SEMA6C/DSCAM/TUBB2B/AKT1/NCK1/CX3CL1/ENC1/PAX6/CERS2/ADNP/POU3F2/PAK3/ANAPC2/TRAK1/PLXNA4/GPC2/SLITRK1/SEMA6B/TRIM67/ARHGAP35/EPHB2/NEFL/DGUOK/ATP1B2/DPYSL3/ROBO3/NEDD4/ATOH7/NGEF/NTRK2/NR2E1/EPHA7/PUM2/HDAC2/SEMA5A/MEGF8/SERPINF1/STX1B/DIP2B/PSEN1/AMIGO1/BAIAP2/DDR1	115
GO:0001654	eye development	103/3250	431/21261	1.5164217770205106e-6	0.0017039659239680368	0.0015219933131613446	ATF4/MFAP2/PITX3/NIPBL/CYP1B1/HPCA/SPRY2/RHO/ACVR2B/CRYBA1/ALDH1A3/CTNNB1/TSKU/SLC7A11/WNT16/CLIC4/BMP7/HES1/CDK20/HSF4/CRYGA/RAB18/KDR/CRYGD/PROX1/FOXC1/SMARCA4/RHOJ/PBX2/MFRP/IMPG2/TBC1D20/MAX/THY1/GPM6A/FOXN4/RDH10/WNT7A/RPL24/PDE6A/LCTL/BFSP1/CRYGB/PXDN/RING1/SH3PXD2B/MAN2A1/PROM1/PPP1R13L/RAB3GAP1/RP1L1/BFSP2/HIPK2/PDE6B/MYOM1/FAT3/TULP3/LAMC3/SOS1/NKD1/NRP1/FGF2/CC2D2A/KDM2B/PDGFRA/FGF9/AQP5/LIMK2/LHX2/PYGO2/SLC4A5/SOX8/DSCAM/PKNOX1/LARGE1/FOXE3/FZR1/CASP2/PAX6/ATF6/IFT122/CRYBB1/FREM2/RDH13/ARHGAP35/EPHB2/FBN2/ATOH7/CRB2/MEIS3/MFN2/RBP4/TMEM231/NTRK2/NR2E1/HDAC2/JAG1/SERPINF1/TBC1D32/NES/PSEN1/SMOC1/FBN1	103
GO:1903312	negative regulation of mRNA metabolic process	34/3250	99/21261	2.051095615792563e-6	0.0017039659239680368	0.0015219933131613446	HNRNPK/TAF15/MEIOC/MAPKAPK2/ZFP36/ELAVL1/BARD1/U2AF2/AXIN2/RBM20/RBM24/SYNCRIP/RBMX/ELAVL4/LARP4B/HNRNPU/TENT5C/YBX3/LARP1B/ZC3H14/SRSF9/FMR1/FUS/SRSF12/METTL16/TRAF5/SECISBP2/TENT4A/NPM1/ANGEL2/IGF2BP1/TRAF3IP2/HNRNPA0/C1QBP	34
GO:0062197	cellular response to chemical stress	87/3250	352/21261	2.3007932716046336e-6	0.0017039659239680368	0.0015219933131613446	PYROXD1/ATF4/ANKZF1/FOS/PXN/CYP1B1/CAB39/MMP9/KLF2/NUDT2/ABCD1/SLC7A11/PENK/WNT16/BMP7/ANXA1/ATP13A2/FBP1/PARK7/PEX2/CAT/TBC1D24/CRYGD/GPX7/HSPA1A/CDK1/EFHD1/PPARGC1A/PIK3CA/MAPK7/SLC2A1/GPR37L1/MAPK9/NME8/AIFM1/IL18BP/SRXN1/NCOA7/DDX3X/MTOR/MAP1LC3A/BNIP3/STK25/LONP1/PRKAA2/SQSTM1/ALOX5/FANCC/SETX/DHFR/ZFP36L1/ROMO1/MMP2/SELENON/YBX3/HDAC6/SUMO4/PDGFRA/OXSR1/EZH2/SELENOS/AQP5/PLA2R1/FUT8/TSPO/VRK2/PEX13/FBLN5/AKT1/PNPT1/PEX14/CPEB2/PTPRK/ZNF580/NET1/MAPK8/STX2/PRKCD/PAWR/PEX10/ERMP1/FOXP1/HDAC2/ERCC6L2/ECT2/NOX1/DAPK1	87
GO:0150063	visual system development	103/3250	435/21261	2.366279777074568e-6	0.0017039659239680368	0.0015219933131613446	ATF4/MFAP2/PITX3/NIPBL/CYP1B1/HPCA/SPRY2/RHO/ACVR2B/CRYBA1/ALDH1A3/CTNNB1/TSKU/SLC7A11/WNT16/CLIC4/BMP7/HES1/CDK20/HSF4/CRYGA/RAB18/KDR/CRYGD/PROX1/FOXC1/SMARCA4/RHOJ/PBX2/MFRP/IMPG2/TBC1D20/MAX/THY1/GPM6A/FOXN4/RDH10/WNT7A/RPL24/PDE6A/LCTL/BFSP1/CRYGB/PXDN/RING1/SH3PXD2B/MAN2A1/PROM1/PPP1R13L/RAB3GAP1/RP1L1/BFSP2/HIPK2/PDE6B/MYOM1/FAT3/TULP3/LAMC3/SOS1/NKD1/NRP1/FGF2/CC2D2A/KDM2B/PDGFRA/FGF9/AQP5/LIMK2/LHX2/PYGO2/SLC4A5/SOX8/DSCAM/PKNOX1/LARGE1/FOXE3/FZR1/CASP2/PAX6/ATF6/IFT122/CRYBB1/FREM2/RDH13/ARHGAP35/EPHB2/FBN2/ATOH7/CRB2/MEIS3/MFN2/RBP4/TMEM231/NTRK2/NR2E1/HDAC2/JAG1/SERPINF1/TBC1D32/NES/PSEN1/SMOC1/FBN1	103
GO:0051056	regulation of small GTPase mediated signal transduction	84/3250	337/21261	2.38465142523905e-6	0.0017039659239680368	0.0015219933131613446	GABARAP/PSD/SPRY2/SHOC2/F11R/RASA2/ARHGDIA/GIT2/ARHGEF17/FBP1/GBF1/APOE/ARHGAP4/GMIP/ARHGEF19/GARNL3/RALBP1/CRK/NUP62/RABGEF1/TRIO/SYNGAP1/ADCYAP1R1/EPS8L2/SSX2IP/CYTH1/RAF1/KCTD10/SQSTM1/PRAG1/ARHGAP45/EPS8L1/CADM4/TGM2/RAP1GAP/LPAR6/DENND1A/CHN1/ARHGEF1/DLC1/SOS1/MYO9B/NRP1/CUL3/ARHGEF9/COL3A1/KANK1/SPRY4/ARHGEF11/RDX/CHN2/RABL3/ARHGAP39/PSD3/VAV2/GPR18/CYTH2/ITGB1/RASGRP1/ARHGAP28/KALRN/NET1/ABCA1/TRIM67/PLEKHG5/ARHGEF10L/ARHGAP35/EPHB2/IQSEC1/SH2B2/DOCK8/STARD13/RIPOR2/STK19/MFN2/BCR/ARHGAP17/CD2AP/NGEF/ARFGAP1/OPHN1/ECT2/SWAP70/DENND4A	84
GO:1903050	regulation of proteolysis involved in protein catabolic process	70/3250	268/21261	2.8285441018495612e-6	0.0017628107343513825	0.0015745538759389954	ATP5IF1/SUFU/GABARAP/HSP90AB1/PSME2/PSMC2/RNFT1/RNF144B/PARK7/CCDC22/APOE/TRIB1/HSPA1A/CSNK1D/GSK3A/MAPK9/HERPUD1/USP38/SVIP/DVL1/MAP1A/PTK2/IL33/DET1/MARCHF7/UBQLN2/AXIN2/RFPL1/ANKIB1/N4BP1/PSME1/PTEN/WNT10B/SUMO1/RNF139/HIPK2/CSNK1A1/AQP11/L3MBTL3/FBXO22/PSMC5/NUDT15/PSMC6/QRICH2/ZYG11B/USP9X/FBXW7/FMR1/GCLC/FZR1/AKT1/RPL11/UFL1/UBXN1/CLU/ZNF418/TRIM67/CBFA2T3/UBQLN4/TMEM259/CCAR2/UBE2K/PHF20L1/PSMD14/STYX/PML/OPHN1/PANO1/LATS1/PSEN1	70
