gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	condition_1	condition_2	neg_log10_FDR	significant	label
ENSG00000151615	ENSG00000151615	9.731783214317398	7.857765778988815	409.63686843754186	8.11927793247332e-91	1.3896956109221333e-86	POU4F2	protein_coding	H1_FT	H1_RGC	85.85708031411518	TRUE	POU4F2
ENSG00000164451	ENSG00000164451	8.910498240532341	5.010445305166967	108.67464081920474	1.9981200373750906e-25	3.166650237010375e-23	CALHM4	protein_coding	H1_FT	H1_RGC	22.499399902692154	TRUE	CALHM4
ENSG00000114251	ENSG00000114251	-8.337320148617007	5.174127428698659	74.17240154559643	7.3074981387382e-18	6.191838521913021e-16	WNT5A	protein_coding	H1_FT	H1_RGC	15.208180378222542	TRUE	WNT5A
ENSG00000182240	ENSG00000182240	-7.6642461283665835	4.29642306056793	46.699138307363334	8.345499914490194e-12	3.7889012343876433e-10	BACE2	protein_coding	H1_FT	H1_RGC	9.421486715368843	TRUE	BACE2
ENSG00000165092	ENSG00000165092	-7.649362185130893	7.661230412033663	246.9826745914438	1.4775610736743423e-55	2.1074946114175033e-52	ALDH1A1	protein_coding	H1_FT	H1_RGC	51.67623352713484	TRUE	ALDH1A1
ENSG00000176907	ENSG00000176907	-7.476946250245493	4.461616642411659	43.00240896639965	5.505988677723042e-11	2.276340633041246e-9	TCIM	protein_coding	H1_FT	H1_RGC	8.642762749315162	TRUE	TCIM
ENSG00000278023	ENSG00000278023	-7.361855175972928	4.045206346582988	37.92765332198299	7.382393097953159e-10	2.6657603431343096e-8	RDM1	protein_coding	H1_FT	H1_RGC	7.5741788970574735	TRUE	RDM1
ENSG00000142871	ENSG00000142871	-7.193997779317201	7.663401394611496	247.37701374601545	1.2130575107216257e-55	1.8875174866828495e-52	CCN1	protein_coding	H1_FT	H1_RGC	51.7241090162102	TRUE	CCN1
ENSG00000188783	ENSG00000188783	-7.096289418454597	3.882282346745914	31.748819047972308	1.7614302555237652e-8	5.216027725526777e-7	PRELP	protein_coding	H1_FT	H1_RGC	6.282660108800046	TRUE	PRELP
ENSG00000118523	ENSG00000118523	-6.889146974553953	4.125359762197746	29.227924734816934	6.455970941119463e-8	1.7555075082569437e-6	CCN2	protein_coding	H1_FT	H1_RGC	5.7555973087291985	TRUE	CCN2
