gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	condition_1	condition_2	neg_log10_FDR	significant	label
ENSG00000197921	ENSG00000197921	-12.021565676644057	9.959061884316625	617.0883871016898	1.2860440314241705e-135	2.2011929641856103e-131	HES5	protein_coding	H1_FT	H2_FT	130.657341884022	TRUE	HES5
ENSG00000102225	ENSG00000102225	-10.767725740695765	7.429216352508232	290.3303595090106	5.738372695077402e-65	9.821798704894481e-62	CDK16	protein_coding	H1_FT	H2_FT	61.00780897086104	TRUE	CDK16
ENSG00000133169	ENSG00000133169	-10.149858461285977	8.40413431502994	227.9940443358646	1.9760074435906203e-51	1.6105401621189073e-48	BEX1	protein_coding	H1_FT	H2_FT	47.793028440686484	TRUE	BEX1
ENSG00000102109	ENSG00000102109	10.132358880075481	9.112898193491016	437.9932465466728	5.963670280584827e-97	3.4024726840829964e-93	PCSK1N	protein_coding	H1_FT	H2_FT	92.46820535273731	TRUE	PCSK1N
ENSG00000077152	ENSG00000077152	9.362161311944229	5.546458188443655	146.1059988054491	1.3317866895717241e-33	5.844836148387085e-31	UBE2T	protein_coding	H1_FT	H2_FT	30.233227659155478	TRUE	UBE2T
ENSG00000142937	ENSG00000142937	-9.283703119240744	5.703294384099097	41.9931049890535	2.172585016448504e-5	0.0010778540620734085	RPS8	protein_coding	H1_FT	H2_FT	2.9674400372260434	TRUE	RPS8
ENSG00000179918	ENSG00000179918	-8.918499537463282	5.427799067876033	116.10702796260976	4.734212937603113e-27	1.5005701600002756e-24	SEPHS2	protein_coding	H1_FT	H2_FT	23.82374369408209	TRUE	SEPHS2
ENSG00000123575	ENSG00000123575	-8.648616316318709	5.217822532079712	99.58161428566441	1.9531963660986286e-23	5.480476885597398e-21	FAM199X	protein_coding	H1_FT	H2_FT	20.261181649586366	TRUE	FAM199X
ENSG00000102144	ENSG00000102144	-8.527755969677337	5.610577744159408	96.80626125986711	7.91686074107305e-23	2.0531058855182774e-20	PGK1	protein_coding	H1_FT	H2_FT	19.687588652036876	TRUE	PGK1
ENSG00000184083	ENSG00000184083	-8.31414852425097	4.80058892820579	79.97895928243166	3.8757890380906388e-19	7.897381568566591e-17	FAM120C	protein_coding	H1_FT	H2_FT	16.10251687818048	TRUE	FAM120C
ENSG00000102241	ENSG00000102241	-8.074942387233303	8.052427427707208	311.0764711913496	1.8142786487645897e-69	3.450354816917191e-66	HTATSF1	protein_coding	H1_FT	H2_FT	65.46213624199751	TRUE	HTATSF1
ENSG00000176956	ENSG00000176956	-7.943618886646544	5.607458645321229	70.5482795797374	4.5760475509768115e-17	7.992207130869296e-15	LY6H	protein_coding	H1_FT	H2_FT	14.097333269198005	TRUE	LY6H
ENSG00000160131	ENSG00000160131	-7.926730406075835	6.961314845538845	219.63287572839872	1.298652565569321e-49	9.664233614036739e-47	VMA21	protein_coding	H1_FT	H2_FT	46.014832580372286	TRUE	VMA21
ENSG00000102003	ENSG00000102003	-7.825912750343655	5.436932299141292	65.00504171916133	7.590338707738611e-16	1.225624880392963e-13	SYP	protein_coding	H1_FT	H2_FT	12.911642431370337	TRUE	SYP
ENSG00000100554	ENSG00000100554	-7.655818951340263	6.804568071694854	194.01754793791747	4.848755706102749e-44	2.963975095201952e-41	ATP6V1D	protein_coding	H1_FT	H2_FT	40.52812544983637	TRUE	ATP6V1D
ENSG00000131080	ENSG00000131080	-7.611402385421038	6.259207793463516	185.24783714585274	3.931892964800298e-42	2.3206303443283414e-39	EDA2R	protein_coding	H1_FT	H2_FT	38.634394033264016	TRUE	EDA2R
ENSG00000147394	ENSG00000147394	-7.492611023325061	3.762526002390211	43.89070762434543	3.4979462657299355e-11	3.5637409692996174e-9	ZNF185	protein_coding	H1_FT	H2_FT	8.448093870205335	TRUE	ZNF185
ENSG00000198034	ENSG00000198034	7.485073659850509	12.070407302968214	479.1094719379874	7.715597506667387e-106	6.6030083462059494e-102	RPS4X	protein_coding	H1_FT	H2_FT	101.1802581537782	TRUE	RPS4X
ENSG00000167634	ENSG00000167634	7.40897060779591	4.319638963896796	46.425890189347214	9.593363845378971e-12	1.0458599718312515e-9	NLRP7	protein_coding	H1_FT	H2_FT	8.980526458424686	TRUE	NLRP7
ENSG00000204356	ENSG00000204356	-7.363050047314402	7.547725384607063	285.99918271376544	5.147948617387034e-64	8.010208048654225e-61	NELFE	protein_coding	H1_FT	H2_FT	60.09635620386469	TRUE	NELFE
ENSG00000102317	ENSG00000102317	-7.285807380039277	4.254565394790872	42.34148284738365	7.717624837435695e-11	7.3386037065305204e-9	RBM3	protein_coding	H1_FT	H2_FT	8.134386564094068	TRUE	NA
ENSG00000204271	ENSG00000204271	-7.2790826808071625	4.30047721081503	42.47986121057021	7.190775807767999e-11	6.875827861774138e-9	SPIN3	protein_coding	H1_FT	H2_FT	8.162675004529692	TRUE	NA
ENSG00000102409	ENSG00000102409	-7.247118009196124	4.157706537775208	40.82092453707005	1.6790447928928617e-10	1.528645248678416e-8	BEX4	protein_coding	H1_FT	H2_FT	7.815693289222781	TRUE	NA
ENSG00000188706	ENSG00000188706	-7.21984447443384	6.383543362218051	155.23714967739394	1.358372549047471e-35	6.118395934078031e-33	ZDHHC9	protein_coding	H1_FT	H2_FT	32.213362422346194	TRUE	NA
ENSG00000198918	ENSG00000198918	-7.204842005930666	3.4875053650555032	34.96454959869473	3.3734986662325162e-09	2.710835829635481e-7	RPL39	protein_coding	H1_FT	H2_FT	6.566896782840872	TRUE	NA
ENSG00000197021	ENSG00000197021	-7.101593778925654	4.291720678915011	38.202864651755604	6.411700657216052e-10	5.45983425118955e-8	EOLA2	protein_coding	H1_FT	H2_FT	7.262820541340388	TRUE	NA
ENSG00000007520	ENSG00000007520	-7.0881984915157545	3.741756754959472	34.83403629454871	3.6072593915356895e-9	2.862701126814167e-7	TSR3	protein_coding	H1_FT	H2_FT	6.543223991046103	TRUE	NA
ENSG00000182492	ENSG00000182492	-7.021491818035706	3.2544375237175807	29.516128025360473	5.564180429920108e-8	3.7942833561160384e-6	BGN	protein_coding	H1_FT	H2_FT	5.420870239234797	TRUE	NA
ENSG00000184905	ENSG00000184905	-7.019894650256142	5.140444375721314	39.536402063250584	3.239357601376918e-10	2.8433253694957607e-8	TCEAL2	protein_coding	H1_FT	H2_FT	7.546173439960893	TRUE	NA
ENSG00000269743	ENSG00000269743	-6.986280729835174	3.794821626882822	33.08237091951299	8.871081313739895e-9	6.688873469866609e-7	SLC25A53	protein_coding	H1_FT	H2_FT	6.174647019305024	TRUE	NA
ENSG00000250349	ENSG00000250349	-6.944066726096218	6.107587530828636	40.40605159484971	2.0759481330775842e-10	1.8603103793589494e-8		protein_coding	H1_FT	H2_FT	7.730414590837251	TRUE	NA
ENSG00000007952	ENSG00000007952	-6.895711893365174	3.678321753568976	30.72135915076519	2.989623080632152e-8	2.0971470757417997e-6	NOX1	protein_coding	H1_FT	H2_FT	5.678371110811127	TRUE	NA
ENSG00000000003	ENSG00000000003	-6.869543025867072	7.458193169723487	316.1373457146343	1.449751745948858e-70	3.544850126237236e-67	TSPAN6	protein_coding	H1_FT	H2_FT	66.45040212175711	TRUE	NA
ENSG00000125352	ENSG00000125352	-6.842698845631072	4.107414564970517	31.894353968040768	1.6343285002532792e-08	1.2109595935210013e-6	RNF113A	protein_coding	H1_FT	H2_FT	5.916870347859119	TRUE	NA
ENSG00000089820	ENSG00000089820	6.812679910019582	3.7311978713005214	29.957958265657354	4.430605638008749e-8	3.0702123927189373e-6	ARHGAP4	protein_coding	H1_FT	H2_FT	5.51283157963838	TRUE	NA
ENSG00000089289	ENSG00000089289	-6.741101778519938	3.264571450956274	25.373917787644604	4.73458101214197e-7	2.91500318718784e-5	IGBP1	protein_coding	H1_FT	H2_FT	4.53536096605854	TRUE	NA
ENSG00000165169	ENSG00000165169	6.685469703103833	7.417165983557481	177.98084785994095	1.5031669729585368e-40	8.040064346611973e-38	DYNLT3	protein_coding	H1_FT	H2_FT	37.09474047547211	TRUE	NA
ENSG00000284987	ENSG00000284987	6.657983679478752	3.4967389510025857	26.03010138624126	3.3734135090748675e-7	2.130603159458503e-5		protein_coding	H1_FT	H2_FT	4.67149743330161	TRUE	NA
ENSG00000147400	ENSG00000147400	6.62028792962363	3.211881054380788	23.68288542496693	1.138403924849874e-6	6.742187397138561e-5	CETN2	protein_coding	H1_FT	H2_FT	4.171199180558425	TRUE	NA
ENSG00000198088	ENSG00000198088	-6.6160912346073255	4.953047619094284	99.17165836713278	2.4016791553513078e-23	6.630183939192417e-21	NUP62CL	protein_coding	H1_FT	H2_FT	20.17847442292733	TRUE	NA
ENSG00000198680	ENSG00000198680	6.568739013845974	3.3316127293128974	23.547347431715625	1.2214495843582002e-6	7.209079684784468e-5	TUSC1	protein_coding	H1_FT	H2_FT	4.142120174022709	TRUE	NA
ENSG00000122565	ENSG00000122565	-6.562004423795537	8.27723118505461	311.60725600428947	1.3918778305487674e-69	2.977922618459088e-66	CBX3	protein_coding	H1_FT	H2_FT	65.52608659161166	TRUE	NA
ENSG00000182195	ENSG00000182195	-6.560772205333208	7.3550814667820825	237.0939509281283	2.0799832182152689e-53	1.8737364612090812e-50	LDOC1	protein_coding	H1_FT	H2_FT	49.72729149215217	TRUE	NA
ENSG00000068438	ENSG00000068438	-6.541446998151476	3.8989364776324775	25.783194991169328	3.829992780392232e-7	2.401251151252507e-5	FTSJ1	protein_coding	H1_FT	H2_FT	4.619562413912659	TRUE	NA
ENSG00000083097	ENSG00000083097	6.452043162314035	5.240764305942577	93.65045677649613	3.8897204051554295e-22	9.510922064948618e-20	DOP1A	protein_coding	H1_FT	H2_FT	19.021777377036592	TRUE	NA
ENSG00000182774	ENSG00000182774	6.419010677160372	11.673946159603679	407.20117955620185	2.73253133322312e-90	1.169250157486173e-86	RPS17	protein_coding	H1_FT	H2_FT	85.93209256292438	TRUE	NA
ENSG00000147383	ENSG00000147383	-6.36876541263406	5.231643922851739	89.66427233225394	2.9079500652425815e-21	6.7260099076610845e-19	NSDHL	protein_coding	H1_FT	H2_FT	18.172242497289094	TRUE	NA
ENSG00000260836	ENSG00000260836	6.3611069715390975	11.679934267926583	402.5670178126541	2.7504464760307053e-89	9.41532837674831e-86		protein_coding	H1_FT	H2_FT	85.02616452857107	TRUE	NA
ENSG00000255374	ENSG00000255374	6.326219058983057	3.2885678027252254	20.25905618871768	6.774381677388544e-6	3.6926852480949785e-4	TAS2R43	protein_coding	H1_FT	H2_FT	3.4326577085529375	TRUE	NA
ENSG00000126756	ENSG00000126756	-6.295207056830125	3.1066465858329235	18.94013748977998	1.3507986108426155e-5	6.984975535704594e-4	UXT	protein_coding	H1_FT	H2_FT	3.155835110627409	TRUE	NA
ENSG00000186376	ENSG00000186376	6.2928913332403695	5.0133243149729765	83.84156230903811	5.50320099777186e-20	1.2232829646475733e-17	ZNF75D	protein_coding	H1_FT	H2_FT	16.91247307217817	TRUE	NA
ENSG00000160932	ENSG00000160932	-6.2528026490264255	5.883344052809347	132.88260688302003	1.0239802410432886e-30	3.9832831376583924e-28	LY6E	protein_coding	H1_FT	H2_FT	27.399758822199185	TRUE	NA
ENSG00000188917	ENSG00000188917	-6.234968786368025	4.886621005845167	80.21016102185774	3.448280952465596e-19	7.19765570517087e-17	TRMT2B	protein_coding	H1_FT	H2_FT	16.142808931359212	TRUE	NA
ENSG00000158423	ENSG00000158423	-6.22463274765153	2.8336987913396734	17.090589935013053	3.5680839144470514e-5	0.0016777836340570256	RIBC1	protein_coding	H1_FT	H2_FT	2.7752640462449696	TRUE	NA
ENSG00000083750	ENSG00000083750	-6.222397369165443	6.3305912346614726	136.5004331894515	1.6614801471514407e-31	6.613463767126525e-29	RRAGB	protein_coding	H1_FT	H2_FT	28.17957102146027	TRUE	NA
ENSG00000147145	ENSG00000147145	-6.1784505305862405	4.703645110374409	76.01280476918339	2.879949368256025e-18	5.477023709674458e-16	LPAR4	protein_coding	H1_FT	H2_FT	15.261455379034972	TRUE	NA
ENSG00000102195	ENSG00000102195	-6.138117332024547	2.9627610159172932	16.71040079026359	4.3591257228932676e-5	0.002011072665041541	GPR50	protein_coding	H1_FT	H2_FT	2.696572236983354	TRUE	NA
ENSG00000166432	ENSG00000166432	-6.136082794104597	5.867594312764442	156.17990428876556	8.461969833729562e-36	3.914461504705815e-33	ZMAT1	protein_coding	H1_FT	H2_FT	32.407327973483426	TRUE	NA
ENSG00000242732	ENSG00000242732	-6.134678058040218	5.579291147337485	120.54826487133688	5.06412614556855e-28	1.768930267501047e-25	RTL5	protein_coding	H1_FT	H2_FT	24.75228928695258	TRUE	NA
ENSG00000002549	ENSG00000002549	-5.995600128948444	2.8682749425925818	15.063802623082015	1.0403474914977405e-4	0.004332503081380858	LAP3	protein_coding	H1_FT	H2_FT	2.3632611197332083	TRUE	NA
ENSG00000147133	ENSG00000147133	-5.965869994589018	5.481762086804244	109.26219757998237	1.5286492843078173e-25	4.5902387982829123e-23	TAF1	protein_coding	H1_FT	H2_FT	22.33816472054577	TRUE	NA
ENSG00000112679	ENSG00000112679	-5.92627909182115	6.63939721400222	195.80628238598132	1.9785499007929697e-44	1.2542540778508322e-41	DUSP22	protein_coding	H1_FT	H2_FT	40.90161447831278	TRUE	NA
