gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	condition_1	condition_2	neg_log10_FDR	significant	label
ENSG00000133169	ENSG00000133169	-12.671840401581965	8.40413431502994	439.3574544717105	3.0234144856679143e-97	5.174876233669202e-93	BEX1	protein_coding	X	H1_RGC	H2_RGC	92.28610003266859	TRUE	BEX1
ENSG00000102241	ENSG00000102241	-11.8168736351723	8.052427427707208	349.0483903764219	1.066662563212518e-77	3.651399286389091e-74	HTATSF1	protein_coding	X	H1_RGC	H2_RGC	73.43754067365288	TRUE	HTATSF1
ENSG00000197921	ENSG00000197921	-11.064031746010736	9.959061884316625	249.2294610142688	4.802637613225775e-56	6.850162115664363e-53	HES5	protein_coding	1	H1_RGC	H2_RGC	52.16429915039001	TRUE	HES5
ENSG00000100554	ENSG00000100554	-10.5548543413782	6.804568071694854	223.99603793776026	1.4617867263151806e-50	1.4717612710359196e-47	ATP6V1D	protein_coding	14	H1_RGC	H2_RGC	46.8321626295909	TRUE	ATP6V1D
ENSG00000176956	ENSG00000176956	-9.738461487444873	5.607458645321229	143.42302008068117	5.1258882510673114e-33	2.3088079817175817e-30	LY6H	protein_coding	8	H1_RGC	H2_RGC	29.636612184860287	TRUE	LY6H
ENSG00000102144	ENSG00000102144	-9.420729592278036	5.610577744159408	125.38869570829395	4.4350971171083883e-29	1.549206576661779e-26	PGK1	protein_coding	X	H1_RGC	H2_RGC	25.80989066802351	TRUE	PGK1
ENSG00000184905	ENSG00000184905	-9.334523197846766	5.140444375721314	114.76033144823859	9.325539920109925e-27	2.955850764307435e-24	TCEAL2	protein_coding	X	H1_RGC	H2_RGC	23.52931749648624	TRUE	TCEAL2
ENSG00000142937	ENSG00000142937	-8.824326202170939	5.703294384099097	28.705607518234988	1.3502011738139946e-4	0.006081590339736929	RPS8	protein_coding	1	H1_RGC	H2_RGC	2.215982837592701	TRUE	RPS8
ENSG00000102349	ENSG00000102349	-8.686017434777218	4.925229461160208	81.74644110868664	1.6138645538999608e-19	3.7839596855550315e-17	KLF8	protein_coding	X	H1_RGC	H2_RGC	16.422053499234902	TRUE	KLF8
ENSG00000242732	ENSG00000242732	-8.564097552210121	5.579291147337485	81.8752132354872	1.4863334454521105e-19	3.5333448961608783e-17	RTL5	protein_coding	X	H1_RGC	H2_RGC	16.45181396822924	TRUE	RTL5
ENSG00000147383	ENSG00000147383	-8.542785319336822	5.231643922851739	79.48391080440733	4.977924604194631e-19	1.121081020070991e-16	NSDHL	protein_coding	X	H1_RGC	H2_RGC	15.95036299998463	TRUE	NSDHL
ENSG00000083097	ENSG00000083097	8.537638505197185	5.240764305942577	79.89632354749449	4.041124642137579e-19	9.222385249976907e-17	DOP1A	protein_coding	6	H1_RGC	H2_RGC	16.035156739799923	TRUE	DOP1A
ENSG00000125351	ENSG00000125351	-8.359797120262938	5.231245283399417	71.70509827764924	2.5475110284996277e-17	5.011861926873521e-15	UPF3B	protein_coding	X	H1_RGC	H2_RGC	14.300000902008078	TRUE	UPF3B
ENSG00000166432	ENSG00000166432	-8.322134197155016	5.867594312764442	75.38869043836995	3.9491509026601724e-18	8.143815283124279e-16	ZMAT1	protein_coding	X	H1_RGC	H2_RGC	15.089172085502113	TRUE	ZMAT1
ENSG00000102109	ENSG00000102109	8.303783303225462	9.112898193491016	401.2830194851657	5.2152948717533025e-89	2.9754995674976507e-85	PCSK1N	protein_coding	X	H1_RGC	H2_RGC	84.52644010852585	TRUE	PCSK1N
ENSG00000186376	ENSG00000186376	8.148933139026353	5.0133243149729765	64.063853468065	1.2232573256781989e-15	2.203923409085058e-13	ZNF75D	protein_coding	X	H1_RGC	H2_RGC	12.656803502193073	TRUE	ZNF75D
ENSG00000004961	ENSG00000004961	-8.030875142425824	4.5826461799734926	56.40539585328189	5.9681395351591e-14	9.822180411902226e-12	HCCS	protein_coding	X	H1_RGC	H2_RGC	11.007792093094455	TRUE	HCCS
ENSG00000183837	ENSG00000183837	-7.966119937080695	4.106348237796672	50.55639245985944	1.1691741098492928e-12	1.7401377447113475e-10	PNMA3	protein_coding	X	H1_RGC	H2_RGC	9.7594163727517	TRUE	PNMA3
ENSG00000197021	ENSG00000197021	-7.91615825916819	4.291720678915011	51.22890366250636	8.302127546969485e-13	1.2687429919100867e-10	EOLA2	protein_coding	X	H1_RGC	H2_RGC	9.896626343626009	TRUE	EOLA2
ENSG00000184083	ENSG00000184083	-7.854726286680565	4.80058892820579	52.67413550942227	3.9790148986542666e-13	6.248148532602424e-11	FAM120C	protein_coding	X	H1_RGC	H2_RGC	10.204248654847326	TRUE	FAM120C
