gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	condition_1	condition_2	neg_log10_FDR	significant	label
ENSG00000151615	ENSG00000151615	10.481048314320132	7.857765778988815	255.84546414564963	1.755855139771387e-57	3.756652071540883e-54	POU4F2	protein_coding	4	H2_FT	H2_RGC	53.4251990259659	TRUE	POU4F2
ENSG00000091664	ENSG00000091664	9.6624816143021	5.913907668219946	167.4543789814847	2.951922033004478e-38	1.684169917230155e-35	SLC17A6	protein_coding	11	H2_FT	H2_RGC	34.773614094313366	TRUE	SLC17A6
ENSG00000114251	ENSG00000114251	-8.493565362479956	5.174127428698659	79.35199902608446	5.321218663058053e-19	4.844573331750087e-17	WNT5A	protein_coding	3	H2_FT	H2_RGC	16.314744465842544	TRUE	WNT5A
ENSG00000100053	ENSG00000100053	-8.325394413021343	5.1251462112499455	72.26068170158825	1.9478514885853867e-17	1.6184187416809456e-15	CRYBB3	protein_coding	22	H2_FT	H2_RGC	14.790909100972863	TRUE	CRYBB3
ENSG00000008197	ENSG00000008197	7.817866616999551	5.55140537293782	62.29401384884745	3.0017750867917123e-15	1.983721327626523e-13	TFAP2D	protein_coding	6	H2_FT	H2_RGC	12.702519337410921	TRUE	TFAP2D
ENSG00000118523	ENSG00000118523	-7.519793873367693	4.125359762197746	41.3551864593505	1.277672831364746e-10	5.097586988727038e-9	CCN2	protein_coding	6	H2_FT	H2_RGC	8.292635354387135	TRUE	CCN2
ENSG00000027644	ENSG00000027644	7.429206476003197	3.8315736977782695	41.256149647120594	1.3440331790026049e-10	5.337464476057676e-9	INSRR	protein_coding	1	H2_FT	H2_RGC	8.272665002440638	TRUE	INSRR
ENSG00000140451	ENSG00000140451	-7.336828478703156	4.201219604325082	37.79974150587287	7.882359569045726e-10	2.8951602228280398e-8	PIF1	protein_coding	15	H2_FT	H2_RGC	7.538327396715607	TRUE	PIF1
ENSG00000175874	ENSG00000175874	7.327340292263139	3.64358211472512	37.45365261407402	9.411723308464545e-10	3.4057305739467055e-8	CREG2	protein_coding	2	H2_FT	H2_RGC	7.467789711886167	TRUE	CREG2
ENSG00000114315	ENSG00000114315	-7.235086153473601	9.849493994257468	390.4551274382045	1.150494892097528e-86	1.969187057314129e-82	HES1	protein_coding	3	H2_FT	H2_RGC	81.70571302733536	TRUE	HES1
ENSG00000182240	ENSG00000182240	-7.167086909335861	4.29642306056793	34.74152680711139	3.782711997987221e-9	1.2523191210357693e-7	BACE2	protein_coding	21	H2_FT	H2_RGC	6.902284988342009	TRUE	BACE2
ENSG00000183856	ENSG00000183856	-6.961799577301446	3.966035101450586	29.340324705831968	6.092290797426405e-8	1.629307020136724e-6	IQGAP3	protein_coding	1	H2_FT	H2_RGC	5.78799707125462	TRUE	IQGAP3
ENSG00000106633	ENSG00000106633	6.8697853009201015	4.015427288015917	30.792874646322474	2.881494705665348e-8	8.19263511331696e-7	GCK	protein_coding	7	H2_FT	H2_RGC	6.0865763874818555	TRUE	GCK
ENSG00000089685	ENSG00000089685	-6.830620010948069	6.224940934643715	118.49835920975497	1.4207513751128322e-27	2.965558602003809e-25	BIRC5	protein_coding	17	H2_FT	H2_RGC	24.527893489511133	TRUE	BIRC5
ENSG00000164692	ENSG00000164692	-6.750164055373879	7.332503264866177	236.87405418063327	2.3219037831454375e-53	3.6128822865743005e-50	COL1A2	protein_coding	7	H2_FT	H2_RGC	49.44214618820337	TRUE	COL1A2
ENSG00000053108	ENSG00000053108	6.602454696759683	7.038075933949674	234.152414320927	9.063474654691684e-53	1.292753601580857e-49	FSTL4	protein_coding	5	H2_FT	H2_RGC	48.888484243620084	TRUE	FSTL4
ENSG00000198203	ENSG00000198203	-6.571029058373683	3.660836327075693	22.110866250124328	2.5784956203269595e-6	5.038074319351169e-5	SULT1C2	protein_coding	2	H2_FT	H2_RGC	4.297735430278547	TRUE	SULT1C2
ENSG00000171408	ENSG00000171408	-6.5661125613436475	3.626842844739886	21.911247751997468	2.861012569493337e-6	5.514537290478373e-5	PDE7B	protein_coding	6	H2_FT	H2_RGC	4.25849092213991	TRUE	PDE7B
ENSG00000078401	ENSG00000078401	-6.560953454422746	3.5700626975460743	21.595293032708486	3.3730306525288996e-6	6.372272919280866e-5	EDN1	protein_coding	6	H2_FT	H2_RGC	4.1957056319921495	TRUE	EDN1
ENSG00000147862	ENSG00000147862	-6.493703690346666	4.005191416769582	22.309577900142948	2.3534550737500663e-6	4.6354127781710164e-5	NFIB	protein_coding	9	H2_FT	H2_RGC	4.333911586373872	TRUE	NFIB
ENSG00000171243	ENSG00000171243	-6.482881634277174	6.352627386758372	145.79207551048933	1.5592549050212976e-33	5.80178412050968e-31	SOSTDC1	protein_coding	7	H2_FT	H2_RGC	30.236438434963837	TRUE	NA
ENSG00000167244	ENSG00000167244	-6.442388828675905	2.8399573628902823	16.848664571198405	4.0528668817085985e-5	6.074331834266582e-4	IGF2	protein_coding	11	H2_FT	H2_RGC	3.216501486725554	TRUE	NA
ENSG00000284779	ENSG00000284779	-6.442388828675905	2.8399573628902823	16.848664571198405	4.0528668817085985e-5	6.074331834266582e-4		protein_coding	11	H2_FT	H2_RGC	3.216501486725554	TRUE	NA
ENSG00000204520	ENSG00000204520	-6.43265172017284	5.659673216330492	91.00477304148247	1.4782028759256303e-21	1.8202101024707258e-19	MICA	protein_coding	6	H2_FT	H2_RGC	18.73987847955487	TRUE	NA
ENSG00000165092	ENSG00000165092	-6.390883971896492	7.661230412033663	245.0522196547088	3.880804109463486e-55	7.380427015286336e-52	ALDH1A1	protein_coding	9	H2_FT	H2_RGC	51.1319185101258	TRUE	NA
ENSG00000115165	ENSG00000115165	-6.384576775032603	3.3553973911213317	18.353627266278888	1.8371929010379103e-5	3.017792101167454e-4	CYTIP	protein_coding	2	H2_FT	H2_RGC	3.5203106825278776	TRUE	NA
ENSG00000185650	ENSG00000185650	-6.343119008555467	9.953551631447683	355.3701092185561	4.55463157519529e-79	2.5985691347014196e-75	ZFP36L1	protein_coding	14	H2_FT	H2_RGC	74.58526572432123	TRUE	NA
ENSG00000101349	ENSG00000101349	6.263845771989411	3.091888591511611	17.55569993882974	2.7936239681657752e-5	4.374718009069113e-4	PAK5	protein_coding	20	H2_FT	H2_RGC	3.359049936025031	TRUE	NA
ENSG00000146250	ENSG00000146250	-6.260806406400005	6.306177387018196	130.62897510725165	3.17961369253471e-30	8.921683272364606e-28	PRSS35	protein_coding	6	H2_FT	H2_RGC	27.04955319865839	TRUE	NA
ENSG00000126785	ENSG00000126785	-6.248903799599352	4.06081376921622	19.305017700905456	1.1158031460095726e-5	1.90599667136725e-4	RHOJ	protein_coding	14	H2_FT	H2_RGC	3.7198778621489503	TRUE	NA
ENSG00000085276	ENSG00000085276	-6.246374151585863	3.805015368708705	18.621305381318724	1.5965209538121e-5	2.6555930656411953e-4	MECOM	protein_coding	3	H2_FT	H2_RGC	3.575838474065521	TRUE	NA
