gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	condition_1	condition_2	neg_log10_FDR	significant	label
ENSG00000179774	ENSG00000179774	-12.725872675635902	8.513516548505377	11.867184222464639	0.0032571658755878993	0.010720739316548898	ATOH7	protein_coding	10	EP1_H1	EP1_H2	1.9697752640811013	TRUE	ATOH7
ENSG00000155660	ENSG00000155660	-12.270753715250372	8.161331875929822	203.9005473204	1.9931156448841916e-13	1.06119777359989e-11	PDIA4	protein_coding	7	EP1_H1	EP1_H2	10.974203669841515	TRUE	PDIA4
ENSG00000187189	ENSG00000187189	-12.244344855199662	8.449023082349518	233.76905078200298	4.3546121262752925e-14	3.232192398981538e-12	TSPYL4	protein_coding	6	EP1_H1	EP1_H2	11.49050279538228	TRUE	TSPYL4
ENSG00000179262	ENSG00000179262	-12.068907906410626	8.272246517728986	571.3079529544918	1.4193295321188853e-18	7.426185017766369e-15	RAD23A	protein_coding	19	EP1_H1	EP1_H2	14.1292342348575	TRUE	RAD23A
ENSG00000179271	ENSG00000179271	-12.050940299249682	8.24562513254077	536.7661993563338	2.9675912042224455e-18	7.426185017766369e-15	GADD45GIP1	protein_coding	19	EP1_H1	EP1_H2	14.1292342348575	TRUE	GADD45GIP1
ENSG00000241370	ENSG00000241370	-11.635853008344675	7.905547678025431	438.3956264323568	3.207073767608702e-17	2.0806781921185794e-14	RPP21	protein_coding	6	EP1_H1	EP1_H2	13.681795084706447	TRUE	RPP21
ENSG00000120738	ENSG00000120738	11.619754352482138	7.36782584312763	19.014054003755632	4.578617713953059e-4	0.0018548484388370892	EGR1	protein_coding	5	EP1_H1	EP1_H2	2.731691571151815	TRUE	EGR1
ENSG00000181991	ENSG00000181991	-11.470609265705153	7.321367382910463	133.70662337714296	5.96733374438165e-11	1.1864901838857362e-9	MRPS11	protein_coding	15	EP1_H1	EP1_H2	8.925735850452874	TRUE	MRPS11
ENSG00000177697	ENSG00000177697	11.310928202824952	8.885337634796402	361.66133045365984	4.897070776084809e-17	2.5229996701375768e-14	CD151	protein_coding	11	EP1_H1	EP1_H2	13.59808280626302	TRUE	CD151
ENSG00000102225	ENSG00000102225	-11.157920436504622	7.2376537244202	159.61844447846937	3.1690341940302685e-12	1.0148440946403695e-10	CDK16	protein_coding	X	EP1_H1	EP1_H2	9.993600671088702	TRUE	CDK16
ENSG00000197921	ENSG00000197921	-10.933072500860892	9.362893912520782	60.7982262292603	1.9095772064345996e-7	1.602782171783176e-6	HES5	protein_coding	1	EP1_H1	EP1_H2	5.795125496997542	TRUE	HES5
ENSG00000058804	ENSG00000058804	10.784691821098765	5.334906901881727	91.29422090446324	1.4602854488452932e-9	1.9737515592147378e-8	NDC1	protein_coding	1	EP1_H1	EP1_H2	7.704707513901654	TRUE	NDC1
ENSG00000104442	ENSG00000104442	10.74438070054349	6.734047310435959	302.677092980004	2.3365921137937867e-15	3.6221313325067047e-13	ARMC1	protein_coding	8	EP1_H1	EP1_H2	12.441035806935016	TRUE	ARMC1
