ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0099111	microtubule-based transport	64/3153	221/21261	4.913574403072049e-8	3.137317256361503e-4	2.843149315124953e-4	MGARP/RHOT1/SNAPIN/ARL3/GAS8/KXD1/MREG/SPEF2/AP3B2/FEZ1/RHOT2/ARMCX3/MAP1B/UCHL1/RPGR/ODAD4/CILK1/ARL8A/RABGEF1/MAP1A/DST/DNAAF2/BBS12/SSX2IP/OFD1/FUZ/SPG7/ARL8B/CABYR/DNAH11/IFT88/NDEL1/IFT52/SYNE2/LCA5L/MAPK8IP3/DYNLL1/HTT/IFT27/HNRNPU/CDR2L/TTC21A/DYNC2LI1/SPAG17/NETO1/HDAC6/DYNC1I2/CAMSAP3/DNAH5/ROPN1L/SYBU/CFAP54/AP3M1/AP3B1/IFT70A/PEX14/RASGRP1/DYNC2I2/IFT122/TRAK1/NEFL/NDE1/IFT80/SOD1	64
GO:0010970	transport along microtubule	54/3153	179/21261	1.2311627056036113e-7	3.930486937639529e-4	3.561948101422659e-4	MGARP/RHOT1/SNAPIN/ARL3/KXD1/MREG/AP3B2/FEZ1/RHOT2/ARMCX3/MAP1B/UCHL1/RPGR/CILK1/ARL8A/RABGEF1/MAP1A/DST/BBS12/SSX2IP/FUZ/SPG7/ARL8B/IFT88/NDEL1/IFT52/SYNE2/LCA5L/MAPK8IP3/DYNLL1/HTT/IFT27/HNRNPU/CDR2L/TTC21A/DYNC2LI1/SPAG17/NETO1/HDAC6/DYNC1I2/CAMSAP3/SYBU/AP3M1/AP3B1/IFT70A/PEX14/RASGRP1/DYNC2I2/IFT122/TRAK1/NEFL/NDE1/IFT80/SOD1	54
GO:0010975	regulation of neuron projection development	111/3153	484/21261	1.1321467549672057e-6	0.0024095856768218695	0.0021836528814227125	SFRP2/MGARP/NFATC4/CDKL3/SNAPIN/SHOC2/RND2/TSKU/SEMA4B/BMP7/HES1/MAP2K2/TBC1D24/NEU4/NTNG2/RET/APOE/SS18L1/ARHGAP4/PTPRF/OBSL1/FEZ1/YWHAH/MAP1B/GSK3A/SLC39A12/ZNF365/CRK/SCN1B/DVL1/THY1/SCARB2/SYNGAP1/RAP2A/STK25/RTN4IP1/STK24/RAB29/SDC2/ATF1/MDK/PLXNB1/PRRX1/IST1/SEMA3C/ROR2/PRAG1/NDEL1/HECW2/CYFIP1/CAMK2G/SETX/PTEN/SEMA4G/ACAP3/ELAVL4/NCS1/FN1/RTN4RL1/WNT3/CHN1/FAT3/KIDINS220/MINAR1/AP2A1/HDAC6/NRP1/EZH2/KANK1/ADCY6/DSCAM/SEMA3F/FZD1/TUBB2B/CX3CL1/NCK1/AKT1/PAX6/ENC1/CERS2/ADNP/PLXNA4/TRAK1/PAK3/POU3F2/ANAPC2/SEMA6B/GPC2/SLITRK1/TRIM67/EPHB2/ARHGAP35/ROBO3/NEFL/NEDD4/DGUOK/ATP1B2/ATOH7/DPYSL3/NTRK2/NR2E1/EPHA7/PUM2/MEGF8/HDAC2/STX1B/SEMA5A/AMIGO1/SERPINF1/DIP2B/PSEN1	111
GO:1903050	regulation of proteolysis involved in protein catabolic process	67/3153	268/21261	7.92128148775665e-6	0.008239547765043044	0.007466973426936754	ATP5IF1/SUFU/GABARAP/HSP90AB1/PSME2/PSMC2/RNFT1/RNF144B/PARK7/CCDC22/APOE/TRIB1/HSPA1A/CSNK1D/GSK3A/MAPK9/HERPUD1/USP38/DVL1/SVIP/MAP1A/PTK2/IL33/DET1/MARCHF7/UBQLN2/AXIN2/ANKIB1/N4BP1/PSME1/PTEN/SUMO1/RNF139/HIPK2/CSNK1A1/L3MBTL3/FBXO22/AQP11/NUDT15/PSMC5/QRICH2/PSMC6/ZYG11B/USP9X/FBXW7/FMR1/GCLC/FZR1/RPL11/AKT1/CLU/UFL1/UBXN1/ZNF418/TRIM67/UBQLN4/TMEM259/CCAR2/UBE2K/STYX/PHF20L1/PSMD14/PML/OPHN1/PANO1/LATS1/PSEN1	67
GO:0034599	cellular response to oxidative stress	71/3153	289/21261	8.263290554659231e-6	0.008239547765043044	0.007466973426936754	PYROXD1/ATF4/ANKZF1/FOS/PXN/CYP1B1/MMP9/KLF2/NUDT2/SLC7A11/WNT16/BMP7/ANXA1/ATP13A2/PARK7/PEX2/TBC1D24/CAT/GPX7/HSPA1A/CDK1/PPARGC1A/MAPK7/GPR37L1/NME8/MAPK9/AIFM1/IL18BP/SRXN1/NCOA7/MAP1LC3A/BNIP3/STK25/PRKAA2/LONP1/SQSTM1/ALOX5/FANCC/SETX/DHFR/ROMO1/MMP2/SELENON/HDAC6/PDGFRA/SUMO4/EZH2/PLA2R1/SELENOS/FUT8/PEX13/VRK2/FBLN5/AKT1/PNPT1/PEX14/CPEB2/PTPRK/MAPK8/ZNF580/NET1/STX2/PAWR/PEX10/ERMP1/FOXP1/ERCC6L2/HDAC2/DAPK1/ECT2/SOD1	71
GO:1903312	negative regulation of mRNA metabolic process	32/3153	99/21261	8.99451606250846e-6	0.008239547765043044	0.007466973426936754	HNRNPK/TAF15/MEIOC/MAPKAPK2/ZFP36/ELAVL1/BARD1/U2AF2/AXIN2/RBM20/SYNCRIP/ELAVL4/LARP4B/HNRNPU/YBX3/TENT5C/LARP1B/ZC3H14/FMR1/SRSF9/FUS/SRSF12/METTL16/TRAF5/SECISBP2/TENT4A/NPM1/ANGEL2/IGF2BP1/TRAF3IP2/HNRNPA0/C1QBP	32
GO:0072594	establishment of protein localization to organelle	109/3153	494/21261	9.112739988505329e-6	0.008239547765043044	0.007466973426936754	COX18/ATP5IF1/MGARP/SUFU/HAX1/NIPBL/SPDYA/CCT7/TIMM29/ZFYVE16/AIP/DNLZ/VPS37D/PEX7/NUP155/CCT6A/POM121/HK1/TNPO2/CCT8/RUVBL2/TOMM40/PTTG1IP/PEX2/CDK1/RAB8B/CCT5/DNAJC19/ACD/GSK3A/AIFM1/HERPUD1/RAB7A/STAM2/NUP62/FAM53A/SCARB2/SRP14/ELAVL1/AP4M1/TPR/USP36/STAM/IL33/IPO11/TXNIP/NEURL1B/SNF8/CRY2/PIK3R4/SQSTM1/TIMM8B/NUTF2/NUP54/PKIG/RAB10/SRP19/RAB3GAP1/BRCA2/SUMO1/ROMO1/NAGPA/ATG14/MTCH1/LONP2/PEX5L/SRP9/UBL5/FGF9/EFCAB7/USP9X/FBXW7/PEX13/ZNF827/FIS1/AP3M1/AP3B1/AKT1/NUP107/PEX14/MTX2/CLU/LRSAM1/IFT122/MAPK8/PEX26/IPO8/TRMT10B/NEDD4/PEX10/GET4/TIMM21/SPCS2/RAB3GAP2/IPO4/KPNA3/MFN2/SMO/PML/MVB12A/PPP1R10/SRPRB/TRAM2/TRAF3IP2/ECT2/BCS1L/TCP1/PSEN1/PEX1	109
GO:0001654	eye development	97/3153	431/21261	1.1987427254771792e-5	0.008239547765043044	0.007466973426936754	ATF4/MFAP2/PITX3/NIPBL/CYP1B1/HPCA/SPRY2/RHO/ACVR2B/CRYBA1/ALDH1A3/CTNNB1/SLC7A11/TSKU/WNT16/CLIC4/BMP7/HES1/CDK20/HSF4/CRYGA/RAB18/RET/KDR/PROX1/SMARCA4/FOXC1/RHOJ/PBX2/MFRP/IMPG2/TBC1D20/MAX/THY1/GPM6A/FOXN4/RDH10/RPL24/PDE6A/LCTL/BFSP1/CRYGB/PXDN/RING1/SH3PXD2B/MAN2A1/PROM1/PPP1R13L/RAB3GAP1/RP1L1/HIPK2/PDE6B/BFSP2/MYOM1/FAT3/TULP3/LAMC3/SOS1/NKD1/FGF2/NRP1/CC2D2A/PDGFRA/KDM2B/FGF9/LIMK2/LHX2/SLC4A5/SOX8/DSCAM/PYGO2/LARGE1/PKNOX1/FZR1/CASP2/ATF6/PAX6/IFT122/FREM2/RDH13/EPHB2/ARHGAP35/CRB2/FBN2/ATOH7/MEIS3/RBP4/MFN2/TMEM231/NTRK2/NR2E1/HDAC2/TBC1D32/SERPINF1/NES/FBN1/PSEN1	97
GO:2000765	regulation of cytoplasmic translation	16/3153	35/21261	1.2730102321037561e-5	0.008239547765043044	0.007466973426936754	METTL3/MTOR/SYNCRIP/HNRNPU/ZNF385A/YBX3/PARP16/FMR1/NCK1/CPEB4/CPEB2/CPEB1/YTHDF2/IMPACT/EIF2AK4/IGF2BP1	16
GO:0006979	response to oxidative stress	100/3153	450/21261	1.5440302165489574e-5	0.008239547765043044	0.007466973426936754	PYROXD1/ATF4/PRNP/ANKZF1/FOS/PXN/CYP1B1/STC2/MMP9/KLF2/NUDT2/SLC7A11/WNT16/BMP7/ANXA1/TXNRD2/ATP13A2/PARK7/PEX2/TBC1D24/CAT/APOE/GPX7/HSPA1A/CDK1/PPARGC1A/MAPK7/GPR37L1/NME8/MAPK9/AIFM1/IL18BP/NDUFS8/CRK/SRXN1/NDUFA12/NCOA7/MAP1LC3A/BNIP3/SLC23A2/ADCYAP1R1/STK25/STK24/TXNIP/PRKAA2/LONP1/SQSTM1/PXDN/ALOX5/FANCC/SETX/PDLIM1/PSMB5/DHFR/ROMO1/MMP2/TPO/SELENON/KCNA5/HDAC6/NUDT15/PDGFRA/GSS/SUMO4/EZH2/CYGB/PLA2R1/SELENOS/FUT8/PEX13/VRK2/GCLC/SESN3/NEIL1/FBLN5/DHCR24/AKT1/PNPT1/PEX14/PRDX6/CPEB2/PTPRK/MAPK8/ZNF580/NET1/STX2/PAWR/MTF1/PEX10/ERMP1/FOXP1/TOR1A/ERCC6L2/HDAC2/DAPK1/CHRNA4/ECT2/SOD1/MCTP1/PSEN1	100
