gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	condition_1	condition_2	neg_log10_FDR	significant	label
ENSG00000120738	ENSG00000120738	-9.933320657289537	7.36782584312763	14.692057039208073	0.001404887858889016	0.010198682397082012	EGR1	protein_coding	5	H9_H1	EP1_H1	1.9914559326144612	TRUE	EGR1
ENSG00000177697	ENSG00000177697	-9.91415040687088	8.885337634796402	306.23454589183103	3.838494271180553e-16	3.9552296557805736e-13	CD151	protein_coding	11	H9_H1	EP1_H1	12.402828294633412	TRUE	CD151
ENSG00000250349	ENSG00000250349	-9.68955172363465	5.870319827655189	34.2207275346551	1.563145241040259e-5	2.242556526396578e-4		protein_coding	X	H9_H1	EP1_H1	3.649256601219113	TRUE	
ENSG00000145824	ENSG00000145824	-9.609030775521678	6.759240584216763	16.828376687284152	7.817730025289457e-4	0.006345837666959936	CXCL14	protein_coding	5	H9_H1	EP1_H1	2.197511041792061	TRUE	CXCL14
ENSG00000156298	ENSG00000156298	-9.607249731455289	7.575555430304529	39.01386037378686	5.235518356870169e-6	8.603243438770615e-5	TSPAN7	protein_coding	X	H9_H1	EP1_H1	4.065337788058379	TRUE	TSPAN7
ENSG00000104442	ENSG00000104442	-9.444440261906596	6.734047310435959	245.32818666456177	2.5333230225117315e-14	7.521393116158983e-12	ARMC1	protein_coding	8	H9_H1	EP1_H1	11.123701711718764	TRUE	ARMC1
ENSG00000102241	ENSG00000102241	9.284680463806636	8.078996552050219	589.3546003305797	1.0296142387753468e-19	1.803575262062775e-15	HTATSF1	protein_coding	X	H9_H1	EP1_H1	14.743865730131551	TRUE	HTATSF1
ENSG00000141127	ENSG00000141127	-9.15801120957763	8.05870120752192	373.9571746366207	3.2283551010428736e-17	1.0377154944685849e-13	PRPSAP2	protein_coding	17	H9_H1	EP1_H1	12.983921698624973	TRUE	PRPSAP2
ENSG00000134202	ENSG00000134202	-8.953438781605163	7.781131485098257	209.3067007791022	3.83786581818355e-14	1.0342753159557113e-11	GSTM3	protein_coding	1	H9_H1	EP1_H1	10.98536384007682	TRUE	GSTM3
ENSG00000179344	ENSG00000179344	-8.924522005899448	4.996740027151743	10.522757886289426	0.00488279077394784	0.02796072114653296	HLA-DQB1	protein_coding	6	H9_H1	EP1_H1	1.5534516317131564	TRUE	HLA-DQB1
ENSG00000180035	ENSG00000180035	-8.913012810917609	6.1013676693520615	200.61217985851812	2.3850719606798945e-13	4.5662526822075355e-11	ZNF48	protein_coding	16	H9_H1	EP1_H1	10.340440059676256	TRUE	ZNF48
ENSG00000226742	ENSG00000226742	-8.889462800622942	6.105222647245139	172.85769047729514	1.2166693885049198e-12	1.6394152060338985e-10	HSBP1L1	protein_coding	18	H9_H1	EP1_H1	9.785311041028105	TRUE	HSBP1L1
ENSG00000140988	ENSG00000140988	-8.768086593950606	11.720186528570526	300.587348605153	4.825373734052487e-16	4.695892872188745e-13	RPS2	protein_coding	16	H9_H1	EP1_H1	12.328281819245104	TRUE	RPS2
ENSG00000177311	ENSG00000177311	-8.715545907079765	5.925099875427776	95.886854039901	5.607605149156777e-10	2.5447777046056803e-8	ZBTB38	protein_coding	3	H9_H1	EP1_H1	7.59435014883984	TRUE	ZBTB38
ENSG00000163626	ENSG00000163626	-8.572827600188345	5.865601878950102	141.02138492522252	1.0766073291109164e-11	9.292458760204361e-10	COX18	protein_coding	4	H9_H1	EP1_H1	9.031869357620499	TRUE	COX18
ENSG00000111640	ENSG00000111640	-8.527196185660701	13.965698851004973	287.2776156256833	8.408341429212008e-16	6.104980704839239e-13	GAPDH	protein_coding	12	H9_H1	EP1_H1	12.214315704330907	TRUE	GAPDH
