gene_id	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	neg_log10_FDR	label	significant
ENSG00000197921	-14.85998251139862	9.405327762587477	307.2066394775503	3.4108936758726046e-17	3.876945784494107e-14	HES5	protein_coding	1	13.411510272157523	HES5	TRUE
ENSG00000102225	-10.731960607566652	7.2867263146354775	198.55686509302578	4.808498384675335e-15	2.8628883477902722e-12	CDK16	protein_coding	X	11.54319558906681	CDK16	TRUE
ENSG00000147383	-9.226637436557962	5.525905679341182	169.03365745441988	6.999574975651923e-14	3.3659879200221534e-11	NSDHL	protein_coding	X	10.472887446968969	NSDHL	TRUE
ENSG00000133169	-9.014744697377852	8.72381555750534	131.73297579002812	7.785093719977103e-9	1.2123735862142309e-6	BEX1	protein_coding	X	5.9163635341044545	BEX1	TRUE
ENSG00000102241	8.980895196656881	8.113953233165313	452.73724846700816	7.06473610838861e-21	4.4165197781591395e-17	HTATSF1	protein_coding	X	16.354919820355313	HTATSF1	TRUE
ENSG00000078596	8.655882964320313	3.358813440762643	25.41129380715298	1.896124395392682e-5	0.0012034133662738428	ITM2A	protein_coding	X	2.919585169122628	ITM2A	TRUE
ENSG00000185043	-8.484756760306661	2.5978131414845613	21.669894399408243	6.567393595302242e-5	0.0036172741022935653	CIB1	protein_coding	15	2.4416185809250726	CIB1	TRUE
ENSG00000102409	-8.481203825344931	4.201424798465147	47.825844431813735	9.207720046690225e-8	1.0561846215024576e-5	BEX4	protein_coding	X	4.976260160313956	BEX4	TRUE
ENSG00000102109	8.44568366936232	8.58815694881771	498.7166144672836	6.245493327208359e-22	7.808740307008611e-18	PCSK1N	protein_coding	X	17.107419020135442	PCSK1N	TRUE
ENSG00000083097	-7.766270972008462	5.159993204767037	59.45470829710408	1.3059827980747355e-8	1.898686386549816e-6	DOP1A	protein_coding	6	5.721546763456051	DOP1A	TRUE
ENSG00000142937	-7.630146273707709	5.71943963249154	23.514220065992124	9.580574321804295e-4	0.037550445374770876	RPS8	protein_coding	1	1.4253849075903509	RPS8	TRUE
ENSG00000156298	-7.518983689346531	7.59289852035137	254.56100568873876	2.2127778927060497e-17	2.7666361992503738e-14	TSPAN7	protein_coding	X	13.558047944959359	TSPAN7	TRUE
ENSG00000008056	-7.431403760727841	4.2918844250516015	31.551657246627176	3.268018912022045e-6	2.639559968312454e-4	SYN1	protein_coding	X	3.5784684667900017	SYN1	TRUE
ENSG00000198680	7.241980106590332	3.995293601593395	18.600791584460804	0.001196495275444008	0.045748564002680216	TUSC1	protein_coding	9	1.3396225334117338	TUSC1	TRUE
ENSG00000179918	-7.227594477731773	5.650315007234179	73.101446070301	1.1464482200547474e-9	2.349842966449919e-7	SEPHS2	protein_coding	16	6.628961159465708	SEPHS2	TRUE
ENSG00000204356	-7.22060157134108	7.832968414646508	225.58211629008346	1.3525917655656602e-16	1.1274303229911632e-13	NELFE	protein_coding	6	12.94791028871874	NELFE	TRUE
ENSG00000131171	-7.121577102949212	7.769379917616663	239.8811871742977	4.225827562454343e-16	3.302220125835416e-13	SH3BGRL	protein_coding	X	12.481193980058917	SH3BGRL	TRUE
ENSG00000122565	-7.072018805232845	8.485603101025651	255.34848505232895	8.872720123301288e-17	7.923972835831142e-14	CBX3	protein_coding	7	13.10105702193572	CBX3	TRUE
ENSG00000078061	-6.8591768206067965	3.3128431293931135	15.020707318922993	5.34798877548076e-4	0.02297797376626665	ARAF	protein_coding	X	1.638688270727255	ARAF	TRUE
ENSG00000089289	-6.8537031512533035	2.9134719728153984	22.662631162574428	4.900258942174922e-5	0.002772304866697423	IGBP1	protein_coding	X	2.5571590126446075	IGBP1	TRUE
ENSG00000179222	-6.7927674176047805	3.3482808333345804	16.071009500789486	3.7113948568463393e-4	0.01669193161696035	MAGED1	protein_coding	X	1.7774934031621985	NA	TRUE
ENSG00000100554	-6.754788161102996	7.372852817434104	200.2902861600052	1.3613109419793775e-15	9.455817059760086e-13	ATP6V1D	protein_coding	14	12.02430093861016	NA	TRUE
ENSG00000146856	-6.752111783718646	4.352566067198525	50.25315283318994	4.013267261021855e-8	5.017788056455625e-6	AGBL3	protein_coding	7	5.299487686555826	NA	TRUE
ENSG00000102003	6.742946717378368	5.3054184760860865	69.0783972521408	1.310312624931908e-9	2.520436730695945e-7	SYP	protein_coding	X	6.598524199973301	NA	TRUE
ENSG00000072501	-6.60067944129491	7.893553986369332	360.81257561527286	1.0414980043587113e-19	4.340616516165656e-16	SMC1A	protein_coding	X	15.362448581419967	NA	TRUE
ENSG00000102144	-6.546669848417685	6.022020256592932	62.82524559035629	7.428605507154055e-9	1.1756943627335082e-6	PGK1	protein_coding	X	5.929705564169845	NA	TRUE
