EP1.BRN3B.RO_h1	EP1.BRN3B.RO_h2	EP1.WT_hRO_2_h1	EP1.WT_hRO_2_h2	EP1.WT_ROs_D45_h1	EP1.WT_ROs_D45_h2	H9.BRN3B_hRO_2_h1	H9.BRN3B_hRO_2_h2	H9.BRN3B.RO_h1	H9.BRN3B.RO_h2	H9.CRX_hRO_2_h1	H9.CRX_hRO_2_h2	H9.CRX_ROs_D45_h1	H9.CRX_ROs_D45_h2	H9.FT_1_h1	H9.FT_1_h2	H9.FT_2_h1	H9.FT_2_h2	H9.hRGC_1_h1	H9.hRGC_1_h2	H9.hRGC_2_h1	H9.hRGC_2_h2
314	264	41	53	239	241	85	95	385	544	58	52	209	207	245	313	145	182	19	27	149	180
336	285	53	68	250	224	98	116	385	545	75	70	219	202	245	295	150	172	30	40	163	201
42	52	10	20	46	49	18	19	46	50	10	18	23	39	30	39	20	31	4	9	51	68
2	2	1	1	1	2	1	2	6	7	1	5	1	3	8	5	3	4	0	2	2	8
670	360	280	133	620	268	466	528	445	520	380	389	493	432	378	409	323	351	74	79	458	442
47	35	19	17	25	31	23	38	128	91	26	40	39	30	23	43	15	41	0	3	21	32
48	259	23	77	53	247	65	55	135	153	65	60	185	155	183	205	150	174	39	42	203	239
103	5	59	0	155	1	41	30	45	31	25	27	69	69	50	51	52	33	12	3	56	64
0	0	0	0	1	1	0	0	3	0	1	2	3	3	0	0	1	0	0	0	0	0
44	46	12	9	20	38	18	12	20	52	10	14	22	59	19	27	17	18	1	6	15	34
195	190	38	38	139	127	55	38	148	143	42	37	122	104	45	46	32	29	14	4	45	41
15	4	9	3	9	5	9	8	11	11	11	2	22	19	8	12	9	10	3	0	21	17
209	4	55	5	135	2	38	34	90	95	33	33	91	81	42	38	29	51	15	10	66	74
68	19	31	5	36	4	18	7	35	40	25	14	21	19	28	31	34	19	7	3	19	23
60	234	9	77	20	180	50	67	125	130	39	56	90	112	46	45	45	43	26	44	147	177
7	547	2	267	4	436	162	185	267	252	176	162	274	228	181	200	184	182	51	58	283	242
22	656	10	319	16	520	184	211	330	313	197	186	327	289	194	227	205	209	61	61	311	267
1	179	0	59	0	93	34	21	83	82	26	21	66	81	30	25	21	24	8	9	43	48
0	79	1	4	0	36	2	4	32	36	5	1	17	27	18	19	9	15	5	0	28	28
6	122	1	9	6	59	5	9	56	57	9	4	35	42	30	38	14	25	6	2	45	40
59	90	13	14	58	52	12	10	42	51	15	12	106	66	64	46	34	28	9	2	15	24
0	56	0	13	0	31	3	6	10	27	7	8	13	17	8	10	5	5	1	2	11	22
757	61	277	18	601	46	198	187	282	300	160	201	206	228	318	353	252	242	96	67	354	362
97	46	25	24	52	33	27	31	49	58	21	25	30	43	19	23	22	21	7	5	28	38
42	61	11	13	21	14	10	19	18	29	15	11	20	16	9	10	8	5	5	10	50	47
10	8	7	8	6	7	6	6	9	6	2	7	7	9	7	11	4	7	2	1	5	2
843	168	27	5	58	16	32	37	208	231	26	25	63	60	42	48	33	31	12	15	45	54
21	1	1	1	4	0	3	1	12	7	3	3	0	0	6	1	2	2	1	2	7	5
90	30	25	2	80	20	32	19	64	52	27	17	67	44	81	38	71	38	19	10	85	46
6	12	1	10	1	17	4	1	18	11	4	4	12	8	7	9	6	9	2	0	10	11
47	72	17	39	31	56	34	35	45	39	38	48	45	54	39	34	29	32	13	8	67	59
443	406	173	176	406	446	209	196	386	373	190	180	438	433	148	161	129	151	47	54	328	297
0	2	0	0	0	0	1	0	2	2	0	0	2	1	0	0	0	0	0	0	1	0
59	53	24	7	35	33	10	11	40	41	18	16	49	43	29	19	26	16	4	3	31	48
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	74	2	17	2	28	1	22	7	63	4	23	10	25	11	40	4	28	0	5	16	40
2	4	2	3	4	10	5	2	11	7	6	5	7	16	7	12	13	13	1	3	11	17
10	4	2	0	6	1	9	0	16	5	7	4	8	4	19	18	16	20	6	3	32	20
101	120	56	59	150	153	52	55	82	91	61	58	141	128	87	90	91	78	16	24	108	121
1494	142	113	29	269	70	108	79	1259	1206	98	90	130	134	144	118	89	86	74	72	243	272
2	2	2	4	4	6	2	6	8	6	5	4	9	10	4	8	5	7	1	0	10	11
0	2	2	1	5	6	3	1	1	4	0	0	4	4	2	2	2	2	0	0	0	0
1	1	0	0	0	0	0	0	2	1	0	0	1	0	2	2	0	1	0	0	2	1
1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1
1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
44	28	20	10	48	27	14	15	23	52	13	13	31	29	15	22	16	12	1	3	9	10
468	11	87	2	256	7	63	47	164	175	45	55	109	109	71	57	59	44	12	13	86	86
371	20	77	5	226	10	49	44	124	143	39	52	98	99	56	53	42	43	12	12	84	76
22	126	1	13	2	22	3	4	91	77	8	14	16	17	8	10	18	13	7	5	136	85
13	8	5	4	7	4	1	3	7	3	1	1	8	3	2	0	1	4	2	0	1	3
642	1	484	0	1852	0	649	0	377	0	609	0	2309	0	3046	0	2362	1	86	0	435	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
48	13	22	5	13	9	9	16	27	24	8	13	27	22	11	5	10	10	0	1	2	1
0	1	0	0	1	4	0	0	2	0	0	0	1	3	1	0	1	0	1	0	1	0
6	19	10	19	24	40	19	18	11	12	15	29	37	45	55	51	37	41	4	9	20	20
0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
22	1	5	0	5	2	4	6	6	6	2	3	4	3	1	7	9	4	1	3	3	5
17	1	2	0	14	0	0	5	7	11	2	0	6	11	2	4	4	10	0	0	0	1
608	3	216	0	382	2	130	133	290	275	116	123	195	197	141	136	144	113	46	42	202	196
8	321	4	125	5	221	63	52	203	205	51	55	110	98	114	106	102	78	29	34	179	168
0	72	0	34	0	77	14	19	41	36	19	10	29	24	26	21	19	18	4	4	32	32
27	197	15	107	29	321	72	91	57	60	61	68	133	143	99	148	108	102	17	30	97	125
3	18	8	47	1	26	26	20	10	17	42	42	14	12	1	1	2	3	12	9	61	28
2	25	6	3	13	44	11	5	15	9	5	4	12	17	10	10	10	4	2	1	5	14
59	32	36	15	30	18	19	21	54	53	17	32	23	25	27	29	24	24	18	13	49	50
29	25	1	2	1	1	2	5	14	29	9	4	5	4	1	1	1	1	2	3	10	3
82	1	30	1	41	1	27	12	81	64	16	17	16	18	17	23	19	16	4	7	45	33
290	16	154	4	294	1	89	71	227	191	65	59	130	98	86	89	72	56	15	19	88	73
339	4	176	3	499	2	84	74	171	201	64	51	205	169	78	71	65	37	12	13	72	66
7	1	0	0	7	0	1	1	2	3	2	1	1	3	2	2	2	1	3	0	5	1
22	6	6	1	18	6	6	6	22	21	8	2	11	14	6	10	5	8	5	2	15	11
3	54	3	11	1	9	10	10	57	37	11	7	9	7	3	2	2	2	3	2	19	24
181	188	20	8	17	4	26	16	262	226	27	13	14	5	2	1	2	5	1	2	7	4
123	43	17	1	37	1	14	16	80	85	16	8	13	15	31	33	17	15	4	7	26	16
270	27	87	7	157	6	45	51	81	96	52	50	72	70	74	73	49	47	21	17	58	63
69	35	21	10	65	20	16	19	43	34	11	10	37	29	25	46	34	76	12	16	41	70
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0	2	0	1	0	1	2	0	0	1	0	0	1	2	0	2	1	0	0	0	0	0
372	665	135	263	226	1042	244	248	498	360	260	222	401	469	189	160	171	172	113	95	441	372
484	2	264	2	450	0	139	132	161	179	117	101	241	232	140	199	204	173	21	17	131	109
7	4	2	2	3	1	1	0	1	3	1	1	3	2	1	0	1	0	1	0	1	1
1	0	0	0	4	0	0	0	1	3	1	2	1	0	0	1	0	1	0	0	1	4
1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
25	1254	9	533	53	1751	313	357	415	506	278	355	726	818	216	230	190	231	56	64	409	440
153	135	77	63	99	100	52	58	172	148	54	57	117	89	55	71	69	56	15	19	113	108
3	41	2	12	1	24	8	14	28	29	11	14	11	5	16	8	6	18	10	6	46	42
398	62	232	40	365	54	143	149	375	351	119	142	364	377	182	161	158	158	66	64	306	281
77	14	117	24	135	29	109	99	34	28	60	52	53	49	12	10	19	9	6	5	15	15
2	2	0	1	2	2	0	1	6	3	1	0	0	2	0	0	1	0	0	0	0	1
3	0	2	1	1	0	1	0	2	2	2	0	3	0	2	1	1	0	2	0	2	0
262	167	97	79	172	87	65	82	144	110	79	65	133	144	188	112	122	139	18	19	65	60
20	6	5	3	46	19	13	9	17	11	11	6	42	26	56	54	27	35	11	8	26	23
18	7	6	1	17	5	5	1	5	3	4	2	3	4	6	5	8	15	0	1	7	5
1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
8	25	7	15	8	14	10	16	10	18	6	9	5	11	16	14	13	16	7	7	44	35
8	56	5	16	4	15	7	15	17	19	7	8	6	11	11	13	10	14	3	1	14	18
0	35	0	8	0	19	1	0	5	4	4	2	4	9	2	7	2	0	1	3	3	2
163	233	104	116	197	264	155	139	219	204	146	121	184	162	73	78	72	82	26	33	112	113
24	26	15	9	21	13	11	10	25	20	7	8	22	12	17	19	21	15	7	6	16	11
0	7	0	1	1	0	0	0	3	2	1	3	0	0	2	0	1	1	0	0	1	0
97	165	57	79	123	136	73	73	137	110	71	68	113	125	95	94	69	78	29	35	116	116
439	1006	126	375	249	619	306	277	751	736	281	283	376	343	318	275	242	248	234	214	698	619
25	825	7	433	33	1861	348	304	425	365	321	276	829	729	386	392	346	320	102	81	581	543
93	115	44	64	130	145	40	39	94	117	50	42	86	87	41	50	29	31	16	10	49	43
87	90	41	53	123	123	27	32	83	100	44	31	77	77	32	36	21	24	7	6	33	28
8	53	6	18	12	36	17	12	25	34	15	17	25	22	17	20	12	15	9	5	31	22
137	273	60	144	96	219	125	95	193	194	113	99	151	184	152	182	145	116	38	42	196	188
16	34	5	13	7	29	14	15	23	28	7	9	27	26	9	18	11	14	2	4	30	22
139	399	33	132	73	219	66	113	265	389	68	137	90	149	80	115	59	118	7	22	36	51
0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	2	0
18	6	8	6	13	7	5	4	9	2	8	3	8	1	12	4	17	4	5	2	17	8
0	11	0	5	2	5	1	3	7	4	4	1	5	4	5	0	3	3	3	2	6	2
1	2	0	2	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	2
69	127	33	57	77	114	57	76	86	129	55	82	74	90	22	27	27	32	54	76	241	312
53	46	11	14	24	26	30	41	73	76	16	15	14	14	26	21	21	20	11	10	26	31
27	249	4	128	18	146	58	129	106	177	35	75	29	110	53	112	40	101	21	36	70	196
8	42	9	21	17	56	21	17	18	14	9	11	42	50	17	18	28	14	4	8	23	42
14	71	8	30	10	26	26	20	54	58	16	22	17	15	25	22	29	15	4	2	21	24
29	5	43	10	95	16	31	30	18	14	23	28	72	69	27	27	16	18	17	18	99	94
4	9	3	10	12	24	9	9	8	7	7	2	10	9	3	6	4	10	1	0	6	1
6	77	2	23	3	52	12	9	32	29	12	11	17	20	19	25	18	19	4	6	41	35
40	180	18	48	20	102	28	51	78	92	23	41	45	45	30	54	40	52	13	22	69	87
5	3	8	3	11	3	3	4	6	5	5	1	10	2	5	5	13	4	2	0	9	1
0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2
5	7	8	21	0	0	9	22	2	2	11	9	2	1	2	2	1	6	2	1	12	11
55	132	20	37	41	107	42	42	98	57	42	37	64	79	60	54	38	58	19	26	100	103
