ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001654	eye development	93/1306	431/21261	4.0559559056451405e-27	2.3098668882649074e-23	1.8631780602353046e-23	PITX3/FOXE3/GJA8/GATA3/COL8A1/GNAT2/PRPH2/RBP4/FLT1/GRM6/PDE6C/RD3/TULP1/RPGRIP1/RP1/CALB1/CRYBB3/NRP1/SLC17A7/INHBA/RP1L1/PDGFRA/SMOC1/GNGT1/RPE65/CRYGA/JAG1/NEUROD4/PROX1/OLFM3/CYP1B1/FREM2/COL4A1/CPAMD8/CRYBA4/FAT1/GJE1/PAX2/NFIB/HIF1A/FOXN4/VEGFA/NRL/BFSP2/ATOH7/SERPINF1/MYO7A/RARB/CRYBA1/PLAAT1/KDR/PROM1/TFAP2A/WNT5B/COL5A1/PPP1R13L/WNT5A/VAX1/SCAPER/MAF/CEP290/LIM2/FBN2/LARGE1/HES5/LPCAT1/TGFB2/LAMA1/PLAAT3/BMPR1B/ADAMTS18/TSPAN12/PRICKLE1/CRB1/LRP5/TENM3/SOX8/BMP7/FZD5/FZR1/SIX3/CRYBB1/SH3PXD2B/TMEM135/CRB2/SKIL/SPRY2/ALDH1A3/NFIA/SIPA1L3/POU4F2/NTRK2/CC2D2A	93
GO:0150063	visual system development	93/1306	435/21261	8.410727835347762e-27	2.394954751115275e-23	1.9318113828135596e-23	PITX3/FOXE3/GJA8/GATA3/COL8A1/GNAT2/PRPH2/RBP4/FLT1/GRM6/PDE6C/RD3/TULP1/RPGRIP1/RP1/CALB1/CRYBB3/NRP1/SLC17A7/INHBA/RP1L1/PDGFRA/SMOC1/GNGT1/RPE65/CRYGA/JAG1/NEUROD4/PROX1/OLFM3/CYP1B1/FREM2/COL4A1/CPAMD8/CRYBA4/FAT1/GJE1/PAX2/NFIB/HIF1A/FOXN4/VEGFA/NRL/BFSP2/ATOH7/SERPINF1/MYO7A/RARB/CRYBA1/PLAAT1/KDR/PROM1/TFAP2A/WNT5B/COL5A1/PPP1R13L/WNT5A/VAX1/SCAPER/MAF/CEP290/LIM2/FBN2/LARGE1/HES5/LPCAT1/TGFB2/LAMA1/PLAAT3/BMPR1B/ADAMTS18/TSPAN12/PRICKLE1/CRB1/LRP5/TENM3/SOX8/BMP7/FZD5/FZR1/SIX3/CRYBB1/SH3PXD2B/TMEM135/CRB2/SKIL/SPRY2/ALDH1A3/NFIA/SIPA1L3/POU4F2/NTRK2/CC2D2A	93
GO:0048880	sensory system development	93/1306	448/21261	8.407541062055203e-26	1.5960315449468127e-22	1.2873862875371547e-22	PITX3/FOXE3/GJA8/GATA3/COL8A1/GNAT2/PRPH2/RBP4/FLT1/GRM6/PDE6C/RD3/TULP1/RPGRIP1/RP1/CALB1/CRYBB3/NRP1/SLC17A7/INHBA/RP1L1/PDGFRA/SMOC1/GNGT1/RPE65/CRYGA/JAG1/NEUROD4/PROX1/OLFM3/CYP1B1/FREM2/COL4A1/CPAMD8/CRYBA4/FAT1/GJE1/PAX2/NFIB/HIF1A/FOXN4/VEGFA/NRL/BFSP2/ATOH7/SERPINF1/MYO7A/RARB/CRYBA1/PLAAT1/KDR/PROM1/TFAP2A/WNT5B/COL5A1/PPP1R13L/WNT5A/VAX1/SCAPER/MAF/CEP290/LIM2/FBN2/LARGE1/HES5/LPCAT1/TGFB2/LAMA1/PLAAT3/BMPR1B/ADAMTS18/TSPAN12/PRICKLE1/CRB1/LRP5/TENM3/SOX8/BMP7/FZD5/FZR1/SIX3/CRYBB1/SH3PXD2B/TMEM135/CRB2/SKIL/SPRY2/ALDH1A3/NFIA/SIPA1L3/POU4F2/NTRK2/CC2D2A	93
GO:0043010	camera-type eye development	82/1306	379/21261	4.16085624726253e-24	5.924019082040027e-21	4.778414911329916e-21	PITX3/FOXE3/GJA8/GATA3/COL8A1/GNAT2/PRPH2/RBP4/FLT1/GRM6/PDE6C/RD3/TULP1/RPGRIP1/RP1/CALB1/CRYBB3/NRP1/SLC17A7/INHBA/RP1L1/PDGFRA/RPE65/CRYGA/JAG1/NEUROD4/PROX1/CYP1B1/COL4A1/CRYBA4/FAT1/GJE1/PAX2/NFIB/HIF1A/FOXN4/VEGFA/NRL/BFSP2/ATOH7/SERPINF1/CRYBA1/PLAAT1/KDR/PROM1/TFAP2A/WNT5B/PPP1R13L/WNT5A/VAX1/SCAPER/MAF/CEP290/LIM2/FBN2/LARGE1/HES5/LPCAT1/TGFB2/LAMA1/PLAAT3/BMPR1B/TSPAN12/PRICKLE1/CRB1/LRP5/TENM3/SOX8/BMP7/FZD5/FZR1/SIX3/CRYBB1/TMEM135/CRB2/SKIL/SPRY2/ALDH1A3/NFIA/POU4F2/NTRK2/CC2D2A	82
GO:0007601	visual perception	58/1306	240/21261	7.862023192589302e-20	8.954844416359215e-17	7.223130360517834e-17	PDE6H/CRX/GJD2/MYO3B/GUCA1ANB-GUCA1A/GNAT2/DHRS3/RAX2/PRPH2/GUCY2D/GUCA1B/RBP4/CNGB3/GRM6/AIPL1/PDE6C/RD3/TULP1/RPGRIP1/RP1/GABRR2/CRYBB3/CPLX4/ABCA4/PDC/RP1L1/RLBP1/RGR/RPE65/CRYGA/GJA3/EYS/PCARE/TRPM1/USH2A/CRYBA4/PAX2/NRL/BFSP2/MYO7A/CRYBA1/SLC45A2/CACNB2/TIMP3/MYO3A/GJC1/CLRN1/WFS1/COL11A1/ARL6/CRB1/OPA3/SIX3/CRYBB1/CRB2/BEST1/RDH12/VSX2	58
GO:0050953	sensory perception of light stimulus	58/1306	244/21261	1.846652438435153e-19	1.752780939481366e-16	1.4138230247949136e-16	PDE6H/CRX/GJD2/MYO3B/GUCA1ANB-GUCA1A/GNAT2/DHRS3/RAX2/PRPH2/GUCY2D/GUCA1B/RBP4/CNGB3/GRM6/AIPL1/PDE6C/RD3/TULP1/RPGRIP1/RP1/GABRR2/CRYBB3/CPLX4/ABCA4/PDC/RP1L1/RLBP1/RGR/RPE65/CRYGA/GJA3/EYS/PCARE/TRPM1/USH2A/CRYBA4/PAX2/NRL/BFSP2/MYO7A/CRYBA1/SLC45A2/CACNB2/TIMP3/MYO3A/GJC1/CLRN1/WFS1/COL11A1/ARL6/CRB1/OPA3/SIX3/CRYBB1/CRB2/BEST1/RDH12/VSX2	58
GO:0060041	retina development in camera-type eye	44/1306	179/21261	1.1655576019314737e-15	9.482643632856775e-13	7.648862217787897e-13	GNAT2/PRPH2/RBP4/GRM6/PDE6C/RD3/TULP1/RPGRIP1/RP1/CALB1/NRP1/SLC17A7/RP1L1/PDGFRA/RPE65/NEUROD4/PROX1/CYP1B1/COL4A1/PAX2/NFIB/HIF1A/FOXN4/NRL/ATOH7/SERPINF1/PROM1/TFAP2A/SCAPER/LARGE1/LPCAT1/TGFB2/LAMA1/BMPR1B/TSPAN12/CRB1/LRP5/SOX8/SIX3/TMEM135/CRB2/NFIA/POU4F2/NTRK2	44
GO:0007409	axonogenesis	75/1306	476/21261	4.3588871415579834e-14	3.102982783896589e-11	2.502918879705137e-11	CDKL5/GATA3/NRP1/ISL2/ARHGEF28/EPHA8/B4GAT1/CNTN1/LHX4/SPTBN4/PLEKHG4B/EPHA10/NRP2/PRKCQ/SEMA5A/ITGA4/ADCY1/MAP3K13/SNAP25/KIAA1755/CNTN6/SEMA4A/PAX2/NFIB/FGFR2/FOXG1/VEGFA/EPHA3/ATOH7/RAB3A/DVL1/S100B/ECE1/OPHN1/DSCAML1/STMN1/FEZF2/USP9X/DCLK1/NEFL/WNT5A/FLRT3/VAX1/ROBO2/NRXN1/FSTL4/DPYSL5/PLXNB1/SLITRK2/PLXND1/YTHDF1/C9orf72/ETV1/BOC/OTX2/BMPR1B/NPTX1/NRXN3/PRICKLE1/VASP/BMP7/PLXNC1/RAB8A/RGMA/NOTCH3/METRN/TIAM2/EPHA4/SKIL/SEMA3F/STXBP1/DAG1/POU4F2/NTRK2/NRCAM	75
GO:0048592	eye morphogenesis	42/1306	182/21261	5.4517050122122325e-14	3.4497177827276297e-11	2.782601248338501e-11	PITX3/FOXE3/COL8A1/GNAT2/RBP4/PDE6C/TULP1/RPGRIP1/RP1/CALB1/GNGT1/RPE65/JAG1/PROX1/OLFM3/FAT1/PAX2/HIF1A/FOXN4/VEGFA/NRL/MYO7A/RARB/KDR/PROM1/TFAP2A/COL5A1/WNT5A/CEP290/FBN2/LARGE1/TSPAN12/CRB1/LRP5/TENM3/SOX8/BMP7/FZD5/SIX3/CRB2/ALDH1A3/NTRK2	42
GO:0090596	sensory organ morphogenesis	56/1306	306/21261	1.515940276112727e-13	8.63327987246198e-11	6.963750910479937e-11	PITX3/CYP26B1/FOXE3/GATA3/MYO3B/COL8A1/GNAT2/RBP4/PDE6C/DLX6/TULP1/RPGRIP1/RP1/CALB1/GNGT1/RPE65/JAG1/PROX1/OLFM3/FRZB/FAT1/PAX2/FGFR2/HIF1A/FOXG1/FOXN4/VEGFA/NRL/DVL1/MYO7A/RARB/KDR/PROM1/TFAP2A/COL5A1/WNT5A/MYO3A/CEP290/BCR/FBN2/LARGE1/CLRN1/TSPAN12/COL11A1/CRB1/LRP5/TENM3/SOX8/BMP7/FZD5/SIX3/FZD2/CRB2/SPRY2/ALDH1A3/NTRK2	56
GO:0036294	cellular response to decreased oxygen levels	39/1306	165/21261	1.904425397036396e-13	9.859729669202069e-11	7.95302625135582e-11	OPRD1/NDRG1/FOS/EGR1/GNGT1/PRKCE/STC1/STC2/PTGS2/PGK1/SLC9A1/NOL3/FAM162A/AKT1/PDK1/FGFR2/EGLN3/HIF1A/VEGFA/BNIP3/AIFM1/EGLN1/RORA/KCNK3/CPEB2/CCNA2/EEF2K/BRIP1/EGLN2/STUB1/HILPDA/BNIP3L/TGFB1/ENO1/BMP7/ERO1A/PDK3/EPHA4/RBPJ	39
GO:0007411	axon guidance	48/1306	246/21261	7.371212309507811e-13	3.229158007895922e-10	2.604693969124866e-10	GATA3/NRP1/ISL2/EPHA8/B4GAT1/CNTN1/LHX4/PLEKHG4B/EPHA10/NRP2/PRKCQ/SEMA5A/KIAA1755/CNTN6/SEMA4A/NFIB/FOXG1/VEGFA/EPHA3/ATOH7/DVL1/ECE1/OPHN1/DSCAML1/FEZF2/WNT5A/FLRT3/VAX1/ROBO2/NRXN1/DPYSL5/PLXNB1/PLXND1/YTHDF1/ETV1/BOC/OTX2/BMPR1B/NRXN3/VASP/BMP7/PLXNC1/NOTCH3/EPHA4/SEMA3F/DAG1/POU4F2/NRCAM	48
GO:0097485	neuron projection guidance	48/1306	246/21261	7.371212309507811e-13	3.229158007895922e-10	2.604693969124866e-10	GATA3/NRP1/ISL2/EPHA8/B4GAT1/CNTN1/LHX4/PLEKHG4B/EPHA10/NRP2/PRKCQ/SEMA5A/KIAA1755/CNTN6/SEMA4A/NFIB/FOXG1/VEGFA/EPHA3/ATOH7/DVL1/ECE1/OPHN1/DSCAML1/FEZF2/WNT5A/FLRT3/VAX1/ROBO2/NRXN1/DPYSL5/PLXNB1/PLXND1/YTHDF1/ETV1/BOC/OTX2/BMPR1B/NRXN3/VASP/BMP7/PLXNC1/NOTCH3/EPHA4/SEMA3F/DAG1/POU4F2/NRCAM	48
GO:0071453	cellular response to oxygen levels	40/1306	181/21261	9.685051224182917e-13	3.939740480122979e-10	3.17786192047626e-10	OPRD1/NDRG1/FOS/EGR1/GNGT1/PRKCE/STC1/STC2/PTGS2/PGK1/SLC9A1/NOL3/FAM162A/AKT1/PDK1/FGFR2/EGLN3/HIF1A/VEGFA/BNIP3/AIFM1/EGLN1/RORA/KCNK3/CPEB2/CCNA2/EEF2K/BRIP1/EGLN2/STUB1/HILPDA/BNIP3L/TGFB1/ENO1/BMP7/ERO1A/PDK3/EPHA4/RBPJ/POU4F2	40
GO:0071456	cellular response to hypoxia	36/1306	153/21261	1.856752774467397e-12	7.049471367061218e-10	5.686223935281209e-10	OPRD1/NDRG1/FOS/EGR1/GNGT1/PRKCE/STC1/STC2/PTGS2/PGK1/SLC9A1/NOL3/FAM162A/PDK1/FGFR2/EGLN3/HIF1A/VEGFA/BNIP3/EGLN1/RORA/KCNK3/CPEB2/CCNA2/BRIP1/EGLN2/STUB1/HILPDA/BNIP3L/TGFB1/ENO1/BMP7/ERO1A/PDK3/EPHA4/RBPJ	36
GO:0036293	response to decreased oxygen levels	57/1306	347/21261	9.322414071344327e-12	3.3181967585191213e-9	2.676514145220174e-9	DPP4/OPRD1/THBS1/P2RX2/NDRG1/FOS/EGR1/GNGT1/PRKCE/STC1/STC2/CA9/PTGS2/HK2/PGK1/SLC9A1/NOL3/FAM162A/AKT1/PDK1/ADORA1/FGFR2/EGLN3/HIF1A/VEGFA/BNIP3/SLC2A8/AIFM1/ANG/ANGPTL4/PLOD2/HSPG2/EGLN1/RORA/KCNK3/HIF3A/CPEB2/CHRNA4/UCP2/CCNA2/EEF2K/BRIP1/EGLN2/STUB1/HILPDA/LOXL2/TGFB2/BNIP3L/KCNMA1/TGFB1/ENO1/BMP7/ERO1A/PDK3/EPHA4/SOX4/RBPJ	57
GO:0070482	response to oxygen levels	59/1306	375/21261	2.4799892429273786e-11	8.307963963806718e-9	6.701345545594477e-9	DPP4/OPRD1/THBS1/P2RX2/NDRG1/FOS/TXNRD2/EGR1/GNGT1/PRKCE/STC1/STC2/CA9/PTGS2/HK2/PGK1/SLC9A1/NOL3/FAM162A/AKT1/PDK1/ADORA1/FGFR2/EGLN3/HIF1A/VEGFA/BNIP3/SLC2A8/AIFM1/ANG/ANGPTL4/PLOD2/HSPG2/EGLN1/RORA/KCNK3/HIF3A/CPEB2/CHRNA4/UCP2/CCNA2/EEF2K/BRIP1/EGLN2/STUB1/HILPDA/LOXL2/TGFB2/BNIP3L/KCNMA1/TGFB1/ENO1/BMP7/ERO1A/PDK3/EPHA4/SOX4/RBPJ/POU4F2	59
GO:0001666	response to hypoxia	54/1306	328/21261	3.012061442867322e-11	9.096008313732977e-9	7.33699556972981e-9	DPP4/OPRD1/THBS1/P2RX2/NDRG1/FOS/EGR1/GNGT1/PRKCE/STC1/STC2/CA9/PTGS2/HK2/PGK1/SLC9A1/NOL3/FAM162A/PDK1/ADORA1/FGFR2/EGLN3/HIF1A/VEGFA/BNIP3/SLC2A8/ANG/ANGPTL4/PLOD2/HSPG2/EGLN1/RORA/KCNK3/HIF3A/CPEB2/CHRNA4/UCP2/CCNA2/BRIP1/EGLN2/STUB1/HILPDA/LOXL2/TGFB2/BNIP3L/KCNMA1/TGFB1/ENO1/BMP7/ERO1A/PDK3/EPHA4/SOX4/RBPJ	54
