gene_id	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	condition_1	condition_2	neg_log10_FDR	significant	label
ENSG00000162444	9.584282766915184	1.6849240593972024	5.421046542004273	0.019898261637259808	0.12284992496212466	RBP7	protein_coding	1	H2_Stage1	H2_Stage2	0.9106251044549231	FALSE	RBP7
ENSG00000258417	9.46370528012853	8.855533230477208	446.9655918972638	6.731725059076764e-99	6.413869270248241e-95		protein_coding	8	H2_Stage1	H2_Stage2	94.19287989626109	TRUE	
ENSG00000253117	9.462817269371524	8.855053910054416	446.7965112098016	7.323022515554309e-99	6.413869270248241e-95	OC90	protein_coding	8	H2_Stage1	H2_Stage2	94.19287989626109	TRUE	OC90
ENSG00000164398	9.272700928253936	5.307606358572294	28.324656387640122	1.1992643760984338e-7	5.225749770178175e-6	ACSL6	protein_coding	5	H2_Stage1	H2_Stage2	5.281851389869437	TRUE	ACSL6
ENSG00000139053	8.762651881543421	10.129983858916344	445.90105299967865	1.1437649226124553e-98	6.678443383134126e-95	PDE6H	protein_coding	12	H2_Stage1	H2_Stage2	94.17532475143074	TRUE	PDE6H
ENSG00000166148	8.585451782035806	2.5243383026654693	8.208707937672747	0.004170222127803474	0.037265518817254456	AVPR1A	protein_coding	12	H2_Stage1	H2_Stage2	1.4286928280657647	TRUE	AVPR1A
ENSG00000186790	-8.361687369706662	4.522935046930198	145.7750770912593	1.5698043853404265e-33	1.09993053672033e-30	FOXE3	protein_coding	1	H2_Stage1	H2_Stage2	29.95863474072506	TRUE	FOXE3
ENSG00000013725	8.357184874757863	1.8301764516485124	5.039652358359549	0.02477656730743153	0.14469217901006728	CD6	protein_coding	11	H2_Stage1	H2_Stage2	0.839554942996837	FALSE	CD6
ENSG00000205078	8.335810891973887	1.6246285225463437	4.365142662256125	0.03668500966969312	0.1895049585325905	SYCE1L	protein_coding	16	H2_Stage1	H2_Stage2	0.7223794219219316	FALSE	SYCE1L
ENSG00000281938	8.162021899532427	4.509763273646958	20.29833363236429	6.636516486031737e-6	1.7667455818513365e-4		protein_coding	5	H2_Stage1	H2_Stage2	3.752825986063889	TRUE	
ENSG00000160870	7.921743092351262	1.4121072968783814	3.3413377168361853	0.0675639124333884	0.28817069736928774	CYP3A7	protein_coding	7	H2_Stage1	H2_Stage2	0.5403501825012859	FALSE	CYP3A7
ENSG00000282301	7.921743092351262	1.4121072968783814	3.3413377168361853	0.0675639124333884	0.28817069736928774	CYP3A7-CYP3A51P	protein_coding	7	H2_Stage1	H2_Stage2	0.5403501825012859	FALSE	CYP3A7-CYP3A51P
ENSG00000140955	7.665982851904291	2.031272049349067	7.999146030573599	0.004681269396877551	0.040817220520211084	ADAD2	protein_coding	16	H2_Stage1	H2_Stage2	1.3891565722273365	TRUE	ADAD2
ENSG00000256797	7.493660281417822	3.0555078731734118	18.077331961930714	2.1238598535443527e-5	4.8128917276243764e-4	KLRF2	protein_coding	12	H2_Stage1	H2_Stage2	3.3175939082424803	TRUE	KLRF2
ENSG00000165629	7.49308035971675	1.4132918859687613	3.1037514616737902	0.07811646273644925	0.3187435541007178	ATP5F1C	protein_coding	10	H2_Stage1	H2_Stage2	0.496558589136169	FALSE	ATP5F1C
ENSG00000183775	7.477557806573678	2.631815110172343	17.758700134942796	2.510815651845431e-5	5.539080664625518e-4	KCTD16	protein_coding	5	H2_Stage1	H2_Stage2	3.256562310255616	TRUE	KCTD16
ENSG00000185610	-7.380662910706443	4.130487536662745	92.39636793815004	7.318439613268108e-22	2.5136687589336756e-19	DBX2	protein_coding	12	H2_Stage1	H2_Stage2	18.59969195244372	TRUE	DBX2
ENSG00000003137	7.359996387938865	7.9209760294227225	209.31440494349255	2.2690559749441505e-47	3.9747053513096685e-44	CYP26B1	protein_coding	2	H2_Stage1	H2_Stage2	43.40069506047751	TRUE	CYP26B1
ENSG00000174123	-7.345470220731556	1.4825484024335733	4.458104309025682	0.03473955747949639	0.18323782847586217	TLR10	protein_coding	4	H2_Stage1	H2_Stage2	0.7369848636244986	FALSE	TLR10
ENSG00000166573	7.341938756392001	1.8293097758047625	3.627984189077588	0.056819683710069714	0.2582538659961835	GALR1	protein_coding	18	H2_Stage1	H2_Stage2	0.5879531684792323	FALSE	GALR1
ENSG00000157766	7.331055207182564	1.8299673063840587	3.33914861461787	0.06765385554433649	0.28848407681843774	ACAN	protein_coding	15	H2_Stage1	H2_Stage2	0.5398781531867015	FALSE	NA
ENSG00000102962	7.15046139908574	1.684536910587106	3.8717568573855616	0.049109032309650066	0.2347002270227313	CCL22	protein_coding	16	H2_Stage1	H2_Stage2	0.6294864903133299	FALSE	NA
ENSG00000189410	-7.0899265467934445	1.6205591485466635	4.218211520132532	0.03999599553831483	0.20225457674499447	SH2D5	protein_coding	1	H2_Stage1	H2_Stage2	0.694101642113183	FALSE	NA
ENSG00000172179	7.040326168376999	1.4530185644300038	3.4902806048801556	0.06173429083696211	0.271571966999263	PRL	protein_coding	6	H2_Stage1	H2_Stage2	0.5661150621009235	FALSE	NA
ENSG00000164418	7.019875067969281	3.4093980070752212	27.811853789755478	1.3410004800289516e-7	5.771573810483328e-6	GRIK2	protein_coding	6	H2_Stage1	H2_Stage2	5.23870574594116	TRUE	NA
ENSG00000269855	6.926021550064869	1.2526139101370706	2.175769563009399	0.14020386247283292	0.46000207134980603	RNF225	protein_coding	19	H2_Stage1	H2_Stage2	0.33724021272328353	FALSE	NA
ENSG00000006377	-6.812152455126536	2.4982905256233217	17.882523242206958	2.352666521728394e-5	5.243213671897746e-4	DLX6	protein_coding	7	H2_Stage1	H2_Stage2	3.2804024435192964	TRUE	NA
ENSG00000136002	-6.77271508898111	2.3255874486676444	9.880990838344731	0.0016706462763862787	0.01834778108053821	ARHGEF4	protein_coding	2	H2_Stage1	H2_Stage2	1.7364164503626753	TRUE	NA
ENSG00000135960	-6.766391236555843	1.4465070730951335	3.1965208911661547	0.07379941954599444	0.3065554736037905	EDAR	protein_coding	2	H2_Stage1	H2_Stage2	0.513490925060479	FALSE	NA
ENSG00000164674	6.758932018717587	2.288229662187838	5.754862766471984	0.01644567627483413	0.10704134470431552	SYTL3	protein_coding	6	H2_Stage1	H2_Stage2	0.9704484437280105	FALSE	NA
ENSG00000102878	6.755646948696785	2.1970365447381353	2.5133209198597584	0.112892328774736	0.40390827678657076	HSF4	protein_coding	16	H2_Stage1	H2_Stage2	0.39371724728580304	FALSE	NA
ENSG00000164061	-6.713095901325521	1.8006667193510182	3.5816868211914326	0.058423919813331025	0.2624132829154153	BSN	protein_coding	3	H2_Stage1	H2_Stage2	0.5810141854897265	FALSE	NA
ENSG00000165762	6.676067670204446	2.4676015776152136	5.1277385093365035	0.023549429823916772	0.13926919724022624	OR4K2	protein_coding	14	H2_Stage1	H2_Stage2	0.8561449277100197	FALSE	NA
ENSG00000205482	6.669563679431749	1.2083409774219267	2.174380598927813	0.1403304968050517	0.4602451437060645	SPDYE18	protein_coding	7	H2_Stage1	H2_Stage2	0.3370107852743237	FALSE	NA
ENSG00000162949	6.63796016350789	1.409056642945253	2.23686864416824	0.13475813080843602	0.44974031979951684	CAPN13	protein_coding	2	H2_Stage1	H2_Stage2	0.34703817562642936	FALSE	NA
ENSG00000205808	6.586668633056909	1.5178915444960943	2.449727469047648	0.11754979081833071	0.4137270817288927	PLPP6	protein_coding	9	H2_Stage1	H2_Stage2	0.38328605014516937	FALSE	NA
ENSG00000127507	6.56547126067525	2.4371858094253915	7.95640284600452	0.004793101739743368	0.0415030959837294	ADGRE2	protein_coding	19	H2_Stage1	H2_Stage2	1.3819195052517996	TRUE	NA
ENSG00000156413	6.559149080661772	1.253482340021313	1.9626274654513425	0.16123702301722356	0.4993357871746603	FUT6	protein_coding	19	H2_Stage1	H2_Stage2	0.3016073071363297	FALSE	NA
ENSG00000159337	-6.52538867242773	2.0154116652251646	5.4440591481868	0.0196378017221133	0.12168212690706003	PLA2G4D	protein_coding	15	H2_Stage1	H2_Stage2	0.9147732077656527	FALSE	NA
ENSG00000177984	6.522598670286281	1.557109705180964	2.93143644367933	0.08687459337632505	0.34051963575141775	LCN15	protein_coding	9	H2_Stage1	H2_Stage2	0.4678578398375012	FALSE	NA
ENSG00000134489	6.520652011460434	1.5560145549790974	2.8654635723566853	0.0905040776198513	0.350510706979203	HRH4	protein_coding	18	H2_Stage1	H2_Stage2	0.45529871118957943	FALSE	NA
ENSG00000170442	6.486732446455599	1.7809565729490726	5.510295216049653	0.018907622725268813	0.11818450074277664	KRT86	protein_coding	12	H2_Stage1	H2_Stage2	0.9274394750896989	FALSE	NA
ENSG00000113262	6.477921108912318	4.46649874982516	62.26492425537824	3.045386248555502e-15	4.679476396135678e-13	GRM6	protein_coding	5	H2_Stage1	H2_Stage2	12.32980273901791	TRUE	NA
ENSG00000169247	6.447940019765527	1.7512572629932532	4.059293025964589	0.043932699698279426	0.21653604406718083	SH3TC2	protein_coding	5	H2_Stage1	H2_Stage2	0.6644698016821269	FALSE	NA
ENSG00000148734	6.440269440174186	3.1209817778973705	14.986778411082383	1.0836521317981501e-4	0.0019138277880851136	NPFFR1	protein_coding	10	H2_Stage1	H2_Stage2	2.7180971439098527	TRUE	NA
ENSG00000004864	6.436469569481379	1.8891949791798044	3.8504714033234997	0.04973596294646234	0.23652660333162195	SLC25A13	protein_coding	7	H2_Stage1	H2_Stage2	0.6261200049035516	FALSE	NA
ENSG00000155099	6.374863940421679	2.004349862789906	4.97834926107391	0.025669613351042068	0.14841702112056013	PIP4P2	protein_coding	8	H2_Stage1	H2_Stage2	0.8285162893882924	FALSE	NA
ENSG00000203963	6.370781514413245	1.5530102481606398	2.6516492128498497	0.10344702344929389	0.3813647519870029	C1orf141	protein_coding	1	H2_Stage1	H2_Stage2	0.41865944953057477	FALSE	NA
ENSG00000133710	6.3012866038561794	4.5943608865009065	56.81429272615941	4.8471252323939454e-14	6.685597850066515e-12	SPINK5	protein_coding	5	H2_Stage1	H2_Stage2	11.17485975049991	TRUE	NA
ENSG00000136931	-6.287147092772055	1.2082456973293385	2.5720178575695685	0.10877341607343298	0.39424455397441044	NR5A1	protein_coding	9	H2_Stage1	H2_Stage2	0.4042342972259406	FALSE	NA
