ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050953	sensory perception of light stimulus	69/1331	244/21261	3.069287909817894e-27	1.757474257161726e-23	1.3853796376104347e-23	RHO/PDE6A/PDE6G/CRYBB3/RDH8/CNGB1/CRYBB1/RP1/GRK7/CRYBA1/RAX2/RP1L1/CRYBA4/PPEF2/PRPH2/EPAS1/CRYGA/NRL/RS1/PCARE/KIFC3/GUCA1B/ABCA4/GJA3/SLC4A10/LRIT3/BFSP2/CABP4/GUCY2D/GUCA1A/USH2A/GUCA1ANB-GUCA1A/AIPL1/CACNA2D4/CPLX4/PCDH15/PAX2/IRX5/CNGB3/RD3/ZIC2/CHM/RDH12/TULP1/FAM161A/RLBP1/MYO3A/GJC1/RGS9/CACNA1F/SLC24A1/PDE6H/PDC/RPGRIP1/GNAT2/CLRN1/TRPM1/RBP4/PDE6B/REEP6/COL2A1/COL11A1/EYS/PDE6C/GABRR2/CYP4V2/RIMS1/SIX3/SIX6	69
GO:0007601	visual perception	68/1331	240/21261	6.462870832611653e-27	1.8503199193767164e-23	1.4585679015915145e-23	RHO/PDE6A/PDE6G/CRYBB3/RDH8/CNGB1/CRYBB1/RP1/GRK7/CRYBA1/RAX2/RP1L1/CRYBA4/PPEF2/PRPH2/EPAS1/CRYGA/NRL/RS1/PCARE/KIFC3/GUCA1B/ABCA4/GJA3/SLC4A10/LRIT3/BFSP2/CABP4/GUCY2D/GUCA1A/USH2A/GUCA1ANB-GUCA1A/AIPL1/CACNA2D4/CPLX4/PAX2/IRX5/CNGB3/RD3/ZIC2/CHM/RDH12/TULP1/FAM161A/RLBP1/MYO3A/GJC1/RGS9/CACNA1F/SLC24A1/PDE6H/PDC/RPGRIP1/GNAT2/CLRN1/TRPM1/RBP4/PDE6B/REEP6/COL2A1/COL11A1/EYS/PDE6C/GABRR2/CYP4V2/RIMS1/SIX3/SIX6	68
GO:0048880	sensory system development	83/1331	448/21261	2.607960887553125e-19	4.1522413286264243e-16	3.2731236680607585e-16	RHO/PDE6A/POU4F2/ATOH7/CRYBB3/CRYBB1/RP1/PTF1A/CRYBA1/RP1L1/CTNNB1/CRYBA4/PRPH2/CRYGA/NRL/LIM2/RS1/TDRD7/LHX2/BFSP2/FOXN4/AQP5/CABP4/JAG1/SLC17A6/WNT5A/INHBA/STRA6/PRDM1/GNB1/PAX2/SMOC1/POU4F1/SOX8/FLT1/BMP4/RD3/LPCAT1/VAX1/BFSP1/PBX1/TULP1/MAB21L2/TMEM132E/CDON/ALDH1A3/FAT3/PROM1/RPGRIP1/GNAT2/RBP4/SOX9/PDE6B/FZD4/GLI3/TENM3/PXDN/NEUROD4/EGFR/TUB/TWSG1/HDAC2/FGF9/PDGFRB/SLC7A11/HIF1A/CPAMD8/PDE6C/BMPR1B/SKIL/CELF4/FZD5/CYP1B1/ZHX2/COL8A1/CEP290/NTRK2/SPRY1/SIX3/THRB/NES/SIX6/MEIS3	83
GO:0001654	eye development	81/1331	431/21261	2.90062265359862e-19	4.1522413286264243e-16	3.2731236680607585e-16	RHO/PDE6A/POU4F2/ATOH7/CRYBB3/CRYBB1/RP1/PTF1A/CRYBA1/RP1L1/CTNNB1/CRYBA4/PRPH2/CRYGA/NRL/LIM2/RS1/TDRD7/LHX2/BFSP2/FOXN4/AQP5/CABP4/JAG1/SLC17A6/WNT5A/INHBA/STRA6/PRDM1/GNB1/PAX2/SMOC1/SOX8/FLT1/BMP4/RD3/LPCAT1/VAX1/BFSP1/PBX1/TULP1/MAB21L2/CDON/ALDH1A3/FAT3/PROM1/RPGRIP1/GNAT2/RBP4/SOX9/PDE6B/FZD4/GLI3/TENM3/PXDN/NEUROD4/EGFR/TUB/TWSG1/HDAC2/FGF9/PDGFRB/SLC7A11/HIF1A/CPAMD8/PDE6C/BMPR1B/SKIL/CELF4/FZD5/CYP1B1/ZHX2/COL8A1/CEP290/NTRK2/SPRY1/SIX3/THRB/NES/SIX6/MEIS3	81
GO:0150063	visual system development	81/1331	435/21261	5.201979341518145e-19	5.95730674190658e-16	4.696018403458906e-16	RHO/PDE6A/POU4F2/ATOH7/CRYBB3/CRYBB1/RP1/PTF1A/CRYBA1/RP1L1/CTNNB1/CRYBA4/PRPH2/CRYGA/NRL/LIM2/RS1/TDRD7/LHX2/BFSP2/FOXN4/AQP5/CABP4/JAG1/SLC17A6/WNT5A/INHBA/STRA6/PRDM1/GNB1/PAX2/SMOC1/SOX8/FLT1/BMP4/RD3/LPCAT1/VAX1/BFSP1/PBX1/TULP1/MAB21L2/CDON/ALDH1A3/FAT3/PROM1/RPGRIP1/GNAT2/RBP4/SOX9/PDE6B/FZD4/GLI3/TENM3/PXDN/NEUROD4/EGFR/TUB/TWSG1/HDAC2/FGF9/PDGFRB/SLC7A11/HIF1A/CPAMD8/PDE6C/BMPR1B/SKIL/CELF4/FZD5/CYP1B1/ZHX2/COL8A1/CEP290/NTRK2/SPRY1/SIX3/THRB/NES/SIX6/MEIS3	81
GO:0043010	camera-type eye development	74/1331	379/21261	1.1375532782593181e-18	1.085605011885476e-15	8.557593784519222e-16	RHO/PDE6A/POU4F2/ATOH7/CRYBB3/CRYBB1/RP1/PTF1A/CRYBA1/RP1L1/CTNNB1/CRYBA4/PRPH2/CRYGA/NRL/LIM2/RS1/TDRD7/LHX2/BFSP2/FOXN4/AQP5/CABP4/JAG1/SLC17A6/WNT5A/INHBA/STRA6/PRDM1/GNB1/PAX2/SOX8/FLT1/BMP4/RD3/LPCAT1/VAX1/BFSP1/TULP1/MAB21L2/CDON/ALDH1A3/FAT3/PROM1/RPGRIP1/GNAT2/RBP4/SOX9/PDE6B/FZD4/GLI3/TENM3/NEUROD4/EGFR/TUB/TWSG1/HDAC2/PDGFRB/SLC7A11/HIF1A/PDE6C/BMPR1B/SKIL/CELF4/FZD5/CYP1B1/ZHX2/COL8A1/CEP290/NTRK2/SPRY1/SIX3/THRB/NES	74
GO:0009583	detection of light stimulus	27/1331	75/21261	2.4681769039934953e-14	2.018968707466679e-11	1.5915101600487382e-11	RHO/SAG/CNGB1/RP1/GRK7/GPR88/PRPH2/RS1/ABCA4/SLC24A4/CABP4/GNGT2/GUCY2D/GUCA1A/GUCA1ANB-GUCA1A/AIPL1/CACNA2D4/TULP1/OPN3/CACNA1F/PDC/GNAT2/PDE6B/REEP6/CHML/EYS/PDE6C	27
GO:0060041	retina development in camera-type eye	41/1331	179/21261	2.6446613218318774e-13	1.8929163411011663e-10	1.4921457563177753e-10	RHO/PDE6A/POU4F2/ATOH7/RP1/PTF1A/RP1L1/PRPH2/NRL/RS1/LHX2/FOXN4/CABP4/PRDM1/GNB1/PAX2/SOX8/RD3/LPCAT1/TULP1/CDON/FAT3/PROM1/RPGRIP1/GNAT2/RBP4/SOX9/PDE6B/FZD4/NEUROD4/TUB/PDGFRB/HIF1A/PDE6C/BMPR1B/CELF4/CYP1B1/ZHX2/NTRK2/SIX3/THRB	41
GO:0009416	response to light stimulus	60/1331	344/21261	4.158155877064431e-13	2.6455111724523255e-10	2.0854002808014367e-10	RHO/SAG/ATOH7/CNGB1/DRD1/RP1/GRK7/GPR88/NETO1/PRPH2/FOS/RS1/ABCA4/SLC4A10/SLC24A4/DCT/AURKB/CABP4/GNGT2/GUCY2D/GUCA1A/GUCA1ANB-GUCA1A/PBK/AIPL1/CACNA2D4/SLC1A3/PCLAF/ABCA7/MMP2/SLC1A2/CASP7/TULP1/USP2/OPN3/RGS9/CACNA1F/SLC24A1/BRCA2/PDC/GNAT2/TRPM1/PDE6B/DDB2/REEP6/CHML/EGFR/NOC2L/TMEM161A/B3GAT1/EYS/SLC7A11/HIF1A/DCUN1D3/PDE6C/SMPD1/SYNE1/POLD1/PRIMPOL/USP28/CRY1	60
GO:0007602	phototransduction	21/1331	53/21261	2.1100360761106107e-12	1.2082066571809357e-9	9.52403652038137e-10	RHO/SAG/CNGB1/RP1/GRK7/GPR88/RS1/ABCA4/SLC24A4/CABP4/GNGT2/GUCY2D/GUCA1A/GUCA1ANB-GUCA1A/AIPL1/OPN3/PDC/GNAT2/PDE6B/CHML/PDE6C	21
