gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	condition_1	condition_2	neg_log10_FDR	significant	label
ENSG00000258417	ENSG00000258417	9.91260684076785	8.892944162857546	31.32412067905524	1.9082198862460564e-4	0.17923279715000984		protein_coding	8	H2_Stage1	H2_Stage2	0.7465825174529226	FALSE	
ENSG00000253117	ENSG00000253117	9.91196660773466	8.892485532199043	31.30987118408501	1.9117263065254094e-4	0.17923279715000984	OC90	protein_coding	8	H2_Stage1	H2_Stage2	0.7465825174529226	FALSE	OC90
ENSG00000139053	ENSG00000139053	7.794148297950416	10.126211645934967	8.075363596220114	0.016715540846224862	0.6333263357611828	PDE6H	protein_coding	12	H2_Stage1	H2_Stage2	0.1983724522254027	FALSE	PDE6H
ENSG00000164398	ENSG00000164398	7.665389677724676	5.209520025725388	31.654005366416783	2.6464122156463185e-4	0.18143784703721727	ACSL6	protein_coding	5	H2_Stage1	H2_Stage2	0.7412721161458944	FALSE	ACSL6
ENSG00000164418	ENSG00000164418	7.0154163604881195	3.48799515248715	37.101513436760705	1.4458412559679526e-4	0.1710652519933112	GRIK2	protein_coding	6	H2_Stage1	H2_Stage2	0.7668381985251838	FALSE	GRIK2
ENSG00000281938	ENSG00000281938	6.9193601828499824	4.420079534609954	28.815982131337872	3.749773139217085e-4	0.18143784703721727		protein_coding	5	H2_Stage1	H2_Stage2	0.7412721161458944	FALSE	
ENSG00000003137	ENSG00000003137	6.779613268017224	7.9059265831006	33.68139770173269	1.420521009233843e-4	0.1710652519933112	CYP26B1	protein_coding	2	H2_Stage1	H2_Stage2	0.7668381985251838	FALSE	CYP26B1
ENSG00000256797	ENSG00000256797	6.576422707778614	3.138480816289702	3.2087169854776	0.1087922650223716	0.9863615324359563	KLRF2	protein_coding	12	H2_Stage1	H2_Stage2	0.005963873330978032	FALSE	KLRF2
ENSG00000183775	ENSG00000183775	6.551461808554821	2.768174878111008	14.579188110199027	0.0037096766240650343	0.3776528126856945	KCTD16	protein_coding	5	H2_Stage1	H2_Stage2	0.42290727641278864	FALSE	KCTD16
ENSG00000091513	ENSG00000091513	6.403015552748865	7.029321830710048	11.991219969356042	0.005670164717733579	0.4628036813687569	TF	protein_coding	3	H2_Stage1	H2_Stage2	0.33460319511402586	FALSE	TF
