H9.BRN3B_hRO_2_h1	H9.BRN3B_hRO_2_h2	H9.BRN3B.RO_h1	H9.BRN3B.RO_h2	H9.CRX_hRO_2_h1	H9.CRX_hRO_2_h2	H9.CRX_ROs_D45_h1	H9.CRX_ROs_D45_h2	H9.FT_1_h1	H9.FT_1_h2	H9.FT_2_h1	H9.FT_2_h2	H9.hRGC_1_h1	H9.hRGC_1_h2	H9.hRGC_2_h1	H9.hRGC_2_h2
95	85	544	385	52	58	208	208	313	245	182	145	27	19	180	149
116	98	545	385	70	75	203	218	295	245	172	150	40	30	201	163
19	18	50	46	18	10	39	23	39	30	31	20	9	4	68	51
1	2	7	6	4	2	3	1	5	8	4	3	2	0	8	2
1	2	6	2	3	2	2	1	2	5	5	4	2	0	6	3
466	528	445	520	380	389	493	432	378	409	323	351	74	79	458	442
23	38	128	91	26	40	39	30	23	43	15	41	0	3	21	32
60	60	134	154	63	62	172	167	183	205	143	180	39	42	202	240
1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0
39	33	42	34	23	28	65	72	56	43	49	35	11	4	55	65
0	0	3	0	1	2	3	3	0	0	1	0	0	0	0	0
1	0	2	0	0	0	0	0	1	2	1	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1
12	18	53	19	15	9	60	21	27	19	18	17	6	1	35	14
38	55	143	148	37	42	104	122	46	45	29	32	4	14	41	45
8	9	11	11	2	11	19	22	12	8	10	9	0	3	17	21
34	38	95	90	33	33	81	91	38	42	51	29	10	15	75	65
18	7	34	41	24	14	21	20	29	30	34	20	7	3	18	24
67	52	133	126	56	41	112	95	44	46	44	45	43	26	178	148
185	162	249	268	162	175	234	274	199	181	184	182	58	51	242	281
211	184	312	331	186	197	294	327	226	194	211	203	61	61	267	310
21	34	82	83	21	26	81	66	25	30	24	21	9	8	48	43
4	2	36	32	1	5	27	17	19	18	15	9	0	5	28	28
9	5	56	56	4	9	42	33	39	29	25	14	2	6	43	43
10	12	51	42	12	15	66	106	46	64	28	34	2	9	24	15
6	3	27	10	8	7	17	13	10	8	5	5	2	1	22	11
186	199	300	282	201	160	228	205	353	319	242	252	67	96	361	355
31	27	58	49	24	22	43	30	23	19	21	22	5	7	38	28
10	19	16	31	15	11	20	16	9	10	8	5	5	10	50	47
6	6	9	6	3	6	7	9	7	11	5	6	2	1	5	2
32	37	208	231	26	25	63	60	43	47	33	31	12	15	45	54
3	1	12	10	4	2	0	0	7	0	1	3	0	3	9	3
26	25	63	53	21	22	67	44	76	44	73	35	15	14	76	52
1	4	12	17	4	3	8	10	9	6	9	6	1	1	6	15
35	34	39	45	48	38	54	45	34	39	32	29	8	13	59	67
196	209	370	389	182	188	435	436	163	146	153	127	53	47	297	330
1	0	0	4	0	0	3	0	0	0	0	0	0	0	1	0
10	11	40	41	18	16	50	42	29	19	26	16	4	3	31	48
22	1	63	7	23	4	25	10	40	11	28	4	5	0	40	16
2	5	6	11	5	6	16	6	12	6	12	12	3	1	17	11
0	8	5	16	6	6	4	8	18	19	20	17	4	6	20	33
55	52	93	82	58	63	128	141	89	88	79	91	24	16	124	106
113	76	1255	1208	94	93	131	134	137	126	87	88	71	76	253	263
0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
2	6	8	6	5	4	9	10	4	8	5	7	1	0	10	11
3	1	1	4	0	0	4	4	2	2	2	2	0	0	0	0
0	0	2	1	0	0	1	0	2	2	0	1	0	0	2	1
0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
14	15	26	50	13	13	32	27	13	24	14	14	3	1	10	9
76	60	221	210	50	66	150	145	94	85	71	62	14	15	107	101
68	52	182	183	44	63	136	140	85	77	62	53	13	14	101	94
3	4	85	70	8	14	16	17	8	10	18	13	7	5	136	85
1	3	7	3	1	1	8	3	2	0	1	4	2	0	1	3
649	0	377	0	609	0	2309	0	3046	0	2362	1	86	0	435	0
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
11	14	28	23	16	5	29	19	9	7	11	9	1	0	1	1
0	0	2	0	0	0	2	2	0	1	0	1	1	0	1	0
19	18	12	12	15	29	41	41	57	49	37	41	4	9	20	20
4	6	6	6	2	3	4	3	1	7	9	4	1	3	3	5
0	5	7	11	2	0	6	11	2	4	4	10	0	0	0	1
130	131	287	275	115	121	194	199	135	137	141	112	47	41	201	194
65	50	204	205	51	55	110	97	113	106	102	78	29	34	179	166
16	22	43	44	22	13	31	24	30	28	22	20	3	3	34	33
74	90	59	59	61	66	135	143	101	146	108	102	17	30	98	125
26	20	10	17	42	42	15	11	1	1	2	3	12	9	60	29
11	4	16	8	6	5	16	12	8	9	10	4	2	0	14	4
22	20	53	54	18	31	23	25	25	30	25	23	18	13	51	47
