H9.BRN3B_hRO_2_h1	H9.BRN3B_hRO_2_h2	H9.BRN3B.RO_h1	H9.BRN3B.RO_h2	H9.CRX_hRO_2_h1	H9.CRX_hRO_2_h2	H9.CRX_ROs_D45_h1	H9.CRX_ROs_D45_h2	H9.FT_1_h1	H9.FT_1_h2	H9.FT_2_h1	H9.FT_2_h2	H9.hRGC_1_h1	H9.hRGC_1_h2	H9.hRGC_2_h1	H9.hRGC_2_h2
0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
2	2	3	5	2	0	0	5	4	4	1	2	1	2	3	4
1	0	1	1	0	0	0	1	2	1	0	0	0	0	2	1
2	2	3	5	2	0	0	5	4	4	1	2	1	2	3	4
1	0	0	1	1	0	0	1	1	2	0	2	1	0	3	4
0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16	15	11	23	11	8	38	54	44	76	34	57	6	8	72	89
11	10	12	21	3	13	27	44	51	74	24	55	10	10	44	59
8	9	10	15	3	12	22	35	45	67	23	49	8	10	40	56
17	19	36	35	12	10	37	43	55	69	34	41	5	7	40	50
62	64	313	264	41	44	160	186	224	184	120	106	22	12	161	134
87	78	328	272	60	62	168	197	222	187	121	113	36	23	184	149
19	18	50	46	18	10	39	23	39	29	31	20	9	4	69	51
1	2	7	6	4	2	3	0	5	9	4	3	2	0	8	1
1	2	6	2	3	1	2	0	2	6	5	4	2	0	6	2
5	11	7	19	3	12	7	16	33	42	19	30	0	3	9	13
246	381	174	263	206	303	269	309	196	298	155	254	36	46	238	344
23	38	128	91	26	40	39	30	23	43	15	41	0	3	21	32
3	10	4	9	5	14	4	6	8	19	6	22	0	2	8	20
2	5	2	3	6	6	1	2	4	13	3	8	0	0	2	4
51	56	113	138	53	50	130	139	159	177	125	136	36	38	188	225
44	48	90	116	50	47	96	105	139	157	103	117	28	31	143	189
9	6	4	3	4	8	5	7	6	5	10	1	3	2	27	12
5	1	2	1	2	1	1	1	2	0	4	0	3	0	21	0
12	6	4	6	5	7	6	5	7	5	10	2	3	2	29	7
0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0
39	30	43	31	24	28	72	65	56	44	53	32	12	3	55	65
18	10	20	14	25	10	37	30	17	14	10	6	7	3	6	6
0	0	2	0	0	1	0	2	0	0	0	2	0	0	0	0
0	0	2	0	1	2	2	3	0	0	1	0	0	0	0	0
1	0	2	0	0	0	0	0	1	2	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
12	15	53	17	14	8	59	19	28	18	18	16	6	1	35	14
37	54	143	146	37	41	104	119	46	45	29	32	4	14	40	45
8	9	11	10	2	11	19	22	11	8	10	9	0	3	16	21
0	0	3	3	0	0	1	0	2	2	0	0	0	0	1	0
32	36	95	88	32	30	83	85	38	40	51	29	10	14	75	61
4	1	13	9	2	2	5	3	7	11	2	4	1	0	8	11
19	7	34	41	24	14	20	20	29	30	34	21	7	3	18	24
65	51	129	110	55	35	110	89	44	43	39	41	40	25	170	137
0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1
185	162	251	268	162	176	234	276	200	181	183	183	58	51	242	283
211	183	312	326	186	197	293	326	222	193	210	203	61	61	267	311
7	8	9	10	7	4	17	13	8	5	5	6	2	3	9	2
24	15	50	37	21	21	27	28	14	12	18	17	5	4	24	22
21	34	82	83	19	26	80	66	25	29	24	21	9	8	48	43
4	2	36	32	1	5	27	17	19	18	15	9	0	5	28	28
9	5	56	56	4	9	42	33	39	29	25	14	2	6	43	43
1	0	2	6	0	0	0	2	1	2	0	0	0	0	2	1
10	12	51	42	12	15	66	106	46	63	28	34	2	9	24	15
