sample_name	total_alignments_processed	haplotype1_reads	haplotype2_reads	percentage_hap1	percentage_hap2	percent_hap
EP1-WT_hRO_2	8169747	989807	972226	12.115515939477685	11.90031955701933	24.015835496497015
EP1-WT_ROs_D45	13964222	1842023	1813749	13.191017730883969	12.988543149772324	26.179560880656293
H9-BRN3B_hRO_2	9272631	1187941	1167087	12.811261442410466	12.586363029004389	25.397624471414854
H9-BRN3B-RO	19107701	2566365	2451882	13.43105065334652	12.831904790639125	26.262955443985646
H9-CRX_hRO_2	8385488	1087906	1076615	12.973675473627772	12.839026184284085	25.81270165791186
H9-CRX_ROs_D45	12980734	1575521	1568880	12.13737990471109	12.086219469561582	24.223599374272673
H9-FT_1	8664652	1274684	1243607	14.711312121940962	14.35264797709129	29.06396009903225
H9-FT_2	8184333	1175247	1134888	14.359716301866015	13.866591205416496	28.226307507282513
H9-hRGC_1	3425980	468486	456596	13.674510650967022	13.327456669332571	27.001967320299592
H9-hRGC_2	12780770	1832933	1779500	14.341334677018677	13.923261274555445	28.264595951574123
EP1-BRN3B-RO	18288891	2473867	2348887	13.526610224753377	12.843244568519765	26.36985479327314
