gene_id	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	neg_log10_FDR	significant	condition_1	condition_2	label
ENSG00000133169	-12.97758702329496	8.319130637187865	87.46605845131214	2.5195921326708123e-7	5.721153869251191e-4	BEX1	protein_coding	X	3.2425163718169046	TRUE	H1_RGC	H2_RGC	BEX1
ENSG00000102241	12.18106751993769	7.761904871002682	4.970220906436044	0.041816557490308	0.9417968150278309	HTATSF1	protein_coding	X	0.026042782589598037	FALSE	H1_RGC	H2_RGC	HTATSF1
ENSG00000197921	-11.37127619404717	9.012753775086859	132.9130643886978	2.2487949671297763e-7	5.721153869251191e-4	HES5	protein_coding	1	3.2425163718169046	TRUE	H1_RGC	H2_RGC	HES5
ENSG00000168256	-10.955316217096692	6.509182433916323	74.31750301469813	3.917656078385538e-7	7.624878058846366e-4	NKIRAS2	protein_coding	17	3.1177670973967317	TRUE	H1_RGC	H2_RGC	NKIRAS2
ENSG00000176956	-10.283745522447749	5.39087014544719	15.185539270791109	0.0016709738587513774	0.22102279467600744	LY6H	protein_coding	8	0.6555629340456453	FALSE	H1_RGC	H2_RGC	LY6H
ENSG00000184905	9.771076815174553	5.403678031775726	4.1070341033128335	0.06260846937345602	1	TCEAL2	protein_coding	X	-0	FALSE	H1_RGC	H2_RGC	TCEAL2
ENSG00000177189	-9.686633117934258	5.183891708851536	12.111131324244404	0.003443254814758033	0.3424153547172514	RPS6KA3	protein_coding	X	0.46544676876282765	FALSE	H1_RGC	H2_RGC	RPS6KA3
ENSG00000102144	-9.68431543651052	5.569035829408937	68.59160364115075	3.0939222933032696e-6	0.0024795057249390436	PGK1	protein_coding	X	2.605634884627735	TRUE	H1_RGC	H2_RGC	PGK1
ENSG00000179222	-9.165535113810781	4.780238930734839	27.366687630928237	3.0588214829925194e-4	0.07836669296503006	MAGED1	protein_coding	X	1.1058684798537763	FALSE	H1_RGC	H2_RGC	MAGED1
ENSG00000102401	8.923541702289162	4.076937466814973	6.934111525915463	0.02222345644088159	0.8153218224529208	ARMCX3	protein_coding	X	0.08867093343452342	FALSE	H1_RGC	H2_RGC	ARMCX3
ENSG00000142937	-8.921381383125567	5.450976018270096	34.63401934904964	5.872690124422572e-5	0.021055139540824507	RPS8	protein_coding	1	1.6766418759910793	TRUE	H1_RGC	H2_RGC	RPS8
ENSG00000226761	8.883872512346143	3.891765737465359	9.881373744682573	0.006826539882880481	0.4794060791977509	TAS2R46	protein_coding	12	0.3192964631156774	FALSE	H1_RGC	H2_RGC	TAS2R46
ENSG00000197021	-8.809643875662367	4.620845934948131	12.191275238554772	0.0036963446151683393	0.34897276611751604	EOLA2	protein_coding	X	0.45720846411927973	FALSE	H1_RGC	H2_RGC	EOLA2
ENSG00000147383	-8.776372560385935	5.22597329572444	3.9146538109035145	0.0668997264150266	1	NSDHL	protein_coding	X	-0	FALSE	H1_RGC	H2_RGC	NSDHL
ENSG00000166432	-8.741920526189615	6.417811663066526	42.80147049109762	1.0244864920792325e-5	0.006718469928636128	ZMAT1	protein_coding	X	2.172729622364574	TRUE	H1_RGC	H2_RGC	ZMAT1
ENSG00000165671	-8.728481299212536	4.1917734885120765	5.64345222044403	0.032678569789965375	0.8961193053015203	NSD1	protein_coding	5	0.04763416647086402	FALSE	H1_RGC	H2_RGC	NSD1
ENSG00000165675	-8.724692519820731	3.9699795762431473	12.920626143931484	0.002728496596487417	0.3022198181345087	ENOX2	protein_coding	X	0.5196770601020475	FALSE	H1_RGC	H2_RGC	ENOX2
ENSG00000242732	-8.624487786359293	4.794165839213988	6.729229319148049	0.020576146806599607	0.7906335022065338	RTL5	protein_coding	X	0.10202478686231371	FALSE	H1_RGC	H2_RGC	RTL5
ENSG00000184083	-8.42302230414558	4.617998287331662	57.18039759094863	2.9752397711031477e-6	0.0024795057249390436	FAM120C	protein_coding	X	2.605634884627735	TRUE	H1_RGC	H2_RGC	FAM120C
