ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0072001	renal system development	25/297	345/21261	2.1038898382310704e-11	7.839093537248968e-8	5.7004341511650263e-8	ERBB4/TMEM59L/MTSS1/SMAD1/BASP1/CD24/PDGFRB/TGFB2/CENPF/FBN1/BCL2/BMP4/HES5/ADAMTS1/GLI3/TFAP2A/MYOCD/PDGFRA/YAP1/NFIA/SMAD6/HAS2/NOTCH3/HES1/WNT5A	25
GO:0001822	kidney development	23/297	335/21261	3.9919265350814216e-10	5.209908601227105e-7	3.7885427407855376e-7	ERBB4/TMEM59L/MTSS1/SMAD1/BASP1/CD24/PDGFRB/TGFB2/CENPF/FBN1/BCL2/BMP4/HES5/ADAMTS1/GLI3/TFAP2A/PDGFRA/YAP1/SMAD6/HAS2/NOTCH3/HES1/WNT5A	23
GO:0001654	eye development	26/297	431/21261	4.5908956911251845e-10	5.209908601227105e-7	3.7885427407855376e-7	POU4F2/DRD2/SLC17A6/CELF4/FJX1/PDGFRB/FAT1/TGFB2/FZD5/SPRED1/FBN1/CDON/COL5A1/BCL2/BMP4/HES5/GLI3/TFAP2A/FBN2/CPAMD8/CRYBB3/PDGFRA/NFIA/TGFBR2/HES1/WNT5A	26
GO:0150063	visual system development	26/297	435/21261	5.59303124125293e-10	5.209908601227105e-7	3.7885427407855376e-7	POU4F2/DRD2/SLC17A6/CELF4/FJX1/PDGFRB/FAT1/TGFB2/FZD5/SPRED1/FBN1/CDON/COL5A1/BCL2/BMP4/HES5/GLI3/TFAP2A/FBN2/CPAMD8/CRYBB3/PDGFRA/NFIA/TGFBR2/HES1/WNT5A	26
GO:0007409	axonogenesis	27/297	476/21261	8.1118665336882e-10	6.044962940904447e-7	4.3957777805712476e-7	POU4F2/NTRK1/FSTL4/DRD2/SLIT1/CNTN2/GAP43/NFASC/NRXN3/CTNNA2/OLFM1/SNAP25/SEMA4D/DCC/TUBB3/KIF5C/FYN/NOVA2/MAP6/PARD3/BCL2/FLRT3/BOC/GLI3/UST/NOTCH3/WNT5A	27
GO:0048880	sensory system development	26/297	448/21261	1.0457378115858069e-9	6.494031809947861e-7	4.7223318017927493e-7	POU4F2/DRD2/SLC17A6/CELF4/FJX1/PDGFRB/FAT1/TGFB2/FZD5/SPRED1/FBN1/CDON/COL5A1/BCL2/BMP4/HES5/GLI3/TFAP2A/FBN2/CPAMD8/CRYBB3/PDGFRA/NFIA/TGFBR2/HES1/WNT5A	26
GO:0043010	camera-type eye development	23/297	379/21261	4.3089171118923905e-9	2.2935750227015785e-6	1.6678425031595508e-6	POU4F2/DRD2/SLC17A6/CELF4/FJX1/PDGFRB/FAT1/TGFB2/FZD5/SPRED1/FBN1/CDON/BMP4/HES5/GLI3/TFAP2A/FBN2/CRYBB3/PDGFRA/NFIA/TGFBR2/HES1/WNT5A	23
GO:0010975	regulation of neuron projection development	26/297	484/21261	5.261436318434304e-9	2.450513965310777e-6	1.7819654057434078e-6	POU4F2/NTRK1/FSTL4/SLIT1/ZNF804A/STMN2/CNTN2/HECW1/CNR1/CTNNA2/NDRG4/SNAP25/SEMA4D/DNM3/DCC/CRMP1/STX1B/FYN/NOVA2/MAP6/RGS2/GRN/LYN/UST/HES1/WNT5A	26
GO:0003007	heart morphogenesis	19/297	273/21261	1.1173696448846392e-8	4.2751543214884474e-6	3.1088078717154744e-6	OLFM1/NDRG4/PARVA/TGFB2/STIL/COL5A1/BMP4/FZD2/ADAMTS1/TPM1/FGFRL1/COL2A1/YAP1/SMAD6/HAS2/CCN1/TGFBR2/HES1/WNT5A	19
GO:0007411	axon guidance	18/297	246/21261	1.2621228539015813e-8	4.2751543214884474e-6	3.1088078717154744e-6	POU4F2/NTRK1/SLIT1/CNTN2/GAP43/NFASC/NRXN3/SEMA4D/DCC/TUBB3/KIF5C/FYN/NOVA2/FLRT3/BOC/GLI3/NOTCH3/WNT5A	18
GO:0097485	neuron projection guidance	18/297	246/21261	1.2621228539015813e-8	4.2751543214884474e-6	3.1088078717154744e-6	POU4F2/NTRK1/SLIT1/CNTN2/GAP43/NFASC/NRXN3/SEMA4D/DCC/TUBB3/KIF5C/FYN/NOVA2/FLRT3/BOC/GLI3/NOTCH3/WNT5A	18
