ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007601	visual perception	33/258	240/21261	3.3784717266695423e-25	9.022951194051787e-22	7.856694412411987e-22	RHO/RAX2/PRPH2/PDE6A/PDE6G/GUCA1A/AIPL1/GUCY2D/GUCA1B/RP1/RDH12/NRL/CPLX4/CACNA2D4/EYS/PCARE/CNGB1/RP1L1/ABCA4/CNGB3/EPAS1/TULP1/LRIT3/USH2A/MYO3B/RPGRIP1/GNAT2/RGR/MYO7A/VSX2/CLRN1/POU6F2/CRYBB3	33
GO:0050953	sensory perception of light stimulus	33/258	244/21261	5.81750560544925e-25	9.022951194051787e-22	7.856694412411987e-22	RHO/RAX2/PRPH2/PDE6A/PDE6G/GUCA1A/AIPL1/GUCY2D/GUCA1B/RP1/RDH12/NRL/CPLX4/CACNA2D4/EYS/PCARE/CNGB1/RP1L1/ABCA4/CNGB3/EPAS1/TULP1/LRIT3/USH2A/MYO3B/RPGRIP1/GNAT2/RGR/MYO7A/VSX2/CLRN1/POU6F2/CRYBB3	33
GO:0009583	detection of light stimulus	16/258	75/21261	6.260265339829366e-16	6.473114361383564e-13	5.636435390176194e-13	RHO/SAG/PRPH2/GUCA1A/GNGT2/AIPL1/GUCY2D/RP1/GNGT1/CACNA2D4/EYS/CNGB1/ABCA4/TULP1/GNAT2/RGR	16
GO:0009581	detection of external stimulus	19/258	155/21261	5.02997075507552e-14	3.900742320561066e-11	3.39655393619047e-11	RHO/SAG/PRPH2/GRIK2/GUCA1A/GNGT2/AIPL1/GUCY2D/RP1/GNGT1/CACNA2D4/EYS/CNGB1/ANO3/ABCA4/TULP1/GNAT2/RGR/ANO1	19
GO:0009582	detection of abiotic stimulus	19/258	158/21261	7.171351180401982e-14	4.4491062723213896e-11	3.8740393955603124e-11	RHO/SAG/PRPH2/GRIK2/GUCA1A/GNGT2/AIPL1/GUCY2D/RP1/GNGT1/CACNA2D4/EYS/CNGB1/ANO3/ABCA4/TULP1/GNAT2/RGR/ANO1	19
GO:0009584	detection of visible light	13/258	59/21261	2.2530734713812018e-13	1.1648389847040814e-10	1.0142783381691516e-10	RHO/SAG/PRPH2/AIPL1/GUCY2D/RP1/CACNA2D4/EYS/CNGB1/ABCA4/TULP1/GNAT2/RGR	13
GO:0007602	phototransduction	12/258	53/21261	1.3549650617256545e-12	6.004430887818544e-10	5.228331350959443e-10	RHO/SAG/GUCA1A/GNGT2/AIPL1/GUCY2D/RP1/GNGT1/CNGB1/ABCA4/GNAT2/RGR	12
GO:0042461	photoreceptor cell development	11/258	60/21261	1.3765705499773798e-10	4.9724452506334764e-8	4.32973447118175e-8	PRPH2/RP1/NRL/GNGT1/PCARE/CNGB1/RP1L1/TULP1/RPGRIP1/GNAT2/MYO7A	11
GO:0046530	photoreceptor cell differentiation	12/258	77/21261	1.4426823744584554e-10	4.9724452506334764e-8	4.32973447118175e-8	PRPH2/RP1/NRL/GNGT1/PCARE/CNGB1/RP1L1/TULP1/RPGRIP1/GNAT2/SOX8/MYO7A	12
GO:0009416	response to light stimulus	22/258	344/21261	2.5661585976286955e-10	7.960223969844213e-8	6.931329433173929e-8	RHO/SAG/PRPH2/GUCA1A/GNGT2/AIPL1/GUCY2D/RP1/GNGT1/CACNA2D4/NETO1/EYS/CNGB1/ABCA4/TULP1/USP2/SLC1A2/GNAT2/RGR/ABCA7/SLC1A3/AURKB	22
GO:0001895	retina homeostasis	12/258	93/21261	1.3775119293132755e-9	3.884583640663437e-7	3.3824838379118326e-7	RHO/TF/AIPL1/RP1/RDH12/CNGB1/RP1L1/ABCA4/TULP1/USH2A/GNAT2/CLRN1	12
GO:0045494	photoreceptor cell maintenance	9/258	48/21261	5.5083696970565224e-9	1.423913566689111e-6	1.2398663721620206e-6	RHO/RP1/RDH12/CNGB1/RP1L1/ABCA4/TULP1/USH2A/CLRN1	9
GO:0009314	response to radiation	23/258	465/21261	1.3825709727792295e-8	3.299027044277823e-6	2.872613049515387e-6	RHO/SAG/PRPH2/GUCA1A/GNGT2/AIPL1/GUCY2D/RP1/GNGT1/CACNA2D4/NETO1/EYS/CNGB1/ABCA4/TULP1/USP2/SLC1A2/GNAT2/RGR/ABCA7/SLC1A3/BRCA1/AURKB	23
GO:0140014	mitotic nuclear division	18/258	303/21261	3.582136247752692e-8	7.936990457520608e-6	6.911098956190532e-6	KLHDC8B/FBXO5/KIF20B/KNSTRN/KIF14/TPX2/BORA/RCC1/CDCA8/CENPK/KNL1/CDCA5/NEK2/NUF2/CENPF/DLGAP5/AURKB/CDC25C	18
GO:0007088	regulation of mitotic nuclear division	12/258	126/21261	4.520324949415488e-8	9.34803199539123e-6	8.139757066807117e-6	FBXO5/KIF20B/BORA/RCC1/CDCA8/KNL1/NEK2/NUF2/CENPF/DLGAP5/AURKB/CDC25C	12
