ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007601	visual perception	34/459	240/21261	2.882162486213586e-18	1.0636155663591744e-14	8.548937559956902e-15	POU6F2/MYO3A/FAM161A/GABRR2/VSX2/MYO3B/CNGB1/LRIT3/PDE6B/RGR/COL2A1/USH2A/CNGB3/RGS9/PCARE/CACNA2D4/TULP1/GUCA1A/RDH10/TRPM1/RLBP1/RP1/DHRS3/CPLX4/GUCA1B/EPAS1/ABCA4/PDE6A/RP1L1/AIPL1/NRL/RHO/PDE6G/PRPH2	34
GO:0050953	sensory perception of light stimulus	34/459	244/21261	4.873381747350169e-18	1.0636155663591744e-14	8.548937559956902e-15	POU6F2/MYO3A/FAM161A/GABRR2/VSX2/MYO3B/CNGB1/LRIT3/PDE6B/RGR/COL2A1/USH2A/CNGB3/RGS9/PCARE/CACNA2D4/TULP1/GUCA1A/RDH10/TRPM1/RLBP1/RP1/DHRS3/CPLX4/GUCA1B/EPAS1/ABCA4/PDE6A/RP1L1/AIPL1/NRL/RHO/PDE6G/PRPH2	34
GO:0009583	detection of light stimulus	16/459	75/21261	4.568699852040883e-12	6.647458284719485e-9	5.342974248018338e-9	PLEKHB1/CNGB1/PDE6B/RGR/CACNA2D4/TULP1/GUCA1A/GNGT1/RP1/ABCA4/AIPL1/SAG/SLC24A4/GNGT2/RHO/PRPH2	16
GO:0007602	phototransduction	13/459	53/21261	7.170790345058188e-11	7.825124964044747e-8	6.289537952652352e-8	PLEKHB1/CNGB1/PDE6B/RGR/GUCA1A/GNGT1/RP1/ABCA4/AIPL1/SAG/SLC24A4/GNGT2/RHO	13
GO:0009581	detection of external stimulus	20/459	155/21261	1.6040809345076121e-10	1.4003626558251454e-7	1.1255582641502887e-7	NTRK1/FYN/JUP/PLEKHB1/CNGB1/PDE6B/RGR/CACNA2D4/TULP1/GUCA1A/GNGT1/RP1/ABCA4/HPN/AIPL1/SAG/SLC24A4/GNGT2/RHO/PRPH2	20
GO:0009582	detection of abiotic stimulus	20/459	158/21261	2.274538395624522e-10	1.6547266828168399e-7	1.3300063987046548e-7	NTRK1/FYN/JUP/PLEKHB1/CNGB1/PDE6B/RGR/CACNA2D4/TULP1/GUCA1A/GNGT1/RP1/ABCA4/HPN/AIPL1/SAG/SLC24A4/GNGT2/RHO/PRPH2	20
GO:0009416	response to light stimulus	29/459	344/21261	4.804067539132308e-10	2.9956792583303606e-7	2.407813098936539e-7	ATOH7/DRD2/CASP3/NDRG4/PLEKHB1/ABCA7/MEIS2/CNGB1/PDE6B/RGR/AURKB/RGS9/CACNA2D4/TULP1/GUCA1A/NETO1/TRPM1/GNGT1/RP1/SLC1A3/ABCA4/USP2/AIPL1/SAG/SLC24A4/GNGT2/RHO/ATP1A2/PRPH2	29
GO:0007409	axonogenesis	34/459	476/21261	1.2099085153670745e-9	6.6015633369716e-7	5.306085633840079e-7	ATOH7/POU4F2/NEFL/CNTN2/FSTL4/SLIT1/NTRK1/DRD2/CTNNA2/SLIT2/GAP43/TUBB3/DRAXIN/DCC/EFNA5/DOCK7/RELN/STMN1/FYN/PAK3/IFRD1/PLXNC1/KIF5C/ENAH/NOVA2/SPART/FLRT3/NOTCH1/METRN/ETV1/OTX2/NPTX1/LHX9/NFIB	34
GO:0031346	positive regulation of cell projection organization	30/459	386/21261	1.66652376247723e-9	8.082640248014565e-7	6.496518947762114e-7	ATOH7/POU4F2/NEFL/NTRK1/SLIT2/STMN2/ELAVL4/GRIP1/TENM3/EFNA5/RELN/PTPRD/RGS2/RIPOR2/FYN/PLXNC1/NDRG4/DBN1/CROCC/CDC42EP4/RREB1/MYO3A/METRN/NEDD9/LYN/MYO3B/ENPP2/RP1/PLCE1/CX3CL1	30
GO:0007411	axon guidance	23/459	246/21261	4.381123443933543e-9	1.7385094393427195e-6	1.3973477931703826e-6	ATOH7/POU4F2/CNTN2/SLIT1/NTRK1/SLIT2/GAP43/TUBB3/DRAXIN/DCC/EFNA5/RELN/FYN/PLXNC1/KIF5C/ENAH/NOVA2/FLRT3/NOTCH1/ETV1/OTX2/LHX9/NFIB	23
GO:0097485	neuron projection guidance	23/459	246/21261	4.381123443933543e-9	1.7385094393427195e-6	1.3973477931703826e-6	ATOH7/POU4F2/CNTN2/SLIT1/NTRK1/SLIT2/GAP43/TUBB3/DRAXIN/DCC/EFNA5/RELN/FYN/PLXNC1/KIF5C/ENAH/NOVA2/FLRT3/NOTCH1/ETV1/OTX2/LHX9/NFIB	23
GO:0009314	response to radiation	32/459	465/21261	9.250426800875005e-9	3.3648427488182834e-6	2.7045326778347713e-6	ATOH7/DRD2/CASP3/NDRG4/PLEKHB1/BRCA1/ABCA7/MEIS2/CNGB1/PDE6B/RGR/YAP1/AURKB/BCL2L1/RGS9/CACNA2D4/TULP1/GUCA1A/NETO1/TRPM1/GNGT1/RP1/SLC1A3/ABCA4/USP2/AIPL1/SAG/SLC24A4/GNGT2/RHO/ATP1A2/PRPH2	32
GO:0060041	retina development in camera-type eye	19/459	179/21261	1.2566467014146393e-8	4.219432962826847e-6	3.3914198022793463e-6	ATOH7/POU4F2/XRN2/CDON/SOX9/NOTCH1/MERTK/PDE6B/SOX8/PROM1/NFIA/TULP1/RP1/PDE6A/RP1L1/NRL/RHO/NFIB/PRPH2	19
GO:0050767	regulation of neurogenesis	30/459	427/21261	1.7073980594977354e-8	5.315239658111649e-6	4.272187563871978e-6	POU4F2/NEFL/FSTL4/SLIT1/DRD2/SLIT2/DLL3/DRAXIN/DCC/EFNA5/DOCK7/RELN/PTPRD/SYT4/IFRD1/PLXNC1/NCAN/DBN1/CDON/SPART/NOTCH1/METRN/ASPM/LYN/REST/YAP1/CTDSP1/SOX8/BHLHE41/CX3CL1	30
GO:0006836	neurotransmitter transport	21/459	223/21261	1.8265428378390548e-8	5.315239658111649e-6	4.272187563871978e-6	SLC18A2/CHAT/SV2C/CPLX2/SYT7/DRD2/STX1A/RAB3B/CADPS2/SYT4/STXBP5/SLC38A2/SNCA/STXBP3/CTBP2/UNC13C/SLC6A6/SLC1A7/CPLX4/SLC1A3/ATP1A2	21
GO:0001654	eye development	30/459	431/21261	2.1065291851928897e-8	5.7468749333543524e-6	4.619119588320988e-6	ATOH7/POU4F2/DRD2/TENM3/XRN2/CDON/SOX9/FZD5/COL5A1/NOTCH1/MERTK/SPRED1/MEIS2/PDE6B/CPAMD8/SOX8/PROM1/NFIA/TULP1/RDH10/GNGT1/RP1/FLT1/BMP4/PDE6A/RP1L1/NRL/RHO/NFIB/PRPH2	30
GO:0010975	regulation of neuron projection development	32/459	484/21261	2.386125366993452e-8	6.126727780544951e-6	4.9244308657518115e-6	ATOH7/POU4F2/NEFL/CNTN2/FSTL4/SLIT1/NTRK1/CTNNA2/SLIT2/STMN2/ELAVL4/DRAXIN/DCC/TENM3/EFNA5/RELN/PTPRD/RGS2/FYN/PAK3/IFRD1/PLXNC1/NOVA2/NDRG4/CRMP1/DBN1/SPART/NR2F1/METRN/LYN/CX3CL1/PMP22	32
GO:0150063	visual system development	30/459	435/21261	2.5917652909685436e-8	6.285030830598718e-6	5.051668839063249e-6	ATOH7/POU4F2/DRD2/TENM3/XRN2/CDON/SOX9/FZD5/COL5A1/NOTCH1/MERTK/SPRED1/MEIS2/PDE6B/CPAMD8/SOX8/PROM1/NFIA/TULP1/RDH10/GNGT1/RP1/FLT1/BMP4/PDE6A/RP1L1/NRL/RHO/NFIB/PRPH2	30
GO:0072001	renal system development	26/459	345/21261	3.8751280432419925e-8	8.90259679407963e-6	7.1555688466069605e-6	ERBB4/CD24/SLIT2/GREB1L/PRKX/GFRA1/SMAD1/BASP1/SOX9/NOTCH1/ADAMTS1/AGT/SULF1/YAP1/SMAD6/SOX8/PROM1/NFIA/RDH10/BMP4/HAS2/HS3ST3A1/CYP26B1/PLCE1/PAX8/EDNRB	26
GO:0009584	detection of visible light	11/459	59/21261	4.6379459494217565e-8	1.0122317034612983e-5	8.135933604959325e-6	CNGB1/PDE6B/RGR/CACNA2D4/TULP1/RP1/ABCA4/AIPL1/SAG/RHO/PRPH2	11
GO:0048880	sensory system development	30/459	448/21261	4.990458654490114e-8	1.0373024774690167e-5	8.337442955095514e-6	ATOH7/POU4F2/DRD2/TENM3/XRN2/CDON/SOX9/FZD5/COL5A1/NOTCH1/MERTK/SPRED1/MEIS2/PDE6B/CPAMD8/SOX8/PROM1/NFIA/TULP1/RDH10/GNGT1/RP1/FLT1/BMP4/PDE6A/RP1L1/NRL/RHO/NFIB/PRPH2	30
GO:0001822	kidney development	25/459	335/21261	8.576964915681205e-8	1.7017478116794755e-5	1.3678001944481077e-5	ERBB4/CD24/SLIT2/GREB1L/PRKX/GFRA1/SMAD1/BASP1/SOX9/NOTCH1/ADAMTS1/AGT/SULF1/YAP1/SMAD6/SOX8/PROM1/RDH10/BMP4/HAS2/HS3ST3A1/CYP26B1/PLCE1/PAX8/EDNRB	25
GO:0046530	photoreceptor cell differentiation	12/459	77/21261	9.167936127611041e-8	1.739914834653139e-5	1.3984773964909655e-5	SOX9/NOTCH1/CNGB1/PCARE/SOX8/PROM1/TULP1/GNGT1/RP1/RP1L1/NRL/PRPH2	12
GO:0001505	regulation of neurotransmitter levels	19/459	204/21261	1.0402935845132617e-7	1.8920339568334946e-5	1.5207449636766232e-5	SLC18A2/SV2C/CPLX2/SYT7/DRD2/STX1A/RAB3B/CADPS2/SYT4/STXBP5/SLC38A2/SNCA/STXBP3/CTBP2/UNC13C/SLC1A7/CPLX4/SLC1A3/ATP1A2	19
GO:0022604	regulation of cell morphogenesis	22/459	270/21261	1.1271887308429306e-7	1.9680715240517567e-5	1.5818610694313634e-5	CNTN2/GRIP1/EFNA5/RELN/PTPRD/CORO1A/SYT4/FYN/PLXNC1/FMNL2/DBN1/CDC42EP4/SHROOM3/RREB1/CCL2/MYO10/PDPN/PALMD/ENPP2/STRIP2/CD44/HPN	22
GO:0043010	camera-type eye development	26/459	379/21261	2.479703707612021e-7	4.1630410322024885e-5	3.3460941123363826e-5	ATOH7/POU4F2/DRD2/TENM3/XRN2/CDON/SOX9/FZD5/NOTCH1/MERTK/SPRED1/PDE6B/SOX8/PROM1/NFIA/TULP1/RDH10/RP1/FLT1/BMP4/PDE6A/RP1L1/NRL/RHO/NFIB/PRPH2	26
GO:0072073	kidney epithelium development	16/459	158/21261	3.4081073232837657e-7	5.509773505975421e-5	4.428546475050601e-5	CD24/SLIT2/GREB1L/SMAD1/BASP1/SOX9/NOTCH1/AGT/YAP1/SMAD6/SOX8/PROM1/BMP4/HS3ST3A1/PAX8/EDNRB	16
GO:0045055	regulated exocytosis	20/459	247/21261	4.7057319061636347e-7	7.335899918001523e-5	5.896317459865939e-5	SLC18A2/SV2C/CPLX2/SYT7/STX1A/MICAL1/CADPS2/CORO1A/SYT4/STXBP5/PIK3CD/SNCA/STXBP3/RAPGEF4/CTBP2/NOTCH1/UNC13C/LYN/REST/CPLX4	20
GO:0030900	forebrain development	28/459	448/21261	5.701237059186847e-7	8.581344745982962e-5	6.897358663618787e-5	NEFL/CNTN2/ERBB4/SLIT1/DRD2/SLIT2/ELAVL4/DRAXIN/ADGRG1/DOCK7/PCDH9/CASP3/RELN/TACC2/IGF2BP1/FYN/SLC38A2/XRN2/ZSWIM6/CDON/STIL/NOTCH1/ASPM/OTX2/BMP4/TMEM108/ATP1A2/NFIB	28
GO:0072006	nephron development	16/459	165/21261	6.14862958494364e-7	8.946256046092996e-5	7.190660493549879e-5	ERBB4/CD24/GREB1L/BASP1/SOX9/NOTCH1/AGT/SULF1/YAP1/SOX8/PROM1/BMP4/HS3ST3A1/PLCE1/PAX8/EDNRB	16
