gene_id	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	neg_log10_FDR	significant	condition_1	condition_2	label
ENSG00000151615	10.772852402447343	6.565793446062669	94.9761739653442	8.306363769946966e-8	2.0318398222361517e-4	POU4F2	protein_coding	4	3.6921105321464367	TRUE	H2_FT	H2_RGC	POU4F2
ENSG00000091664	10.058316195370157	4.97264603021531	33.38087206858772	3.934563562281357e-5	0.0060518894780794315	SLC17A6	protein_coding	11	2.2181090118283815	TRUE	H2_FT	H2_RGC	SLC17A6
ENSG00000164451	9.271329100439385	3.573232588469838	60.14859184409679	1.4256451760823364e-6	8.444778208237283e-4	CALHM4	protein_coding	6	3.0734117521561544	TRUE	H2_FT	H2_RGC	CALHM4
ENSG00000092108	-8.90848335469018	4.09295582853825	5.096600247290974	0.04083593304039878	0.38881134769310105	SCFD1	protein_coding	14	0.4102610684150568	FALSE	H2_FT	H2_RGC	SCFD1
ENSG00000018625	-8.729041762966975	6.375491645254465	14.649648725089097	0.0019129724735144635	0.06890887942575395	ATP1A2	protein_coding	1	1.161724812386408	FALSE	H2_FT	H2_RGC	ATP1A2
ENSG00000101349	8.687456737401565	4.051274850963491	22.162242872541295	2.949359056533377e-4	0.021373440311814217	PAK5	protein_coding	20	1.6701255672985817	TRUE	H2_FT	H2_RGC	PAK5
ENSG00000182923	-8.62777982676532	4.5662959065094935	3.694577329054683	0.08156762433904104	0.52419297446969	CEP63	protein_coding	3	0.2805088040103504	FALSE	H2_FT	H2_RGC	CEP63
ENSG00000100053	-8.623465502595838	8.361942213078224	26.914339367154117	1.1727725925608352e-4	0.011748421912535896	CRYBB3	protein_coding	22	1.9300204653671496	TRUE	H2_FT	H2_RGC	CRYBB3
ENSG00000109625	-8.572088765686754	4.8350191788564105	25.03162592265808	1.6666786032620287e-4	0.01427315387984093	CPZ	protein_coding	4	1.8454800520240717	TRUE	H2_FT	H2_RGC	CPZ
ENSG00000114251	-8.365735024598884	3.8245112544681104	40.36213872023516	1.9689593343690072e-5	0.004302987857314283	WNT5A	protein_coding	3	2.36622987945982	TRUE	H2_FT	H2_RGC	WNT5A
ENSG00000130303	-8.323034531991159	4.610488538265446	6.9851452325879775	0.018677567078694786	0.25838944470655345	BST2	protein_coding	19	0.5877252313864293	FALSE	H2_FT	H2_RGC	BST2
ENSG00000110025	8.28850504937031	4.72639655471252	8.342612741259357	0.01143391751354641	0.20017534581932558	SNX15	protein_coding	11	0.6985894125408117	FALSE	H2_FT	H2_RGC	SNX15
ENSG00000008197	8.27676680269878	4.415253188998911	25.197779659522034	1.6146548616263948e-4	0.014101319124870514	TFAP2D	protein_coding	6	1.8507402588442237	TRUE	H2_FT	H2_RGC	TFAP2D
ENSG00000109099	-8.243198605213099	4.960637873432678	39.115380375603635	1.6847607620304704e-5	0.0038255301036505215	PMP22	protein_coding	17	2.4173083761603884	TRUE	H2_FT	H2_RGC	PMP22
ENSG00000074047	-8.146244471055356	4.018608286985532	34.4480325752133	3.3344732574561835e-5	0.005507689386404541	GLI2	protein_coding	2	2.259030560349448	TRUE	H2_FT	H2_RGC	GLI2
ENSG00000112984	-8.12364662317711	4.692756701693535	35.97622967361148	2.6476849823949678e-5	0.0049413781096094575	KIF20A	protein_coding	5	2.306151913033443	TRUE	H2_FT	H2_RGC	KIF20A
ENSG00000118523	-8.081106217408355	2.945523755694476	29.719076963408558	1.6041515595649665e-4	0.014099974740331034	CCN2	protein_coding	6	1.850781665369065	TRUE	H2_FT	H2_RGC	CCN2
ENSG00000165671	-8.070434799938187	4.1917734885120765	4.699190154592804	0.04828886236598307	0.420192020361506	NSD1	protein_coding	5	0.37655219930243927	FALSE	H2_FT	H2_RGC	NSD1
ENSG00000143702	-8.044346737038156	2.6962922509016565	6.155549412662711	0.027917421688639782	0.3180158470618967	CEP170	protein_coding	1	0.4975512381285945	FALSE	H2_FT	H2_RGC	CEP170
ENSG00000152969	8.014455567662491	4.175569698542179	10.290770259489337	0.005989170218139929	0.13715893222712977	JAKMIP1	protein_coding	4	0.8627759044966568	FALSE	H2_FT	H2_RGC	JAKMIP1
ENSG00000156687	-7.926517705437209	3.3415406977028312	12.26363225433107	0.003293624898274558	0.09473143216776829	UNC5D	protein_coding	8	1.023505896898787	FALSE	H2_FT	H2_RGC	NA
ENSG00000198121	-7.913761201642423	3.772670185710089	11.538966887761859	0.004078301093629302	0.10788888174680701	LPAR1	protein_coding	9	0.9670233082809613	FALSE	H2_FT	H2_RGC	NA
