gene_id	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	neg_log10_FDR	significant	condition_1	condition_2	label
ENSG00000105825	-11.75529050870379	7.147992979450918	38.28091349184102	1.8947571621468763e-5	0.0035499675706209565	TFPI2	protein_coding	7	2.4497756142589058	TRUE	H2_Stage3	H2_RGC	TFPI2
ENSG00000112619	-10.707401064408359	7.745411707159358	75.46663841523639	2.1536444664079908e-7	2.2570194007955744e-4	PRPH2	protein_coding	6	3.6464647078153485	TRUE	H2_Stage3	H2_RGC	PRPH2
ENSG00000185527	-10.545508937396049	7.467840103945502	19.59984498218467	4.403003550230031e-4	0.022383029988184307	PDE6G	protein_coding	17	1.65008112343423	TRUE	H2_Stage3	H2_RGC	PDE6G
ENSG00000179774	10.23693271884809	8.162079316746985	14.777391330776888	0.001475537517090335	0.04398845324472369	ATOH7	protein_coding	10	1.3566613087458346	TRUE	H2_Stage3	H2_RGC	ATOH7
ENSG00000187017	-10.19214029058756	4.954389416225703	90.7337834621003	1.1133150901908298e-7	1.5504923441379278e-4	ESPN	protein_coding	1	3.80953037383611	TRUE	H2_Stage3	H2_RGC	ESPN
ENSG00000104267	-9.59389570206664	7.761680815891794	172.78952226020834	6.846851345233419e-10	9.32815027274601e-6	CA2	protein_coding	8	5.030204466219421	TRUE	H2_Stage3	H2_RGC	CA2
ENSG00000136160	-9.550185802564117	4.405791562751668	19.806003960006976	4.886768650287467e-4	0.023608984429615766	EDNRB	protein_coding	13	1.6269226942469834	TRUE	H2_Stage3	H2_RGC	EDNRB
ENSG00000253117	-9.333328603795984	6.622141990733767	14.929693882900743	0.0017818181014150089	0.049583893430596854	OC90	protein_coding	8	1.3046593745218917	TRUE	H2_Stage3	H2_RGC	OC90
ENSG00000126785	-9.246285345324372	4.950488286951724	10.95204204693517	0.004873001179187703	0.08805009027221919	RHOJ	protein_coding	14	1.055270194441661	FALSE	H2_Stage3	H2_RGC	RHOJ
ENSG00000109991	9.176224261715362	3.676692822716733	19.12436693953016	6.673908151810963e-4	0.027977022972391557	P2RX3	protein_coding	11	1.553198500546454	TRUE	H2_Stage3	H2_RGC	P2RX3
ENSG00000184470	-9.166236770867123	4.248385180899515	8.070576133316225	0.013301867233968655	0.15813668341674428	TXNRD2	protein_coding	22	0.8009673738533712	FALSE	H2_Stage3	H2_RGC	TXNRD2
