gene_id	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	chromosome_name	neg_log10_FDR	significant	condition_1	condition_2	label
ENSG00000179774	-12.805382061442073	8.121766595916249	13.611698817776848	0.002927931252714071	0.009475091540849526	ATOH7	protein_coding	10	2.0234165855294126	TRUE	H1_EP1	H2_EP1	ATOH7
ENSG00000197921	-12.766448057010965	8.610005227270463	82.56719311122492	5.758856577485158e-6	4.572183100912459e-5	HES5	protein_coding	1	4.3398763858612615	TRUE	H1_EP1	H2_EP1	HES5
ENSG00000198105	12.21471371542355	6.673279806356743	43.10701836852082	2.2564987762461955e-5	1.4556126575557846e-4	ZNF248	protein_coding	10	3.836954176579392	TRUE	H1_EP1	H2_EP1	ZNF248
ENSG00000004487	-12.209641123136906	7.72771517334203	13.223586507489562	0.0032318852745528304	0.010322958320883183	KDM1A	protein_coding	1	1.9861958261270996	TRUE	H1_EP1	H2_EP1	KDM1A
ENSG00000187189	-12.159733753120978	7.906328458332857	343.3308825852064	2.0097516697023742e-10	2.6077006426690615e-8	TSPYL4	protein_coding	6	7.583742265968883	TRUE	H1_EP1	H2_EP1	TSPYL4
ENSG00000179262	-12.119119422583752	7.93484037461483	492.4617699054305	2.273843095189834e-11	8.851096665390371e-9	RAD23A	protein_coding	19	8.053002916169898	TRUE	H1_EP1	H2_EP1	RAD23A
ENSG00000181991	-11.753084944915896	7.432845195795978	362.5679233527029	1.4478877110239066e-10	2.2415934289761027e-8	MRPS11	protein_coding	15	7.649443155150557	TRUE	H1_EP1	H2_EP1	MRPS11
ENSG00000241370	-11.726271187945954	7.542651107012726	274.3474567161919	7.695796071919575e-10	5.4357239335786083e-8	RPP21	protein_coding	6	7.264742608077872	TRUE	H1_EP1	H2_EP1	RPP21
ENSG00000064655	-11.719831249648596	7.094969683262634	58.1639030443457	4.958685417032732e-6	4.037693240411178e-5	EYA2	protein_coding	20	4.393866679215398	TRUE	H1_EP1	H2_EP1	EYA2
ENSG00000120738	11.68364841717532	7.053431006139711	15.637292773369046	0.0017925275038023398	0.006244131067667045	EGR1	protein_coding	5	2.2045279894393546	TRUE	H1_EP1	H2_EP1	EGR1
ENSG00000177697	11.445733088330698	8.666109916725048	256.6542426134862	1.3729065407492612e-10	2.215094918181359e-8	CD151	protein_coding	11	7.65460765925618	TRUE	H1_EP1	H2_EP1	CD151
ENSG00000102225	-11.366342147487476	6.945410242951628	121.84965030314666	8.770057103007907e-8	1.535774524053724e-6	CDK16	protein_coding	X	5.813672540910781	TRUE	H1_EP1	H2_EP1	CDK16
ENSG00000170464	11.177462818719643	6.759829981495152	530.8469435351606	1.4413180869439485e-11	6.771212971215295e-9	DNAJC18	protein_coding	5	8.169333526363697	TRUE	H1_EP1	H2_EP1	DNAJC18
ENSG00000104442	11.005404401747708	6.6131009112179315	299.26871406535014	4.579144488494135e-10	3.97364742109835e-8	ARMC1	protein_coding	8	7.400810670156368	TRUE	H1_EP1	H2_EP1	ARMC1
ENSG00000058804	10.958978181257788	5.517730887708408	69.22976824660665	1.9828496893636537e-6	1.881221738711032e-5	NDC1	protein_coding	1	4.725560011348616	TRUE	H1_EP1	H2_EP1	NDC1
ENSG00000259494	-10.823649795995347	6.538289214493738	404.9913879720274	7.429614251626215e-11	1.6066835645104056e-8	MRPL46	protein_coding	15	7.794069648886393	TRUE	H1_EP1	H2_EP1	MRPL46
ENSG00000141127	10.78930840745848	8.127001378711284	399.63090863538815	6.417301953029202e-12	5.134028262082628e-9	PRPSAP2	protein_coding	17	8.28954174492972	TRUE	H1_EP1	H2_EP1	PRPSAP2
ENSG00000175467	-10.74729038201998	6.461525375110392	272.301258407364	8.046948909375964e-10	5.5616882661596216e-8	SART1	protein_coding	11	7.254793357090124	TRUE	H1_EP1	H2_EP1	SART1
ENSG00000138279	-10.560957094518937	6.306331542545778	397.20171031108134	8.353958217138873e-11	1.7014648617742797e-8	ANXA7	protein_coding	10	7.769177015416311	TRUE	H1_EP1	H2_EP1	ANXA7
ENSG00000107882	10.53860582102894	5.689987228275991	192.91134782938403	6.176329411237298e-9	2.0720177298535073e-7	SUFU	protein_coding	10	6.683606532737326	TRUE	H1_EP1	H2_EP1	SUFU
ENSG00000155660	-10.519541388886415	7.916078455419849	158.9557670284287	3.495012881241201e-9	1.4462162677130974e-7	PDIA4	protein_coding	7	6.839766757628379	TRUE	H1_EP1	H2_EP1	NA
ENSG00000164929	-10.50581171763974	6.419105424988133	136.45599466825732	4.5983719779469917e-8	9.488705023584161e-7	BAALC	protein_coding	8	6.022793054115052	TRUE	H1_EP1	H2_EP1	NA
ENSG00000160818	10.47936350553803	5.812724863822326	152.64806238518315	2.4124168642224492e-8	5.766099536520465e-7	GPATCH4	protein_coding	1	6.239117864932814	TRUE	H1_EP1	H2_EP1	NA
ENSG00000234616	-10.478874840622803	5.9730014733102905	32.16667962277296	9.090291077812527e-5	4.8114267927007725e-4	JRK	protein_coding	8	3.3177261177401687	TRUE	H1_EP1	H2_EP1	NA
ENSG00000110700	-10.435127006445638	11.031518685197655	243.1219857204739	1.988764389064123e-10	2.6077006426690615e-8	RPS13	protein_coding	11	7.583742265968883	TRUE	H1_EP1	H2_EP1	NA
ENSG00000145824	10.426344672842259	6.509767372345052	139.7362753491195	4.0128219176434224e-8	8.542294657183436e-7	CXCL14	protein_coding	5	6.068425452133997	TRUE	H1_EP1	H2_EP1	NA
ENSG00000277586	-10.346179178293784	5.569580356539394	26.33856110107707	2.2240106948486591e-4	0.001044824886435108	NEFL	protein_coding	8	2.980956491588983	TRUE	H1_EP1	H2_EP1	NA
ENSG00000177311	10.320584043609987	5.791559645656825	260.5581189893419	1.0462011294756308e-9	6.420470354944141e-8	ZBTB38	protein_coding	3	7.192433154941392	TRUE	H1_EP1	H2_EP1	NA
