genes	logFC	logCPM	F	PValue	FDR
ENSG00000140988	9.487829162182656	11.25537673798843	493.624208973323	1.9859981813203094e-8	6.792825016452786e-5
ENSG00000188186	-9.494418150230983	8.261320209971103	416.1426715868683	3.868674305697836e-8	6.792825016452786e-5
ENSG00000108561	-9.498782794275757	8.618169037026645	412.869589110647	3.989654223447782e-8	6.792825016452786e-5
ENSG00000126858	9.07574029829401	8.113629026263018	410.0032129519202	4.099515337182327e-8	6.792825016452786e-5
ENSG00000150459	-8.031961908981902	9.085571632684621	378.641766461083	5.5895751244206385e-8	6.792825016452786e-5
ENSG00000105404	8.32366138192487	8.143021836273459	371.78136168458434	6.001923566253236e-8	6.792825016452786e-5
ENSG00000267855	9.153923548599726	8.986501560589748	369.2557602828944	6.295269326607475e-8	6.792825016452786e-5
ENSG00000107551	7.905656121948884	7.248322264951272	350.23601506343687	7.570791559703847e-8	6.792825016452786e-5
ENSG00000110435	8.34632876293209	8.182992982383167	328.4788877175883	9.913135839753104e-8	6.792825016452786e-5
ENSG00000184900	6.704730888943292	8.293498214301215	322.32312315820997	1.0453077875029788e-7	6.792825016452786e-5
ENSG00000133398	8.015923997176253	7.337362284834999	308.9691981981792	1.2317634753075037e-7	6.792825016452786e-5
ENSG00000130770	8.718817522083592	9.148235211766856	312.1025466131893	1.262660168001053e-7	6.792825016452786e-5
ENSG00000014824	-9.154199506760623	7.923456733390379	306.7754793149427	1.3493233953263697e-7	6.792825016452786e-5
ENSG00000107874	6.4908878705602655	7.6600605049437975	301.59047468810377	1.352751518231299e-7	6.792825016452786e-5
ENSG00000241837	8.643313566092308	9.827287166839195	306.00615700788114	1.3624480113434594e-7	6.792825016452786e-5
ENSG00000204922	-7.242595804060881	7.156438937829666	300.4838412124494	1.3721589258359515e-7	6.792825016452786e-5
ENSG00000214022	7.0551319507518535	7.899913226022585	300.2392300689937	1.37649570905323e-7	6.792825016452786e-5
ENSG00000111361	-7.650452950240118	7.081310697592981	297.44223558982304	1.4273259947650308e-7	6.792825016452786e-5
ENSG00000164190	8.431250016825262	8.791965074191976	298.3532657122672	1.5021387529606255e-7	6.792825016452786e-5
ENSG00000172172	7.616240669507214	7.721241385789842	280.7217594465759	1.864762905385138e-7	6.792825016452786e-5
ENSG00000075142	6.154912124667174	7.104311269432908	276.9586622080316	1.8813254998626874e-7	6.792825016452786e-5
ENSG00000143761	-7.833704568973702	8.855769787901645	280.9547882173608	1.8931015336651798e-7	6.792825016452786e-5
ENSG00000179218	-7.056654399367752	8.923283267468154	276.15833393492255	1.958743308692468e-7	6.792825016452786e-5
ENSG00000092841	6.708674721819011	11.834394098308424	273.74243595183816	1.9682434347035492e-7	6.792825016452786e-5
ENSG00000111640	9.854339354193424	13.767277924778021	273.54754584583276	2.0979788263425584e-7	6.792825016452786e-5
ENSG00000143570	8.062948507019815	7.131563378700227	268.92793602420187	2.1785076155362395e-7	6.792825016452786e-5
ENSG00000138138	-5.980440865629267	7.742914348368377	264.1801074945897	2.2581451466929616e-7	6.792825016452786e-5
ENSG00000198961	6.259359854263618	7.9453648686206835	263.35869582501175	2.2854701278379625e-7	6.792825016452786e-5
ENSG00000121542	9.885601481131546	8.491934105677952	266.4977824572898	2.3194365568273055e-7	6.792825016452786e-5
ENSG00000175606	8.676887239811396	6.813630067207421	263.5549584417486	2.3614977366770716e-7	6.792825016452786e-5
ENSG00000253710	5.8859523331027646	7.111793876596315	259.9600899363471	2.40302696197825e-7	6.792825016452786e-5
ENSG00000177697	11.394256424957113	8.756995628135757	259.7118699311564	2.56098430591025e-7	6.792825016452786e-5
ENSG00000166801	7.216257868782926	6.570148119294398	254.66201613012885	2.6018087595729127e-7	6.792825016452786e-5
ENSG00000177239	-8.507357637925075	6.728742292264501	252.77142108265403	2.772415865202034e-7	6.792825016452786e-5
ENSG00000176903	8.458615094823934	8.245972735923148	248.94245869368183	3.0129158896277096e-7	6.792825016452786e-5
ENSG00000110700	-10.540057304587016	11.47358594077118	247.65135668442886	3.073598910173989e-7	6.792825016452786e-5
ENSG00000164818	-8.431988594590136	6.65471406468491	246.06648280803975	3.0781213752607154e-7	6.792825016452786e-5
ENSG00000141127	10.740771385821263	8.105910240903984	246.53366592381383	3.127373356269944e-7	6.792825016452786e-5
ENSG00000137601	6.662415210367971	7.995371326182201	245.87563668655633	3.1317389113797386e-7	6.792825016452786e-5
ENSG00000103855	-8.927198822651155	8.00266076228154	245.8125211079877	3.162695928313163e-7	6.792825016452786e-5
ENSG00000007047	-6.606153308527529	6.474957370292926	241.7996426462638	3.177377038082463e-7	6.792825016452786e-5
ENSG00000188738	-6.281413191503493	7.728683177412653	241.2802489757726	3.2162482699402384e-7	6.792825016452786e-5
ENSG00000145675	-7.408301752679662	8.48761818328372	244.39558715187312	3.233568039807051e-7	6.792825016452786e-5
ENSG00000173141	-7.3639510916892625	8.659464266793329	243.91121545819001	3.258251137132259e-7	6.792825016452786e-5
ENSG00000102804	-6.919366672313349	9.250688059317573	242.38851474227735	3.3374005381580295e-7	6.792825016452786e-5
ENSG00000129757	-8.158825932494668	7.583617394397124	241.14973081428937	3.403577003369061e-7	6.792825016452786e-5
ENSG00000179361	-7.5980684172271875	7.239489489461851	240.1488746865356	3.458248360273248e-7	6.792825016452786e-5
ENSG00000143157	-6.418352060382905	6.945946538081575	236.07669578959218	3.4844822571292407e-7	6.792825016452786e-5
ENSG00000135912	-6.930499913422157	7.566266496461397	238.8570119433476	3.5304538421493576e-7	6.792825016452786e-5
ENSG00000075336	-5.931102460975343	6.9038386437100305	235.18569592037235	3.535585582444382e-7	6.792825016452786e-5
ENSG00000099795	-6.5496744983306705	8.728842685918163	238.51391686299883	3.5399849652335314e-7	6.792825016452786e-5
ENSG00000241127	9.846383922395942	7.191734425053057	238.58944506487842	3.545644371688782e-7	6.792825016452786e-5
ENSG00000113811	-5.231345506981461	8.815081933040387	234.33716202345693	3.585128616929037e-7	6.792825016452786e-5
ENSG00000143553	7.375488133821591	7.572747397640277	237.86047860185982	3.5874475599212046e-07	6.792825016452786e-5
ENSG00000089006	-9.155816157134183	7.369311966800602	237.629261976025	3.6008357961610084e-7	6.792825016452786e-5
ENSG00000133983	-6.332363999648754	7.859233289860029	235.64591878642264	3.611740424106058e-7	6.792825016452786e-5
ENSG00000184302	-8.690858414122777	9.619048692753612	237.1785352698581	3.627114964609722e-7	6.792825016452786e-5
ENSG00000128272	8.467827579488345	8.079556248721035	233.00634953442506	3.8821596408134263e-7	6.792825016452786e-5
ENSG00000096384	7.353575746670539	10.86946746398061	232.95562522625931	3.8853964349967663e-7	6.792825016452786e-5
ENSG00000117592	-8.777674454614251	8.441415907262314	232.7053457912112	3.901416759923048e-7	6.792825016452786e-5
ENSG00000159377	5.832823989877766	8.842748017528901	227.8961062116539	3.9910173079679965e-7	6.792825016452786e-5
ENSG00000186395	7.970533279749378	8.707106823055668	231.10443061455953	4.005873955140851e-7	6.792825016452786e-5
