ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0042254	ribosome biogenesis	85/2565	365/21261	1.2816767586125335e-9	7.883593742225693e-6	7.4242812659418646e-6	C1QBP/RPS13/C1orf131/DNTTIP2/DDX27/DDX54/NUP88/SDAD1/RPS27L/PWP1/NMD3/NOL8/DIS3/DIMT1/SNU13/SART1/HABP4/GRWD1/SERBP1/NPM1/ESF1/NAF1/BUD23/EXOSC3/DROSHA/POP5/GTPBP4/GNL2/METTL16/NLE1/YTHDF2/LYAR/WDR3/MTG2/BRIX1/RPS8/MPHOSPH10/EIF2A/TENT4B/EXOSC9/GTF2H5/ERI3/GEMIN4/RRP1/CUL4B/FDXACB1/FBLL1/PA2G4/RPS7/NOP53/NOP14/NOL6/TFB2M/WDR55/WDR18/ABT1/RPL23A/RPL7/CINP/CUL4A/UTP14A/LSG1/PNO1/PPAN/ERI1/EMG1/GTF3A/NOP10/RPSA2/WDR74/DDX10/EIF6/RSL1D1/UTP25/RPS19/ERCC2/FASTKD2/SHQ1/ZNHIT3/URB1/MRPL20/RPL14/TBL3/NOL9/RPL35	85
GO:0016072	rRNA metabolic process	70/2565	292/21261	1.0305672697067284e-8	3.1695096379830434e-5	2.9848482553663826e-5	MAPT/DDX27/DDX54/PWP1/NOL8/DIS3/DIMT1/SNU13/GTF3C1/SART1/BRF1/ESF1/NAF1/BUD23/POLR1E/EXOSC3/DROSHA/POP5/XRN1/GTPBP4/ANG/METTL16/GTF3C4/YTHDF2/LYAR/WDR3/BRIX1/RPS8/MPHOSPH10/TENT4B/EXOSC9/GTF2H5/ERI3/GEMIN4/RRP1/FDXACB1/FBLL1/PA2G4/RPS7/NOP53/NOP14/NOL6/TFB2M/WDR55/WDR18/ABT1/IPPK/RPL7/UTP14A/SPIN1/PPAN/ERI1/EMG1/GTF3A/POLR1B/NOP10/WDR74/DDX10/EIF6/RSL1D1/UTP25/RPS19/ERCC2/SHQ1/ZNHIT3/URB1/RPL14/TBL3/NOL9/RPL35	70
GO:0006364	rRNA processing	59/2565	250/21261	2.559665916847083e-7	5.248168351508803e-4	4.942400540494561e-4	DDX27/DDX54/PWP1/NOL8/DIS3/DIMT1/SNU13/SART1/ESF1/NAF1/BUD23/EXOSC3/DROSHA/POP5/GTPBP4/METTL16/YTHDF2/LYAR/WDR3/BRIX1/RPS8/MPHOSPH10/TENT4B/EXOSC9/GTF2H5/ERI3/GEMIN4/RRP1/FDXACB1/FBLL1/PA2G4/RPS7/NOP53/NOP14/NOL6/TFB2M/WDR55/WDR18/ABT1/RPL7/UTP14A/PPAN/ERI1/EMG1/NOP10/WDR74/DDX10/EIF6/RSL1D1/UTP25/RPS19/ERCC2/SHQ1/ZNHIT3/URB1/RPL14/TBL3/NOL9/RPL35	59
GO:0016236	macroautophagy	78/2565	367/21261	3.6400469838646034e-7	5.597482249437794e-4	5.271362776896557e-4	CALR/SNX5/EXOC7/ATP6V1D/PINK1/EPG5/STAM2/ATG101/MFN2/CHMP1B/RAB1A/PSEN1/ATP6V1C1/RB1CC1/VPS41/CDK5/VPS36/RIMOC1/SUPT5H/VHL/VPS13C/HUWE1/VPS4B/ATP6V1G2/DDRGK1/CHMP2B/TBC1D25/EXOC8/MOAP1/PACS2/UBQLN4/VPS26B/ATG16L1/RNF31/PIP4K2A/LGALS8/LRSAM1/HDAC6/FYCO1/TAFAZZIN/ATP6V1B1/AKT1/VPS13D/NSFL1C/WAC/PLEKHM1/ATG13/VMP1/ATP6V0D1/RAB43/CAPN1/TIGAR/LZTS1/SNX32/TMEM74/RIPK2/ULK1/EHMT2/SNX7/VPS35/CASP3/KLHL3/WDR45/SNX18/CALCOCO2/UFL1/WDR45B/GABARAPL2/CRY1/DNAJC16/TRAF6/ATG2B/CHMP4C/EXOC4/PGAM5/STX12/CERS1/PEX5	78
GO:0032259	methylation	67/2565	302/21261	4.754811880546178e-7	5.849369575447908e-4	5.508574690241183e-4	ICMT/NELFE/PCMT1/DIMT1/PCIF1/TRDMT1/EZH2/BCDIN3D/NELFA/BUD23/ALKBH8/KANSL3/TRMT5/CMTR2/METTL16/KANSL1/HELLS/SMYD4/MTO1/TRMT10C/KMT2B/CSKMT/PRDM11/MBD1/SETD9/DOT1L/DNMT1/MTRR/SLC25A26/SPOUT1/METTL14/NDUFAF7/AKT1/PRDM13/KMT2C/FDXACB1/FBLL1/FAM98B/VIRMA/TFB2M/METTL8/PARP1/SETD2/COQ3/EHMT2/RLF/ASH2L/ATRX/SNRPD1/EMG1/NDUFAF5/WTAP/SNRPD2/COMT/LCMT1/SETD4/METTL6/PAX6/NSD1/PRDM1/PRDM4/ARMT1/AS3MT/MBD3/PRDM5/RBM15/GTPBP3	67
GO:0043414	macromolecule methylation	52/2565	226/21261	2.863046800443172e-6	0.0025418661937137406	0.002393772457025681	ICMT/NELFE/PCMT1/DIMT1/PCIF1/TRDMT1/EZH2/BCDIN3D/NELFA/BUD23/ALKBH8/KANSL3/TRMT5/CMTR2/METTL16/KANSL1/HELLS/MTO1/TRMT10C/KMT2B/CSKMT/MBD1/DOT1L/DNMT1/MTRR/SLC25A26/METTL14/NDUFAF7/AKT1/FDXACB1/FBLL1/FAM98B/VIRMA/TFB2M/METTL8/PARP1/SETD2/EHMT2/RLF/ASH2L/ATRX/SNRPD1/EMG1/WTAP/SNRPD2/LCMT1/SETD4/METTL6/PAX6/MBD3/RBM15/GTPBP3	52
GO:0034470	ncRNA processing	94/2565	490/21261	3.045003544900718e-6	0.0025418661937137406	0.002393772457025681	DDX27/DDX54/PWP1/URM1/NOL8/DIS3/RPP21/DIMT1/SNU13/C2orf49/SART1/TRDMT1/BCDIN3D/ESF1/TRUB1/NAF1/BUD23/ANKRD16/ALKBH8/EXOSC3/DROSHA/TRMT5/POP5/GTPBP4/METTL16/INTS2/MTO1/TRMT10C/YTHDF2/ADAR/NCBP2/LYAR/WDR3/SMAD3/BRIX1/THG1L/RPS8/INTS14/MPHOSPH10/TENT4B/EXOSC9/TYW5/SPOUT1/GTF2H5/ERI3/GEMIN4/AKT1/RRP1/FDXACB1/FBLL1/PA2G4/FAM98B/RPS7/NOP53/NOP14/NOL6/TFB2M/INTS8/WDR55/NCBP1/WDR18/METTL8/ABT1/RPL7/UTP14A/PPAN/ERI1/EMG1/NOP10/WDR74/RPP14/GON7/ELP1/DDX10/TPRKB/METTL6/EIF6/ELP3/AGO4/RSL1D1/UTP25/RPS19/ERCC2/SHQ1/ADAT2/ZNHIT3/URB1/TSN/RPL14/GTPBP3/TBL3/INTS4/NOL9/RPL35	94
GO:0010506	regulation of autophagy	80/2565	401/21261	3.5748877658589196e-6	0.0025418661937137406	0.002393772457025681	SNX5/HMGB1/TRIM27/MAPT/MTDH/RAB8A/CDK16/EXOC7/ATP6V1D/PLK2/PINK1/TAB2/ATG101/TSPO/ATP6V1C1/RB1CC1/EEF1A2/ENDOG/TRIM5/CDK5/SUPT5H/VHL/VPS13C/TRIM23/RMC1/USP10/ATP6V1G2/FBXL2/TBC1D25/EXOC8/MOAP1/GPR137B/UBQLN4/FOXK2/PSAP/VPS26B/PIK3R2/ATG16L1/RNF31/PIP4K2A/LRSAM1/HDAC6/FYCO1/ATP6V1B1/DCAF12/AKT1/RRAGD/VPS13D/WAC/FOXK1/USP20/ATG13/ATP6V0D1/CAPN1/TIGAR/MCL1/LZTS1/SNX32/SETD2/RIPK2/ULK1/EHMT2/SNX7/TPCN1/DEPDC5/VPS35/CASP3/WDR45/TFEB/SNX18/CALCOCO2/UFL1/FLCN/SREBF1/RRAGB/WDR41/SREBF2/EXOC4/STK38L/CERS1	80
GO:0045727	positive regulation of translation	39/2565	153/21261	3.719199438046442e-6	0.0025418661937137406	0.002393772457025681	C1QBP/POLDIP3/EIF2B5/RPS6KB2/RPS27L/SERP1/SOX4/SH3BGRL/PINK1/TENT4A/PCIF1/HABP4/NPM1/NCK1/IMPACT/RCC1L/FASTKD3/YTHDF1/CSDE1/TRMT10C/YTHDF2/EIF3E/TENT4B/POLR2G/METTL14/LARP4B/METTL8/GUF1/PYM1/THBS1/SAMD4A/EIF6/UPF3A/PLXNB2/FASTKD2/FXR1/ERBB2/LARP1B/FXR2	39
GO:0006261	DNA-templated DNA replication	40/2565	163/21261	7.63585666508775e-6	0.0042755783091215135	0.00402647535875137	POLD2/MGME1/MCMBP/CDC34/CHRAC1/ENDOG/POLG/RFC2/MCM6/DNAJA3/RFC1/TIMELESS/CCNE1/ATR/POLD1/WDR18/RFWD3/POLE/ORC6/POLA2/LIG1/PARP1/PRIM2/CHTF8/POLE2/CDT1/NBN/ATRX/MCM8/MCM2/CAMSAP3/WRNIP1/ZPR1/ORC1/TERF1/E2F7/DNA2/RRM2B/SAMHD1/ETAA1	40
