ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0042254	ribosome biogenesis	148/5103	365/21261	1.3204238935558296e-12	8.628970144387347e-9	7.477768997189856e-9	SART1/RPS13/C1QBP/RRS1/RSL24D1/NOL8/EXOSC3/DIS3/RPS16/HABP4/WDR3/BRIX1/SURF6/NIP7/METTL18/RPS8/NUP88/RBIS/WDR74/TRMT2B/C1orf131/PA2G4/FDXACB1/DDX54/RPS19BP1/DIMT1/ERI1/POP5/DDX27/BYSL/LSM6/DNTTIP2/YTHDF2/NHP2/UTP14A/WDR46/MRPS2/EXOSC2/EXOSC4/NOP10/GEMIN4/RPL24/RIOK1/SDAD1/RNASEL/RPL7A/TFB2M/AIRIM/DDX31/WDR55/BUD23/SRFBP1/LYAR/CINP/SERBP1/RPL7L1/NOP9/ERI3/RPS27L/NGDN/PES1/SNU13/EIF6/PWP1/NPM1/EXOSC1/NOP14/GRWD1/AATF/RPS19/NAF1/FBLL1/NLE1/REXO4/KRR1/NMD3/TRMT61B/RPL23A/PPAN/RPP38/CUL4B/USP36/GTPBP4/IMP4/MPHOSPH10/TMA16/PIH1D1/UTP25/ESF1/SHQ1/DHX29/RPS28/METTL16/GLUL/GTF2H5/NIFK/TENT4B/DROSHA/EXOSC9/NAT10/RPL38/CUL4A/MYBBP1A/METTL17/EMG1/DDX3X/LTV1/RPS7/MTG2/RPL7/GNL2/ABT1/NSUN4/AFG2B/NOL6/GTF3A/MTREX/RPSA2/MDN1/EIF2A/RRP1/MRPL20/RPS17/RPS6/DCAF13/WDR18/RPL11/RIOX2/PNO1/BOP1/UTP20/NOP53/RCL1/RRN3/LSG1/RSL1D1/DDX10/NOL10/ERCC2/RIOK3/ISG20L2/DDX21/ZNHIT3/URB1/WDR12/RPUSD2/RIOK2/FASTKD2	148
GO:0016050	vesicle organization	154/5103	392/21261	8.85004158638573e-12	2.1073909472583003e-8	1.8262414200861202e-8	CHMP1B/FHIP1B/STX5/ATP6V1D/RAB11A/EXOC8/VAMP3/SEC31B/VPS11/STX2/SNAPIN/TRAPPC10/SEC22B/INSIG1/HOOK1/GARIN1A/HOOK2/TMED9/AQP11/RAB3A/ZDHHC15/ZFYVE16/CLCN3/VPS37D/TRAPPC2/ATP6V1F/WASL/MAPK15/AP3S1/RAB8B/VPS36/ATP6V1G2/TMEM9/RAB8A/SEC31A/ANXA1/ATP13A2/STAM2/AP1B1/CIDEB/STX3/GBF1/APOE/STX8/ATP6V0D1/BLOC1S2/SERPINE2/VPS4B/TYRP1/EPS15/CSNK1D/SYT1/SLC35D3/CREB1/CHMP2B/RAB12/TBC1D20/ASIP/ATP6V1B1/PHETA1/STXBP6/ABCB6/TRAPPC8/S100A10/PIP4K2A/AP3B2/DNM1/RAB1A/AP2M1/SNX33/BAIAP3/MVB12A/ATP6V1C1/CCDC136/STX16/VAMP8/TRAPPC5/RAB7A/PLEKHM1/RAB20/UNC13B/STAM/SEC23B/SEC16A/LAMTOR1/BET1/ANKRD27/TBC1D4/SQSTM1/AP3S2/RAB13/PREB/PRRT2/ATP6AP2/TRAPPC6B/TRAPPC9/AP3D1/USO1/RNF26/PDCD6IP/BLOC1S6/ATP6V0A1/DNAJC13/TRAPPC2B/HPS1/SNAP29/ATP6V0B/STX1A/VPS41/HPS5/VAPB/ARFGAP2/PLEKHA3/AP3M1/SNF8/ZEB2/STX6/RAB14/PAFAH1B1/SORT1/FNBP1L/RAB38/RAB27A/DTNBP1/WASHC4/LAPTM4B/PDCD6/YIPF4/ZNF385A/ALS2/PICALM/TGFBRAP1/SCARB2/VAPA/VPS39/EEA1/VTI1B/SDCBP/TSNARE1/GOSR1/VPS33B/VIPAS39/UBAP1/ANKFY1/WASHC5/PRKCI/CUL3/AP1S2/SLC9A8/USP8/TBPL1/VPS33A/VPS37C/MYO18A	154
GO:0016236	macroautophagy	146/5103	367/21261	1.0274668353780573e-11	2.1073909472583003e-8	1.8262414200861202e-8	GAPDH/CHMP1B/SNX5/ATP6V1D/EXOC8/GABARAP/MFN2/SNAPIN/SEC22B/HDAC6/ATG101/TAFAZZIN/CALR/SLC25A5/CAPN1/SNX32/CTSD/VPS37D/CDK5/PEX2/LGALS8/UBXN2B/TBC1D25/RIPK2/PHF23/NBR1/EPG5/PIK3CA/VPS36/TMEM74/DDRGK1/ATP6V1G2/RUBCN/AKT1/HSPB8/ATP13A2/STAM2/PLAA/STBD1/EXOC1/ATP6V0D1/VPS4B/RNF5/PINK1/ATG10/CHMP2B/ATP6V1B1/UCHL1/MAP1LC3A/VPS26A/KDR/ATG16L1/SNX7/LRSAM1/MTM1/RAB3GAP2/CALCOCO2/RAB43/DNAJC16/PIP4K2A/RAB1A/RNF31/UFL1/PACS2/MVB12A/PSEN1/ATP6V1C1/VAMP8/RAB7A/PLEKHM1/EXOC7/VPS26B/MOAP1/STAM/SUPT5H/IFT88/TRAF6/GABARAPL2/USP36/RB1CC1/AP4M1/NSFL1C/LRRK2/FEZ1/GPSM1/PIK3R4/SQSTM1/PRKAA2/RIMOC1/PDCD6IP/TBK1/LZTS1/RETREG1/TIGAR/ATG13/VDAC1/EPHB2/ATP6V0A1/VHL/WIPI1/UBQLN4/ZFYVE1/BNIP3/ATG14/SNAP29/ATP6V0B/RAB3GAP1/VPS41/FYCO1/VPS13D/TP53INP1/SNF8/HUWE1/ATG4B/VMP1/VPS13C/ARFIP2/QSOX1/EXOC4/TRIM13/SNX18/TGFB1/HTT/PGAM5/SPTLC2/KLHL3/ULK1/WDR45B/ATG16L2/SMURF1/WAC/PIK3C3/VPS39/CASP3/CRY1/MAPK8/VTI1B/EHMT2/TBC1D14/VPS35/PAFAH1B2/PEX5/CERS1/SNX14/VPS33A/VPS37C	146
GO:0051656	establishment of organelle localization	185/5103	495/21261	1.2899102967151034e-11	2.1073909472583003e-8	1.8262414200861202e-8	NEFL/CEP19/MAPT/CHMP1B/RRS1/RHOT1/MGARP/PTGDS/RAB11A/CTNNB1/EXOC8/CCNB1/PDPK1/YKT6/BIRC5/SNAPIN/TRAPPC10/CLASP1/HDAC6/SPRY2/NUP88/TMED9/PSRC1/S100A13/RAB3A/SPDYA/NDC80/TOR1A/EXOC3/CDK5/TRAPPC2/EZR/WASL/CDT1/UBXN2B/COPG2/SUN2/DNM1L/MAPK15/KIFC1/ABRAXAS2/STK25/ESPL1/AP3S1/TUBA1A/LMNB1/ATP13A2/KXD1/FAM91A1/KIF25/SDAD1/GBF1/CLNK/EXOC1/BLOC1S2/VPS4B/CSNK1D/RHOT2/PINK1/MREG/CHMP2B/FHOD1/MIS12/RASGRP1/ASIP/BBS2/NUP62/UCHL1/RAB17/ZNF207/ZWILCH/NDE1/CENPA/SUN1/PINX1/NOP9/MAP1B/MAP1S/TRAPPC8/AP3B2/DNM1/RAB1A/EXOC6/DYNC1H1/EIF6/PSEN1/NPM1/NUMA1/CDK5RAP2/VAMP8/TRAPPC5/RAB7A/ENKD1/C12orf4/EXOC7/MAD2L1/KIF3A/INCENP/STAM/NMD3/APC/SEC16A/CDC23/MLH1/NSFL1C/LRRK2/FEZ1/RABGEF1/GPSM1/TBC1D23/DCTN1/AP3S2/HAP1/PREB/TEX14/TRAPPC6B/TRAPPC9/COPS5/AP3D1/SEH1L/PDCD6IP/MYO1C/SPDL1/MYO1E/SPIRE2/PMF1/DLG1/LIN7A/BLOC1S6/AP1AR/PIBF1/HNRNPU/WIPI1/SPHK2/TRAPPC2B/CDR2L/KIT/LTV1/MYO19/SNAP29/SYBU/PDCD10/NDEL1/TTL/FYCO1/ITGB1/ARFGAP2/SYNE2/GAB2/PAX6/AP3M1/SNF8/ACTN4/PAFAH1B1/FNBP1L/ECT2/DNM2/RMDN1/ATP9A/RAB27A/DTNBP1/EXOC4/MDN1/PDCD6/ZBED3/HTT/EXOC5/PEX14/PICALM/CROCC/MAP4/TRAK1/TANC2/BBS7/SDCBP/LSG1/FER/BBS5/SPIRE1/TERF1/CLASP2/LIMK2/CUL3/RIOK2/AGTPBP1	185
GO:0072594	establishment of protein localization to organelle	184/5103	494/21261	2.0470706985750346e-11	2.6755214030375702e-8	2.3185769175439343e-8	SUFU/COX18/MAPT/HAX1/MGARP/ATP5IF1/BCS1L/RAB11A/NIPBL/TSPO/VPS11/POLA2/STK4/MFN2/POM121C/MAIP1/PIK3R1/HSPD1/TIMM29/RPAIN/NUP155/CCT5/GET3/M6PR/APPL1/DNAJC15/PIK3R2/NUP88/DNAJC19/ZDHHC15/PEX7/SPDYA/PEX26/ZFYVE16/ACD/CCT7/HK2/VPS37D/TRIM28/PEX2/DNLZ/SMO/TOMM40/DMAP1/TIMM21/SNUPN/TIMM17B/MTX2/RAB8B/VPS36/GSK3A/VPS13A/GET4/TIMM8B/AKT1/CCT6A/IMMP1L/STAM2/AIP/RUVBL2/IL33/UBE2J2/PTGS2/FIS1/ING1/PEX16/TNPO2/PINK1/SMAD3/NUP62/CCT8/PTTG1IP/NUP35/POT1/HERPUD1/LRSAM1/IPO11/RAB3GAP2/AIFM1/PAM16/TRAM2/FGF9/ELAVL1/MAVS/NUP107/SPIDR/RNF31/MVB12A/PSEN1/PKIA/SRP14/RAB7A/UBL5/KPNA2/MOAP1/STAM/TPR/CDK1/IFT122/SREBF1/USP36/AP4M1/LRRK2/NUTF2/PIK3R4/SQSTM1/SRP9/NEURL1B/SUMO1/HK1/AP3D1/SRP72/EDEM1/TRAF3IP2/ATG13/VPS54/FAM53B/SEC61G/PEX3/PRKCD/KPNA3/ATG14/KPNA5/TXNIP/RAB3GAP1/VPS41/TIMM50/PPP3CA/PEX10/CCT3/VPS13D/UBR5/AP3M1/NAGPA/EFCAB7/SNF8/ZPR1/HUWE1/OXA1L/SORT1/ECT2/VPS13C/PEX13/EIF4ENIF1/LONP2/SRP68/RPL23/PML/RAB10/TGFB1/MDFIC/IPO8/PITRM1/BID/PEX14/CLU/SMURF1/TOMM70/SCARB2/PIK3C3/MAPK8/CCT4/PPP1R10/TIMM10B/SPCS2/UBE2D3/UBAP1/TERF1/SREBF2/TCP1/PXK/GRPEL2/ZNF827/CRY2/VPS53/PEX5/NPEPPS/SEC61A2/IPO9/KPNA4/SEC63/LEPROT/GNPTAB/VPS37C	184
GO:0051648	vesicle localization	99/5103	230/21261	1.3831237037119758e-10	1.506452233959627e-7	1.3054746536790228e-7	CEP19/RAB11A/CTNNB1/EXOC8/YKT6/SNAPIN/TRAPPC10/CLASP1/TMED9/RAB3A/TOR1A/EXOC3/CDK5/TRAPPC2/WASL/MAPK15/AP3S1/BRSK1/ATP13A2/SYN1/FAM91A1/GBF1/EXOC1/BLOC1S2/VPS4B/CSNK1D/PINK1/MREG/RASGRP1/ASIP/BBS2/RAB17/NDE1/CTBP1/TRAPPC8/AP3B2/DNM1/RAB1A/EXOC6/PSEN1/TRAPPC5/RAB7A/NLGN2/EXOC7/KIF3A/STAM/SEC16A/LRRK2/TBC1D23/DCTN1/AP3S2/HAP1/PREB/TRAPPC6B/TRAPPC9/COPS5/AP3D1/USO1/PDCD6IP/MYO1C/MYO1E/SYNDIG1/LIN7A/BLOC1S6/AP1AR/WIPI1/TRAPPC2B/CDR2L/MYO19/SNAP29/SYBU/NDEL1/FYCO1/ARFGAP2/AP3M1/SNF8/ACTN4/PAFAH1B1/FNBP1L/DNM2/ATP9A/RAB27A/DTNBP1/EXOC4/PDCD6/HTT/EXOC5/PICALM/TRAK1/TANC2/BBS7/SDCBP/BBS5/VPS33B/CDH2/CLASP2/LIMK2/CUL3/VPS33A	99
GO:1903320	regulation of protein modification by small protein conjugation or removal	110/5103	268/21261	4.2057243564820134e-10	3.9263440956585654e-7	3.402525870356877e-7	KDM1A/EGR1/RPS2/CTNNB1/TSPO/GABARAP/HSPBP1/BEX1/HSP90AB1/ARRDC4/CEP63/SPRY2/WBP1L/SIAH2/COPS3/CDK5/UBXN1/COPS2/RIPK2/BEX4/COPS6/PHF23/SOX4/TICAM1/RASSF5/MUL1/GSK3A/MINAR1/AKT1/HMG20B/DNAJB2/PARK7/DCUN1D1/PLAA/AIMP2/NMI/PINK1/HSPA1A/PTTG1IP/DCUN1D2/HERPUD1/PELI1/NDFIP2/CDK5RAP3/FZR1/PINX1/COPS7A/OTUD4/UFL1/NPM1/PRKCE/RNF111/PIN1/MAD2L1/SVBP/TRAF6/BTRC/BEX2/SPOPL/DCUN1D4/TAF1/GTPBP4/LRRK2/UBE2S/DCUN1D3/TOLLIP/N4BP1/SQSTM1/MARCHF7/COPS5/COPS8/ARRB1/IVNS1ABP/MAPK9/BIRC2/UBE2V1/U2AF2/HMG20A/CAPN3/DDX3X/SKP2/RPS7/USP44/DERL1/PIAS3/DCUN1D5/HUWE1/HDAC8/GCLC/UBA2/PIAS1/RPL23/PRMT3/PDCD6/HSPA1B/WFS1/BCL10/TCF25/NXN/RPL11/WDR48/COMMD1/CRY1/NOP53/CHFR/GSK3B/ARNT/CUL3/SASH1/UBE2V2	110
GO:0051650	establishment of vesicle localization	90/5103	209/21261	9.108856710964519e-10	7.429441615942084e-7	6.438270993237774e-7	CEP19/RAB11A/CTNNB1/EXOC8/YKT6/SNAPIN/TRAPPC10/CLASP1/TMED9/RAB3A/TOR1A/EXOC3/CDK5/TRAPPC2/WASL/MAPK15/AP3S1/ATP13A2/FAM91A1/GBF1/EXOC1/BLOC1S2/VPS4B/CSNK1D/PINK1/MREG/RASGRP1/ASIP/BBS2/RAB17/NDE1/TRAPPC8/AP3B2/DNM1/RAB1A/EXOC6/PSEN1/TRAPPC5/RAB7A/EXOC7/KIF3A/STAM/SEC16A/LRRK2/TBC1D23/DCTN1/AP3S2/HAP1/PREB/TRAPPC6B/TRAPPC9/COPS5/AP3D1/PDCD6IP/MYO1C/MYO1E/LIN7A/BLOC1S6/AP1AR/WIPI1/TRAPPC2B/CDR2L/MYO19/SNAP29/SYBU/NDEL1/FYCO1/ARFGAP2/AP3M1/SNF8/ACTN4/PAFAH1B1/FNBP1L/DNM2/ATP9A/RAB27A/DTNBP1/EXOC4/PDCD6/HTT/EXOC5/PICALM/TRAK1/TANC2/BBS7/SDCBP/BBS5/CLASP2/LIMK2/CUL3	90
GO:0034504	protein localization to nucleus	131/5103	339/21261	1.0914894376923443e-9	7.429441615942084e-7	6.438270993237774e-7	SUFU/RRS1/CHCHD10/NOL8/MAGED1/POLA2/STK4/POM121C/CNEP1R1/LATS1/PIK3R1/PPP3CB/RPAIN/MORC3/NUP155/CCT5/APPL1/PIK3R2/CALR/NUP88/SUMO3/TRIM8/TOR1A/CACNB4/CTNNA1/CCT7/CDK5/TRIM28/SUN2/SMO/BYSL/DMAP1/CLDN18/SNUPN/RASSF5/TOR1B/AKT1/LMNB1/CCT6A/SIX4/PARK7/ATP13A2/LAMTOR5/IL33/PTGS2/ING1/TNPO2/SMAD3/NUP62/CCT8/PTTG1IP/NUP35/IPO11/CDK5RAP3/F2/SUN1/PINX1/FGF9/LATS2/ELAVL1/MAVS/NUP107/TXN/WWTR1/PSEN1/NPM1/RANGAP1/PKIA/PIN1/DVL1/KPNA2/NMD3/TPR/CDK1/ZBTB7A/LARP7/LRRK2/NUTF2/SQSTM1/MFHAS1/SUMO1/UTP25/KAT7/PLRG1/PARP1/BANP/TRAF3IP2/FAM53B/GLUL/ABCA7/PRKCD/HNRNPU/KPNA3/RAP1GDS1/KPNA5/TXNIP/PPP3CA/CCT3/TOR1AIP2/UBR5/YWHAE/TBRG1/EFCAB7/ZPR1/ECT2/EIF4ENIF1/RPL23/SOX9/PML/TGFB1/MDM2/CREBBP/MDFIC/IPO8/HDGF/RPL11/FLCN/CCT4/NOP53/PPP1R10/BARD1/GSK3B/JAK1/DNAJB6/CD2AP/TCP1/LIMK2/CRY2/BBS4/IPO9/KPNA4	131
GO:1901873	regulation of post-translational protein modification	126/5103	323/21261	1.136869413304068e-9	7.429441615942084e-7	6.438270993237774e-7	KDM1A/EGR1/RPS2/CTNNB1/TSPO/GABARAP/HSPBP1/BEX1/HSP90AB1/ARRDC4/CEP63/SPRY2/WBP1L/SIAH2/NELFE/COPS3/CDK5/KANSL1/UBXN1/COPS2/RIPK2/BEX4/COPS6/PHF23/SOX4/NFYB/DEK/TICAM1/RASSF5/MUL1/GSK3A/MINAR1/SF3B1/AKT1/HMG20B/DNAJB2/PARK7/DCUN1D1/PLAA/AIMP2/NMI/PINK1/HSPA1A/PTTG1IP/DCUN1D2/HERPUD1/PELI1/NDFIP2/CDK5RAP3/FZR1/PINX1/COPS7A/OTUD4/BAZ1B/NFYA/ABCA2/UFL1/NPM1/PPARGC1A/PRKCE/RNF111/PIN1/MAD2L1/SVBP/TRAF6/BTRC/BEX2/SPOPL/DCUN1D4/TAF1/GTPBP4/LRRK2/UBE2S/DCUN1D3/TOLLIP/N4BP1/SQSTM1/MARCHF7/KANSL3/COPS5/COPS8/ARRB1/IVNS1ABP/NELFA/MAPK9/CRTAP/BIRC2/UBE2V1/U2AF2/HMG20A/MYBBP1A/CAPN3/DDX3X/SKP2/RPS7/USP44/DERL1/PIAS3/DCUN1D5/HUWE1/HDAC8/GCLC/UBA2/PIAS1/RPL23/PRMT3/PDCD6/HSPA1B/WFS1/BCL10/TCF25/NXN/RPL11/WDR48/COMMD1/FLCN/CRY1/NOP53/EHMT2/CHFR/GSK3B/ARNT/DDX21/CUL3/SASH1/UBE2V2	126
