EP1-BRN3B-RO_hp1	EP1-BRN3B-RO_hp2	EP1-WT_hRO_2_hp1	EP1-WT_hRO_2_hp2	EP1-WT_ROs_D45_hp1	EP1-WT_ROs_D45_hp2	H9-BRN3B_hRO_2_hp1	H9-BRN3B_hRO_2_hp2	H9-BRN3B-RO_hp1	H9-BRN3B-RO_hp2	H9-CRX_hRO_2_hp1	H9-CRX_hRO_2_hp2	H9-CRX_ROs_D45_hp1	H9-CRX_ROs_D45_hp2	H9-FT_1_hp1	H9-FT_1_hp2	H9-FT_2_hp1	H9-FT_2_hp2	H9-hRGC_1_hp1	H9-hRGC_1_hp2	H9-hRGC_2_hp1	H9-hRGC_2_hp2	gene_id
604	101	336	130	1186	208	8	507	5	312	8	430	5	871	1	430	4	338	1	35	6	200	ENSG00000000003
0	5	0	1	2	7	0	0	2	5	0	0	0	0	4	0	0	0	0	0	0	0	ENSG00000000005
1	10	1	3.00001	10	10.99999	1	11.00001	3.99999	4	1.99999	12	9.00001	12.00001	6.00001	0	3.99999	15.00001	0	0	12	4.99999	ENSG00000000419
158	58	36	16	95	45	36	31	187	115	39	57	66.00001	59	20	20	23	33	5	8	48	30	ENSG00000000457
159	33	56	9	224	46	35	20	65	71	45	16	97	97	24	15	33	18	5	3	76	31	ENSG00000000460
1	0	0	0	0	0	1	3	1	9	3	0	0	0	0	0	2	1	0	0	0	0	ENSG00000000938
63.99999	68	2	0	10	0	9	2	81	81	1	0	0	0	1	1	15	0	0	18	0	0	ENSG00000000971
387	11	223	4	419	12	119	124	82	110	144	139	225	255	70	62	58	65	24	26	124	92	ENSG00000001036
47	207	33	89	28.00001	143	41	55	184	166	71	62	59	68	84	80	56	48	14	29.99999	107.99999	105	ENSG00000001084
5	44	2	19	4	102	17	20	20	40	12	27	17	35	23	29	18	41	13	7	27	34	ENSG00000001167
96	68	36	31	33	30	43	33	138	115	31	30	34	25	24	20	52	43	18	10	66	25	ENSG00000001460
188.99999	195	88	48	34	35	114	81	288	188	104	87	30	57.00001	75	66	111	103	37	29	160	182	ENSG00000001461
29	102	9	56	18	62	37	59	61	58	27	29	29	40	37	28	31	22	7	8	34	46	ENSG00000001561
188.99999	139	78	36	75	43.99999	37	76	46	180	39	96	20	124.99999	33	58	28	53.00001	6	22	26	105	ENSG00000001617
29.00001	15	2	0	2	0	0	2	22	57	0	2	0	0	0	1	5	1	8	5	7	8	ENSG00000001626
80	199	16	70	34	204	73	43	173	114	56	53	78	75	95	78	46	69	45	44	182	146	ENSG00000001629
2	186	0	44	0	137	29	3	68	33	14	3	2	0	106	3	50	26	38	46	69	72	ENSG00000001630
265.00002	1268.99999	116.00001	214.00001	228	732	203	411	600.99999	706.99997	220	262	451	182	304.99998	481.00001	372.99999	276	53.99999	108	244.00001	364.00001	ENSG00000001631
152.99999	224	145	110	138	147	99	137	171	117	129	116	143	102	135	149	141	134.99999	44	68	225	217	ENSG00000002016
40.00001	20	12.00001	3	28	0.99999	9	0	20	3.99999	6	2	20.00001	3	11	0	12	0	3.99999	0	18	6	ENSG00000002549
3.99999	6	0	0	0	8	2	3	10	3	2	0	1	0	3	0	0	7	1	0	12	4	ENSG00000002726
0	6	0	9	0	7	3	2	3	1	6	9	3	3	6	13	9	6	2	2	3	10	ENSG00000002745
30	10	17	8	22	10	4	14	43	34	6	6	12	17	7	4	4	3	39	26	95	92	ENSG00000002746
32	44.00001	46	3.00001	108.00001	52	13	15	7	28	10	9	21	27	15	24	9	13	4	4	33	43	ENSG00000002822
22	52	13	45	25	46	16	36	37	24	8	12	37	34	44	41	45	25	2	2	30	21	ENSG00000002834
49	46	19	12	26	24	23	13	39	36	31	12	23	21	9	12	9	18	4	4	29	33	ENSG00000002919
8	79	9	133	26	141	159	142	69	63	101	118	127	115	146	155	173	172	83	61	430	447	ENSG00000002933
340	0	116	0	263	4	99	8	186	13	91	3	103	6	60	10	76	6	15	2	129	2	ENSG00000003056
1051	735	213	148	5	2	85	92	516	603	175	196	0	2	11	5	6	1	0	2	12	6	ENSG00000003137
20	15	16	63	9	7.00001	14	14	62.00001	121	7	16	12	4	57	31	127	215	8	16	39	97	ENSG00000003147
342.99998	650.99999	97	473.00001	188	539.99999	292	377	762	550.00001	428	250	152	262.99999	152	230	345	379	80	49	409	467.99999	ENSG00000003393
49	23	23	9	15	20	18	14	32	18	8	3	11	12	10	5	4	1	4	2	5	0	ENSG00000003402
6	41	1	12	1	53	13	17	22	19	4	5	17	43	6	10	19	17	0	0	0	2	ENSG00000003436
20	1	11	0	16	0	6	12	10	30	7	6	5	34	4	21	9	14	0	8	12	36	ENSG00000003509
827	179	299	71	475	135	386	79	539	105	382	68	327	82	516	115	432	106	166	29	662	141	ENSG00000003756
201	270	50	116	69	182	82	87	342	294	101	83	73	58	126	95	88	94	124	109	396	347	ENSG00000003987
25	63.00001	6	15	24	70	12	11.99999	77	57	21.00001	19.99999	45.00001	37	13	23.00001	21.99999	12	6	8	16	10.99999	ENSG00000003989
138	34	23	5	131	35	19	12	51	93	12	9	46	76	58	66	39	23	16	8	72	74	ENSG00000004139
194	212	74	65	199	184	89	97	145	220	67	71	161	174	100	88	78	75	23	35	125	162	ENSG00000004142
53	75	7	9	18	16	19	16	32	31	18	13	80	54	33	18	26	30	1	2	27	21	ENSG00000004399
217	7	97	0	163	0	53	43.99999	112	67	23	34	43	67.00001	20	35	34	32	5	14	33	31	ENSG00000004455
799	0	133	0	1361	0	0	697	153	50	289	31	358	0	29	323	697	792	0	10	1276	901	ENSG00000004487
1571	102	497	32	818	67	312	372	377	383	324	384	214	177	339	412	313	351	125	137	480	414	ENSG00000004534
108	14.99999	24	5	68	2	25	56	61	85	31	25	11	48	17	27	28	16	2	2	44	54	ENSG00000004660
9	144	4	56	10	218	36	41	63	70	30	61	105	125	43	31	23	34	17	10	52	61	ENSG00000004700
14	107	3	11	0	15	7	2	23	33	5	12	10	6	10	6	17	18.00001	2	5	34	38	ENSG00000004766
13	8	2	0	20	5	6	5	6	11	2	5	2	5	2	5	3	2	1	6	3	9	ENSG00000004779
0	42	1	42	1	44	15	29	10	14	16	27	18	25	8	16	11	12	0	1	0	2	ENSG00000004799
3	0	1	0	0	0	0	0	9	5	0	1	0	1	0	1	0	4	0	0	1	1	ENSG00000004809
6	1	4	0	3	6	0	0	9	12	2	2	0	3	4	7	19	4	0	2	6	3	ENSG00000004846
0	2	3	0	1	0	5	0	15	40	0	6	0	0	5	2	9	3	0	0	25	0	ENSG00000004864
20	10	0	0	8	27	0	0	32	0	0	0	0	0	0	46	10	10	28	10	144	75	ENSG00000004866
447	64	155	17	636	130	125	131	203	238	127	136	226	216	211	305	232	318	46	51	307	369	ENSG00000004897
0	0	0.99999	0	3	0	0	0	12	9	0	0	0	0	0	3	0	0	0	0	3	6	ENSG00000004948
96	0.99999	44	2	74	3.00001	41	0	108	2	35	0	50	2	32	2	24	0	10	0	52	0	ENSG00000004961
0	20	0	2	0	11	10	0	3	10	4	0	16	3	1	8	6	0	0	0	5	1	ENSG00000004975
38	8.99999	7	5.99999	18.99999	7	9.99999	6.99999	25	18	6	3	10	6.99999	12	3	9	10	3	3	7	10	ENSG00000005007
25	3	2	0	3	0	5	5	20	10	4	1	1	3	3	5	8	3	6	3	20	12	ENSG00000005020
0	9	0	2	0	21	0	5	1	8	1	8	0	4	0	6	0	5	0	1	0	13	ENSG00000005022
116	133	35	33	71	74	33	33	49	64	24	35	77	69	20	19	13	32	2	7	23	25	ENSG00000005059
223	67	62	16	111	40	39	43	127	108	35	43	81	82	53	64	47	40	24	24	80	88	ENSG00000005100
6	5	1	1	4	2	2	2	1	1	3	4	0	0	3	0	4	0	2	1	2	7	ENSG00000005102
194	121	80	56	171	94	83	67	238	174	75	71	65	54	45	53	37	47	53	55	134	106	ENSG00000005108
4	3	0	1	3	5	2	1	0	4	2	2	4	5	2	4	1	1	0	2	6	7	ENSG00000005156
161	70	73	0.99999	193	40	56	36	107	43	57	43	67	65	36	42	48	64	13	25	135	97.99999	ENSG00000005175
4	8	1	0	2	1	2	2	6	4	3	2	3	1	3	1	4	0	1	2	4	8	ENSG00000005187
70	97	20	36	92	91	49	50	67	70	37	35.00001	80.99999	91	28	41	41	62	5	1	35	36	ENSG00000005189
128	48	33.00001	19	154	41	27.00001	48	106.99999	59	61	35	60	54	37.99999	33.00001	36.99999	32	7	10	47.00001	48	ENSG00000005194
56	108	16	66	60	125	16	38	74	85	15	20	108	99.00001	37	49	28	47	7	3	52	53	ENSG00000005206
24	5	3	3	12	2	9	4	12	14	6	5	13	8	8	15	9	11	0	1	0	1	ENSG00000005243
119	62	37	32	97	51	34	32	132	169	27	36	46	51	43	40	41	48	34	39	177	144	ENSG00000005249
64	7	34.99999	0	46.99999	1	29.99998	0	56	65	44.99999	1	49	5	17	15	40.00001	0	5	0	73.00002	0	ENSG00000005302
457	94	132	44	343	71	55	73	155	153	80	61	188	162	169	134	106	131	31	30	131	188	ENSG00000005339
35	204	43	123	31	223	77	96	123	129	58	78	103	122	110	123	111	104	38	44	92	120	ENSG00000005379
18	5	0	4	6	3	2	1	10	10	3	2	3	3	14	6	14	20	2	2	14	13	ENSG00000005421
17	3	1	9	12	21	16	0	0	3	1	10	2	1	3	6	6.99999	0	6	0	13	2	ENSG00000005436
91	420	67	351	88	305	136	251.00001	110	310	123	293	49	104	253	495	160	323.99999	23	77	151	459	ENSG00000005483
215	371	14	20	14	16	56	38	418	347	54	36	31	36	29	23	13	15	6	1	23	13	ENSG00000005513
128.99999	215	69	73	184	241	39	100	89	212	83	79	96	119	45	88	52	67	9	16.00001	92	113	ENSG00000005700
340.00001	11	165.00001	2	477.00001	3	119.99999	98	185.99999	178.00001	104.99999	89	170.99999	165.00001	83	120.00001	68.99999	86	48	56.00001	299.00001	282.00001	ENSG00000005801
195	73	41.00004	164.00004	101.00004	248	37	34	165.99997	108	42.00003	59.00004	44.00004	42	146	109.99998	69	62	34.99996	20	393	147	ENSG00000005810
292	11.00001	124	5	246	4	83	90	165	158	73	62	133	172	69	68	69	73	23	25	52	57	ENSG00000005882
