gene	non_ase	H1	H2
ENSG00000151615	yes	yes	yes
ENSG00000165646	yes	yes	yes
ENSG00000162105	yes	no	yes
ENSG00000142089	yes	no	no
ENSG00000185650	yes	yes	yes
ENSG00000143768	yes	no	no
ENSG00000137693	yes	yes	yes
ENSG00000053108	yes	yes	yes
ENSG00000104722	yes	no	no
ENSG00000185885	yes	no	no
ENSG00000074181	yes	yes	yes
ENSG00000277586	yes	no	no
ENSG00000162188	yes	no	no
ENSG00000118523	yes	yes	yes
ENSG00000175874	yes	no	no
ENSG00000171243	yes	no	no
ENSG00000187122	yes	yes	yes
ENSG00000109991	yes	no	no
ENSG00000180447	yes	yes	no
ENSG00000145808	yes	yes	yes
ENSG00000135406	yes	no	no
ENSG00000152977	yes	no	no
ENSG00000108309	yes	no	no
ENSG00000119283	yes	no	no
ENSG00000130287	yes	yes	yes
ENSG00000196132	yes	yes	yes
ENSG00000164294	yes	yes	yes
ENSG00000166803	yes	no	no
ENSG00000114315	yes	yes	no
ENSG00000101489	yes	yes	yes
ENSG00000140545	yes	yes	yes
ENSG00000145920	yes	yes	yes
ENSG00000089685	yes	no	no
ENSG00000146250	yes	no	no
ENSG00000145824	yes	no	no
ENSG00000157064	yes	no	no
ENSG00000178999	yes	yes	yes
ENSG00000114251	yes	yes	yes
ENSG00000142871	yes	yes	yes
ENSG00000135447	yes	no	no
ENSG00000015592	yes	yes	yes
ENSG00000198732	yes	no	no
ENSG00000204520	yes	no	no
ENSG00000128833	yes	no	no
ENSG00000143375	yes	yes	no
ENSG00000162344	yes	yes	yes
ENSG00000184232	yes	no	no
ENSG00000008197	yes	yes	yes
ENSG00000104375	yes	no	yes
ENSG00000167281	yes	yes	no
ENSG00000149295	yes	yes	yes
ENSG00000180730	yes	yes	no
ENSG00000121039	yes	no	no
ENSG00000118432	yes	yes	yes
ENSG00000103034	yes	yes	yes
ENSG00000084093	yes	yes	yes
ENSG00000165092	yes	no	no
ENSG00000136274	yes	yes	yes
ENSG00000160111	yes	yes	yes
ENSG00000139219	yes	yes	yes
ENSG00000168672	yes	no	no
ENSG00000250722	yes	yes	yes
ENSG00000164692	yes	yes	yes
ENSG00000116039	yes	no	no
ENSG00000170091	yes	yes	yes
ENSG00000175063	yes	no	no
ENSG00000090530	yes	no	no
ENSG00000126733	yes	no	no
ENSG00000119614	yes	yes	yes
ENSG00000152661	yes	no	no
ENSG00000196159	yes	yes	no
ENSG00000173068	yes	yes	yes
ENSG00000148773	yes	yes	yes
ENSG00000185201	yes	no	no
ENSG00000113140	yes	no	no
ENSG00000101335	yes	no	no
ENSG00000172020	yes	yes	yes
ENSG00000150556	yes	no	no
ENSG00000119547	yes	no	no
ENSG00000111913	yes	yes	yes
ENSG00000198216	yes	yes	yes
ENSG00000100968	yes	no	no
ENSG00000205336	yes	yes	yes
ENSG00000149257	yes	no	no
ENSG00000152954	yes	yes	yes
ENSG00000162493	yes	yes	yes
ENSG00000152518	yes	yes	yes
ENSG00000130203	yes	no	no
ENSG00000101204	yes	yes	yes
ENSG00000088325	yes	yes	yes
ENSG00000139970	yes	yes	no
ENSG00000137804	yes	no	no
ENSG00000111057	yes	no	no
ENSG00000179774	yes	no	no
ENSG00000112559	yes	no	no
ENSG00000129474	yes	yes	yes
ENSG00000269955	yes	no	no
ENSG00000112984	yes	yes	yes
ENSG00000075420	yes	no	yes
ENSG00000186868	yes	no	no
ENSG00000145423	yes	no	no
ENSG00000135596	yes	yes	yes
ENSG00000134250	yes	no	no
ENSG00000156298	yes	no	no
ENSG00000169783	yes	no	no
ENSG00000130635	yes	yes	yes
ENSG00000162407	yes	no	no
ENSG00000110092	yes	no	no
ENSG00000145632	yes	no	no
ENSG00000091490	yes	yes	yes
ENSG00000150551	yes	no	no
ENSG00000026025	yes	no	no
ENSG00000011028	yes	no	no
ENSG00000205922	yes	yes	yes
ENSG00000184611	yes	no	no
ENSG00000127585	yes	no	no
ENSG00000141052	yes	yes	yes
ENSG00000173267	yes	no	no
ENSG00000186469	yes	no	no
ENSG00000109846	yes	no	no
ENSG00000087258	yes	yes	yes
ENSG00000131094	yes	yes	yes
ENSG00000158402	yes	yes	yes
ENSG00000155980	yes	no	no
ENSG00000002746	yes	yes	yes
ENSG00000204624	yes	yes	yes
ENSG00000183775	yes	no	no
ENSG00000198910	yes	no	no
ENSG00000135454	yes	yes	no
ENSG00000205403	yes	no	no
ENSG00000120875	yes	yes	yes
ENSG00000172037	yes	no	no
ENSG00000177679	yes	yes	yes
ENSG00000143545	yes	no	no
ENSG00000101349	yes	no	yes
ENSG00000162545	yes	no	no
ENSG00000117016	yes	no	no
ENSG00000103647	yes	yes	yes
ENSG00000159409	yes	yes	yes
ENSG00000134853	yes	yes	no
ENSG00000163251	yes	yes	yes
ENSG00000167244	yes	no	no
ENSG00000149591	yes	no	no
ENSG00000164611	yes	no	no
ENSG00000108924	yes	yes	yes
ENSG00000261210	yes	no	no
ENSG00000167601	yes	no	no
ENSG00000180340	yes	yes	yes
ENSG00000158270	yes	yes	yes
ENSG00000117399	yes	no	no
ENSG00000139445	yes	no	no
ENSG00000135824	yes	no	no
ENSG00000144460	yes	yes	yes
ENSG00000152284	yes	no	no
ENSG00000081138	yes	no	yes
ENSG00000142694	yes	no	no
