gene	EP1	H9
ENSG00000179774	yes	no
ENSG00000197921	yes	yes
ENSG00000198105	yes	no
ENSG00000004487	yes	no
ENSG00000187189	yes	no
ENSG00000179262	yes	no
ENSG00000181991	yes	no
ENSG00000241370	yes	no
ENSG00000064655	yes	no
ENSG00000120738	yes	no
ENSG00000177697	yes	no
ENSG00000102225	yes	yes
ENSG00000170464	yes	no
ENSG00000104442	yes	no
ENSG00000058804	yes	no
ENSG00000259494	yes	no
ENSG00000141127	yes	no
ENSG00000175467	yes	no
ENSG00000138279	yes	no
ENSG00000107882	yes	no
ENSG00000155660	yes	no
ENSG00000164929	yes	no
ENSG00000160818	yes	no
ENSG00000234616	yes	no
ENSG00000110700	yes	yes
ENSG00000145824	yes	no
ENSG00000277586	yes	no
ENSG00000177311	yes	no
ENSG00000174007	yes	no
ENSG00000176845	yes	no
ENSG00000189057	yes	no
ENSG00000180035	yes	no
ENSG00000099219	yes	no
ENSG00000131470	yes	no
ENSG00000163626	yes	no
ENSG00000176101	yes	no
ENSG00000172273	yes	no
ENSG00000064652	yes	no
ENSG00000223953	yes	no
ENSG00000016082	yes	no
ENSG00000160325	yes	no
ENSG00000169926	yes	no
ENSG00000129355	yes	no
ENSG00000160284	yes	no
ENSG00000198736	yes	no
ENSG00000121542	yes	no
ENSG00000111640	yes	no
ENSG00000176018	yes	no
ENSG00000156298	yes	yes
ENSG00000121350	yes	no
ENSG00000148297	yes	no
ENSG00000142694	yes	no
ENSG00000118231	yes	no
ENSG00000196502	yes	no
ENSG00000241127	yes	no
ENSG00000138107	yes	no
ENSG00000059573	yes	no
ENSG00000196136	yes	no
ENSG00000143257	yes	no
ENSG00000198715	yes	no
ENSG00000166508	yes	no
ENSG00000043514	yes	no
ENSG00000082684	yes	no
ENSG00000131435	yes	no
ENSG00000184232	yes	no
ENSG00000186868	yes	no
ENSG00000248383	yes	no
ENSG00000198551	yes	no
ENSG00000215252	yes	no
ENSG00000009307	yes	no
ENSG00000139636	yes	no
ENSG00000177432	yes	yes
ENSG00000131143	yes	no
ENSG00000176244	yes	no
ENSG00000180354	yes	no
ENSG00000140988	yes	no
ENSG00000085644	yes	yes
ENSG00000243989	yes	no
ENSG00000014164	yes	no
ENSG00000186376	yes	yes
ENSG00000174799	yes	no
ENSG00000213186	yes	no
ENSG00000111229	yes	no
ENSG00000255112	yes	no
ENSG00000123136	yes	no
ENSG00000178074	yes	no
ENSG00000165512	yes	no
ENSG00000165782	yes	no
ENSG00000108561	yes	no
ENSG00000188186	yes	no
ENSG00000204033	yes	no
ENSG00000013375	yes	no
ENSG00000132330	yes	no
ENSG00000134202	yes	no
ENSG00000170779	yes	no
ENSG00000051009	yes	no
ENSG00000179041	yes	no
ENSG00000171729	yes	no
ENSG00000117480	yes	no
ENSG00000125871	yes	no
ENSG00000250479	yes	no
ENSG00000120265	yes	no
ENSG00000267855	yes	no
ENSG00000168874	yes	no
ENSG00000124279	yes	no
ENSG00000177156	yes	no
ENSG00000126858	yes	no
ENSG00000104722	yes	no
ENSG00000115364	yes	no
ENSG00000143575	yes	no
ENSG00000137463	yes	no
ENSG00000213563	yes	no
ENSG00000137876	yes	no
ENSG00000142235	yes	no
ENSG00000169598	yes	no
ENSG00000146242	yes	no
ENSG00000250120	yes	no
ENSG00000067836	yes	no
ENSG00000008988	yes	no
ENSG00000198000	yes	no
ENSG00000145632	yes	no
ENSG00000014824	yes	no
ENSG00000127554	yes	no
ENSG00000142186	yes	no
ENSG00000181830	yes	no
ENSG00000089006	yes	no
ENSG00000106397	yes	no
ENSG00000226742	yes	no
ENSG00000162236	yes	no
ENSG00000107371	yes	no
ENSG00000188566	yes	no
ENSG00000103549	yes	no
ENSG00000054148	yes	no
ENSG00000107317	yes	no
ENSG00000140395	yes	no
ENSG00000167333	yes	no
ENSG00000113140	yes	no
ENSG00000171310	yes	no
ENSG00000110881	yes	no
ENSG00000132879	yes	no
ENSG00000125388	yes	no
ENSG00000145423	yes	no
ENSG00000163516	yes	no
ENSG00000185305	yes	no
ENSG00000133740	yes	no
ENSG00000100554	yes	yes
ENSG00000214756	yes	no
ENSG00000197557	yes	no
ENSG00000130770	yes	no
ENSG00000103855	yes	no
ENSG00000117122	yes	no
ENSG00000196437	yes	no
ENSG00000160679	yes	no
ENSG00000198231	yes	no
ENSG00000174788	yes	no
ENSG00000240184	yes	no
ENSG00000172817	yes	no
ENSG00000175606	yes	no
ENSG00000106682	yes	no
ENSG00000241837	yes	no
ENSG00000081985	yes	no
ENSG00000124243	yes	no
ENSG00000152193	yes	no
ENSG00000179222	yes	yes
ENSG00000138835	yes	no
ENSG00000077232	yes	no
ENSG00000111906	yes	no
ENSG00000117592	yes	no
ENSG00000154721	yes	no
ENSG00000182195	yes	yes
ENSG00000184164	yes	no
ENSG00000074582	yes	no
ENSG00000147400	yes	no
ENSG00000173542	yes	no
ENSG00000103769	yes	no
ENSG00000177301	yes	no
ENSG00000198721	yes	no
ENSG00000155542	yes	no
ENSG00000179922	yes	no
ENSG00000168036	yes	no
ENSG00000184302	yes	no
ENSG00000178695	yes	no
ENSG00000128272	yes	no
ENSG00000108179	yes	no
ENSG00000163472	yes	no
ENSG00000130303	yes	no
ENSG00000144290	yes	no
ENSG00000176903	yes	no
ENSG00000121318	yes	no
ENSG00000164162	yes	no
ENSG00000164190	yes	no
ENSG00000119537	yes	no
ENSG00000105722	yes	no
ENSG00000166135	yes	no
ENSG00000095059	yes	no
ENSG00000169508	yes	no
ENSG00000153048	yes	no
ENSG00000164209	yes	no
ENSG00000083520	yes	no
ENSG00000105193	yes	no
ENSG00000011478	yes	no
ENSG00000118369	yes	no
ENSG00000188895	yes	no
ENSG00000110435	yes	no
ENSG00000100968	yes	no
ENSG00000152944	yes	no
ENSG00000159079	yes	no
ENSG00000090013	yes	no
ENSG00000140939	yes	no
ENSG00000163521	yes	no
ENSG00000105404	yes	no
ENSG00000113712	yes	no
ENSG00000188747	yes	no
ENSG00000138061	yes	no
ENSG00000100300	yes	no
ENSG00000198182	yes	no
ENSG00000177239	yes	no
ENSG00000178177	yes	no
ENSG00000116903	yes	no
ENSG00000177614	yes	no
ENSG00000100360	yes	no
ENSG00000106819	yes	no
ENSG00000148481	yes	no
ENSG00000184545	yes	no
ENSG00000134057	yes	no
ENSG00000204310	yes	no
ENSG00000175970	yes	no
ENSG00000049245	yes	no
ENSG00000075826	yes	no
ENSG00000164818	yes	no
ENSG00000286522	yes	no
ENSG00000140093	yes	no
ENSG00000114978	yes	no
ENSG00000183773	yes	no
ENSG00000184160	yes	no
ENSG00000165819	yes	no
ENSG00000130956	yes	no
ENSG00000213903	yes	no
ENSG00000104936	yes	no
ENSG00000124596	yes	no
ENSG00000243335	yes	no
ENSG00000120256	yes	no
ENSG00000164902	yes	no
ENSG00000148291	yes	no
ENSG00000164002	yes	no
ENSG00000177700	yes	no
ENSG00000120253	yes	no
ENSG00000124942	yes	no
ENSG00000083099	yes	no
ENSG00000168582	yes	no
ENSG00000063761	yes	no
ENSG00000163807	yes	no
ENSG00000103591	yes	no
ENSG00000133243	yes	no
ENSG00000106355	yes	no
ENSG00000168917	yes	no
ENSG00000158457	yes	no
ENSG00000145741	yes	no
ENSG00000130881	yes	no
ENSG00000132912	yes	no
ENSG00000112584	yes	no
ENSG00000170296	yes	no
ENSG00000160695	yes	no
ENSG00000107614	yes	no
ENSG00000110200	yes	no
ENSG00000117600	yes	no
ENSG00000139437	yes	no
ENSG00000171241	yes	no
ENSG00000143570	yes	no
ENSG00000140992	yes	yes
ENSG00000167635	yes	no
ENSG00000168763	yes	no
ENSG00000113013	yes	no
ENSG00000162729	yes	no
ENSG00000141644	yes	no
ENSG00000133398	yes	no
ENSG00000116199	yes	no
ENSG00000175567	yes	yes
ENSG00000161202	yes	no
ENSG00000151366	yes	no
ENSG00000133265	yes	no
ENSG00000186395	yes	no
ENSG00000179029	yes	no
ENSG00000115128	yes	no
ENSG00000172350	yes	no
ENSG00000129757	yes	yes
ENSG00000131019	yes	no
ENSG00000135002	yes	no
ENSG00000205795	yes	no
ENSG00000125520	yes	no
ENSG00000243147	yes	no
ENSG00000163444	yes	no
ENSG00000100519	yes	no
ENSG00000107551	yes	no
ENSG00000131148	yes	no
ENSG00000178343	yes	no
ENSG00000198435	yes	no
ENSG00000133742	yes	no
ENSG00000260456	yes	no
ENSG00000124493	yes	no
ENSG00000224051	yes	no
ENSG00000164978	yes	no
ENSG00000175756	yes	no
ENSG00000134056	yes	no
ENSG00000189042	yes	no
ENSG00000165169	yes	yes
ENSG00000187372	yes	no
ENSG00000113739	yes	no
ENSG00000119514	yes	no
ENSG00000108255	yes	no
ENSG00000139053	yes	no
ENSG00000014138	yes	no
ENSG00000148600	yes	no
ENSG00000150459	yes	no
ENSG00000186352	yes	no
ENSG00000176956	yes	no
ENSG00000154429	yes	no
ENSG00000131650	yes	no
ENSG00000179271	yes	no
ENSG00000116791	yes	no
ENSG00000081818	yes	no
ENSG00000134551	yes	no
ENSG00000102385	yes	no
ENSG00000221916	yes	no
ENSG00000099203	yes	no
ENSG00000130764	yes	no
ENSG00000119630	yes	no
ENSG00000182512	yes	no
ENSG00000119138	yes	no
ENSG00000120049	yes	no
ENSG00000188505	yes	no
ENSG00000189050	yes	no
ENSG00000172748	yes	yes
ENSG00000270011	yes	no
ENSG00000204291	yes	no
ENSG00000143653	yes	no
ENSG00000169946	yes	no
ENSG00000130684	yes	no
ENSG00000161981	yes	no
ENSG00000106636	yes	no
ENSG00000167774	yes	no
ENSG00000198300	yes	no
ENSG00000257315	yes	no
ENSG00000006837	yes	no
ENSG00000111215	yes	no
ENSG00000102144	yes	yes
ENSG00000134802	yes	no
ENSG00000065183	yes	no
ENSG00000113460	yes	no
ENSG00000105281	yes	no
ENSG00000204576	yes	no
ENSG00000131238	yes	no
ENSG00000179918	yes	yes
ENSG00000125817	yes	no
ENSG00000148248	yes	no
ENSG00000092203	yes	no
ENSG00000139679	yes	no
ENSG00000143761	yes	no
ENSG00000169972	yes	no
ENSG00000102901	yes	no
ENSG00000110660	yes	no
ENSG00000100836	yes	no
ENSG00000116906	yes	no
ENSG00000101109	yes	no
ENSG00000172172	yes	no
ENSG00000166448	yes	no
ENSG00000103507	yes	no
ENSG00000139131	yes	no
ENSG00000100105	yes	no
ENSG00000116688	yes	no
ENSG00000141013	yes	no
ENSG00000105726	yes	no
ENSG00000112941	yes	no
ENSG00000135063	yes	no
ENSG00000149591	yes	no
ENSG00000138336	yes	no
ENSG00000163449	yes	no
ENSG00000163659	yes	no
ENSG00000144028	yes	no
ENSG00000124370	yes	no
ENSG00000071537	yes	no
ENSG00000175334	yes	no
ENSG00000272391	yes	no
ENSG00000108352	yes	no
ENSG00000149231	yes	no
ENSG00000111450	yes	no
ENSG00000165879	yes	no
ENSG00000129071	yes	no
ENSG00000134262	yes	no
ENSG00000107815	yes	no
ENSG00000155545	yes	no
ENSG00000106628	yes	yes
ENSG00000089685	yes	no
ENSG00000126860	yes	no
ENSG00000112238	yes	no
ENSG00000137309	yes	no
ENSG00000213390	yes	no
ENSG00000116133	yes	no
ENSG00000171867	yes	no
ENSG00000171004	yes	no
ENSG00000198832	yes	no
ENSG00000170421	yes	no
ENSG00000111361	yes	no
ENSG00000133169	yes	yes
ENSG00000118707	yes	no
ENSG00000261408	yes	no
ENSG00000134253	yes	no
ENSG00000166451	yes	no
ENSG00000129187	yes	no
ENSG00000148296	yes	no
ENSG00000179361	yes	no
ENSG00000113810	yes	no
ENSG00000006282	yes	no
ENSG00000171345	yes	no
ENSG00000111737	yes	no
ENSG00000143553	yes	no
ENSG00000154645	yes	no
ENSG00000038358	yes	no
ENSG00000177108	yes	no
ENSG00000120690	yes	no
ENSG00000185340	yes	no
ENSG00000111911	yes	no
ENSG00000096384	yes	no
ENSG00000156345	yes	no
ENSG00000132603	yes	no
ENSG00000135778	yes	no
ENSG00000160218	yes	no
ENSG00000164128	yes	no
ENSG00000180613	yes	no
ENSG00000237765	yes	no
ENSG00000170345	yes	no
ENSG00000162972	yes	no
ENSG00000251493	yes	no
ENSG00000183621	yes	no
ENSG00000278463	yes	no
ENSG00000148180	yes	no
ENSG00000185624	yes	no
ENSG00000123975	yes	no
ENSG00000197961	yes	no
ENSG00000101444	yes	no
ENSG00000186666	yes	no
ENSG00000182324	yes	no
ENSG00000113209	yes	no
ENSG00000137522	yes	no
ENSG00000168906	yes	no
ENSG00000155858	yes	no
ENSG00000001630	yes	no
ENSG00000106086	yes	no
ENSG00000197647	yes	no
ENSG00000280789	yes	no
ENSG00000077279	yes	no
ENSG00000165119	yes	no
ENSG00000072778	yes	no
ENSG00000265808	yes	no
ENSG00000100911	yes	no
ENSG00000153896	yes	yes
ENSG00000138111	yes	no
ENSG00000123836	yes	no
ENSG00000068971	yes	no
ENSG00000255508	yes	no
ENSG00000090006	yes	no
ENSG00000205423	yes	no
ENSG00000110697	yes	no
ENSG00000130340	yes	no
ENSG00000126767	yes	yes
ENSG00000131023	yes	no
ENSG00000106404	yes	no
ENSG00000136732	yes	no
ENSG00000166801	yes	no
ENSG00000091164	yes	no
ENSG00000145675	yes	no
ENSG00000106689	yes	no
ENSG00000160097	yes	no
ENSG00000111674	yes	no
ENSG00000240445	yes	no
ENSG00000144381	yes	no
ENSG00000129625	yes	no
ENSG00000074054	yes	no
ENSG00000178585	yes	no
ENSG00000186480	yes	no
ENSG00000107758	yes	no
ENSG00000140450	yes	no
ENSG00000166529	yes	no
ENSG00000142444	yes	no
ENSG00000145439	yes	no
ENSG00000173141	yes	no
ENSG00000129197	yes	no
ENSG00000147813	yes	no
ENSG00000173681	yes	no
ENSG00000261221	yes	no
ENSG00000066379	yes	no
ENSG00000241563	yes	no
ENSG00000206052	yes	no
ENSG00000159256	yes	no
ENSG00000173124	yes	no
ENSG00000211445	yes	no
ENSG00000196776	yes	no
ENSG00000106400	yes	no
ENSG00000100075	yes	no
ENSG00000197296	yes	no
ENSG00000182952	yes	no
