gene	H2	non_ase	H1
ENSG00000120500	no	yes	no
ENSG00000139445	no	yes	no
ENSG00000165521	yes	yes	yes
ENSG00000168843	yes	yes	yes
ENSG00000283782	no	yes	no
ENSG00000290147	no	yes	no
ENSG00000139053	no	yes	no
ENSG00000164318	yes	yes	yes
ENSG00000008086	no	yes	yes
ENSG00000047617	no	yes	no
ENSG00000082126	yes	yes	yes
ENSG00000092200	yes	yes	yes
ENSG00000100504	yes	yes	yes
ENSG00000102104	no	yes	no
ENSG00000102755	yes	yes	yes
ENSG00000104888	no	yes	yes
ENSG00000107099	yes	yes	yes
ENSG00000111664	no	yes	no
ENSG00000112041	yes	yes	yes
ENSG00000112619	yes	yes	yes
ENSG00000116703	no	yes	no
ENSG00000118985	no	yes	no
ENSG00000124507	no	yes	no
ENSG00000137766	yes	yes	yes
ENSG00000159217	no	yes	yes
ENSG00000164398	yes	yes	yes
ENSG00000173976	yes	yes	yes
ENSG00000187416	no	yes	no
ENSG00000198570	no	yes	no
ENSG00000272398	yes	yes	yes
ENSG00000278677	no	yes	no
ENSG00000105392	no	yes	yes
ENSG00000138798	no	yes	no
ENSG00000148600	no	yes	no
ENSG00000179774	no	yes	no
ENSG00000182667	no	yes	yes
ENSG00000189221	no	yes	no
ENSG00000069482	no	yes	no
ENSG00000170289	yes	yes	yes
ENSG00000185518	no	yes	yes
ENSG00000082438	yes	yes	yes
ENSG00000104237	yes	yes	yes
ENSG00000117154	no	yes	no
ENSG00000177182	no	yes	yes
ENSG00000176170	no	yes	no
ENSG00000021645	yes	yes	no
ENSG00000035499	no	yes	no
ENSG00000070601	yes	yes	yes
ENSG00000070729	yes	yes	yes
ENSG00000106348	yes	yes	yes
ENSG00000108387	yes	yes	yes
ENSG00000109103	no	yes	no
ENSG00000113522	no	yes	no
ENSG00000116016	yes	yes	yes
ENSG00000141750	no	yes	no
ENSG00000149489	no	yes	no
ENSG00000168461	no	yes	no
ENSG00000173267	no	yes	no
ENSG00000197409	no	yes	no
ENSG00000134602	yes	yes	yes
ENSG00000053524	yes	yes	yes
ENSG00000168309	yes	yes	yes
ENSG00000011347	yes	yes	yes
ENSG00000144834	no	yes	no
ENSG00000184489	yes	yes	yes
ENSG00000187017	yes	yes	yes
ENSG00000158445	yes	yes	yes
ENSG00000175155	no	yes	no
ENSG00000071909	yes	yes	yes
ENSG00000129221	yes	yes	yes
ENSG00000109906	no	yes	no
ENSG00000112379	no	yes	no
ENSG00000114349	no	yes	no
ENSG00000150672	yes	yes	no
ENSG00000102271	no	yes	no
ENSG00000167083	yes	yes	yes
ENSG00000107295	yes	yes	yes
ENSG00000112312	yes	yes	yes
ENSG00000132639	yes	yes	yes
ENSG00000138722	no	yes	no
ENSG00000162496	no	yes	no
ENSG00000173826	no	yes	no
ENSG00000176890	no	yes	no
ENSG00000184599	no	yes	no
ENSG00000017483	no	yes	no
ENSG00000072571	yes	yes	no
ENSG00000141338	no	yes	no
ENSG00000154265	no	yes	no
ENSG00000036672	yes	yes	yes
ENSG00000160298	no	yes	no
ENSG00000166111	yes	yes	yes
ENSG00000143171	no	yes	yes
ENSG00000129673	no	yes	no
ENSG00000129195	no	yes	no
ENSG00000111912	no	yes	no
ENSG00000115295	no	yes	no
ENSG00000175567	no	yes	no
ENSG00000073111	no	yes	no
ENSG00000184144	yes	yes	yes
ENSG00000003137	yes	yes	yes
ENSG00000047365	yes	yes	no
ENSG00000076003	no	yes	no
ENSG00000100297	no	yes	yes
ENSG00000139988	yes	yes	yes
ENSG00000156194	no	yes	no
ENSG00000163378	no	yes	no
ENSG00000184260	no	yes	no
ENSG00000198691	yes	yes	yes
ENSG00000213551	no	yes	no
ENSG00000228716	no	yes	no
ENSG00000109107	no	yes	no
ENSG00000154080	yes	yes	no
ENSG00000074317	no	yes	no
ENSG00000162407	no	yes	no
ENSG00000165084	no	yes	no
ENSG00000186998	no	yes	no
ENSG00000227051	no	yes	no
ENSG00000168298	no	yes	no
ENSG00000188992	no	yes	no
ENSG00000042781	yes	yes	yes
ENSG00000102003	no	yes	no
ENSG00000162344	yes	yes	yes
ENSG00000183638	yes	yes	yes
ENSG00000123219	yes	yes	yes
ENSG00000130203	no	yes	no
ENSG00000141639	no	yes	yes
ENSG00000174788	no	yes	no
ENSG00000129534	yes	yes	yes
ENSG00000124575	no	yes	no
ENSG00000127329	no	yes	no
ENSG00000284906	no	yes	no
ENSG00000090889	no	yes	no
ENSG00000111249	yes	yes	no
ENSG00000144406	yes	yes	yes
ENSG00000165895	yes	yes	yes
ENSG00000177426	no	yes	no
ENSG00000197635	no	yes	yes
ENSG00000021300	no	yes	yes
ENSG00000079819	yes	yes	yes
ENSG00000089057	no	yes	no
ENSG00000105655	no	yes	no
ENSG00000106069	no	yes	yes
ENSG00000112599	yes	yes	yes
ENSG00000130561	yes	yes	yes
ENSG00000132932	no	yes	no
ENSG00000138061	no	yes	no
ENSG00000143228	yes	yes	yes
ENSG00000164898	no	yes	no
ENSG00000173894	no	yes	no
ENSG00000121152	no	yes	no
ENSG00000163431	no	yes	no
ENSG00000144331	yes	yes	yes
ENSG00000163646	yes	yes	yes
ENSG00000165023	no	yes	no
ENSG00000170421	no	yes	no
ENSG00000213186	no	yes	no
ENSG00000147614	no	yes	no
ENSG00000079215	yes	yes	no
ENSG00000137142	yes	yes	yes
ENSG00000142634	no	yes	no
ENSG00000152240	no	yes	no
ENSG00000165323	no	yes	no
ENSG00000112706	no	yes	no
ENSG00000115758	no	yes	no
ENSG00000134323	no	yes	no
ENSG00000140859	no	yes	no
ENSG00000165124	no	yes	yes
ENSG00000100422	yes	yes	yes
ENSG00000120802	no	yes	no
ENSG00000064687	yes	yes	no
ENSG00000135605	no	yes	yes
ENSG00000135643	no	yes	no
ENSG00000137309	no	yes	no
ENSG00000152061	no	yes	yes
ENSG00000169184	no	yes	no
ENSG00000183826	no	yes	no
ENSG00000185697	yes	yes	yes
ENSG00000248905	yes	yes	yes
ENSG00000010292	no	yes	no
ENSG00000105507	yes	yes	yes
ENSG00000172350	no	yes	no
ENSG00000067057	yes	yes	no
ENSG00000132026	no	yes	no
ENSG00000172020	no	yes	no
ENSG00000187527	no	yes	no
ENSG00000276368	no	yes	no
ENSG00000134222	no	yes	no
ENSG00000110436	yes	yes	yes
ENSG00000149948	yes	yes	yes
ENSG00000188338	no	yes	no
ENSG00000139292	no	yes	yes
ENSG00000007968	no	yes	no
ENSG00000047662	no	yes	no
ENSG00000062822	no	yes	no
ENSG00000113361	no	yes	yes
ENSG00000119614	yes	yes	no
ENSG00000127472	no	yes	no
ENSG00000130477	no	yes	no
ENSG00000133119	no	yes	no
ENSG00000137628	no	yes	no
ENSG00000139182	no	yes	no
ENSG00000148948	no	yes	no
ENSG00000151012	no	yes	no
ENSG00000163347	yes	yes	yes
ENSG00000166833	yes	yes	yes
ENSG00000176406	no	yes	yes
ENSG00000259030	yes	yes	yes
ENSG00000069018	yes	yes	yes
ENSG00000078725	no	yes	no
ENSG00000102001	no	yes	no
ENSG00000107984	no	yes	no
ENSG00000129535	yes	yes	yes
ENSG00000132518	yes	yes	yes
ENSG00000140939	no	yes	no
ENSG00000144366	no	yes	no
ENSG00000162849	yes	yes	yes
ENSG00000163377	no	yes	yes
ENSG00000164294	yes	yes	yes
ENSG00000167371	no	yes	no
ENSG00000171450	no	yes	no
ENSG00000177103	yes	yes	yes
ENSG00000180198	yes	yes	yes
ENSG00000182481	no	yes	no
ENSG00000186297	no	yes	no
ENSG00000188486	no	yes	no
ENSG00000213626	no	yes	no
ENSG00000278463	no	yes	no
ENSG00000151615	yes	yes	yes
ENSG00000162063	no	yes	no
ENSG00000211445	no	yes	no
ENSG00000143933	no	yes	no
ENSG00000001461	no	yes	yes
ENSG00000164588	no	yes	no
ENSG00000132915	yes	yes	yes
ENSG00000180245	no	yes	no
ENSG00000197061	no	yes	no
ENSG00000080986	no	yes	no
ENSG00000175544	no	yes	no
ENSG00000145087	no	yes	yes
ENSG00000114739	no	yes	no
ENSG00000277075	no	yes	no
ENSG00000073060	no	yes	no
ENSG00000131018	no	yes	yes
ENSG00000145920	yes	yes	yes
ENSG00000156475	yes	yes	no
ENSG00000144645	no	yes	no
ENSG00000182985	yes	yes	yes
ENSG00000028137	yes	yes	yes
ENSG00000079462	no	yes	no
ENSG00000101977	no	yes	no
ENSG00000109084	yes	yes	yes
ENSG00000109881	no	yes	no
ENSG00000112186	no	yes	yes
ENSG00000115884	no	yes	no
ENSG00000120549	yes	yes	no
ENSG00000130520	no	yes	no
ENSG00000133401	no	yes	no
ENSG00000142657	no	yes	no
ENSG00000144857	yes	yes	no
ENSG00000149485	no	yes	no
ENSG00000163808	no	yes	no
ENSG00000165092	yes	yes	yes
ENSG00000166342	yes	yes	yes
ENSG00000166582	no	yes	no
ENSG00000166831	no	yes	no
ENSG00000169607	yes	yes	no
ENSG00000196787	no	yes	no
