gene	non_ase	H1	H2
ENSG00000139445	yes	no	no
ENSG00000169085	yes	no	no
ENSG00000187416	yes	no	no
ENSG00000011347	yes	yes	yes
ENSG00000047617	yes	no	no
ENSG00000070729	yes	yes	yes
ENSG00000095777	yes	no	no
ENSG00000104237	yes	no	no
ENSG00000111249	yes	no	no
ENSG00000114349	yes	no	no
ENSG00000116016	yes	no	yes
ENSG00000118985	yes	no	no
ENSG00000120500	yes	no	no
ENSG00000130203	yes	no	no
ENSG00000130208	yes	no	no
ENSG00000130561	yes	yes	yes
ENSG00000135245	yes	no	no
ENSG00000137766	yes	no	yes
ENSG00000149489	yes	no	no
ENSG00000156194	yes	no	no
ENSG00000174788	yes	no	no
ENSG00000179774	yes	no	no
ENSG00000182667	yes	no	no
ENSG00000184144	yes	yes	yes
ENSG00000272398	yes	yes	yes
ENSG00000211445	yes	no	no
ENSG00000167371	yes	no	no
ENSG00000079215	yes	no	yes
ENSG00000079819	yes	no	yes
ENSG00000080608	yes	no	no
ENSG00000144834	yes	no	no
ENSG00000165521	yes	no	no
ENSG00000183826	yes	no	no
ENSG00000204152	yes	no	no
ENSG00000269955	yes	no	no
ENSG00000107679	yes	no	no
ENSG00000002933	yes	no	no
ENSG00000082438	yes	no	no
ENSG00000112619	yes	yes	no
ENSG00000138798	yes	no	no
ENSG00000165084	yes	no	no
ENSG00000167799	yes	no	no
ENSG00000175155	yes	no	no
ENSG00000186352	yes	no	no
ENSG00000042781	yes	no	no
ENSG00000091157	yes	no	no
ENSG00000101265	yes	no	no
ENSG00000137868	yes	no	no
ENSG00000159217	yes	no	no
ENSG00000164898	yes	no	no
ENSG00000166342	yes	no	no
ENSG00000167771	yes	no	no
ENSG00000168209	yes	no	no
ENSG00000173267	yes	no	no
ENSG00000173976	yes	no	no
ENSG00000069018	yes	no	no
ENSG00000106348	yes	no	no
ENSG00000112079	yes	no	no
ENSG00000131018	yes	no	no
ENSG00000132915	yes	yes	yes
ENSG00000137142	yes	yes	yes
ENSG00000156510	yes	no	yes
ENSG00000162344	yes	yes	yes
ENSG00000168461	yes	no	no
ENSG00000170027	yes	no	no
ENSG00000182534	yes	no	no
ENSG00000186297	yes	no	no
ENSG00000197442	yes	no	no
ENSG00000227051	yes	no	no
