read_id	variants_overlapped.counts_per_read	variants_overlapped.Freq
1	1	4006266
2	2	1843214
3	3	948086
4	4	537468
5	5	320108
6	6	194552
7	7	125620
8	8	81721
9	9	57102
10	10	40247
11	11	29679
12	12	20578
13	13	15492
14	14	11749
15	15	9001
16	16	7117
17	17	5190
18	18	4101
19	19	3363
20	20	2761
21	21	2074
22	22	1773
23	23	1393
24	24	1160
25	25	955
26	26	795
27	27	606
28	28	537
29	29	453
30	30	340
31	31	331
32	32	261
33	33	253
34	34	194
35	35	177
36	36	156
37	37	152
38	38	121
39	39	91
40	40	115
41	41	78
42	42	65
43	43	76
44	44	81
45	45	65
46	46	41
47	47	29
48	48	27
49	49	18
50	50	26
51	51	24
52	52	18
53	53	13
54	54	17
55	55	19
56	56	9
57	57	14
58	58	9
59	59	7
60	60	10
61	61	5
62	62	6
63	63	9
64	64	7
65	65	3
66	66	9
67	67	7
68	68	4
69	69	3
70	70	6
71	71	2
72	72	2
73	73	1
74	74	1
75	75	4
76	76	3
78	78	2
80	80	4
82	82	2
84	84	1
85	85	1
86	86	2
87	87	2
93	93	1
100	100	1
