read_id	variants_overlapped.counts_per_read	variants_overlapped.Freq
1	1	1703278
2	2	702056
3	3	352533
4	4	198538
5	5	117998
6	6	72256
7	7	47372
8	8	31330
9	9	22066
10	10	15749
11	11	11923
12	12	8218
13	13	6169
14	14	4819
15	15	3718
16	16	3050
17	17	2238
18	18	1719
19	19	1526
20	20	1208
21	21	931
22	22	767
23	23	636
24	24	542
25	25	409
26	26	328
27	27	266
28	28	249
29	29	214
30	30	176
31	31	153
32	32	138
33	33	132
34	34	103
35	35	99
36	36	66
37	37	63
38	38	58
39	39	49
40	40	41
41	41	40
42	42	45
43	43	31
44	44	39
45	45	31
46	46	17
47	47	16
48	48	19
49	49	12
50	50	16
51	51	15
52	52	12
53	53	6
54	54	10
55	55	3
56	56	2
57	57	5
58	58	2
59	59	4
60	60	5
61	61	3
63	63	10
64	64	4
65	65	1
66	66	2
67	67	3
68	68	4
69	69	2
70	70	1
71	71	5
72	72	2
73	73	1
74	74	2
76	76	1
81	81	2
82	82	1
83	83	1
89	89	1
93	93	1
96	96	1
