read_id	variants_overlapped.counts_per_read	variants_overlapped.Freq
1	1	4228335
2	2	1889452
3	3	929680
4	4	512449
5	5	295744
6	6	172384
7	7	108412
8	8	69081
9	9	46143
10	10	32337
11	11	24902
12	12	16240
13	13	11791
14	14	8790
15	15	6532
16	16	5232
17	17	3884
18	18	2954
19	19	2462
20	20	1916
21	21	1458
22	22	1243
23	23	1027
24	24	794
25	25	666
26	26	521
27	27	449
28	28	339
29	29	299
30	30	288
31	31	234
32	32	189
33	33	179
34	34	140
35	35	130
36	36	89
37	37	85
38	38	78
39	39	64
40	40	50
41	41	63
42	42	44
43	43	46
44	44	46
45	45	36
46	46	30
47	47	17
48	48	15
49	49	24
50	50	16
51	51	15
52	52	11
53	53	16
54	54	14
55	55	14
56	56	9
57	57	5
58	58	7
59	59	2
60	60	8
61	61	3
62	62	2
63	63	1
64	64	3
65	65	2
66	66	3
67	67	4
68	68	4
69	69	4
70	70	1
71	71	1
73	73	1
74	74	3
76	76	3
77	77	2
78	78	1
80	80	2
81	81	4
82	82	1
83	83	1
84	84	1
89	89	1
95	95	1
105	105	2
116	116	1
