read_id	variants_overlapped.counts_per_read	variants_overlapped.Freq
1	1	1987100
2	2	821899
3	3	393298
4	4	226194
5	5	136157
6	6	82623
7	7	52866
8	8	34972
9	9	24747
10	10	17416
11	11	13271
12	12	9190
13	13	6762
14	14	5209
15	15	4141
16	16	3336
17	17	2496
18	18	1944
19	19	1638
20	20	1453
21	21	1040
22	22	919
23	23	681
24	24	592
25	25	494
26	26	401
27	27	336
28	28	278
29	29	277
30	30	208
31	31	202
32	32	174
33	33	136
34	34	124
35	35	101
36	36	63
37	37	68
38	38	74
39	39	58
40	40	62
41	41	40
42	42	54
43	43	49
44	44	34
45	45	52
46	46	41
47	47	14
48	48	25
49	49	22
50	50	16
51	51	13
52	52	11
53	53	12
54	54	10
55	55	11
56	56	14
57	57	4
58	58	5
59	59	6
60	60	4
61	61	4
62	62	3
63	63	8
64	64	3
65	65	3
66	66	5
68	68	1
69	69	2
70	70	10
71	71	12
72	72	1
73	73	1
75	75	1
76	76	1
79	79	3
80	80	2
84	84	1
87	87	1
89	89	2
91	91	1
92	92	1
93	93	1
95	95	2
