read_id	variants_overlapped.counts_per_read	variants_overlapped.Freq
1	1	2736799
2	2	1115610
3	3	508349
4	4	283767
5	5	164124
6	6	98135
7	7	63437
8	8	40508
9	9	27228
10	10	19563
11	11	15008
12	12	10035
13	13	7247
14	14	5838
15	15	4724
16	16	3569
17	17	2597
18	18	2092
19	19	1807
20	20	1494
21	21	1045
22	22	867
23	23	795
24	24	608
25	25	458
26	26	398
27	27	364
28	28	266
29	29	245
30	30	203
31	31	191
32	32	152
33	33	156
34	34	104
35	35	80
36	36	84
37	37	84
38	38	61
39	39	46
40	40	49
41	41	40
42	42	35
43	43	43
44	44	32
45	45	43
46	46	21
47	47	19
48	48	15
49	49	19
50	50	22
51	51	12
52	52	8
53	53	11
54	54	8
55	55	6
56	56	4
57	57	1
58	58	7
59	59	5
60	60	4
61	61	2
62	62	3
63	63	1
64	64	3
65	65	2
66	66	4
68	68	2
69	69	2
70	70	1
71	71	2
72	72	3
73	73	3
74	74	3
75	75	1
76	76	3
77	77	1
79	79	1
80	80	1
82	82	2
91	91	1
112	112	1
