read_id	variants_overlapped.counts_per_read	variants_overlapped.Freq
1	1	1786651
2	2	743328
3	3	366584
4	4	213124
5	5	128781
6	6	77938
7	7	50904
8	8	34006
9	9	24025
10	10	17202
11	11	12770
12	12	9042
13	13	6757
14	14	5164
15	15	4008
16	16	3361
17	17	2565
18	18	1867
19	19	1632
20	20	1362
21	21	1035
22	22	862
23	23	747
24	24	595
25	25	502
26	26	395
27	27	363
28	28	304
29	29	273
30	30	177
31	31	184
32	32	163
33	33	121
34	34	98
35	35	92
36	36	81
37	37	70
38	38	70
39	39	73
40	40	60
41	41	54
42	42	52
43	43	37
44	44	37
45	45	49
46	46	28
47	47	33
48	48	19
49	49	18
50	50	25
51	51	24
52	52	12
53	53	13
54	54	9
55	55	5
56	56	9
57	57	5
58	58	20
59	59	6
60	60	8
61	61	8
62	62	2
63	63	3
64	64	7
65	65	1
66	66	3
67	67	5
68	68	3
69	69	2
70	70	1
71	71	3
72	72	3
73	73	2
74	74	2
76	76	2
78	78	1
79	79	1
80	80	2
81	81	2
84	84	1
85	85	1
86	86	1
88	88	2
91	91	1
92	92	1
93	93	1
102	102	1
111	111	1
127	127	1
