read_id	variants_overlapped.counts_per_read	variants_overlapped.Freq
1	1	1699885
2	2	788235
3	3	421786
4	4	264657
5	5	164754
6	6	108916
7	7	75725
8	8	52420
9	9	37812
10	10	27533
11	11	21292
12	12	15679
13	13	12132
14	14	9708
15	15	7960
16	16	6103
17	17	4674
18	18	3709
19	19	3096
20	20	2761
21	21	2074
22	22	1844
23	23	1421
24	24	1231
25	25	1007
26	26	856
27	27	698
28	28	581
29	29	512
30	30	415
31	31	369
32	32	327
33	33	251
34	34	228
35	35	198
36	36	204
37	37	159
38	38	158
39	39	127
40	40	108
41	41	91
42	42	95
43	43	71
44	44	73
45	45	66
46	46	67
47	47	45
48	48	40
49	49	45
50	50	47
51	51	41
52	52	23
53	53	24
54	54	18
55	55	13
56	56	15
57	57	17
58	58	15
59	59	15
60	60	13
61	61	8
62	62	5
63	63	12
64	64	13
65	65	3
66	66	3
67	67	7
68	68	2
69	69	2
70	70	5
71	71	3
72	72	4
73	73	7
74	74	7
75	75	3
76	76	6
77	77	3
78	78	3
79	79	2
82	82	2
83	83	1
84	84	5
85	85	1
86	86	1
87	87	1
89	89	4
92	92	1
94	94	1
96	96	1
102	102	1
105	105	1
109	109	1
115	115	1
116	116	1
120	120	1
124	124	1
