variants_overlapped.counts_per_read	variants_overlapped.Freq	sample	sample_clean	Freq_percentage
1	4006266	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	48.407737667298285
2	1843214	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	22.271566535195504
3	948086	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	11.455729193727567
4	537468	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	6.494229276979481
5	320108	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	3.8678670086318583
6	194552	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	2.3507730586656543
7	125620	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	1.5178672623749923
8	81721	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.9874353649780827
9	57102	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.6899638307286803
10	40247	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.4863047580704212
11	29679	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.3586115465692358
12	20578	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.24864410543824703
13	15492	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.1871899349523434
14	11749	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.14196324204460903
15	9001	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.10875914049225685
16	7117	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.08599475645854816
17	5190	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.06271080315018476
18	4101	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.049552409194394555
19	3363	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.040635150480553245
20	2761	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.03336118063538731
21	2074	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.02506015524729927
22	1773	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.021423170324716297
23	1393	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.01683162789753514
24	1160	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.01401628740928985
25	955	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.01153927109988949
26	795	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.009605990077918474
27	606	EP1-BRN3B-RO_variants_per_read	EP1-BRN3B-RO	0.007322301870715215
