groupID	featureID_by_groupID
ENSG00000078369.19	ENST00000378609.9,ENST00000610897.4
ENSG00000127483.19	BambuTx25
ENSG00000279990.1	BambuTx1166,BambuTx1167
ENSG00000046653.15	BambuTx1220,ENST00000454189.7
ENSG00000038219.13	ENST00000040738.10,ENST00000507943.2
ENSG00000054965.11	ENST00000064778.8,ENST00000356467.5
ENSG00000075415.15	ENST00000548480.1
ENSG00000104852.15	ENST00000401730.5,ENST00000598441.6
ENSG00000108468.15	ENST00000225603.9,ENST00000393408.7
ENSG00000108654.16	ENST00000225792.10,ENST00000579461.2
ENSG00000116062.19	ENST00000700006.1
ENSG00000118785.15	ENST00000395080.8
ENSG00000108848.16	ENST00000240304.5,ENST00000505658.6
ENSG00000123200.17	ENST00000282007.7
ENSG00000151914.22	ENST00000680361.1
ENSG00000129351.18	ENST00000586544.1
ENSG00000131051.24	ENST00000403542.6
ENSG00000131149.19	ENST00000253458.12,ENST00000469381.1
ENSG00000131469.15	ENST00000253788.12,ENST00000589913.6
ENSG00000089280.19	ENST00000569760.5
ENSG00000132485.14	ENST00000370920.8,ENST00000611683.1
ENSG00000133083.15	ENST00000360631.8,ENST00000460982.1
ENSG00000134986.14	ENST00000257435.12,ENST00000447165.6
ENSG00000005483.23	ENST00000478079.2,ENST00000479838.3
ENSG00000136527.19	ENST00000453386.7,ENST00000463328.5
ENSG00000137285.11	ENST00000259818.8,ENST00000681707.1
ENSG00000137575.12	ENST00000260130.9,ENST00000630925.1
ENSG00000009307.17	ENST00000686025.1,ENST00000689631.1
ENSG00000089248.7	ENST00000261735.4,ENST00000455836.1
ENSG00000035862.13	ENST00000262768.11,ENST00000586057.5
ENSG00000120616.16	ENST00000319778.11,ENST00000375110.6
ENSG00000141867.19	ENST00000371835.8,ENST00000679869.1
ENSG00000110651.13	ENST00000263645.10,ENST00000475945.7
ENSG00000115839.19	ENST00000264158.13,ENST00000692993.1
ENSG00000071082.11	ENST00000264258.8,ENST00000409733.5
ENSG00000106052.14	ENST00000265393.10,ENST00000396319.7
ENSG00000087460.29	ENST00000371095.7
ENSG00000139746.16	ENST00000449987.6
ENSG00000140836.17	ENST00000268489.10,ENST00000397992.5
ENSG00000133026.14	ENST00000379980.8
ENSG00000141622.14	ENST00000269439.12
ENSG00000141627.14	ENST00000269445.10,ENST00000675505.1
ENSG00000143420.19	ENST00000271690.12,ENST00000369014.10
ENSG00000118418.16	ENST00000275036.11,ENST00000344726.10
ENSG00000102225.17	ENST00000276052.10,ENST00000357227.9
ENSG00000153187.21	ENST00000366527.4,ENST00000444376.7
ENSG00000153944.12	ENST00000284073.7,ENST00000674522.1
ENSG00000154277.13	ENST00000284440.9
ENSG00000092841.19	ENST00000293422.9,ENST00000348108.8,ENST00000547649.5
ENSG00000163682.17	ENST00000295955.14,ENST00000645496.2
ENSG00000186468.13	ENST00000296674.13,ENST00000504293.5
ENSG00000167283.9	ENST00000300688.8,ENST00000527186.1
ENSG00000100354.21	ENST00000454349.7
ENSG00000171735.21	ENST00000303635.12,ENST00000473578.5
ENSG00000169020.10	ENST00000304312.5
ENSG00000171533.12	ENST00000304771.8,ENST00000434603.2
ENSG00000143742.14	ENST00000304786.12
ENSG00000168393.13	ENST00000400770.6
