gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype
ENSG00000278677	ENSG00000278677.2	-3.59600915520443	5.98216055126931	398.923206881336	2.36682832250836e-08	0.000269226721685326	H2AC17	protein_coding
ENSG00000113368	ENSG00000113368.12	-2.01906292908655	5.90558372533983	209.749123724499	3.24819500874537e-07	0.000500920047397302	LMNB1	protein_coding
ENSG00000139292	ENSG00000139292.13	-3.39820012457119	4.89836290325659	206.422134385203	3.46471716180255e-07	0.000500920047397302	LGR5	protein_coding
ENSG00000143171	ENSG00000143171.13	5.73654301154645	6.4990193764942	231.830280407083	2.52543977179323e-07	0.000500920047397302	RXRG	protein_coding
ENSG00000162496	ENSG00000162496.9	4.65211842371958	7.02593180339245	225.206369986175	2.68536965621675e-07	0.000500920047397302	DHRS3	protein_coding
ENSG00000168298	ENSG00000168298.7	-1.80158550417182	8.71999828133736	205.571064109197	3.52295417949751e-07	0.000500920047397302	H1-4	protein_coding
ENSG00000169085	ENSG00000169085.14	3.47648551729771	6.55765552205615	235.714558547739	2.02589200710189e-07	0.000500920047397302	VXN	protein_coding
ENSG00000228716	ENSG00000228716.7	-2.63934887702583	5.13530957914449	222.459683554953	2.56085762223659e-07	0.000500920047397302	DHFR	protein_coding
ENSG00000017483	ENSG00000017483.16	5.03708299546969	5.94792096315207	189.159048821112	5.39377098665172e-07	0.000521640299764599	SLC38A5	protein_coding
ENSG00000124575	ENSG00000124575.7	-2.40486268896313	5.48207602638874	183.03411746675	5.62244892287011e-07	0.000521640299764599	H1-3	protein_coding
ENSG00000138207	ENSG00000138207.15	4.1371183069792	4.78945573628326	183.673132408845	5.54428064164084e-07	0.000521640299764599	RBP4	protein_coding
ENSG00000139053	ENSG00000139053.3	7.65951698279094	9.02882669147693	215.049290498406	5.96160342588113e-07	0.000521640299764599	PDE6H	protein_coding
ENSG00000176840	ENSG00000176840.14	2.83857826632306	5.37777550283075	194.237544442079	4.4275776585195e-07	0.000521640299764599	MIR7-3HG	lncRNA
ENSG00000176170	ENSG00000176170.14	-2.67150576666317	5.25879915806655	172.615660531443	7.11283525422382e-07	0.000577917864405686	SPHK1	protein_coding
ENSG00000197061	ENSG00000197061.5	-2.6877406841322	9.36292728088423	168.200036903152	7.89073771203939e-07	0.000598380943162987	H4C3	protein_coding
