condition_1	condition_2	conseqPair	feature	propOfRelevantEvents	propCiLo	propCiHi	propPval	nUp	nDown	propQval	Significant
RO_D100	RO_D200	coding_potential	Transcript is Noncoding (paired with Transcript is coding)	0.4860557768924303	0.42271839869645833	0.5497262912959485	0.7049788217797028	122	129	0.7520061037697698	FALSE
RO_D100	RO_D200	domain_isotype	Domain non-reference isotype loss (paired with Domain non-reference isotype gain)	0.52	0.42886673184203206	0.6101639433903407	0.7206725161126961	65	60	0.7520061037697698	FALSE
RO_D100	RO_D200	domains_identified	Domain loss (paired with Domain gain)	0.46551724137931033	0.4193991317202196	0.5120775263678767	0.15003283235754442	216	248	0.1800393988290533	FALSE
RO_D100	RO_D200	intron_retention	Intron retention loss (paired with Intron retention gain)	0.53156146179402	0.4734556274033553	0.5890400373357016	0.29949195231293196	160	141	0.3422765169290651	FALSE
RO_D100	RO_D200	NMD_status	NMD sensitive (paired with NMD insensitive)	0.5904761904761905	0.49022346301760417	0.6854901462711853	0.0784850273390179	62	43	0.09913898190191733	FALSE
RO_D100	RO_D200	ORF	Complete ORF loss (paired with Complete ORF gain)	0.4880952380952381	0.4248552442542007	0.5516184987478435	0.7528558242758772	123	129	0.7528558242758772	FALSE
RO_D100	RO_D200	ORF_length	ORF is shorter (paired with ORF is longer)	0.43478260869565216	0.3920605745087536	0.47823719934516795	0.003074910132625992	230	299	0.004493662064237752	TRUE
RO_D100	RO_D200	signal_peptide_identified	Signal peptide loss (paired with Signal peptide gain)	0.2898550724637681	0.18687194980560975	0.41157511945820624	6.361729964503614e-4	20	49	0.0010178767943205783	TRUE
RO_D100	RO_D45	coding_potential	Transcript is Noncoding (paired with Transcript is coding)	0.2931726907630522	0.237390593364722	0.35395541639801364	5.451015957687386e-11	73	176	1.453604255383303e-10	TRUE
RO_D100	RO_D45	domain_isotype	Domain non-reference isotype loss (paired with Domain non-reference isotype gain)	0.78125	0.7091316961843191	0.8426532297959176	4.568587281761915e-13	125	35	1.5663727823183707e-12	TRUE
RO_D100	RO_D45	domains_identified	Domain loss (paired with Domain gain)	0.2659380692167577	0.22941279768649783	0.30500410496908303	8.061546739353873e-29	146	403	9.673856087224647e-28	TRUE
RO_D100	RO_D45	intron_retention	Intron retention loss (paired with Intron retention gain)	0.6783625730994152	0.6260081354609874	0.727595118268799	3.771041820925609e-11	232	110	1.1313125462776827e-10	TRUE
RO_D100	RO_D45	NMD_status	NMD sensitive (paired with NMD insensitive)	0.4036697247706422	0.3107759973031298	0.5019341214421877	0.05490881777576044	44	65	0.07321175703434725	FALSE
RO_D100	RO_D45	ORF	Complete ORF loss (paired with Complete ORF gain)	0.296	0.24013672626180416	0.3567749215981012	9.294163462505675e-11	74	176	2.2305992310013618e-10	TRUE
RO_D100	RO_D45	ORF_length	ORF is shorter (paired with ORF is longer)	0.2357473035439137	0.20358434528476524	0.2703345683371222	3.876479217201424e-43	153	496	9.303550121283417e-42	TRUE
RO_D100	RO_D45	signal_peptide_identified	Signal peptide loss (paired with Signal peptide gain)	0.275	0.18103763855703878	0.386243420844409	7.010573979919954e-5	22	58	1.2942598116775302e-4	TRUE
RO_D200	RO_D45	coding_potential	Transcript is Noncoding (paired with Transcript is coding)	0.2781065088757396	0.23098898009780292	0.32916053957196223	1.667600708342074e-16	94	244	6.670402833368296e-16	TRUE
RO_D200	RO_D45	domain_isotype	Domain non-reference isotype loss (paired with Domain non-reference isotype gain)	0.7352941176470589	0.6622839582509313	0.7999063816137779	6.641000893010031e-10	125	45	1.4489456493840068e-9	TRUE
RO_D200	RO_D45	domains_identified	Domain loss (paired with Domain gain)	0.29774436090225564	0.26320144510583116	0.3340938310070062	5.599568571326991e-26	198	467	4.479654857061593e-25	TRUE
RO_D200	RO_D45	intron_retention	Intron retention loss (paired with Intron retention gain)	0.6494117647058824	0.6019529499592432	0.6947737351662959	7.417626399970265e-10	276	149	1.483525279994053e-9	TRUE
RO_D200	RO_D45	NMD_status	NMD sensitive (paired with NMD insensitive)	0.36416184971098264	0.2924645745032306	0.4406012748549606	4.368915202139493e-4	63	110	7.489568917953416e-4	TRUE
RO_D200	RO_D45	ORF	Complete ORF loss (paired with Complete ORF gain)	0.2781065088757396	0.23098898009780292	0.32916053957196223	1.667600708342074e-16	94	244	6.670402833368296e-16	TRUE
RO_D200	RO_D45	ORF_length	ORF is shorter (paired with ORF is longer)	0.3151750972762646	0.28249317562341475	0.3492780111835959	4.248090279273543e-25	243	528	2.5488541675641257e-24	TRUE
RO_D200	RO_D45	signal_peptide_identified	Signal peptide loss (paired with Signal peptide gain)	0.3291139240506329	0.2274809429945836	0.4439938951651823	0.0031830106288350743	26	53	0.004493662064237752	TRUE
