Comparison	AStype	splicingResult	nrGenesWithConsequences	nrIsoWithConsequences
RO_D100 vs RO_D200	A3	A3 in isoform used less	91	95
RO_D100 vs RO_D45	A3	A3 in isoform used less	125	128
RO_D200 vs RO_D45	A3	A3 in isoform used less	175	186
RO_D100 vs RO_D200	A3	A3 in isoform used more	124	127
RO_D100 vs RO_D45	A3	A3 in isoform used more	232	237
RO_D200 vs RO_D45	A3	A3 in isoform used more	221	227
RO_D100 vs RO_D200	A5	A5 in isoform used less	87	87
RO_D100 vs RO_D45	A5	A5 in isoform used less	127	129
RO_D200 vs RO_D45	A5	A5 in isoform used less	186	193
RO_D100 vs RO_D200	A5	A5 in isoform used more	99	101
RO_D100 vs RO_D45	A5	A5 in isoform used more	161	163
RO_D200 vs RO_D45	A5	A5 in isoform used more	214	221
RO_D100 vs RO_D200	ATSS	ATSS in isoform used less	253	259
RO_D100 vs RO_D45	ATSS	ATSS in isoform used less	445	455
RO_D200 vs RO_D45	ATSS	ATSS in isoform used less	458	477
RO_D100 vs RO_D200	ATSS	ATSS in isoform used more	211	216
RO_D100 vs RO_D45	ATSS	ATSS in isoform used more	271	273
RO_D200 vs RO_D45	ATSS	ATSS in isoform used more	359	373
RO_D100 vs RO_D200	ATTS	ATTS in isoform used less	180	184
RO_D100 vs RO_D45	ATTS	ATTS in isoform used less	253	261
RO_D200 vs RO_D45	ATTS	ATTS in isoform used less	346	359
RO_D100 vs RO_D200	ATTS	ATTS in isoform used more	204	207
RO_D100 vs RO_D45	ATTS	ATTS in isoform used more	266	270
RO_D200 vs RO_D45	ATTS	ATTS in isoform used more	309	321
RO_D100 vs RO_D200	ES	ES in isoform used less	147	147
RO_D100 vs RO_D45	ES	ES in isoform used less	173	178
RO_D200 vs RO_D45	ES	ES in isoform used less	244	252
RO_D100 vs RO_D200	ES	ES in isoform used more	158	161
RO_D100 vs RO_D45	ES	ES in isoform used more	233	236
RO_D200 vs RO_D45	ES	ES in isoform used more	317	327
RO_D100 vs RO_D200	IR	IR in isoform used less	56	57
RO_D100 vs RO_D45	IR	IR in isoform used less	98	99
RO_D200 vs RO_D45	IR	IR in isoform used less	110	110
RO_D100 vs RO_D200	IR	IR in isoform used more	44	44
RO_D100 vs RO_D45	IR	IR in isoform used more	45	46
RO_D200 vs RO_D45	IR	IR in isoform used more	53	53
RO_D100 vs RO_D200	MEE	MEE in isoform used less	1	1
RO_D100 vs RO_D45	MEE	MEE in isoform used less	2	2
RO_D200 vs RO_D45	MEE	MEE in isoform used less	3	3
RO_D100 vs RO_D200	MEE	MEE in isoform used more	2	2
RO_D100 vs RO_D45	MEE	MEE in isoform used more	1	1
RO_D200 vs RO_D45	MEE	MEE in isoform used more	2	2
RO_D100 vs RO_D200	MES	MES in isoform used less	57	58
RO_D100 vs RO_D45	MES	MES in isoform used less	60	62
RO_D200 vs RO_D45	MES	MES in isoform used less	87	91
RO_D100 vs RO_D200	MES	MES in isoform used more	49	50
RO_D100 vs RO_D45	MES	MES in isoform used more	74	77
RO_D200 vs RO_D45	MES	MES in isoform used more	114	118
