"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC"
"129762","isoComp_00000290","geneComp_00000036","ENST00000268251","ABAT","RGC","RO","ABAT","protein_coding","protein_coding",110.167241581698,163.773385756686,56.5610974067104,3.2645269791126,0.940824898320102,-1.53365195411849,NA,28.3259213148179,43.2188922033968,13.4329504262391,1.52988993802265,0.886935393201645,-1.68514605368332,NA,0.25075,0.2642,0.2373,-0.0269,0.642522096822096,4.14459171635469e-20,FALSE
"129763","isoComp_00000291","geneComp_00000036","ENST00000396600","ABAT","RGC","RO","ABAT","protein_coding","protein_coding",110.167241581698,163.773385756686,56.5610974067104,3.2645269791126,0.940824898320102,-1.53365195411849,NA,44.2866558463897,72.8996159073958,15.6736957853836,4.70379822665676,1.98831241672897,-2.21684353787331,NA,0.36125,0.44475,0.27775,-0.167,0.00634067139327494,4.14459171635469e-20,FALSE
"129764","isoComp_00000292","geneComp_00000036","ENST00000425191","ABAT","RGC","RO","ABAT","protein_coding","protein_coding",110.167241581698,163.773385756686,56.5610974067104,3.2645269791126,0.940824898320102,-1.53365195411849,NA,7.07891661460268,11.8683311031861,2.28950212601925,5.11766644202608,0.47907471878603,-2.36893871609701,NA,0.0561,0.0719,0.0403,-0.0316,0.605916804164849,4.14459171635469e-20,FALSE
"129767","isoComp_00000295","geneComp_00000036","ENST00000563215","ABAT","RGC","RO","ABAT","protein_coding","protein_coding_CDS_not_defined",110.167241581698,163.773385756686,56.5610974067104,3.2645269791126,0.940824898320102,-1.53365195411849,NA,5.10715570670026,7.71555460167104,2.49875681172948,3.38049222908813,0.708521663741921,-1.62266587607183,NA,0.045775,0.04755,0.044,-0.00355,0.99766182457159,4.14459171635469e-20,NA
"129768","isoComp_00000296","geneComp_00000036","ENST00000563992","ABAT","RGC","RO","ABAT","protein_coding","retained_intron",110.167241581698,163.773385756686,56.5610974067104,3.2645269791126,0.940824898320102,-1.53365195411849,NA,19.4244585841804,19.0876013799037,19.7613157884571,1.6600177985663,0.658998009226414,0.05001743609554,NA,0.233025,0.1168,0.34925,0.23245,4.14459171635469e-20,4.14459171635469e-20,NA
"129773","isoComp_00000301","geneComp_00000036","ENST00000566590","ABAT","RGC","RO","ABAT","protein_coding","nonsense_mediated_decay",110.167241581698,163.773385756686,56.5610974067104,3.2645269791126,0.940824898320102,-1.53365195411849,NA,1.37526421312362,2.41649472796998,0.334033698277272,0.126370109507548,0.147633114866125,-2.81825193589016,NA,0.010325,0.01475,0.0059,-0.00885,0.0716790969994119,4.14459171635469e-20,TRUE
"129776","isoComp_00000304","geneComp_00000036","ENST00000569156","ABAT","RGC","RO","ABAT","protein_coding","protein_coding",110.167241581698,163.773385756686,56.5610974067104,3.2645269791126,0.940824898320102,-1.53365195411849,NA,1.78303210791908,2.57112586245949,0.994938353378668,0.473253361957062,0.103848794920721,-1.36089348884806,NA,0.0166,0.01565,0.01755,0.0019,0.867883062056557,4.14459171635469e-20,FALSE
"156621","isoComp_00000338","geneComp_00000043","ENST00000466730","ABCA17P","RGC","RO","ABCA17P","transcribed_unitary_pseudogene","processed_transcript",4.54167519799247,2.95158262243441,6.13176777355054,0.133038545801244,1.88917219815033,1.05228562848765,NA,0.269404594008566,0.0907097370882647,0.448099450928868,0.0415199151846506,0.0188924538705154,2.185457657074,NA,0.05555,0.0314,0.0797,0.0483,0.39595154151155,1.2577288066672e-05,NA
"156622","isoComp_00000339","geneComp_00000043","ENST00000469908","ABCA17P","RGC","RO","ABCA17P","transcribed_unitary_pseudogene","processed_transcript",4.54167519799247,2.95158262243441,6.13176777355054,0.133038545801244,1.88917219815033,1.05228562848765,NA,0.928907505737169,0.323319531711955,1.53449547976238,0.2234983522315,0.525803358575439,2.212157885221,NA,0.17685,0.10635,0.24735,0.141,0.260620290934149,1.2577288066672e-05,NA
"156623","isoComp_00000340","geneComp_00000043","ENST00000482286","ABCA17P","RGC","RO","ABCA17P","transcribed_unitary_pseudogene","retained_intron",4.54167519799247,2.95158262243441,6.13176777355054,0.133038545801244,1.88917219815033,1.05228562848765,NA,1.2430760644323,0.284936564860196,2.2012155640044,0.145012728307215,0.829068350838913,2.90636307831589,NA,0.22255,0.0945,0.3506,0.2561,0.0013647348315239,1.2577288066672e-05,NA
