isoform_id	EP1.BRN3B.RO	EP1.WT_hRO_2	H9.BRN3B_hRO_2	H9.BRN3B.RO	H9.CRX_hRO_2
BambuTx3	11.34001	0.12988	0.46641	4.37254	0.63121
BambuTx5	180.46983	5.05205	11.69762	298.8759	3.80054
BambuTx13	58.78539	45.22483	32.340089999999996	45.11971	37.05621
BambuTx17	14.88915	4.01733	7.65104	8.78863	11.5152
BambuTx23	0.1829	2.07813	1.28262	0.24986	1.52224
BambuTx86	2.24226	0.25167	0.20965	1.50589	0
BambuTx96	10.36452	0	0	15.86608	0
BambuTx105	10.32555	6.11956	4.128	3.31445	6.53917
BambuTx117	6.39392	4.13733	4.07515	14.79334	2.30307
BambuTx123	3.7631	1.14652	0.1166	0.50287	0.31031
BambuTx124	8.6799	0.93541	0.24897	2.06197	0.26809
BambuTx125	11.99459	51.94893	53.72592	6.55673	49.58901
BambuTx127	2.56065	2.98731	2.33204	2.2082	1.65486
BambuTx129	8.89143	12.5522	9.1781	5.01407	9.47364
BambuTx132	0.82213	6.44033	4.106	1.03234	5.13891
BambuTx153	2.68382	0	0	2.62374	0.5382
BambuTx188	18.61036	5.0596	7.76979	9.52095	5.62534
BambuTx218	9.01937	10.03961	6.18521	13.55295	7.45836
BambuTx233	6.73501	23.81886	32.22709	6.43494	21.91631
BambuTx249	2.55653	1.18176	2.00538	5.30952	1.69023
BambuTx293	2.46862	2.52515	2.1445	2.97779	4.20468
BambuTx295	3.40148	0.27523	1.33659	1.71484	1.39161
BambuTx310	22.60631	34.45413	43.95786	12.65195	40.64655
BambuTx311	33.40294	63.03705	47.79574	28.35402	30.69495
BambuTx338	0.11934	2.8017	1.13084	0.27815	1.77925
ENST00000002501.11	5.35847	4.68523	1.27702	2.70174	1.61008
ENST00000003302.8	9.45944	5.93958	20.31352	10.14415	12.05759
ENST00000005374.10	0.19873	0.27274	0.46888	0.36127	0.61153
ENST00000010132.6	1.91926	15.88501	22.24493	12.09754	29.81309
ENST00000012134.7	0.94713	0	0	1.02454	0
ENST00000026218.9	1.57526	0	3.57449	2.986	5.33032
ENST00000029410.10	12.05621	8.49264	5.66895	15.51801	6.1746
ENST00000039989.9	14.1113	5.33048	8.11542	9.97952	7.9047
ENST00000042381.9	27.78725	29.34974	27.13475	21.56493	22.71146
ENST00000072516.7	1.32962	2.08326	2.13163	2.32164	1.97194
ENST00000160740.7	17.26805	28.26049	12.96859	16.10938	14.705870000000001
ENST00000164227.10	3.90299	1.68648	4.66549	2.6808	3.79382
ENST00000165698.9	14.52604	20.8349	14.36467	11.73704	15.14324
ENST00000166244.8	4.80486	3.59153	4.90857	15.2272	10.10248
ENST00000167218.9	0.90139	0.86108	0.72643	1.2207	1.07314
ENST00000169298.8	0.44109	11.90551	6.39339	0.38274	9.6487
ENST00000178638.8	19.88651	2.07813	3.93743	7.81829	2.01988
ENST00000178640.10	9.57036	16.09702	13.69876	11.20212	14.63599
ENST00000193322.8	16.00614	5.61133	5.43754	18.64364	5.57165
ENST00000193403.10	8.11336	10.62041	6.36932	8.75988	2.67888
ENST00000195649.10	34.02042	14.3112	3.35899	31.60279	15.58451
ENST00000199320.9	5.49206	3.69067	5.35164	4.06241	8.76581
ENST00000200181.8	1.62871	0.74994	0.46641	1.14127	0.84272
ENST00000204005.13	2.11001	9.68028	18.36986	1.49741	13.26749
ENST00000206544.8	13.03051	16.89362	11.03802	12.64934	16.17462
ENST00000212015.11	17.35428	6.89125	9.15479	10.54342	6.58138
ENST00000214893.10	0.64054	3.07387	2.74061	3.15101	0.29501
ENST00000215742.9	6.25475	2.19848	2.67105	2.05338	1.59073
ENST00000215790.12	12.7139	3.09635	4.74073	15.80365	3.86557
ENST00000216039.9	8.74384	15.32449	14.43482	5.75537	15.42297
ENST00000216658.9	0	0	0.15342	0	0.17797
ENST00000217246.8	0.27648	1.2295	0.58825	0.68427	0.88457
ENST00000217315.9	0.91477	2.4166	1.81179	1.18193	0.86717
ENST00000218089.13	7.07391	2.20189	2.96377	7.74732	9.8183
ENST00000219611.7	11.36345	1.71068	2.64278	4.15332	1.83154
ENST00000220562.9	4.78162	9.02909	9.97153	2.6487	8.39406
ENST00000220849.10	57.88602	32.24284	16.14118	27.93221	11.69333
ENST00000221200.9	4.03675	6.94286	7.69572	6.46501	6.16928
ENST00000221283.10	2.6533	4.66226	5.83225	5.33742	3.59717
ENST00000221315.10	14.93711	13.63774	11.46488	12.80236	11.36184
ENST00000221462.9	9.04909	4.89318	4.60285	7.55417	3.5817
ENST00000222214.10	5.50659	6.20052	7.15639	4.0794	7.01722
ENST00000222249.13	0.43662	0.35139	0.76003	1.54382	1.2103
ENST00000222250.5	0.51479	1.21184	0.79431	0.85366	1.58194
ENST00000222553.8	11.60318	26.01919	33.3437	9.9543	26.10926
ENST00000222673.6	7.81331	23.92547	21.65544	6.64972	16.93569
ENST00000222725.10	3.29625	1.16417	3.16036	2.02966	4.39071
ENST00000223517.9	1.03542	0	0	0	0
ENST00000224784.10	1.4151	15.33535	5.18326	4.00427	1.26243
ENST00000224949.9	5.41989	11.77972	13.09101	3.67183	12.10685
ENST00000225603.9	164.69696	190.46101	190.26446	130.17743	228.35261
ENST00000225983.10	8.66173	9.14275	8.60318	0	9.02776
ENST00000226253.9	151.50088	99.29957	138.85979	289.18684	138.65578
ENST00000226299.9	0.8103	12.33891	10.11101	0.33523	10.10276
ENST00000226319.11	12.14057	7.89287	8.9742	10.88514	12.50223
ENST00000227214.10	20.81099	25.38587	19.72826	21.94685	34.46369
ENST00000227503.13	11.19674	8.33845	16.45868	9.59	6.54049
ENST00000228027.12	0.75649	0.39498	0.58007	1.04828	1.03233
ENST00000228843.13	1.14017	1.3191	0.50867	0.98012	0.22893
ENST00000229195.8	48.0249	44.64668	66.77487	39.08631	54.75435
ENST00000229265.10	0.08489	0.67582	1.46367	0.08303	0.7274
ENST00000229268.13	12.05899	8.27006	8.11585	11.97647	8.6739
ENST00000229634.13	0.51085	0.29917	0	1.31011	0.43073
ENST00000229854.12	1.39936	0	0.71045	6.86646	0.45473
ENST00000230122.4	2.25797	1.89726	1.58668	1.07515	2.73742
ENST00000230418.8	1.54229	0	0.36394	1.19043	0
ENST00000230419.9	11.02094	19.75971	22.99806	7.29246	20.68
ENST00000230914.4	6.70646	9.87113	9.31713	6.05909	9.13715
ENST00000231338.7	11.88076	1.62756	0.57828	4.30884	2.04392
ENST00000231948.9	0	20.255490000000002	26.67603	0	19.80893
ENST00000232219.6	10.56799	384.39278	548.93934	6.06995	0.28056
ENST00000232854.9	11.27598	22.83012	20.15273	10.21305	18.51803
ENST00000233146.7	35.818600000000004	39.90535	36.32941	28.58374	41.02505
ENST00000233156.9	2.43079	3.70447	6.23742	3.33164	2.97255
ENST00000233330.6	5.00307	5.92465	7.83847	5.54471	5.82556
ENST00000233596.8	13.16008	11.09331	13.91658	13.18605	10.55028
ENST00000234091.8	3.09542	0	0.35373	6.15508	0.39914
ENST00000234115.10	19.97433	36.36155	34.78855	22.23032	38.81178
ENST00000234392.3	17.03201	27.9977	20.86586	14.70704	26.62251
ENST00000234420.11	50.39087	53.64267	59.05679	39.2767	65.725
ENST00000237172.12	0.56265	1.20631	0.62358	0	2.8622
ENST00000237696.10	21.01816	2.26324	0.93281	4.93473	0.25249
ENST00000238788.14	10.28875	10.15534	7.74768	7.66684	9.94836
ENST00000240055.8	18.78879	31.11155	31.06964	13.43005	29.71171
ENST00000240487.5	0	4.6278	2.9179	0.24407	3.28836
ENST00000240731.5	4.87375	9.04872	9.70577	4.56285	9.37567
ENST00000241069.11	11.82659	0.727	1.72464	3.08285	0.37642
ENST00000242285.11	17.55068	11.96395	10.19615	34.47557	10.06409
ENST00000242783.11	34.88602	13.84235	9.98317	20.2619	9.63973
ENST00000242848.8	3.18504	57.55245	1e-5	1e-5	1e-5
ENST00000243326.9	19.15674	27.56076	27.51822	22.91744	24.64843
ENST00000243389.8	2.8298	6.62405	6.04867	3.89547	8.45826
ENST00000243562.13	0.58948	0	2.952	0	0
ENST00000243896.6	3.92173	1.66193	2.01286	1.21577	2.54271
ENST00000243964.7	9.78858	0	0.85519	8.33464	0.59944
ENST00000244364.10	6e-5	36.01767	16.31171	51.33315	11.50039
ENST00000244711.4	6.2879	2.26316	4.47314	3.47779	2.44086
ENST00000245121.10	0	0	0	0.18298	0.75762
ENST00000245932.11	10.28393	4.40516	4.80883	8.06456	5.57099
