isoform_id	EP1.BRN3B.RO	EP1.WT_hRO_2	H9.BRN3B_hRO_2	H9.BRN3B.RO	H9.CRX_hRO_2
BambuTx3	186	1	4	70	5
BambuTx5	2960.08473	38.89686	100.32111	4784.70227	30.10506
BambuTx13	964.20394	348.19599	277.35497	722.32107	293.53145
BambuTx17	244.21336	30.93032	65.6168	140.69716	91.21475
BambuTx23	3	16	11	4	12.05803
BambuTx86	36.7778	1.93767	1.79804	24.10772	0
BambuTx96	170	0	0	254	0
BambuTx105	169.36067	47.11587	35.4025	53.06107	51.7984
BambuTx117	104.87375	31.85424	34.94928	236.82643	18.24317
BambuTx123	61.72276	8.82735	1	8.05039	2.45807
BambuTx124	142.36863	7.20193	2.13525	33.0101	2.12364
BambuTx125	196.73642	399.96634	460.76406	104.96668	392.80693
BambuTx127	42	23	20	35.35113	13.10855
BambuTx129	145.83812	96.64221	78.71318	80.27027	75.04306
BambuTx132	13.48466	49.5855	35.21384	16.52671	40.70662
BambuTx153	44.02025	0	0	42.00346	4.2632
BambuTx188	305.24896	38.95502	66.63522	152.42085	44.55969
BambuTx218	147.93671	77.29717	53.04557	216.96913	59.07953
BambuTx233	110.46836	183.3867	276.3859	103.0169	173.60451
BambuTx249	41.93253	9.09861	17.19856	85	13.38871
BambuTx293	40.49058	19.44171	18.39166	47.67148	33.30634
BambuTx295	55.79141	2.11905	11.46283	27.45283	11.02326
BambuTx310	370.79109	265.27002	376.99131	202.54493	321.97148
BambuTx311	547.87852	485.33621	409.90566	453.91931	243.14235
BambuTx338	1.95738	21.57088	9.69834	4.45297	14.09386
ENST00000002501.11	87.89022	36.07262	10.952	43.25214	12.75386
ENST00000003302.8	155.15465	45.73016	174.21277	162.39755	95.51121
ENST00000005374.10	3.25953	2.09987	4.02124	5.78354	4.84408
ENST00000010132.6	31.47985	122.30224	190.77693	193.66939	236.15691
ENST00000012134.7	15.53485	0	0	16.40189	0
ENST00000026218.9	25.83764	0	30.65555	47.80291	42.22282
ENST00000029410.10	197.74721	65.38673	48.61801	248.42769	48.91054
ENST00000039989.9	231.45505	41.04052	69.59946	159.76203	62.61513
ENST00000042381.9	455.76934	225.97013	232.71297	345.23277	179.9031
ENST00000072516.7	21.80858	16.03951	18.28129	37.16714	15.62019
ENST00000160740.7	283.2324	217.58375	111.22121	257.8949	116.48888
ENST00000164227.10	64.01727	12.98455	40.01215	42.91694	30.05178
ENST00000165698.9	238.25756	160.41252	123.19426	187.89823	119.95336
ENST00000166244.8	78.80978	27.65197	42.09683	243.77222	80.02426
ENST00000167218.9	14.78464	6.62968	6.23001	19.54211	8.50062
ENST00000169298.8	7.23479	91.66315	54.83094	6.12721	76.42976
ENST00000178638.8	326.18055	16	33.7682	125.1629	16
