isoform_id	EP1.WT_hRO_2	EP1.WT_ROs_D45	H9.BRN3B_hRO_2	H9.CRX_hRO_2	H9.CRX_ROs_D45
BambuTx2	33.9171	52.18702	31.7289	39.66097	43.29023
BambuTx3	0.12988	0.96991	0.46641	0.63121	1.80546
BambuTx5	5.05205	0	11.69762	3.80054	0
BambuTx14	4.21063	4.7494	10.06691	14.97952	12.22617
BambuTx23	2.07813	32.23086	1.28262	1.52224	16.82361
BambuTx25	0.41351	3.55634	0.36352	0.16067	1.6851
BambuTx35	4.07569	9.89168	4.44187	4.57087	8.50094
BambuTx36	0.29588	0.55471	1.48414	0.31517	0.88094
BambuTx39	4.07515	12.69355	3.85392	0.93616	11.66506
BambuTx102	12.19412	28.6308	13.97389	13.51335	25.9695
BambuTx104	6.6215	25.88914	6.6463	6.56462	17.88823
BambuTx117	4.13733	0.12517	4.07515	2.30307	0
BambuTx118	28.74492	7.06747	42.37366	40.07847	5.69299
BambuTx125	51.94893	31.70766	53.72592	49.58901	36.26929
BambuTx134	33.38324	28.75968	40.35441	28.99374	17.72612
BambuTx162	0.4275	5.39421	0.56616	0.58989	3.03786
BambuTx164	0.64942	2.38747	1.2531	1.00994	2.9941
BambuTx165	0.38965	1.39269	0.52283	0	0.20649
BambuTx178	2.14941	12.90348	1.89712	2.15526	4.06018
BambuTx181	17.08983	40.54244	23.48525	20.57704	38.08219
BambuTx183	0.51495	0.99423	1.03768	1.27941	1.94037
BambuTx188	5.0596	23.45092	7.76979	5.62534	21.6522
BambuTx229	3.71899	7.3359	2.23133	1.34298	1.79142
BambuTx230	0.57215	1.00211	0.51492	0.19381	7.6434
BambuTx249	1.18176	3.6396	2.00538	1.69023	2.30736
BambuTx250	1.09512	2.30481	3.89157	3.82113	4.02807
BambuTx277	8.667	8.08745	5.67323	7.03001	7.80702
BambuTx293	2.52515	3.71613	2.1445	4.20468	4.76839
BambuTx309	4.03159	8.65169	3.42098	2.71426	9.45456
BambuTx326	0.64942	2.56369	1.86563	1.21041	0.08207
BambuTx338	2.8017	0	1.13084	1.77925	0
ENST00000002125.9	8.85551	8.72376	7.11306	6.26491	9.92097
ENST00000002501.11	4.68523	10.95333	1.27702	1.61008	8.31075
ENST00000004531.14	1.46119	2.79649	1.55782	1.48335	3.7175
ENST00000005374.10	0.27274	0.92655	0.46888	0.61153	0.34745
ENST00000006777.11	45.35005	52.65198	37.31844	44.90339	61.5499
ENST00000007264.7	2.30354	4.46301	2.72002	1.75437	8.98744
ENST00000011898.10	13.25422	12.17714	5.4626	11.28754	18.76823
ENST00000013125.9	6.25399	15.98991	6.26495	19.41207	10.19452
ENST00000026218.9	0	1.65572	3.57449	5.33032	6.09527
ENST00000029410.10	8.49264	9.87676	5.66895	6.1746	12.02255
ENST00000055335.11	7.3936	5.23833	8.13298	6.18665	4.47778
ENST00000055682.12	7.92288	1.17231	4.25387	5.07053	1.31311
ENST00000064778.8	37.73409	17.55821	30.47839	37.3822	21.87536
ENST00000085079.11	1.28482	8.24809	3.2216	1.70833	13.38686
ENST00000160740.7	28.26049	14.78778	12.96859	14.705870000000001	18.2275
ENST00000164227.10	1.68648	0.41198	4.66549	3.79382	0.76265
ENST00000171887.8	0	0	0	0.62334	0.53159
ENST00000175756.10	12.27794	5.88581	14.42952	12.37759	10.66594
ENST00000178638.8	2.07813	1.61154	3.93743	2.01988	0.74407
ENST00000204005.13	9.68028	2.58871	18.36986	13.26749	11.0072
ENST00000204726.9	23.13083	6.10595	21.74278	23.84381	11.34489
ENST00000206262.2	6.58877	11.78837	6.82121	5.11283	7.71424
