isoform_id	EP1.BRN3B.RO	EP1.WT_ROs_D45	H9.BRN3B.RO	H9.CRX_ROs_D45
BambuTx5	180.46983	0	298.8759	0
BambuTx23	0.1829	32.23086	0.24986	16.82361
BambuTx29	24.41102	0	48.7933	0.02278
BambuTx30	11.22725	1.78266	38.2092	1.12615
BambuTx31	9.96564	0	10.87297	0.32827
BambuTx43	14.0905	7.82814	10.71498	10.18125
BambuTx48	6.0237	8.9657	4.45398	7.04895
BambuTx52	2.54323	8.62125	1.60251	7.96207
BambuTx74	1.92173	0	1.14775	0
BambuTx86	2.24226	0	1.50589	0
BambuTx87	18.20213	42.28611	15.18776	28.46565
BambuTx93	9.64608	0.48803	3.0045	0
BambuTx99	0.18559	1.27046	0	0.79762
BambuTx104	3.90194	25.88914	1.30259	17.88823
BambuTx109	0.41168	0	2.85178	0
BambuTx111	2.42323	5.22889	2.70655	4.52365
BambuTx117	6.39392	0.12517	14.79334	0
BambuTx118	23.92098	7.06747	30.656	5.69299
BambuTx129	8.89143	17.86412	5.01407	17.08119
BambuTx134	24.14757	28.75968	18.863	17.72612
BambuTx153	2.68382	0.17862	2.62374	0.65522
BambuTx154	5.13975	11.11766	4.50049	12.90444
BambuTx178	2.48906	12.90348	1.33648	4.06018
BambuTx192	6.24878	3.12192	4.46744	3.37217
BambuTx193	4.34969	11.76123	2.91519	8.70154
BambuTx218	9.01937	7.37465	13.55295	6.64543
BambuTx225	2.89906	0.1296	4.35654	0
BambuTx233	6.73501	24.82848	6.43494	8.91263
BambuTx235	1.97192	5.54756	3.05668	7.3747
BambuTx248	5.09254	2.74211	6.1969900000000004	3.46831
BambuTx255	10.53822	3.45491	8.57329	4.60304
BambuTx277	2.35156	8.08745	1.66896	7.80702
BambuTx280	4.78409	1.56936	5.28063	0.85605
BambuTx295	3.40148	1.17384	1.71484	0.7386
BambuTx310	22.60631	57.33678	12.65195	17.6763
BambuTx311	33.40294	44.15213	28.35402	18.55491
BambuTx316	4.19487	5.94586	3.089	6.84547
BambuTx320	3.04716	0.41928	3.02784	0.89043
BambuTx338	0.11934	0	0.27815	0
BambuTx352	0.31487	0.11338	2.20911	7.85653
ENST00000002501.11	5.35847	10.95333	2.70174	8.31075
ENST00000003302.8	9.45944	14.40548	10.14415	12.0463
ENST00000003583.12	0.77772	0.79673	2.55255	0.44081
ENST00000004531.14	1.10308	2.79649	1.67322	3.7175
ENST00000007264.7	3.41327	4.46301	2.5125	8.98744
ENST00000008440.9	0	0.16044	0.06855	0.307
ENST00000009530.13	0.4569	1.04452	0	1.95837
ENST00000010132.6	1.91926	13.02978	12.09754	18.53804
ENST00000010404.6	0	0	0.59339	0.11912
ENST00000011691.6	27.20871	0.51966	26.54054	4.68518
ENST00000012134.7	0.94713	0	1.02454	0.06346
ENST00000012443.9	22.87266	39.42373	20.02556	37.19505
ENST00000013125.9	20.04178	15.98991	15.16852	10.19452
ENST00000042381.9	27.78725	17.05446	21.56493	25.46313
ENST00000052569.10	22.7085	32.4091	10.34132	31.16273
ENST00000055335.11	6.49627	5.23833	9.97237	4.47778
ENST00000064778.8	32.34329	17.55821	46.95721	21.87536
ENST00000070846.11	0	0	0	0.31047
ENST00000085068.7	0.65923	0.37023	0.80001	1.85381
ENST00000156825.5	22.5204	40.79604	16.78792	46.54059
ENST00000158166.5	0.08883	0	0.72249	0.31893
ENST00000159111.9	26.46373	8.97481	23.14871	9.00729
ENST00000160827.9	12.19683	56.71631	6.51845	47.75504
ENST00000164227.10	3.90299	0.41198	2.6808	0.76265
ENST00000167462.9	2.16924	0	0.26718	0.34882
ENST00000169298.8	0.44109	14.43614	0.38274	6.28056
ENST00000178640.10	9.57036	11.65384	11.20212	15.43818
ENST00000193403.10	8.11336	25.84966	8.75988	18.31377
ENST00000199320.9	5.49206	11.60737	4.06241	10.90691
ENST00000199940.10	1.66528	1.99769	3.64992	2.72203
ENST00000200181.8	1.62871	0.50361	1.14127	1.29938
ENST00000201647.11	0	0.28324	0.08962	0.215
ENST00000201963.3	2.06715	1.90183	0	1.43599
ENST00000206474.11	6.03877	15.26689	1.4946	19.97793
ENST00000206544.8	13.03051	1.8589	12.64934	1.83681
ENST00000211936.10	3.64991	3.41722	3.51046	1.7887
ENST00000212355.9	2.06672	6.49094	1.21326	6.31911
ENST00000214893.10	0.64054	0.08436	3.15101	1.09122
ENST00000215057.7	6.87565	3.88077	2.63225	2.95401
ENST00000216061.9	3.35653	0.7469	3.67506	1.7931
ENST00000216146.9	1540.86018	1979.89729	754.25186	1750.79891
ENST00000216214.7	0.30459	0	0	1.08157
ENST00000216277.13	59.83452	111.97298	72.55131	106.12833
ENST00000216517.10	0	0.58277	0.24631	0.70147
ENST00000217315.9	0.91477	1.38046	1.18193	0.75708
ENST00000217456.3	46.40356	58.05879	42.82833	67.32939
ENST00000217961.5	0.87616	0	0.80097	0.54586
ENST00000218089.13	7.07391	2.48685	7.74732	5.56093
ENST00000218147.11	0	2.85471	0	10.67762
ENST00000219251.13	0.1248	0.47991	0.36788	0.41843
ENST00000219476.9	2.38742	0.3351	2.04072	0.33979
ENST00000219905.13	7.50813	4.08221	9.20886	1.69058
ENST00000220562.9	4.78162	16.25872	2.6487	14.00418
ENST00000220676.2	191.69181	0.22383	505.4545	0.16413
ENST00000220809.9	3.82492	3.7816	2.83595	5.40294
ENST00000221200.9	4.03675	7.92833	6.46501	6.03254
ENST00000221283.10	2.6533	6.51905	5.33742	7.676
ENST00000221315.10	14.93711	14.18464	12.80236	6.8839
ENST00000221448.9	10.15023	19.23029	4.60046	15.51061
ENST00000221462.9	9.04909	8.54769	7.55417	8.87275
ENST00000221504.12	0.26957	0.08402	0.46467	1.11525
ENST00000221996.12	197.5649	6.52824	229.27241	15.97846
ENST00000222214.10	5.50659	9.81119	4.0794	8.45098
ENST00000222249.13	0.43662	0.72513	1.54382	0.31565
ENST00000222553.8	11.60318	18.83388	9.9543	16.60892
ENST00000222644.10	9.94822	17.85832	10.26949	20.27582
ENST00000222792.11	2.37782	0.30494	1.89325	0.92549
ENST00000223061.6	4.81458	13.60816	2.91825	10.57689
ENST00000224721.12	26.04134	4.7938	16.32032	6.47204
ENST00000224784.10	1.4151	8.11314	4.00427	9.57008
ENST00000224949.9	5.41989	9.52129	3.67183	10.54488
ENST00000225823.7	1.5532300000000001	1.19374	2.24874	0.90273
ENST00000226253.9	151.50088	15.02156	289.18684	13.40981
ENST00000226319.11	12.14057	13.06954	10.88514	10.61365
ENST00000227214.10	20.81099	12.08897	21.94685	11.03978
ENST00000227266.10	4.57025	26.74552	2.87977	28.85027
ENST00000227378.7	2.55811	1.04322	1.0625	1.16894
ENST00000227520.10	10.50302	11.06704	11.76516	14.74835
ENST00000228510.8	6.30221	13.06885	4.81127	11.21134
ENST00000228850.6	1.03645	0.17701	0.88571	0
ENST00000229265.10	0.08489	3.08565	0.08303	1.18827
ENST00000229268.13	12.05899	11.96435	11.97647	17.79481
ENST00000229387.6	0	0	0	0
ENST00000229971.2	14.85656	4.55778	10.53597	5.25225
ENST00000230418.8	1.54229	0	1.19043	0
ENST00000230419.9	11.02094	24.08591	7.29246	32.34712
ENST00000231004.5	111.26709	1.97584	24.28719	3.145
ENST00000231790.8	3.22992	10.16238	2.96621	11.68758
ENST00000232014.8	0.42133	0.20824	0.30834	0.65779
ENST00000232219.6	10.56799	118.74534	6.06995	147.29517
ENST00000232854.9	11.27598	9.09787	10.21305	10.3577
ENST00000232978.13	53.66587	68.09063	42.46085	62.51316
ENST00000233121.7	11.36175	6.21247	17.38551	3.35317
ENST00000233156.9	2.43079	8.70998	3.33164	7.85511
ENST00000233557.7	49.05189	49.4181	43.31799	57.17016
ENST00000233596.8	13.16008	16.97591	13.18605	20.70602
