isoform_id	EP1.BRN3B.RO	EP1.WT_ROs_D45	H9.BRN3B.RO	H9.CRX_ROs_D45
BambuTx5	2960.08473	0	4784.70227	4e-5
BambuTx23	3	432	4	205
BambuTx29	400.39199	0	781.13156	0.27754
BambuTx30	184.15052	23.89352	611.69083	13.72246
BambuTx31	163.45749	0	174.06529	4
BambuTx43	231.1139	104.92286	171.53602	124.06115
BambuTx48	98.80127	120.17003	71.30371	85.89323
BambuTx52	41.71429	115.55317	25.65463	97.01984
BambuTx74	31.52043	0	18.374389999999998	0
BambuTx86	36.7778	0	24.10772	0
BambuTx87	298.55321	566.77356	243.14068	346.86124
BambuTx93	158.21607	6.54122	48.09906	0
BambuTx99	3.04409	17.02835	0	9.71924
BambuTx104	64	347	20.85313	217.9726
BambuTx109	6.75237	0	45.6541	0
BambuTx111	39.74599	70.08441	43.32915	55.12183
BambuTx117	104.87375	1.67769	236.82643	0
BambuTx118	392.35432	94.72748	490.77171	69.37053
BambuTx129	145.83812	239.43814	80.27027	208.13865
BambuTx134	396.0709	385.47466	301.97765	215.99727
BambuTx153	44.02025	2.39407	42.00346	7.98397
BambuTx154	84.30265	149.01334	72.04832	157.2439
BambuTx178	40.82582	172.94929	21.39571	49.47433
BambuTx192	102.49316	41.84401	71.51926	41.09074
BambuTx193	71.34408	157.6393	46.66919	106.03053
BambuTx218	147.93671	98.84467	216.96913	80.9763
BambuTx225	47.55065	1.73712	69.74382	0
BambuTx233	110.46836	332.78366	103.0169	108.60271
BambuTx235	32.3437	74.35558	48.93434	89.86261
BambuTx248	83.52836	36.75336	99.20751	42.26225
BambuTx255	172.84891	46.30719	137.24981	56.08923
BambuTx277	38.57056	108.39849	26.71834	95.13056
BambuTx280	78.46914	21.03457	84.53764	10.43115
BambuTx295	55.79141	15.73333	27.45283	9
BambuTx310	370.79109	768.50214	202.54493	215.39024
BambuTx311	547.87852	591.7843	453.91931	226.09628
BambuTx316	68.80467	79.69419	49.45184	83.41382
BambuTx320	49.9798	5.61975	48.47273	10.85016
BambuTx338	1.95738	0	4.45297	0
BambuTx352	5.16459	1.51969	35.36567	95.73376
ENST00000002501.11	87.89022	146.81081	43.25214	101.26858
ENST00000003302.8	155.15465	193.08103	162.39755	146.78718
ENST00000003583.12	12.75619	10.67886	40.86371	5.37133
ENST00000004531.14	18.0928	37.48224	26.7865	45.29872
ENST00000007264.7	55.98482	59.81902	40.2226	109.5142
ENST00000008440.9	0	2.15042	1.09741	3.74085
ENST00000009530.13	7.49409	14	0	23.86318
ENST00000010132.6	31.47985	174.64203	193.66939	225.89072
ENST00000010404.6	0	0	9.49964	1.45153
ENST00000011691.6	446.28008	6.96522	424.8873	57.09012
ENST00000012134.7	15.53485	0	16.40189	0.77331
ENST00000012443.9	375.15976	528.40812	320.58909	453.23123
ENST00000013125.9	328.72737	214.31765	242.83276	124.22282
ENST00000042381.9	455.76934	228.58607	345.23277	310.27475
ENST00000052569.10	372.46712	434.3889	165.55413	379.72587
ENST00000055335.11	106.55243	70.21098	159.64765	54.56286
ENST00000064778.8	530.49804	235.33805	751.73761	266.55683
ENST00000070846.11	0	0	0	3.7832
ENST00000085068.7	10.81283	4.96235	12.8073	22.5891
ENST00000156825.5	369.38186	546.8017	268.7577	567.10893
ENST00000158166.5	1.45693	0	11.56638	3.88624
ENST00000159111.9	434.06089	120.29212	370.58752	109.75614
ENST00000160827.9	200.05361	760.18579	104.35377	581.90734
ENST00000164227.10	64.01727	5.52188	42.91694	9.29312
ENST00000167462.9	35.58013	0	4.27735	4.25045
ENST00000169298.8	7.23479	193.49189	6.12721	76.53017
ENST00000178640.10	156.974	156.19999	179.33473	188.11821
ENST00000193403.10	133.0761	346.47075	140.23681	223.15793
ENST00000199320.9	90.08131	155.57706	65.03508	132.90346
ENST00000199940.10	27.31408	26.7756	58.43162	33.16865
ENST00000200181.8	26.71427	6.75	18.2706	15.83333
ENST00000201647.11	0	3.79634	1.43481	2.61982
ENST00000201963.3	33.90563	25.49075	0	17.49791
ENST00000206474.11	99.04851	204.62679	23.9271	243.43614
ENST00000206544.8	213.72772	24.91546	202.50318	22.38194
ENST00000211936.10	59.86625	45.802	56.19896	21.79578
ENST00000212355.9	33.89852	87	19.42304	77
ENST00000214893.10	10.50618	1.13074	50.4445	13.2968
ENST00000215057.7	112.77509	52.01516	42.13965	35.99542
ENST00000216061.9	55.0542	10.01096	58.83408	21.84935
ENST00000216146.9	25273.34731	26537.16133	12074.81281	21333.93114
ENST00000216214.7	4.99594	1e-5	1e-5	13.17926
ENST00000216277.13	981.41199	1500.80763	1161.47342	1293.2008
ENST00000216517.10	0	7.81101	3.9431	8.54758
ENST00000217315.9	15.00421	18.5027	18.92155	9.22524
ENST00000217456.3	761.11601	778.17955	685.63836	820.42574
ENST00000217961.5	14.37083	0	12.82279	6.65142
ENST00000218089.13	116.02695	33.33199	124.02672	67.76135
ENST00000218147.11	0	38.26255	0	130.10958
ENST00000219251.13	2.04694	6.43237	5.88941	5.09864
ENST00000219476.9	39.15868	4.49142	32.66982	4.14044
ENST00000219905.13	123.14916	54.71512	147.42463	20.60015
ENST00000220562.9	78.42855	217.92057	42.40298	170.64446
ENST00000220676.2	3144.14886	3	8091.81761	2
ENST00000220809.9	62.73678	50.6859	45.40073	65.83614
ENST00000221200.9	66.21127	106.26587	103.49827	73.50801
ENST00000221283.10	43.51978	87.37673	85.44677	93.53401
ENST00000221315.10	244.99999	190.12104	204.95295	83.88202
ENST00000221448.9	166.48505	257.74934	73.64879	189.00078
ENST00000221462.9	148.42414	114.56727	120.93466	108.11675
ENST00000221504.12	4.42146	1.12614	7.43883	13.58965
ENST00000221996.12	3240.47976	87.5	3670.42037	194.70157
ENST00000222214.10	90.31971	131.50234	65.30701	102.97737
ENST00000222249.13	7.16141	9.71911	24.71506	3.84624
ENST00000222553.8	190.3166	252.43613	159.35828	202.38396
ENST00000222644.10	163.17175	239.36041	164.40418	247.06607
ENST00000222792.11	39.00118	4.08714	30.309	11.27738
ENST00000223061.6	78.96928	182.39423	46.7182	128.88208
ENST00000224721.12	427.13272	64.25275	261.27188	78.86349
ENST00000224784.10	23.21063	108.74287	64.10439	116.61387
ENST00000224949.9	88.8976	127.61669	58.78226	128.49204
ENST00000225823.7	25.47619	16	36	11
ENST00000226253.9	2484.93308	201.33853	4629.59005	163.4019
ENST00000226319.11	199.13088	175.17498	174.26014	129.33005
ENST00000227214.10	341.34399	162.03218	351.34699	134.52259
ENST00000227266.10	74.96178	358.47822	46.10218	351.54787
ENST00000227378.7	41.95831	13.98257	17.00962	14.24383
ENST00000227520.10	172.27166	148.33492	188.34834	179.71239
ENST00000228510.8	103.36947	175.16572	77.02358	136.61305
ENST00000228850.6	17	2.37248	14.17933	0
ENST00000229265.10	1.39243	41.35796	1.32919	14.47943
ENST00000229268.13	197.79282	160.36177	191.73125	216.83436
ENST00000229387.6	0	0	0	0
ENST00000229971.2	243.67883	61.08929	168.67027	64
ENST00000230418.8	25.29686	0	19.05752	0
ENST00000230419.9	180.76655	322.83067	116.74486	394.15785
ENST00000231004.5	1825.01419	26.48276	388.81338	38.32258
ENST00000231790.8	52.97742	136.20944	47.48605	142.41616
ENST00000232014.8	6.91063	2.79109	4.93617	8.01539
ENST00000232219.6	173.3372	1591.57971	97.17384	1794.82924
ENST00000232854.9	184.94974	121.94152	163.50057	126.21123
ENST00000232978.13	880.2332	912.63929	679.75544	761.7388
ENST00000233121.7	186.35657	83.26755	278.3245	40.85925
ENST00000233156.9	39.87007	116.74243	53.33619	95.71656
ENST00000233557.7	804.55414	662.36576	693.47745	696.633
ENST00000233596.8	215.85297	227.53329	211.09535	252.30808
ENST00000234115.10	327.62098	322.20218	355.88502	336.30593
ENST00000234142.9	113.24443	317.40191	81.83759	318.86331
ENST00000234179.8	424.76797	415.47396	349.21972	225.27229
ENST00000234420.11	826.51625	1546.84487	628.78039	1297.23773
ENST00000235532.9	84.39111	77.19835	120.80782	92.2899
ENST00000236980.10	91.92215	175.63217	102.70918	148.19364
ENST00000237353.15	5.27999	6.51888	0	7.61747
ENST00000237858.11	74.21445	304.24519	86.44585	230.36446
ENST00000238138.2	10.64941	0	33.5643	0
ENST00000238686.8	1.36555	6.34502	0	1.37585
ENST00000238788.14	168.75713	151.48463	122.73833	203.93649
ENST00000238961.9	371.25543	416.53337	338.14329	408.53224
ENST00000239666.9	347.5048	389.08311	306.24463	334.14693
ENST00000240123.12	101.87621	41.85955	82.38278	34.25698
ENST00000240488.8	39.86111	265.17155	9	239.43625
ENST00000240731.5	79.93971	98.12938	73.04669	58.58789
ENST00000241069.11	193.981	11.0933	49.35339	8.37609
ENST00000242285.11	287.86812	12.74958	551.91912	12.5622
ENST00000242776.9	355.08442	838.48399	229.9627	734.21548
ENST00000242839.10	103.08597	19.48869	17.15849	22.08329
ENST00000242848.8	52.24143	790.36678	1e-4	641.53518999999994
ENST00000243050.5	26.72335	0	13.97456	2.99885
ENST00000243786.3	47	14	29	63
ENST00000243878.9	125.91766	241.16624	109.60419	209.58251
ENST00000243964.7	160.55337	1.33333	133.42926	1.33333
ENST00000244289.9	29.26052	1.60151	14.11062	0
ENST00000244364.10	0.00104	3.9e-4	821.79203	342.02312
ENST00000245121.10	0	11.51835	2.92938	14.25896
ENST00000245157.11	63.60079	121.88834	130.14977	97.96067
ENST00000245222.9	135.48046	77.87724	37.98015	41.72175
ENST00000245407.8	128.54933	18.53471	44.29816	20.23384
ENST00000245618.5	8.84991	3.79634	1.43481	2.61982
ENST00000246015.8	377.25068	128.8007	256.99982	169.26139
ENST00000246112.9	126.1368	44.95143	68.01251	42.4613
ENST00000246139.9	56.85218	21	50.882	32.16372
ENST00000246784.8	47.87918	8.89321	44.49452	207.61117
ENST00000246785.7	47.87918	219.02093	4.40124	29.20493
ENST00000247087.10	107.68711	46.35488	79.16389	98.22098
ENST00000247178.6	326.62188	112.82898	337.3404	155.9183
ENST00000247194.9	70.28792	28.73367	115.96952	63.13708
ENST00000247226.13	78.94376	72.40746	46.49408	130.43179
ENST00000247295.4	3.11719	0	4.54415	0
ENST00000247815.9	28.76584	24.07157	50.17468	8.27813
ENST00000247933.9	17.62922	57.00001	14.94001	7.15368
ENST00000247956.11	109.36689	116.10366	92.86861	101.81344
ENST00000248104.11	16.91791	7.12006	16.40858	5.753
ENST00000248139.8	37.09264	38.48645	16.5	63.98107
ENST00000248484.9	3.38429	12.11246	0.37058	22.12233
ENST00000248553.7	575.31495	806.37181	572.29918	1412.75428
ENST00000248594.11	666.82273	678.04923	570.29677	521.4927
ENST00000249269.9	394.87746	596.29847	441.36463	607.61119
ENST00000249377.4	10.37151	99.76688	0	33.968
ENST00000249837.7	667.69617	636.67543	540.28479	409.17572
ENST00000250056.12	9.90962	218.99385	0	187.65241
ENST00000250173.5	9.68035	8.51192	15.55365	0.98532
ENST00000250237.10	166.19536	146.36513	127.42831	162.96388
ENST00000250377.11	24.58486	24.96469	25.10748	33.95532
ENST00000251507.8	43.33284	5.07362	40.02481	3.84348
ENST00000251607.11	78.04501	115.02711	23.16619	109.29127
ENST00000251739.9	1.33569	0	5.67667	0
