gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00000821	AP1S2	AP1S2	RGC	RO_D209	6.35503212923004e-67	1
geneComp_00001751	BSCL2	BSCL2	RGC	RO_D209	8.641471509872156e-52	2
geneComp_00029024	DYNC1I2	DYNC1I2	RGC	RO_D45	2.004098891525799e-49	3
geneComp_00025208	AP1S2	AP1S2	RGC	RO_D45	8.464621076644667e-45	4
geneComp_00033621	ERGIC3	ERGIC3	RGC	RO_D45	8.464621076644667e-45	5
geneComp_00001753	BSG	BSG	RGC	RO_D209	5.188033156963653e-41	6
geneComp_00029140	EEF1D	EEF1D	RGC	RO_D45	4.066380517839437e-36	7
geneComp_00025995	BIN1	BIN1	RGC	RO_D45	1.1460180339053955e-35	8
geneComp_00038638	MEAF6	MEAF6	RGC	RO_D45	3.651068758754265e-32	9
geneComp_00038597	MCM7	MCM7	RGC	RO_D45	9.675958210643413e-31	10
geneComp_00038326	MAD2L2	MAD2L2	RGC	RO_D45	1.6520751948621395e-29	11
geneComp_00033647	ERP29	ERP29	RGC	RO_D45	5.984162974726317e-29	12
geneComp_00024715	ADD1	ADD1	RGC	RO_D45	1.1016624316822438e-27	13
geneComp_00041635	PLTP	PLTP	RGC	RO_D45	3.013471390575914e-27	14
geneComp_00026520	CADM1	CADM1	RGC	RO_D45	1.0832784194465716e-24	15
geneComp_00045208	SRSF7	SRSF7	RGC	RO_D45	2.206394345681418e-24	16
geneComp_00026138	BSCL2	BSCL2	RGC	RO_D45	2.662853961494644e-24	17
geneComp_00002133	CADM1	CADM1	RGC	RO_D209	3.184638734351243e-24	18
geneComp_00047294	UNG	UNG	RGC	RO_D45	1.5524493172119998e-23	19
geneComp_00045204	SRSF3	SRSF3	RGC	RO_D45	9.855186133159748e-22	20
geneComp_00025283	APP	APP	RGC	RO_D45	1.3194363456635276e-21	21
geneComp_00035703	HNRNPA1	HNRNPA1	RGC	RO_D45	1.6993484591644644e-21	22
geneComp_00029004	DUT	DUT	RGC	RO_D45	3.0892759305765466e-21	23
geneComp_00028410	DCTN1	DCTN1	RGC	RO_D45	3.1557006973002878e-21	24
geneComp_00024594	ACTB	ACTB	RGC	RO_D45	3.827335954403347e-20	25
geneComp_00045206	SRSF5	SRSF5	RGC	RO_D45	4.136440831797281e-20	26
geneComp_00018387	RBM25	RBM25	RGC	RO_D209	6.288717142056903e-20	27
geneComp_00042233	PSIP1	PSIP1	RGC	RO_D45	3.891517216120187e-18	28
geneComp_00035000	GOPC	GOPC	RGC	RO_D45	2.4704084409836212e-17	29
geneComp_00033719	EWSR1	EWSR1	RGC	RO_D45	1.424246470696716e-16	30
geneComp_00043431	RPS29	RPS29	RGC	RO_D45	4.812130158701859e-16	31
geneComp_00045269	ST7	ST7	RGC	RO_D45	9.081404845131704e-16	32
geneComp_00009300	ETFB	ETFB	RGC	RO_D209	1.2867164810113784e-15	33
geneComp_00046619	TPD52L2	TPD52L2	RGC	RO_D45	1.7981955462827134e-15	34
geneComp_00019171	RTN1	RTN1	RGC	RO_D209	3.832626630539604e-15	35
geneComp_00041235	PFN2	PFN2	RGC	RO_D45	3.907611817858147e-15	36
geneComp_00044471	SLC37A4	SLC37A4	RGC	RO_D45	3.907611817858147e-15	37
geneComp_00014251	MEAF6	MEAF6	RGC	RO_D209	4.017607252710281e-15	38
geneComp_00004523	DPYSL3	DPYSL3	RGC	RO_D209	5.767912531009533e-15	39
geneComp_00026083	BORCS8	BORCS8	RGC	RO_D45	8.751578099546729e-15	40
geneComp_00003910	CYTH1	CYTH1	RGC	RO_D209	1.608211462721767e-14	41
geneComp_00019044	RPS29	RPS29	RGC	RO_D209	3.019391073387111e-14	42
geneComp_00009332	EWSR1	EWSR1	RGC	RO_D209	4.4656204831552774e-14	43
geneComp_00028958	DTNA	DTNA	RGC	RO_D45	5.035367475782507e-14	44
geneComp_00025726	ATP6V1H	ATP6V1H	RGC	RO_D45	6.550277698462728e-14	45
geneComp_00001608	BIN1	BIN1	RGC	RO_D209	7.247850567722e-14	46
geneComp_00022623	TUBA1C	TUBA1C	RGC	RO_D209	1.5455582212896768e-13	47
geneComp_00046661	TRA2B	TRA2B	RGC	RO_D45	2.356741149902109e-13	48
geneComp_00000328	ADD1	ADD1	RGC	RO_D209	4.578863346335068e-13	49
geneComp_00020817	SRSF3	SRSF3	RGC	RO_D209	5.828248328080937e-13	50
