isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
BambuTx20	12.48308	9.63062	15.63856	15.8488
BambuTx25	8.31533	10.87244	11.85309	13.67503
BambuTx26	8.56077	11.5428	2.81742	8.81511
BambuTx35	15.81809	13.98669	1.86843	2.89052
BambuTx36	0.70901	0.85409	0.65873	1.41652
BambuTx68	10.26211	11.4162	14.93923	21.54139
BambuTx70	7.80741	5.64138	0.65873	0.16568
BambuTx71	3.87862	1.75597	2.98384	2.25442
BambuTx79	2.17434	1.69618	6.69194	4.99343
BambuTx85	25.90099	16.26763	6.32378	10.92578
BambuTx97	16.56103	23.29641	7.64601	5.68956
BambuTx98	22.31837	22.40518	52.30768	94.13908
BambuTx121	2.1312	4.61858	35.60902	23.45119
BambuTx141	47.08632	57.83977	1.82874	7.22214
BambuTx147	30.48279	26.78475	2.1253	4.4401
BambuTx153	1.15071	2.26779	3.55712	4.23621
BambuTx164	4.72446	4.91793	5.32048	4.63803
BambuTx183	8.50729	7.2116	16.36192	24.80516
BambuTx215	0.26509	0.57529	4.32909	8.78187
BambuTx220	6.4372	8.49879	4.05639	5.18661
BambuTx221	1.78811	3.47678	20.28196	30.76839
BambuTx229	0.72453	0.66113	3.29363	3.91248
BambuTx248	6.3464	8.53681	9.14338	10.5507
BambuTx268	4.3472	3.96678	16.1388	18.74729
BambuTx306	2.3546	2.79372	24.65229	16.45284
BambuTx316	4.79155	5.38173	6.52453	10.89055
BambuTx333	21.2769	24.69436	6.64592	11.3778
BambuTx359	3.91466	1.34706	0.72551	1.02708
BambuTx361	1.37849	5.42377	1.03006	10.23692
BambuTx371	3.39404	3.81021	9.87645	12.91849
BambuTx387	4.43347	4.69042	11.55598	10.25405
BambuTx388	3.84052	4.69042	2.93601	7.27059
BambuTx394	28.39806	38.19634	3.56753	5.69339
BambuTx405	3.09398	2.95103	0	0.24225
BambuTx413	55.55126	60.69317	209.43164	269.66424
BambuTx414	3.51984	3.37183	3.06519	13.4363
BambuTx432	0.59614	0.80059	4.88858	6.70507
BambuTx436	17.87183	15.80697	14.92586	16.52971
BambuTx440	3.4645	3.31652	7.97713	9.55564
BambuTx442	0.92787	3.3744	0	2.11515
BambuTx445	7.96673	7.50285	1.33666	1.28969
BambuTx454	13.49666	15.47117	2.7133	4.81367
BambuTx466	8.26626	8.65733	7.91416	9.77382
BambuTx474	6.47048	9.73392	12.24541	11.63187
