isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
BambuTx20	103.37473	72.83455	47.48117	194.44002
BambuTx25	68.86076	82.22623	35.9879	167.7713
BambuTx26	70.89336	87.296	8.55413	108.14763
BambuTx35	130.99254	105.77866	5.67287	35.46221
BambuTx36	5.87146	6.45932	2	17.37854
BambuTx68	84.98248	86.33855	45.3579	264.27913
BambuTx70	64.65464	42.66472	2	2.03262
BambuTx71	32.11955	13.28006	9.05942	27.65822
BambuTx79	18.00612	12.82789	20.3178	61.26161
BambuTx85	214.49094	123.02904	19.2	134.04222
BambuTx97	137.14497	176.18638	23.21452	69.80198
BambuTx98	184.82257	169.44613	158.81453	1154.93936
BambuTx121	17.64887	34.92948	108.11473	287.70944
BambuTx141	389.93059	437.43122	5.55234	88.6044
BambuTx147	252.43364	202.56798	6.45274	54.47308
BambuTx153	9.52921	17.15086	10.8	51.97168
BambuTx164	39.12416	37.19338	16.15385	56.90141
BambuTx183	70.45045	54.54	49.67742	304.32057
BambuTx215	2.19524	4.35085	13.14382	107.73979
BambuTx220	53.30769	64.27473	12.31586	63.63164
BambuTx221	14.80769	26.29421	61.57931	377.48007
BambuTx229	6	5	10	48
BambuTx248	52.5557	64.56231	27.76078	129.44066
BambuTx268	36	30	49	230
BambuTx306	19.49891	21.12839	74.84831	201.85067
BambuTx316	39.67976	40.701	19.80952	133.60998
BambuTx333	176.19795	186.75881	20.17808	139.58782
BambuTx359	32.41803	10.18756	2.20275	12.60068
BambuTx361	11.41551	41.01892	3.12742	125.59103
BambuTx371	28.1067	28.81586	29.98648	158.48963
BambuTx387	36.7144	35.47275	35.08581	125.80122
BambuTx388	31.80404	35.47275	8.91419	89.19878
BambuTx394	235.16963	288.87167	10.83161	69.84895
BambuTx405	25.62185	22.31809	0	2.97206
BambuTx413	460.03041	459.011	635.86819	3308.35878
BambuTx414	29.14844	25.50055	9.3064	164.84237
BambuTx432	4.93672	6.05468	14.84251	82.26074
BambuTx436	148	119.54509	45.31732	202.79369
BambuTx440	28.69016	25.08218	24.21984	117.23277
BambuTx442	7.68385	25.51994	0	25.94955
BambuTx445	65.97402	56.74263	4.05831	15.82242
BambuTx454	111.76839	117.00554	8.23802	59.05615
BambuTx466	68.45441	65.47373	24.02866	119.90956
BambuTx474	53.58328	73.61582	37.17904	142.70487
BambuTx475	46.78631	99.17063	30.38245	201.5104
BambuTx497	68.94737	48.3	9.84375	34.60947
BambuTx499	57.83554	59.15679	1.6868	18.65052
BambuTx513	76.66472	68.9829	19.51617	109.87857
BambuTx514	46.54644	64.22546	42.28504	127.43926
BambuTx529	414.21409	404.22213	241.95699	1405.78964
BambuTx554	108.53146	61.02437	13.47411	11.18744
BambuTx558	86.24678	110.94166	105.04935	387.39347
BambuTx559	23.34865	14.64716	18.27426	97.46644
BambuTx563	8.29172	12.20233	0	0
BambuTx605	0	0	212.04432	599.13481
BambuTx609	3.5079	3.52499	19.94125	88.32238
BambuTx611	2	7.25286	41	78.88441
BambuTx612	2.05128	0	32.12708	134.05361
BambuTx615	2.27778	1.375	7.05882	95.45252
BambuTx616	11.11146	21.09283	24.25339	134.24923
BambuTx629	19.72065	20.66207	16.22021	64.48899
ENST00000008527.10	265.09827	276.35787	74.7503	307.06448
ENST00000011619.6	269.54955	248.46	60.32258	268.67943
ENST00000016171.6	166.91002	148.65734	32.19048	106.88799
ENST00000052569.10	281.20723	241.02117	25.98291	67.03903
ENST00000064778.8	106.26283	89.07909	119.7	515.17468
ENST00000085079.11	22.29126	17.88379	20.2454	94.57221
ENST00000156825.5	141.34326	88.65517	22.15865	156.99055
ENST00000164305.10	19.02221	21.48776	1.25059	14.43066
ENST00000176763.10	29	33	10.35223	47.46049
ENST00000189444.11	0	0	0	5.74991
ENST00000190611.9	44.87148	86.56203	52.51481	112.24189
ENST00000193322.8	67.34193	47.16109	33.13616	155.26131
ENST00000193403.10	153.5818	128.04769	11.24326	61.9148
ENST00000194900.8	0	12.79988	0	12.68879
ENST00000199936.9	615.40069	344.90362	3.97032	4.48329
ENST00000212355.9	61	72.13855	2.91828	15.61498
ENST00000215061.9	25.74927	37.18396	23.729	75.34079
ENST00000215838.8	68.681	60.98607	8.29661	41.81457
ENST00000216039.9	78.20966	87.71093	47.97519	183.85846
ENST00000216517.10	3.23088	2.08825	0	1.64879
ENST00000216602.10	61.20273	66.99193	23.73411	84.25617
ENST00000216877.10	346.28583	252.58086	87.96202	477.58851
ENST00000217121.9	0	0	3.16031	17.5339
ENST00000217999.3	2	3.35783	8	9
ENST00000218197.9	22.12394	36.24985	10.12322	37.28939
ENST00000218789.9	55.1428	10.84791	101.72884	283.08898
ENST00000219476.9	7.39263	2e-5	22.62028	5.27129
ENST00000219782.11	436.51756	289.6498	39.23219	207.23037
ENST00000220166.10	117.08802	94.68526	6.29275	21.22243
ENST00000220849.10	1186.19285	868.9557	28.01583	227.14193
ENST00000220931.11	248.26259	121.86294	62.14743	500.16404
ENST00000221448.9	162.46207	139.46077	44.29855	187.38644
ENST00000222673.6	115.04709	164.61199	15.53474	98.13108
ENST00000222690.10	390.92367	281.37413	178.0318	705.2818
ENST00000222803.10	155.99263	127.95013	22.88919	66.58176
ENST00000222812.8	8.88462	26.29421	101.60586	429.39721
ENST00000223398.11	73.64049	51.37255	79.09091	363.49032
ENST00000224784.10	969.99315	482.86994	1	4
ENST00000225394.8	233.43035	184.4978	34.93998	116.9748
ENST00000226328.8	126.70347	157.86209	477.18419	1431.82534
ENST00000226796.7	139.56943	122.95709	14.28539	59.31689
ENST00000227266.10	163.18563	159.22838	12.54514	107.87204
ENST00000229265.10	12.47861	12.33586	0	0
ENST00000229266.8	80.71791	77.90279	1.64781	24.51168
ENST00000229395.8	109.46133	114.22965	2.7278	12.49127
ENST00000229570.9	111.31404	96.92031	24.25695	93.14735
ENST00000229758.8	94.95658	72.70808	6.3955	10.37879
ENST00000229854.12	7.77333	6.17708	18.65379	26.8
ENST00000230538.12	10.08901	4.24975	1.65196	71.6853
ENST00000231338.7	3.60217	10.22569	0	0
ENST00000232607.7	87.25587	81.81772	20.37466	78.18758
ENST00000233092.10	5.82498	14.91477	0	3.89613
ENST00000233545.6	9.53944	32.07983	15.19138	39.77314
ENST00000236040.8	11.29158	10.59901	2.92807	2.01035
ENST00000236698.9	0	68.86541	1e-5	0
ENST00000236925.8	10.56053	17.18418	71.18329	253.53456
ENST00000237289.8	11.46409	6.63374	0	0
ENST00000237305.12	207.6615	149.46498	6.96525	32.23832
ENST00000238256.8	24.16842	24.12081	3.95455	8.22775
ENST00000238856.8	161.83298	96.56693	44.57546	126.41876
ENST00000238961.9	191.04833	191.73871	66.14026	234.57099
ENST00000239940.12	133.91088	266.61459	408.53087	2606.49995
ENST00000240139.10	19.96862	40.40212	16.33288	128.51694
ENST00000241001.13	172.02944	187.23321	108.0266	609.25747
ENST00000242285.11	2.34485	7.28754	4.41286	30.23043
ENST00000242576.7	160.52814	138.98992	5.20269	129.40773
ENST00000243050.5	11.25028	8.71708	0	1.51464
ENST00000243326.9	276.87145	283.07627	133.75569	333.84121
ENST00000244070.8	1.89383	1.80693	0	1.27562
ENST00000244364.10	28.42333	147.71111	136.34315	71.66729
ENST00000244763.9	556.05667	645.66297	144.09655	673.66863
ENST00000244769.8	105.27957	119.06989	50.66566	104.96154
ENST00000245222.9	21.1863	35.24587	3.86099	31.76489
ENST00000245539.11	276.88761	266.46469	106.87211	484.40421
ENST00000245865.10	1.82592	6.74594	0	0
ENST00000245925.8	20.03631	20.52753	4.5	15.52867
ENST00000245960.10	142.05047	66.66992	3.92931	10.73356
ENST00000246024.7	389.05131	265.72603	188.78042	679.94262
ENST00000246041.6	2.53256	4.30932	1.38226	2.99477
ENST00000246043.8	80.69134	70.49993	36.76756	76.61805
ENST00000246868.7	270.77297	304.6587	137.99066	656.10883
ENST00000247956.11	71.91846	95.3957	14.20017	99.61668
ENST00000247977.9	69.61338	72.44612	0	91.82737
ENST00000248553.7	1921.24521	1392.55309	186.79592	587.51152
ENST00000248572.10	10.46965	6.61499	5	9.77778
ENST00000249837.7	400.43132	499.89378	5.78826	41.68258
ENST00000250076.8	9.6465	11.36243	4.75236	0
ENST00000250173.5	0	0	2.99089	4.27905
ENST00000251076.9	85.79577	112.85239	178.00913	569.74778
ENST00000251203.14	7.38008	10.43564	7.8044	26.37197
ENST00000251507.8	2.08858	7.23789	1e-5	12.04549
ENST00000251607.11	23.17375	20.1435	0	29.57086
ENST00000251722.10	42.26333	32.97245	4.75653	19.85292
