isoform_id	EP1.WT_hRO_2	EP1.WT_ROs_D45	H9.BRN3B_hRO_2	H9.CRX_hRO_2	H9.CRX_ROs_D45
BambuTx2	261.13529	699.47836	272.11327	314.16441	527.50249
BambuTx3	1	13	4	5	22
BambuTx5	38.89686	0	100.32111	30.10506	4e-5
BambuTx14	32.4186	63.65762	86.33577	118.6565	148.97898
BambuTx23	16	432	11	12.05803	205
BambuTx25	3.1836700000000002	47.66667	3.11765	1.27273	20.53333
BambuTx35	31.37967	132.58116	38.09437	36.20697	103.58609
BambuTx36	2.27805	7.435	12.7283	2.49656	10.73443
BambuTx39	31.37548	170.13549	33.05195	7.41555	142.14176
BambuTx102	93.88521	383.74728	119.84284	107.04264	316.44493
BambuTx104	50.98039	347	57	52	217.9726
BambuTx117	31.85424	1.67769	34.94928	18.24317	0
BambuTx118	221.31354	94.72748	363.4049	317.47154	69.37053
BambuTx125	399.96634	424.98728	460.76406	392.80693	441.95051
BambuTx134	257.025	385.47466	346.08734	229.66667	215.99727
BambuTx162	3.29141	72.30021	4.85549	4.67266	37.01709
BambuTx164	5	32	10.74679	8	36.48387
BambuTx165	3	18.66667	4.48386	0	2.51613
BambuTx178	16.54881	172.94929	16.27004	17.07234	49.47433
BambuTx181	131.57837	543.40263	201.41414	162.99583	464.04125
BambuTx183	3.96471	13.32592	8.89935	10.13454	23.64394
BambuTx188	38.95502	314.31976	66.63522	44.55969	263.83756
BambuTx229	28.63331	98.32528	19.1363	10.63807	21.82892
BambuTx230	4.40513	13.43159	4.41607	1.5352	93.13672
BambuTx249	9.09861	48.78261	17.19856	13.38871	28.11583
BambuTx250	8.43157	30.89202	33.37484	30.26812	49.08307
BambuTx277	66.72917	108.39849	48.65472	55.6865	95.13056
BambuTx293	19.44171	49.80842	18.39166	33.30634	58.10407
BambuTx309	31.0401	115.96119	29.33903	21.50034	115.20624
BambuTx326	5	34.36186	16	9.58793	1
BambuTx338	21.57088	0	9.69834	14.09386	0
ENST00000002125.9	68.18055	116.9272	61.00303	49.62591	120.8895
ENST00000002501.11	36.07262	146.81081	10.952	12.75386	101.26858
ENST00000004531.14	11.25	37.48224	13.36013	11.75	45.29872
ENST00000005374.10	2.09987	12.41881	4.02124	4.84408	4.23381
ENST00000006777.11	349.16012	705.71041	320.05032	355.69091	750.00127
ENST00000007264.7	17.7355	59.81902	23.32744	13.89679	109.5142
ENST00000011898.10	102.04722	163.21394	46.84835	89.41145	228.69564
ENST00000013125.9	48.15084	214.31765	53.72942	153.76784	124.22282
ENST00000026218.9	0	22.19212	30.65555	42.22282	74.27238
ENST00000029410.10	65.38673	132.38121	48.61801	48.91054	146.49787
ENST00000055335.11	56.925	70.21098	69.75	49.00597	54.56286
ENST00000055682.12	61	15.71289	36.48207	40.16491	16.0006
ENST00000064778.8	290.5231	235.33805	261.38865	296.11369	266.55683
ENST00000085079.11	9.89209	110.55164	27.62905	13.53207	163.12229
ENST00000160740.7	217.58375	198.20504	111.22121	116.48888	222.10679
ENST00000164227.10	12.98455	5.52188	40.01215	30.05178	9.29312
ENST00000171887.8	1e-5	0	0	4.93763	6.47756
ENST00000175756.10	94.5306	78.88933	123.7504	98.04599	129.96718
ENST00000178638.8	16	21.6	33.7682	16	9.06667
ENST00000204005.13	74.53063	34.69728	157.54355	105.09511	134.12556
ENST00000204726.9	178.0894	81.83988	186.4704	188.87279	138.24043
ENST00000206262.2	50.72844	158.00304	58.5	40.5	94
ENST00000206544.8	130.06773	24.91546	94.66427	128.12319	22.38194
ENST00000212015.11	53.05725	271.88776	78.51331	52.13278	216.19554
ENST00000215790.12	23.83949	54.45908	40.65744	30.62015	53.63687
ENST00000215798.10	0	1.92536	4.14837	0	0
ENST00000216106.6	122.8429	263.95432	123.76078	97.72012	300.65948
ENST00000216129.7	96.31011	262	85.75265	41.16007	399.99999
ENST00000216146.9	8860.36839	26537.16133	17006.64153	9162.6567	21333.93114
ENST00000216267.12	97.8587	21.5326	75.36171	35.68572	40.95188
ENST00000216277.13	663.32886	1500.80763	656.58757	674.25017	1293.2008
ENST00000216517.10	0	7.81101	1.5465	3.36089	8.54758
ENST00000216658.9	0	0	1.31573	1.40976	1.42202
ENST00000216923.5	59.70604	152.85185	72.17981	79.42633	159.53561
ENST00000217456.3	502.73214	778.17955	563.7931	561.10037	820.42574
ENST00000218200.12	53.42856	71.70921	51.93973	37.5527	62.69884
ENST00000219476.9	41.46604	4.49142	6.89959	0	4.14044
ENST00000219611.7	13.17089	54.18709	22.66497	14.5081	106.76742
ENST00000220325.9	49.79477	57	47.9328	33.82019	76
ENST00000220676.2	96.60494	3	91.89188	79.92626	2
ENST00000220888.9	10.18653	59.20665	20.7643	29.35803	30.01529
ENST00000221566.7	376.62206	647.45051	399.44914	373.98398	665.30458
ENST00000221996.12	1250.68465	87.5	1437.032	1669.41765	194.70157
ENST00000222249.13	2.70545	9.71911	6.51818	9.58706	3.84624
ENST00000222250.5	9.33019	7.32881	6.81219	12.53098	7.72993
ENST00000222399.11	18.72103	5.7126	37.543	51.80351	15.71403
ENST00000222792.11	2.87935	4.08714	14.59422	9.8164	11.27738
ENST00000224721.12	107.10186	64.25275	105.11377	95.67233	78.86349
ENST00000225441.11	62.61196	54.73575	78.33094	51.46572	36.44545
ENST00000225983.10	70.392080000000007	238.62513	73.78255	71.51113	143.21978
ENST00000226574.9	42.25271	180.89942	51.78508	63.26334	176.5249
ENST00000226725.11	31.89325	96.02444	27.12445	34.92473	75.25456
ENST00000227214.10	195.45146	162.03218	169.19345	272.99543	134.52259
ENST00000227266.10	97.93744	358.47822	129.85858	92.18303	351.54787
ENST00000227503.13	64.19955	0	141.15286	51.80889	364.90848
ENST00000228027.12	3.04108	19.04409	4.9748	8.17735	37.30344
ENST00000228425.11	14.73125	51.44918	60.60779	1e-5	51.83051
ENST00000229195.8	343.74472	824.08339	572.67443	433.7228	625.88715
ENST00000229268.13	63.67304	160.36177	69.60315	68.70811	216.83436
ENST00000229395.8	75.34138	246.63959	61.40313	62.4759	172.85035
ENST00000229769.3	29.94235	56.06431	32.93548	31.34955	64.15793
ENST00000229854.12	1e-5	27.92986	6.09298	3.60202	36.36716
ENST00000230122.4	14.60742	35.59568	13.60769	21.68377	46.60244
ENST00000231790.8	20.33905	136.20944	31.55826	24.14343	142.41616
ENST00000231948.9	155.95148	0	228.77891	156.9115	0
ENST00000232501.8	109.54012	189.48499	208.47935	153.79067	174.04496
